Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Cer77_rep9_Dep6_Tu3,5.002,6.406,23.213,11.321,5.790,8.755,0.000,11.366,0.000,5.668,2.465,0.000,0.688,2.408,0.000,0.000,0.000,1.485,2.255,0.000,1.013,0.000,0.000,0.476,0.278,0.000,0.000,0.000,0.000,1.117,0.000,0.000,3.272,0.547,4.004,0.000,2.170,0.000,0.063,0.239
Cer77_rep5_Dep6_Tu30,3.384,0.000,11.513,7.986,7.221,7.820,0.484,3.030,0.000,4.580,0.378,0.000,2.520,0.000,1.301,0.000,2.947,0.000,0.000,0.000,0.000,0.000,1.817,4.880,0.000,0.000,2.251,0.716,0.000,7.794,0.000,0.000,4.027,1.651,4.931,0.000,5.177,4.371,6.009,3.211
Cer77_rep3_Dep6_Tu30,3.648,0.000,9.270,14.415,0.000,14.897,0.000,0.000,0.000,2.253,2.844,0.000,2.089,0.000,2.102,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.348,3.147,0.000,0.000,0.000,3.625,0.000,7.791,0.000,0.000,4.536,0.000,6.461,0.000,7.474,4.305,2.691,7.102
Cer77_rep8_Dep6_Tu50,0.000,0.000,11.827,8.889,0.000,0.000,0.000,4.823,0.000,0.000,3.467,0.000,2.455,1.172,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.558,4.550,1.402,0.000,0.000,3.944,0.875,10.546,0.000,0.617,3.039,0.466,8.037,0.000,5.083,10.501,7.269,8.478
Cer77_rep1_Dep6_Tu1,10.858,2.000,23.464,11.694,8.381,6.960,0.000,10.471,0.714,2.949,4.528,1.386,4.320,0.000,0.000,0.000,0.000,0.000,2.285,0.000,0.000,0.000,1.688,0.000,0.238,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.850,0.000,4.443,0.000,1.037,0.000,0.734,0.000
Cer77_rep7_Dep6_Tu3,11.787,0.000,27.140,6.837,2.843,7.647,0.000,13.023,2.190,4.397,3.452,0.000,4.694,0.000,0.000,0.000,0.000,0.000,0.795,0.000,0.000,0.000,1.587,0.000,2.007,0.000,0.846,0.000,0.353,0.797,0.000,0.000,3.829,0.000,3.645,0.184,0.267,0.000,0.000,1.682
Cer77_rep10_Dep6_Tu2,10.635,0.261,24.085,1.198,14.903,10.631,0.000,11.544,0.000,0.386,7.871,0.000,0.000,3.496,0.000,0.000,0.000,0.000,0.191,0.000,0.000,0.000,3.823,0.179,0.000,0.000,0.000,0.000,0.000,0.845,0.000,0.000,0.292,1.921,3.943,0.000,0.000,0.000,3.796,0.000
Cer77_rep2_Dep6_Tu0.5,13.648,0.000,19.903,4.077,9.903,22.635,0.000,7.428,0.000,0.000,5.453,2.528,0.000,3.566,1.552,0.000,0.000,0.000,0.000,0.000,0.000,0.629,1.478,0.000,0.000,0.000,0.000,0.000,0.517,0.000,0.000,0.000,1.691,0.000,4.244,0.215,0.000,0.000,0.298,0.236
Cer77_rep3_Dep6_Tu20,5.530,0.000,11.594,9.858,2.238,16.781,0.000,6.038,0.000,4.663,0.000,0.985,2.162,1.095,0.419,0.000,0.000,0.000,0.000,0.000,0.000,2.056,0.000,5.437,0.000,0.000,0.000,0.000,0.000,6.011,0.000,0.065,3.377,0.129,5.604,2.329,4.409,1.761,3.250,4.209
Cer77_rep1_Dep6_Tu2,9.324,3.413,20.725,4.395,6.599,15.487,0.000,14.039,0.000,7.675,0.000,0.000,0.000,2.242,0.000,0.000,0.000,0.000,2.052,0.000,2.108,0.000,0.000,0.710,0.000,0.000,0.928,0.000,0.000,0.000,0.000,0.000,1.149,1.196,3.206,1.683,0.000,0.361,2.707,0.000
