Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Cer77_rep9_Dep6_Tu3,0.034,0.677,2.421,1.406,7.806,0.000,1.281,0.000,2.919,12.003,8.440,3.460,59.553
Cer77_rep5_Dep6_Tu30,8.915,9.241,9.142,9.335,10.579,0.000,1.868,4.614,0.000,1.713,5.234,2.311,37.049
Cer77_rep3_Dep6_Tu30,7.882,10.667,11.336,9.784,10.736,0.000,1.240,1.825,0.000,1.750,5.142,2.115,37.522
Cer77_rep8_Dep6_Tu50,10.389,16.356,14.631,14.055,11.234,0.000,2.202,0.000,0.000,0.000,3.327,3.270,24.535
Cer77_rep1_Dep6_Tu1,0.000,0.000,1.387,0.000,6.786,0.000,1.885,0.000,2.693,13.316,8.912,4.069,60.951
Cer77_rep7_Dep6_Tu3,1.119,2.246,0.854,1.214,7.903,0.000,1.573,0.000,2.003,12.149,8.128,4.086,58.726
Cer77_rep10_Dep6_Tu2,0.000,2.805,0.206,0.637,6.685,0.000,4.006,0.000,0.000,11.272,8.449,3.787,62.153
Cer77_rep2_Dep6_Tu0.5,0.000,0.540,0.106,0.000,6.125,0.000,2.432,0.000,1.172,14.122,7.927,3.809,63.768
Cer77_rep3_Dep6_Tu20,5.886,7.056,8.776,7.397,8.914,0.000,1.990,0.783,0.000,4.657,5.732,3.172,45.638
Cer77_rep1_Dep6_Tu2,1.150,1.784,2.398,0.000,5.692,0.000,2.101,0.000,2.027,13.507,8.087,2.502,60.752
Cer77_rep2_Dep6_Tu5,1.459,5.088,2.297,2.309,5.113,0.000,1.478,0.303,2.936,10.041,7.067,3.306,58.602
Cer77_rep5_Dep6_Tu0.5,0.000,1.091,0.018,0.000,6.171,0.000,3.509,0.000,0.000,14.008,8.031,3.671,63.500
Cer77_rep2_Dep6_Tu50,9.123,16.069,16.700,13.303,10.180,0.000,1.751,1.792,0.000,0.000,4.081,1.913,25.086
Cer77_rep9_Dep6_Tu0.5,0.000,0.000,0.459,0.000,5.497,0.000,2.383,1.940,1.716,14.348,8.277,2.554,62.826
Cer77_rep4_Dep6_Tu10,3.286,6.782,3.997,3.516,5.272,0.057,2.539,1.218,0.102,9.333,8.822,2.206,52.870
Cer77_rep9_Dep6_Tu20,5.396,7.647,7.509,7.679,6.786,0.000,2.094,3.516,0.000,5.119,5.674,3.421,45.159
Cer77_rep3_Dep6_Tu10,4.139,4.055,4.977,2.370,5.058,0.000,3.615,0.945,0.000,10.384,7.064,3.991,53.401
Cer77_rep6_Dep6_Tu5,0.259,2.811,4.315,0.948,4.910,0.000,3.473,0.000,1.710,11.979,8.002,2.947,58.646
Cer77_rep5_Dep6_Tu1,0.656,1.267,0.259,0.000,5.396,0.000,2.789,0.000,1.561,13.053,9.963,3.861,61.195
Cer77_rep5_Dep6_Tu0.3,0.000,0.140,0.531,0.000,6.439,0.137,2.464,0.409,3.931,12.857,8.672,2.640,61.781
Cer77_rep4_Dep6_Tu50,9.475,15.733,14.467,13.572,11.173,0.222,0.895,4.359,0.000,0.000,3.703,1.244,25.159
Cer77_rep6_Dep6_Tu0.3,0.000,0.000,1.362,0.000,5.099,0.000,2.618,0.000,3.966,12.207,9.280,2.268,63.201
Cer77_rep4_Dep6_Tu40,6.645,13.527,13.906,11.964,12.811,0.457,1.763,1.756,0.000,0.000,4.918,1.679,30.574
Cer77_rep10_Dep6_Tu5,3.014,3.643,1.867,1.022,4.374,0.594,3.546,0.963,1.375,9.922,8.431,3.331,57.918
Cer77_rep3_Dep6_Tu1,0.000,0.000,1.059,0.000,5.942,0.000,3.716,0.523,0.832,12.839,8.599,4.305,62.187
Cer77_rep8_Dep6_Tu40,8.485,12.823,13.109,11.746,12.706,0.000,1.916,3.552,0.000,0.000,3.923,1.431,30.308
Cer77_rep7_Dep6_Tu0.3,0.000,2.073,0.000,0.000,4.466,0.000,2.444,0.000,2.311,13.305,8.684,2.803,63.913
Cer77_rep3_Dep6_Tu0.1,0.000,2.353,0.000,0.000,6.759,0.000,1.798,1.900,1.184,11.299,9.898,2.655,62.155
Cer77_rep4_Dep6_Tu0.3,0.000,0.000,1.191,0.000,4.472,0.000,2.305,0.000,4.589,14.289,7.696,2.908,62.550
Cer77_rep6_Dep6_Tu2,0.000,2.402,0.261,1.084,3.514,0.000,2.704,0.000,3.140,13.949,9.317,2.768,60.862
Cer77_rep6_Dep6_Tu20,3.840,11.862,7.758,7.353,6.905,0.000,2.681,0.000,0.324,3.876,4.267,4.782,46.351
Cer77_rep9_Dep6_Tu40,6.853,14.305,12.545,12.162,12.116,0.000,2.348,3.304,0.000,0.000,4.056,1.544,30.768
Cer77_rep6_Dep6_Tu40,7.323,13.323,14.861,11.677,10.676,0.000,1.962,2.354,0.000,0.000,3.857,2.074,31.892
Cer77_rep8_Dep6_Tu5,1.705,5.147,1.682,1.237,7.108,0.000,3.170,0.000,1.616,8.476,8.691,3.591,57.578
Cer77_rep5_Dep6_Tu50,9.291,15.706,15.301,13.035,11.167,0.373,0.878,2.343,0.000,0.000,3.780,2.266,25.859
Cer77_rep1_Dep6_Tu30,6.771,11.296,10.291,11.454,10.335,0.000,1.838,0.000,0.000,2.147,4.476,4.099,37.293
Cer77_rep2_Dep6_Tu20,5.499,8.235,8.060,6.687,7.590,0.000,3.756,1.136,0.000,5.386,5.611,3.070,44.970
Cer77_rep4_Dep6_Tu0.5,1.205,1.907,0.252,0.000,5.434,0.027,2.097,0.000,2.252,12.248,9.263,3.657,61.658
Cer77_rep2_Dep6_Tu40,8.341,19.876,11.539,10.598,6.600,0.643,1.660,2.031,0.000,0.003,4.359,2.911,31.439
Cer77_rep8_Dep6_Tu30,6.317,9.933,13.637,9.492,9.784,0.000,2.241,2.014,0.000,1.482,5.750,2.443,36.908
Cer77_rep3_Dep6_Tu40,9.932,15.854,11.717,11.312,7.150,1.073,1.930,1.115,0.000,0.000,4.813,3.039,32.066
Cer77_rep4_Dep6_Tu0.1,0.000,1.241,0.253,0.000,2.091,0.000,4.131,0.000,2.028,13.922,8.838,3.742,63.754
Cer77_rep2_Dep6_Tu1,0.000,2.733,0.000,0.000,4.608,0.000,3.010,0.000,1.723,13.100,9.796,3.117,61.914
Cer77_rep3_Dep6_Tu3,0.253,3.832,2.720,0.000,3.166,0.000,3.722,0.549,3.319,11.281,7.858,2.352,60.948
Cer77_rep2_Dep6_Tu30,7.963,8.521,10.461,10.444,10.172,0.000,1.808,1.860,0.000,3.867,4.936,2.836,37.132
Cer77_rep9_Dep6_Tu30,5.070,12.860,10.415,8.663,11.459,0.537,1.093,0.120,0.000,4.166,5.793,3.333,36.492
Cer77_rep7_Dep6_Tu20,4.742,9.436,7.863,6.928,8.035,0.000,2.213,3.164,0.000,3.775,6.699,2.632,44.514
Cer77_rep6_Dep6_Tu1,0.289,1.680,0.847,0.000,5.037,0.000,2.909,0.000,1.973,12.286,8.204,3.700,63.075
Cer77_rep7_Dep6_Tu50,9.963,15.699,13.916,13.452,12.090,0.000,1.122,2.746,0.000,0.000,3.766,2.412,24.835
Cer77_rep3_Dep6_Tu5,0.462,0.058,4.198,2.118,7.355,0.000,1.531,0.000,1.868,13.976,7.388,3.868,57.178
Cer77_rep8_Dep6_Tu0.5,0.005,0.052,1.339,0.000,5.250,0.000,2.920,0.000,2.072,12.484,7.307,4.491,64.079
Cer77_rep9_Dep6_Tu0.3,0.000,0.000,0.457,0.000,3.192,0.000,4.433,1.565,0.000,15.006,7.471,2.944,64.932
Cer77_rep6_Dep6_Tu0.5,0.000,0.374,1.185,0.000,6.648,0.000,2.388,0.000,3.570,12.706,7.825,2.372,62.932
Cer77_rep7_Dep6_Tu1,0.000,1.542,0.529,0.000,5.382,0.000,2.693,0.000,0.000,16.131,7.496,3.456,62.771
Cer77_rep5_Dep6_Tu3,0.000,1.945,1.750,1.643,3.655,0.000,3.490,2.135,0.000,13.749,7.442,2.747,61.442
Cer77_rep10_Dep6_Tu3,0.911,3.312,1.643,0.398,5.128,0.000,3.501,0.000,1.311,12.905,7.011,3.134,60.746
Cer77_rep9_Dep6_Tu5,2.884,3.627,1.324,1.919,6.213,0.000,2.807,0.000,0.127,11.263,8.571,3.971,57.294
Cer77_rep10_Dep6_Tu20,2.626,10.844,7.521,7.553,9.392,0.448,2.836,0.977,0.000,5.220,5.694,2.991,43.900
Cer77_rep1_Dep6_Tu3,1.442,2.598,1.951,0.751,3.857,0.000,2.976,0.000,0.000,13.179,9.969,3.742,59.534
Cer77_rep5_Dep6_Tu2,0.142,1.880,0.993,0.372,6.148,0.654,1.551,0.360,3.067,11.302,8.987,2.979,61.566
Cer77_rep5_Dep6_Tu5,1.856,1.409,2.757,1.333,9.139,0.000,1.743,0.000,5.451,10.442,7.623,1.875,56.371
Cer77_rep8_Dep6_Tu2,1.249,2.013,0.611,0.345,5.412,0.000,2.505,0.000,0.879,13.048,9.411,3.895,60.633
Cer77_rep8_Dep6_Tu10,3.573,5.756,4.691,3.972,6.664,0.000,2.755,0.000,0.173,8.189,7.493,3.806,52.928
Cer77_rep10_Dep6_Tu30,5.351,15.596,9.973,9.358,8.509,0.000,1.724,0.000,0.000,4.400,3.945,2.945,38.199
Cer77_rep10_Dep6_Tu0.1,0.000,0.486,0.000,0.000,5.569,0.000,3.559,0.000,0.000,14.060,9.136,4.800,62.390
Cer77_rep6_Dep6_Tu3,0.146,0.610,1.708,1.338,5.197,0.000,4.195,0.000,4.391,11.776,7.758,2.331,60.551
Cer77_rep7_Dep6_Tu10,1.179,2.374,5.488,4.141,6.694,0.000,3.040,5.819,0.000,8.409,6.570,2.038,54.250
Cer77_rep1_Dep6_Tu0.1,0.000,0.000,0.107,0.000,4.546,0.000,3.947,0.000,0.527,14.958,8.206,3.414,64.296
Cer77_rep10_Dep6_Tu50,9.941,16.725,14.416,14.699,11.231,0.000,1.429,0.000,0.000,0.000,4.185,2.633,24.739
Cer77_rep3_Dep6_Tu2,0.728,1.005,2.074,0.688,5.132,0.540,3.095,0.000,3.029,11.102,8.571,3.198,60.839
Cer77_rep2_Dep6_Tu10,1.880,6.067,4.152,3.664,8.278,0.000,1.386,1.454,0.858,9.591,6.754,3.260,52.656
Cer77_rep4_Dep6_Tu5,2.812,2.629,1.567,1.912,7.205,0.000,2.987,2.181,0.497,9.971,8.410,3.036,56.794
Cer77_rep4_Dep6_Tu2,0.000,3.791,0.000,0.591,8.699,0.000,2.530,0.000,3.633,9.692,8.528,2.063,60.474
Cer77_rep8_Dep6_Tu3,0.000,3.654,2.477,0.132,6.092,0.000,2.122,0.000,3.075,12.797,7.232,2.243,60.176
Cer77_rep7_Dep6_Tu5,3.728,1.745,2.752,1.774,4.365,0.000,3.234,1.683,0.000,10.618,8.995,3.312,57.793
Cer77_rep4_Dep6_Tu3,0.264,4.249,1.585,1.327,5.271,0.000,3.038,4.139,0.429,9.205,8.157,2.262,60.074
Cer77_rep7_Dep6_Tu2,0.000,0.928,1.951,0.000,3.187,0.000,2.569,0.000,1.836,15.500,8.902,3.197,61.930
Cer77_rep10_Dep6_Tu40,8.720,15.524,11.920,11.017,10.179,0.029,2.402,1.800,0.000,1.135,3.085,3.400,30.789
Cer77_rep6_Dep6_Tu10,1.951,5.552,5.614,4.159,6.277,0.670,2.002,0.000,2.427,7.328,6.687,3.402,53.932
Cer77_rep6_Dep6_Tu50,7.443,14.203,15.498,13.621,13.002,0.722,0.000,4.805,0.000,0.000,3.686,1.071,25.950
Cer77_rep2_Dep6_Tu2,1.593,1.819,0.658,0.000,3.764,0.000,3.783,0.000,0.827,15.378,9.307,2.509,60.363
