Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Cer81_rep10_Dep6_Tu5,0.000,0.000,14.725,7.522,7.634,29.927,0.000,5.455,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.035,0.000,0.000,0.000,0.000,34.533
Cer81_rep8_Dep6_Tu2,0.000,0.000,47.848,9.626,0.800,2.293,0.000,3.438,0.000,0.867,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,35.126
Cer81_rep6_Dep6_Tu3,0.000,0.000,16.683,11.039,0.000,34.189,0.000,5.040,0.000,0.141,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,32.905
Cer81_rep2_Dep6_Tu3,0.000,0.000,25.572,17.716,0.000,15.368,0.000,7.053,0.000,0.308,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.980
Cer81_rep7_Dep6_Tu20,0.000,0.000,12.462,23.329,0.000,1.858,0.000,4.988,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.387,5.794,0.000,0.000,0.056,0.000,0.469,0.000,0.000,0.000,1.842,0.000,1.978,2.616,0.000,0.000,1.103,43.117
Cer81_rep5_Dep6_Tu5,0.000,0.000,41.159,3.033,0.000,17.380,0.000,3.569,0.000,0.235,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,34.616
Cer81_rep4_Dep6_Tu0.1,0.000,0.000,17.280,12.921,0.000,33.916,0.000,2.516,0.000,0.335,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.029
Cer81_rep9_Dep6_Tu20,0.000,0.000,7.710,12.814,0.000,22.771,0.000,2.561,0.000,0.139,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.675,0.000,0.000,0.000,0.000,0.000,0.303,0.000,0.000,0.000,1.360,0.000,0.087,6.286,0.000,0.000,4.978,38.313
Cer81_rep9_Dep6_Tu5,0.000,0.000,36.959,5.776,0.000,19.499,0.000,1.753,0.000,0.265,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.054,0.000,0.000,0.000,0.000,35.692
Cer81_rep2_Dep6_Tu1,0.000,0.000,26.227,18.123,0.000,16.022,0.000,7.500,0.000,1.105,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31.020
Cer81_rep8_Dep6_Tu3,0.000,0.000,46.227,9.356,0.000,1.262,0.000,13.304,0.000,0.120,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,29.728
Cer81_rep8_Dep6_Tu1,0.000,0.000,47.220,7.615,0.000,4.762,0.000,8.265,0.000,0.494,0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31.564
Cer81_rep1_Dep6_Tu50,0.000,0.000,10.298,1.768,0.000,0.000,0.000,5.678,0.000,0.000,0.000,0.000,0.000,0.801,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.800,5.930,0.000,0.000,0.613,0.832,1.454,0.000,0.000,0.000,10.158,0.000,2.135,3.990,0.478,0.000,14.489,37.575
Cer81_rep9_Dep6_Tu1,0.000,0.000,19.250,25.333,0.000,16.054,0.000,8.184,0.000,0.242,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,30.934
Cer81_rep4_Dep6_Tu30,0.000,0.000,6.319,18.594,0.000,3.551,0.000,6.454,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.356,2.595,0.000,0.000,0.000,0.000,0.674,0.000,0.000,0.000,5.635,0.000,1.466,5.606,0.000,1.008,5.485,39.255
Cer81_rep5_Dep6_Tu20,0.000,0.000,24.489,1.780,0.000,16.922,0.000,6.736,0.000,0.216,0.406,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496,0.073,0.000,0.000,0.000,0.000,0.258,0.000,0.000,0.000,5.162,0.000,2.226,0.767,0.000,0.000,9.500,30.967
Cer81_rep2_Dep6_Tu0.5,0.000,0.000,19.662,32.679,2.056,10.160,0.000,1.963,0.000,0.301,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.177
Cer81_rep2_Dep6_Tu2,0.000,0.000,14.580,9.279,8.163,31.438,0.000,4.891,0.000,0.292,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31.355
Cer81_rep5_Dep6_Tu1,0.000,0.000,37.597,6.668,0.000,19.853,0.000,1.712,0.000,0.576,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.592
Cer81_rep7_Dep6_Tu0.5,0.000,0.000,15.447,16.795,0.000,31.801,0.000,5.040,0.000,0.085,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,30.829
Cer81_rep5_Dep6_Tu0.1,0.000,0.000,19.834,25.302,1.910,15.298,0.000,7.358,0.000,0.253,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,30.042
Cer81_rep8_Dep6_Tu0.1,0.000,0.000,41.166,7.685,0.606,16.497,0.000,3.080,0.000,1.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,29.929
Cer81_rep10_Dep6_Tu10,0.000,0.000,23.663,9.162,0.000,21.954,0.000,3.281,0.000,0.185,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.053,0.000,0.000,0.000,0.000,0.000,0.528,1.241,0.000,0.000,0.000,39.932
Cer81_rep2_Dep6_Tu5,0.000,0.000,45.570,8.860,0.000,1.399,0.000,13.607,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.027,0.000,0.000,0.000,0.000,30.522
