Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Cer81_rep10_Dep6_Tu5,2.075,2.286,2.075,0.000,3.469,1.686,3.232,0.000,0.000,11.488,8.556,3.141,61.992
Cer81_rep8_Dep6_Tu2,1.439,0.984,1.762,0.000,3.106,2.095,2.753,0.000,0.000,12.310,8.333,4.183,63.036
Cer81_rep6_Dep6_Tu3,2.421,2.276,1.581,0.000,3.143,1.778,3.145,0.000,0.000,10.782,8.090,3.443,63.341
Cer81_rep2_Dep6_Tu3,1.856,2.265,1.991,0.000,2.657,1.846,3.351,0.000,0.000,11.272,8.688,3.576,62.497
Cer81_rep7_Dep6_Tu20,4.166,5.569,5.050,2.502,3.666,0.416,1.872,7.219,1.244,7.758,7.503,2.152,50.884
Cer81_rep5_Dep6_Tu5,2.073,2.427,2.395,0.000,3.278,1.743,3.155,0.512,0.040,10.490,8.417,3.840,61.629
Cer81_rep4_Dep6_Tu0.1,1.764,0.000,1.652,0.000,2.874,2.138,3.580,0.000,0.000,11.194,7.923,3.454,65.420
Cer81_rep9_Dep6_Tu20,4.080,5.459,4.505,2.155,3.276,0.387,2.423,6.875,2.026,7.888,7.859,2.132,50.936
Cer81_rep9_Dep6_Tu5,2.288,2.126,2.462,0.000,3.685,1.637,3.127,0.000,0.000,10.481,8.945,3.727,61.521
Cer81_rep2_Dep6_Tu1,1.437,0.885,1.737,0.000,2.813,1.949,3.219,0.000,0.000,12.290,8.782,2.855,64.033
Cer81_rep8_Dep6_Tu3,1.810,2.589,1.747,0.000,3.194,1.543,2.578,0.000,0.000,11.231,7.696,4.133,63.477
Cer81_rep8_Dep6_Tu1,1.925,0.291,1.653,0.000,3.724,2.149,2.841,0.000,0.000,10.467,8.818,3.742,64.391
Cer81_rep1_Dep6_Tu50,7.080,11.722,9.012,4.561,3.697,0.000,0.824,21.720,4.144,0.000,5.222,0.134,31.885
Cer81_rep9_Dep6_Tu1,1.903,0.040,1.949,0.000,3.663,1.985,2.814,0.000,0.000,11.604,7.867,3.901,64.275
Cer81_rep4_Dep6_Tu30,3.606,9.118,6.096,3.144,3.544,0.000,1.900,10.949,1.257,7.339,6.055,2.238,44.754
Cer81_rep5_Dep6_Tu20,4.045,7.173,4.433,2.239,4.416,0.281,2.326,6.898,0.000,6.275,7.736,3.453,50.726
Cer81_rep2_Dep6_Tu0.5,1.177,0.682,1.678,0.000,3.602,1.741,2.967,0.000,0.000,11.923,6.925,3.905,65.399
Cer81_rep2_Dep6_Tu2,1.606,1.059,1.761,0.000,3.637,1.988,3.224,0.000,0.000,10.763,9.446,3.258,63.258
Cer81_rep5_Dep6_Tu1,1.647,0.312,2.280,0.000,3.241,2.039,3.122,0.000,0.000,10.745,9.432,3.507,63.673
Cer81_rep7_Dep6_Tu0.5,1.521,1.995,1.362,0.000,3.046,1.895,3.305,0.000,0.000,10.558,6.823,3.869,65.626
Cer81_rep5_Dep6_Tu0.1,1.584,0.000,1.644,0.000,3.086,2.122,3.037,0.000,0.000,11.745,7.989,3.553,65.240
Cer81_rep8_Dep6_Tu0.1,1.316,1.473,1.539,0.000,3.012,1.700,3.442,0.000,0.000,11.201,8.573,3.828,63.917
Cer81_rep10_Dep6_Tu10,2.651,5.098,3.330,0.000,3.398,1.262,2.809,1.073,1.146,10.125,7.781,3.473,57.854
Cer81_rep2_Dep6_Tu5,2.446,3.092,2.109,0.000,3.099,1.543,2.628,0.000,0.000,10.960,8.187,4.019,61.917
Cer81_rep8_Dep6_Tu50,7.641,11.810,9.226,4.537,3.234,0.000,0.931,21.345,2.534,0.000,5.147,1.198,32.398
Cer81_rep2_Dep6_Tu40,6.586,11.897,7.849,3.413,3.019,0.000,1.086,13.819,2.462,1.648,8.139,2.253,37.831
Cer81_rep6_Dep6_Tu30,5.248,7.982,6.274,3.617,3.510,0.000,1.359,12.684,1.994,4.021,6.719,2.169,44.426
Cer81_rep4_Dep6_Tu1,1.630,1.060,1.973,0.000,3.389,2.191,3.027,0.000,0.000,9.061,9.400,3.821,64.448
Cer81_rep3_Dep6_Tu0.3,1.482,1.510,1.399,0.000,3.114,1.623,3.286,0.000,0.000,11.401,7.229,3.679,65.276
Cer81_rep9_Dep6_Tu0.1,1.284,1.209,1.742,0.000,2.862,2.131,3.266,0.000,0.000,10.443,9.171,3.967,63.926
Cer81_rep1_Dep6_Tu40,5.605,10.062,7.698,4.606,3.660,0.000,0.902,14.389,5.979,2.477,5.496,0.806,38.318
Cer81_rep10_Dep6_Tu2,1.457,0.374,2.324,0.000,3.502,1.849,3.375,0.000,0.000,10.269,8.327,3.833,64.691
Cer81_rep7_Dep6_Tu50,7.151,13.127,9.116,4.945,3.693,0.000,0.604,22.429,0.631,0.000,6.594,0.612,31.098
Cer81_rep8_Dep6_Tu0.3,1.279,0.212,1.545,0.000,3.109,1.873,3.221,0.000,0.000,12.143,7.084,3.489,66.044
Cer81_rep8_Dep6_Tu40,5.594,8.809,8.242,4.486,4.473,0.000,0.497,17.417,2.486,2.857,6.161,1.085,37.893
Cer81_rep9_Dep6_Tu40,6.326,10.605,7.588,4.387,3.841,0.000,0.513,16.159,1.393,3.097,6.443,1.420,38.227
Cer81_rep9_Dep6_Tu10,2.755,3.577,3.036,1.562,3.408,0.913,2.841,0.000,0.236,11.070,8.938,4.349,57.315
Cer81_rep2_Dep6_Tu50,6.486,11.463,9.685,4.729,4.135,0.000,0.427,21.248,1.207,0.411,7.911,1.134,31.165
Cer81_rep8_Dep6_Tu10,2.931,4.574,2.742,0.156,2.666,1.604,2.682,1.548,1.916,8.470,8.854,4.128,57.730
Cer81_rep10_Dep6_Tu0.1,1.646,0.250,1.706,0.000,2.923,2.046,3.076,0.000,0.000,11.282,8.323,3.948,64.800
Cer81_rep3_Dep6_Tu1,1.156,0.000,2.036,0.000,3.623,2.150,2.865,0.000,0.000,11.214,8.567,4.281,64.107
Cer81_rep9_Dep6_Tu50,6.755,10.840,9.797,5.200,3.988,0.000,0.086,22.186,1.529,0.000,5.647,1.262,32.711
Cer81_rep8_Dep6_Tu30,5.388,9.426,6.082,2.909,3.603,0.000,1.850,10.344,0.000,5.898,7.615,2.550,44.336
Cer81_rep4_Dep6_Tu20,3.115,6.978,4.094,2.700,3.190,0.280,1.858,5.156,2.735,7.837,7.491,3.330,51.235
Cer81_rep10_Dep6_Tu20,3.539,6.923,4.498,1.675,3.489,0.560,2.112,5.656,3.856,7.019,7.857,2.535,50.283
Cer81_rep7_Dep6_Tu3,1.924,2.233,2.157,0.000,3.043,1.885,2.927,0.000,0.000,10.577,9.382,3.183,62.689
Cer81_rep2_Dep6_Tu30,4.502,9.713,5.881,3.510,3.119,0.000,1.551,11.826,0.000,6.243,6.438,2.295,44.923
Cer81_rep1_Dep6_Tu0.1,1.438,0.414,1.521,0.000,3.235,1.964,2.730,0.000,0.000,11.957,7.294,3.769,65.678
Cer81_rep5_Dep6_Tu10,2.446,4.054,3.150,1.260,3.666,0.816,2.426,0.163,0.000,11.676,8.520,3.730,58.093
Cer81_rep7_Dep6_Tu0.1,1.344,0.000,1.641,0.000,3.640,2.014,3.062,0.000,0.000,11.830,7.704,3.020,65.745
Cer81_rep8_Dep6_Tu0.5,1.507,1.452,1.542,0.000,2.990,1.617,3.310,0.000,0.000,11.603,7.217,3.723,65.039
Cer81_rep7_Dep6_Tu1,1.210,0.092,1.825,0.000,3.750,1.748,3.089,0.000,0.000,11.825,7.222,3.852,65.386
Cer81_rep10_Dep6_Tu0.5,1.123,0.615,1.710,0.000,3.662,1.936,3.219,0.000,0.000,11.686,8.180,3.676,64.194
Cer81_rep8_Dep6_Tu20,3.449,7.576,4.898,2.913,3.089,0.000,1.609,5.105,3.084,7.659,6.034,2.578,52.006
Cer81_rep4_Dep6_Tu5,2.486,2.176,2.403,0.000,3.268,1.874,3.296,0.325,0.434,10.099,9.067,3.227,61.343
Cer81_rep3_Dep6_Tu30,4.464,8.994,5.923,3.554,3.388,0.000,2.086,11.519,0.476,6.777,6.786,1.826,44.205
Cer81_rep9_Dep6_Tu0.3,1.283,0.199,1.503,0.000,3.057,1.901,3.261,0.000,0.000,12.084,7.014,3.551,66.148
Cer81_rep4_Dep6_Tu0.3,0.862,0.883,1.628,0.000,3.083,1.838,2.866,0.000,0.000,13.749,6.910,3.556,64.625
Cer81_rep1_Dep6_Tu30,5.296,6.961,6.589,4.183,3.763,0.000,1.758,12.002,2.251,4.570,5.843,2.155,44.629
Cer81_rep1_Dep6_Tu1,1.587,0.980,1.640,0.000,3.105,1.938,3.433,0.000,0.000,10.259,9.203,4.061,63.793
Cer81_rep4_Dep6_Tu50,6.887,11.949,9.038,5.219,3.698,0.000,0.390,21.043,2.793,0.000,6.358,1.122,31.501
