Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Cer81_rep10_Dep6_Tu5,0.000,18.553,0.000,0.063,0.000,60.515,0.035,0.000,0.000,10.326,0.454,0.000,10.053,0.000
Cer81_rep8_Dep6_Tu2,0.000,2.994,0.000,0.059,0.000,57.413,1.511,0.000,0.000,6.869,0.419,0.000,11.566,19.168
Cer81_rep6_Dep6_Tu3,0.000,23.211,0.000,0.323,0.000,57.575,0.108,0.000,0.000,8.001,0.411,0.000,10.371,0.000
Cer81_rep2_Dep6_Tu3,0.000,17.306,0.000,0.018,0.000,57.196,0.000,0.000,0.000,10.683,2.522,0.000,12.275,0.000
Cer81_rep7_Dep6_Tu20,20.881,15.340,0.000,0.451,4.360,46.244,0.000,0.000,0.000,9.029,3.029,0.000,0.666,0.000
Cer81_rep5_Dep6_Tu5,0.000,31.492,0.000,0.225,0.000,52.664,0.000,0.000,0.000,2.460,2.918,0.000,10.240,0.000
Cer81_rep4_Dep6_Tu0.1,0.000,17.055,0.000,0.000,0.000,65.202,0.031,0.000,0.000,7.794,0.048,0.000,9.870,0.000
Cer81_rep9_Dep6_Tu20,3.442,27.420,0.000,0.649,11.086,39.718,0.000,0.000,0.000,7.624,5.577,0.000,4.483,0.000
Cer81_rep9_Dep6_Tu5,0.000,28.838,0.000,1.247,0.000,48.681,0.541,0.000,0.000,12.191,0.377,0.000,8.124,0.000
Cer81_rep2_Dep6_Tu1,0.000,16.200,0.000,0.000,0.000,58.879,0.000,0.000,0.000,11.391,0.613,0.000,12.917,0.000
Cer81_rep8_Dep6_Tu3,0.000,7.789,0.000,0.655,0.000,61.078,0.000,0.000,0.000,14.455,5.260,0.000,10.763,0.000
Cer81_rep8_Dep6_Tu1,0.000,5.668,0.000,0.058,0.000,59.175,0.000,0.000,0.000,6.629,0.671,0.000,12.176,15.623
Cer81_rep1_Dep6_Tu50,0.000,26.229,0.000,5.838,37.525,19.975,0.000,0.000,0.000,0.599,7.275,0.000,2.559,0.000
Cer81_rep9_Dep6_Tu1,0.000,1.137,0.000,0.056,0.000,62.857,9.465,0.000,0.000,16.530,2.025,0.000,7.930,0.000
Cer81_rep4_Dep6_Tu30,12.868,9.893,0.000,0.963,20.012,36.577,0.000,0.000,0.000,12.547,3.102,0.000,4.038,0.000
Cer81_rep5_Dep6_Tu20,0.000,18.009,0.000,0.984,9.702,42.350,16.321,0.000,0.000,1.141,4.441,0.000,7.052,0.000
Cer81_rep2_Dep6_Tu0.5,0.000,3.455,0.000,0.001,0.000,65.643,0.000,0.000,0.000,19.413,0.330,0.000,11.158,0.000
Cer81_rep2_Dep6_Tu2,0.000,22.228,0.000,0.021,0.000,60.506,0.000,0.000,0.000,9.744,0.349,0.000,7.152,0.000
Cer81_rep5_Dep6_Tu1,0.000,20.164,0.000,0.000,0.002,50.458,7.733,0.000,0.000,11.111,0.075,0.000,10.457,0.000
Cer81_rep7_Dep6_Tu0.5,0.000,16.013,0.000,0.000,0.000,60.893,0.000,0.000,0.000,13.100,0.086,0.000,9.907,0.000
Cer81_rep5_Dep6_Tu0.1,0.000,1.321,0.000,0.000,0.000,62.545,7.297,0.000,0.000,18.268,0.420,0.000,10.148,0.000
Cer81_rep8_Dep6_Tu0.1,0.000,17.137,0.000,0.000,0.000,59.662,10.007,0.000,0.000,3.930,0.112,0.000,9.152,0.000
Cer81_rep10_Dep6_Tu10,0.000,22.221,0.000,0.698,0.000,52.834,0.000,0.000,0.000,8.781,2.918,0.000,12.548,0.000
Cer81_rep2_Dep6_Tu5,0.000,11.262,0.000,0.474,1.339,58.955,0.000,0.000,0.000,10.585,8.567,0.000,8.818,0.000
Cer81_rep8_Dep6_Tu50,17.732,23.632,0.000,2.307,21.298,14.413,0.000,0.000,0.000,0.000,17.845,0.000,2.772,0.000
Cer81_rep2_Dep6_Tu40,23.368,8.713,0.000,1.152,17.010,27.034,14.668,0.000,0.000,0.000,0.002,0.000,8.052,0.000
Cer81_rep6_Dep6_Tu30,5.873,32.710,0.000,1.261,11.739,27.640,0.000,0.000,0.000,0.264,14.867,0.000,5.646,0.000
Cer81_rep4_Dep6_Tu1,0.000,21.015,0.000,0.000,0.000,50.150,10.870,0.000,0.000,2.561,0.150,0.000,10.731,4.523
Cer81_rep3_Dep6_Tu0.3,0.000,21.235,0.000,0.000,0.000,60.179,0.623,0.000,0.000,8.567,0.281,0.000,9.115,0.000
Cer81_rep9_Dep6_Tu0.1,0.000,17.770,0.000,0.000,0.000,50.376,9.270,0.000,0.000,4.557,0.673,0.000,10.420,6.933
Cer81_rep1_Dep6_Tu40,0.000,20.084,0.000,0.706,31.744,23.914,0.000,0.000,0.000,7.197,12.220,0.000,4.135,0.000
Cer81_rep10_Dep6_Tu2,0.000,13.659,0.000,0.021,0.000,62.885,0.000,0.000,0.000,9.837,2.305,0.000,11.293,0.000
