Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Cer81_rep10_Dep6_Tu5,11.060,0.000,22.568,6.668,6.843,3.800,0.000,18.067,3.608,6.417,2.818,0.000,2.117,1.182,0.000,0.000,0.000,0.000,1.015,0.000,1.262,0.000,2.150,0.059,0.000,0.000,1.599,0.000,0.000,0.000,1.893,0.000,0.816,0.000,4.387,1.496,0.000,0.000,0.000,0.174
Cer81_rep8_Dep6_Tu2,11.969,0.132,24.148,9.668,14.486,7.532,0.000,6.929,0.000,0.000,9.086,0.000,0.808,3.814,0.000,0.000,0.000,0.000,0.000,0.000,1.715,0.000,1.141,0.000,0.000,0.706,0.347,0.000,0.000,0.000,1.674,0.000,2.223,0.290,2.304,0.000,1.030,0.000,0.000,0.000
Cer81_rep6_Dep6_Tu3,10.881,0.000,34.731,8.682,5.924,0.000,0.000,12.994,0.000,6.530,0.000,1.536,4.198,0.039,0.000,0.000,0.000,0.000,0.000,0.000,1.335,0.000,3.622,0.924,0.000,0.000,0.258,0.000,0.229,0.000,1.110,0.000,1.130,0.000,5.321,0.000,0.555,0.000,0.000,0.000
Cer81_rep2_Dep6_Tu3,5.937,6.098,31.718,4.173,0.000,13.194,0.000,11.550,0.000,2.850,5.441,0.910,0.000,4.558,0.375,0.000,0.000,0.000,0.000,0.000,2.725,0.000,0.000,0.000,0.000,0.396,0.585,0.000,0.000,0.000,1.225,0.000,1.029,2.389,1.844,1.846,0.000,0.000,0.000,1.158
Cer81_rep7_Dep6_Tu20,9.252,0.000,27.207,1.909,0.000,14.878,0.000,5.724,0.000,0.000,6.383,0.000,0.000,3.237,0.321,0.000,2.297,0.000,0.000,2.407,0.000,0.000,3.006,1.460,4.435,0.000,0.400,0.894,0.000,2.161,0.000,0.000,3.349,0.000,1.110,1.086,5.799,0.000,0.000,2.684
Cer81_rep5_Dep6_Tu5,9.510,0.000,31.649,12.125,1.846,1.697,0.000,12.948,0.000,8.451,0.000,0.000,4.425,0.000,0.000,0.000,0.000,0.000,1.829,0.000,2.018,0.000,0.000,0.889,0.866,0.020,0.040,0.000,0.000,0.758,0.000,0.728,2.204,0.000,5.433,0.124,2.441,0.000,0.000,0.000
Cer81_rep4_Dep6_Tu0.1,9.158,1.446,32.435,8.279,0.000,4.680,0.000,16.949,2.923,4.037,4.567,0.000,1.064,2.997,0.000,0.000,0.000,0.000,0.000,0.000,4.406,0.000,0.000,0.000,0.000,0.275,1.490,0.000,0.000,0.000,0.893,0.618,3.349,0.000,0.347,0.087,0.000,0.000,0.000,0.000
Cer81_rep9_Dep6_Tu20,13.256,0.000,22.426,2.658,0.000,14.486,0.000,9.386,0.000,2.873,0.000,5.087,0.000,3.318,0.282,0.000,0.000,0.000,0.000,1.934,0.000,0.000,2.163,2.009,4.103,0.000,0.000,0.000,0.000,1.871,0.000,0.000,2.553,0.000,3.301,0.793,6.650,0.017,0.000,0.834
Cer81_rep9_Dep6_Tu5,8.577,0.030,31.955,12.618,0.000,7.537,0.000,7.859,0.000,0.728,4.105,5.041,1.922,2.558,0.000,0.000,0.000,0.000,0.539,0.000,0.000,0.000,3.398,0.000,0.000,0.869,1.840,0.000,0.170,0.210,0.963,0.000,0.693,0.000,5.629,1.848,0.281,0.000,0.000,0.629
Cer81_rep2_Dep6_Tu1,9.486,2.506,28.824,9.445,4.856,5.298,0.000,14.305,0.000,5.698,0.000,4.433,0.000,3.395,0.000,0.000,0.000,0.000,0.000,0.000,2.795,0.000,0.000,0.000,0.000,0.000,2.324,0.000,0.228,0.000,0.994,0.000,2.222,0.000,2.167,0.000,0.000,0.000,0.000,1.026
