Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Cer81_rep10_Dep6_Tu5,0.023,0.005,0.536,3.820,1.816,1.719,21.478,6.396,8.523,1.314,1.423,0.372,0.018,0.011,0.373,0.219,0.170,0.391,0.107,0.361,0.004,0.004,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,36.612,0.000,0.000,2.657,0.000,0.000,0.207,11.430
Cer81_rep8_Dep6_Tu2,0.024,0.012,4.997,1.821,2.422,1.728,13.026,3.965,5.333,0.017,1.209,0.910,0.069,0.020,0.002,0.152,0.249,0.049,0.037,0.080,0.006,0.004,0.004,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.934,0.001,0.001,0.001,0.000,0.000,0.022,59.904
Cer81_rep6_Dep6_Tu3,0.003,0.001,5.396,5.515,8.245,0.356,13.189,9.619,0.660,1.356,2.265,0.348,0.009,0.001,0.159,0.607,0.670,0.463,0.122,0.174,0.001,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,36.765,0.000,0.000,0.039,0.000,0.000,0.097,13.932
Cer81_rep2_Dep6_Tu3,0.032,0.012,2.638,2.227,1.942,1.552,14.016,9.770,7.401,2.862,0.377,0.466,0.033,0.015,0.095,0.124,0.169,0.417,0.080,0.218,0.001,0.005,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,26.975,0.000,0.000,0.291,0.000,0.000,0.132,28.149
Cer81_rep7_Dep6_Tu20,0.003,0.005,2.449,0.213,4.025,3.891,0.776,4.521,18.173,1.898,2.189,0.745,0.017,0.013,2.138,0.514,1.617,1.201,0.099,0.466,0.002,0.006,0.011,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31.849,0.000,0.000,22.181,0.000,0.000,0.002,0.995
Cer81_rep5_Dep6_Tu5,0.009,0.001,2.738,1.886,2.199,3.691,9.817,2.552,7.370,1.038,0.427,0.381,0.033,0.001,0.459,0.037,0.276,0.334,0.131,0.152,0.001,0.004,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.606,0.006,0.006,1.641,0.000,0.000,0.102,64.094
Cer81_rep4_Dep6_Tu0.1,0.007,0.005,3.642,2.151,1.433,1.531,31.522,8.616,0.256,1.202,1.653,0.118,0.002,0.030,0.108,0.010,0.085,0.181,0.019,0.091,0.001,0.001,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,41.357,0.000,0.000,0.000,0.000,0.000,0.007,5.968
Cer81_rep9_Dep6_Tu20,0.005,0.008,2.700,0.232,0.327,2.498,22.393,1.748,6.883,0.575,3.015,1.279,0.082,0.066,0.989,1.383,1.346,1.564,0.082,0.177,0.004,0.001,0.034,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28.851,0.000,0.000,20.989,0.000,0.000,0.309,2.460
Cer81_rep9_Dep6_Tu5,0.023,0.021,3.421,2.326,1.780,4.396,15.166,3.324,3.158,1.243,1.087,0.580,0.024,0.006,0.187,0.626,0.286,0.008,0.035,0.188,0.005,0.009,0.014,0.001,0.001,0.000,0.000,0.000,0.000,0.003,0.000,0.000,12.465,0.002,0.001,1.492,0.000,0.000,0.128,47.995
Cer81_rep2_Dep6_Tu1,0.018,0.001,3.406,1.504,0.799,3.152,10.588,10.289,10.983,1.258,2.110,0.663,0.021,0.009,0.248,0.259,0.014,0.268,0.001,0.040,0.000,0.001,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.355,0.000,0.000,0.000,0.000,0.000,0.002,29.006
Cer81_rep8_Dep6_Tu3,0.013,0.008,3.096,1.020,7.207,5.937,5.818,4.075,2.665,1.273,0.455,0.213,0.008,0.003,0.129,0.104,0.168,0.249,0.059,0.140,0.004,0.007,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.216,0.000,0.001,0.113,0.000,0.000,0.000,67.018
Cer81_rep8_Dep6_Tu1,0.008,0.001,2.179,5.669,2.736,1.064,5.282,11.327,4.616,0.671,0.396,0.696,0.003,0.014,0.049,0.176,0.022,0.104,0.058,0.031,0.001,0.001,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.375,0.001,0.000,0.000,0.000,0.000,0.000,62.513
Cer81_rep1_Dep6_Tu50,0.037,0.010,2.863,0.471,0.308,2.825,5.758,3.741,0.901,1.161,2.750,1.965,0.060,0.057,2.804,3.817,3.782,3.119,1.175,1.960,0.062,0.044,0.193,0.030,0.105,0.001,0.002,0.002,0.001,0.053,0.000,0.000,0.000,0.037,0.033,55.009,0.000,0.000,0.050,4.812
Cer81_rep9_Dep6_Tu1,0.009,0.000,0.902,0.818,2.301,4.634,19.829,7.866,8.267,1.281,1.661,0.619,0.018,0.007,0.038,0.077,0.208,0.322,0.028,0.151,0.000,0.003,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,41.623,0.000,0.000,0.000,0.000,0.000,0.006,9.327
Cer81_rep4_Dep6_Tu30,0.063,0.028,3.485,1.135,3.172,0.892,7.702,7.814,4.911,3.441,0.209,1.893,0.100,0.037,1.328,3.547,0.975,2.714,0.082,0.728,0.002,0.028,0.070,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21.500,0.000,0.003,34.048,0.000,0.000,0.087,0.005
Cer81_rep5_Dep6_Tu20,0.046,0.025,1.484,1.121,2.113,4.762,3.452,6.774,6.723,1.393,0.134,2.156,0.054,0.032,0.996,1.293,1.459,0.172,0.319,0.992,0.006,0.048,0.097,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.074,0.076,0.014,20.749,0.000,0.000,0.706,42.726
Cer81_rep2_Dep6_Tu0.5,0.005,0.002,1.531,3.226,2.134,6.310,19.474,2.133,10.435,1.626,1.947,0.685,0.011,0.014,0.042,0.034,0.222,0.056,0.046,0.144,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,43.028,0.000,0.000,0.000,0.000,0.000,0.000,6.891
Cer81_rep2_Dep6_Tu2,0.014,0.014,1.432,1.596,3.526,0.160,18.085,11.326,9.633,1.655,0.622,0.640,0.020,0.009,0.271,0.156,0.181,0.204,0.094,0.020,0.003,0.002,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,39.147,0.000,0.000,0.077,0.000,0.000,0.045,11.060
Cer81_rep5_Dep6_Tu1,0.012,0.006,0.652,2.270,3.486,4.235,16.811,6.930,1.582,1.096,0.940,0.702,0.006,0.008,0.077,0.013,0.144,0.169,0.028,0.055,0.001,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.526,0.000,0.000,0.000,0.000,0.000,0.011,47.237
