Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Cer81_rep10_Dep6_Tu5,4.053,6.781,17.984,23.507,9.522,8.643,0.000,0.670,1.757,8.442,0.000,0.000,1.999,0.841,0.000,0.000,0.739,0.000,0.000,0.579,0.000,0.000,2.610,0.881,0.000,0.000,0.939,0.000,0.000,0.000,1.305,0.217,0.000,1.442,1.500,1.451,0.920,0.041,1.071,2.106
Cer81_rep8_Dep6_Tu2,3.115,8.211,22.457,24.924,9.115,5.388,0.000,0.000,0.000,5.894,4.163,0.000,0.000,4.010,0.000,0.000,0.064,0.000,0.000,0.000,0.000,0.000,2.570,0.108,0.000,0.336,0.716,0.000,0.000,0.000,0.631,1.005,0.000,2.833,0.373,0.835,0.485,0.341,1.982,0.443
Cer81_rep6_Dep6_Tu3,5.171,4.910,25.620,26.047,2.576,4.369,0.000,4.286,0.000,8.980,0.000,0.000,0.000,3.352,0.000,0.000,1.105,0.000,0.000,0.000,2.291,0.000,0.348,1.882,0.000,0.000,0.000,0.000,0.000,0.000,1.033,0.696,0.000,0.794,2.395,0.462,0.969,0.000,0.815,1.899
Cer81_rep2_Dep6_Tu3,2.331,7.653,20.128,18.997,1.365,15.376,0.000,4.608,0.000,6.752,3.607,0.000,0.000,3.480,0.000,0.000,1.515,0.000,0.000,0.000,1.226,0.000,1.957,0.698,0.000,0.000,0.637,0.000,0.000,0.000,1.389,0.442,0.000,2.312,0.196,0.298,1.852,0.081,0.972,2.129
Cer81_rep7_Dep6_Tu20,6.318,0.000,19.731,9.674,1.691,11.956,0.000,7.680,0.000,3.718,4.709,0.000,0.000,2.196,3.475,0.000,2.508,0.000,0.000,1.140,0.000,0.000,2.683,2.622,3.387,0.000,0.000,0.000,0.000,2.101,0.000,0.873,0.115,1.329,1.804,1.526,3.007,0.000,2.393,3.365
Cer81_rep5_Dep6_Tu5,2.257,6.626,22.808,19.259,2.073,11.161,0.000,5.390,0.000,8.261,0.000,0.000,3.236,0.582,0.000,0.000,3.581,0.000,0.000,0.000,1.742,0.000,1.011,1.350,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.840,0.000,3.200,0.292,0.800,1.098,0.312,1.013,2.108
Cer81_rep4_Dep6_Tu0.1,3.268,8.112,28.756,17.896,3.991,11.114,1.263,0.019,1.405,6.014,3.585,0.000,0.000,3.462,0.000,0.000,0.000,0.000,0.000,0.000,2.817,0.000,0.049,0.000,0.000,0.000,1.460,0.000,0.000,0.000,1.185,0.472,0.000,2.058,0.162,1.005,0.587,0.008,0.000,1.312
Cer81_rep9_Dep6_Tu20,5.538,1.841,19.879,12.702,0.000,12.368,1.287,2.574,1.891,5.970,2.743,0.000,0.000,2.815,0.000,2.660,2.046,0.200,0.379,2.541,0.000,0.000,2.194,3.044,1.918,0.000,0.000,0.000,0.000,1.418,0.403,0.207,0.000,2.001,0.456,0.340,3.861,0.000,2.054,4.668
Cer81_rep9_Dep6_Tu5,4.344,4.905,19.278,25.083,4.125,11.019,0.000,0.000,0.356,7.399,2.912,0.000,0.000,2.970,1.527,0.000,1.282,0.000,0.000,0.000,0.694,0.000,1.942,0.623,0.000,0.000,1.200,0.000,0.000,0.000,0.682,0.943,0.000,2.375,1.328,1.895,0.125,0.639,1.410,0.945
Cer81_rep2_Dep6_Tu1,5.422,5.791,25.609,22.732,2.016,7.617,0.000,3.674,0.000,12.448,0.000,0.000,0.000,3.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.782,0.000,0.000,0.035,1.560,0.000,0.000,0.000,1.186,0.642,0.000,2.307,0.068,0.000,1.524,0.000,0.000,1.517
Cer81_rep8_Dep6_Tu3,6.654,3.407,20.621,23.088,1.110,13.224,0.000,4.109,0.000,7.063,2.142,0.000,0.000,3.591,0.000,0.000,0.000,0.000,0.567,0.000,0.104,0.000,2.723,1.231,0.000,0.464,0.000,0.000,0.000,0.000,0.458,1.088,0.000,1.928,1.133,1.194,0.000,0.788,1.426,1.888
Cer81_rep8_Dep6_Tu1,5.832,3.959,20.516,26.998,6.503,9.815,0.000,0.000,0.000,4.715,5.203,0.000,0.000,3.501,0.000,0.000,0.000,0.000,0.000,0.000,2.233,0.000,0.819,1.028,0.000,0.371,0.000,0.000,0.000,0.000,0.986,1.103,0.000,1.965,1.812,1.387,0.000,0.240,1.015,0.000
Cer81_rep1_Dep6_Tu50,0.000,0.000,16.409,0.000,0.000,9.498,2.074,1.909,1.052,0.000,5.882,0.000,0.000,0.000,8.345,1.481,6.188,5.483,3.152,0.000,0.000,0.000,1.096,4.075,6.581,0.000,0.000,0.000,0.000,4.371,0.000,0.000,0.000,2.666,0.117,1.235,6.882,0.511,2.356,8.637
Cer81_rep9_Dep6_Tu1,2.356,10.436,24.813,21.926,5.845,5.769,0.000,4.262,0.303,9.812,0.000,0.000,0.000,3.053,0.000,0.000,0.000,0.000,0.000,0.000,2.597,0.000,0.000,0.261,0.000,0.802,0.422,0.000,0.000,0.000,0.202,1.404,0.000,1.613,1.401,1.203,0.531,0.000,0.987,0.000
