Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Cer81_rep10_Dep6_Tu5,2.054,1.539,4.395,3.234,3.352,2.510,6.357,8.176,1.355,2.527,1.564,3.357,0.916,0.739,0.145,1.813,1.582,2.421,0.509,1.151,0.411,1.075,1.665,0.018,0.226,0.161,0.673,0.002,0.026,0.001,0.190,0.983,1.378,0.324,3.581,0.306,0.635,0.780,0.510,0.226,5.236,2.262,1.762,2.032,2.547,6.515,4.500,5.352,2.887,4.041
Cer81_rep8_Dep6_Tu2,1.063,0.853,0.548,6.518,3.153,5.813,8.257,3.775,1.470,5.329,5.595,0.142,0.924,0.625,0.364,1.008,1.597,0.162,1.222,0.924,0.413,1.203,0.721,0.002,0.002,0.035,0.251,0.001,0.098,0.001,0.017,0.346,0.397,0.216,3.019,0.019,0.201,0.104,0.208,0.754,9.118,2.188,2.786,3.453,6.799,0.253,5.017,9.794,2.171,1.070
Cer81_rep6_Dep6_Tu3,2.356,2.437,4.598,5.665,9.543,2.810,1.465,4.751,5.656,3.045,3.834,2.031,0.112,0.872,0.158,1.124,0.832,0.039,1.408,0.608,1.300,1.190,1.036,0.001,0.105,0.133,0.047,0.001,0.047,0.000,0.103,0.467,0.151,2.464,1.551,0.115,0.557,1.356,0.579,0.900,8.164,1.768,4.298,2.909,2.037,5.752,2.165,1.241,2.322,3.896
Cer81_rep2_Dep6_Tu3,2.774,3.267,5.527,0.056,3.547,3.081,4.581,6.979,7.778,4.993,3.008,4.081,1.799,0.404,1.017,2.151,1.656,0.962,0.227,0.549,0.416,0.113,0.531,0.001,0.303,0.011,0.069,0.001,0.072,0.003,0.116,0.503,0.488,0.233,1.839,0.240,0.060,0.132,0.581,0.159,1.575,4.288,1.125,1.483,6.967,4.141,2.501,8.928,3.761,0.924
Cer81_rep7_Dep6_Tu20,1.279,1.353,2.661,4.109,1.251,2.690,4.298,1.273,1.898,2.533,1.759,4.051,0.733,1.189,1.600,0.876,0.108,0.169,0.665,0.606,0.207,0.926,1.284,0.441,0.578,0.377,1.132,0.005,0.323,0.059,0.093,0.259,1.073,0.611,1.469,11.040,1.040,3.694,0.001,1.580,0.642,4.206,9.027,0.209,0.159,4.411,3.694,5.726,0.129,10.506
Cer81_rep5_Dep6_Tu5,2.080,2.889,8.523,0.156,0.094,1.910,3.047,8.854,2.130,2.035,2.426,4.451,1.858,0.134,2.171,0.564,2.224,0.852,0.314,0.182,0.444,0.308,0.615,0.006,0.065,0.286,0.162,0.006,0.002,0.006,0.002,0.196,0.137,2.809,3.412,0.082,0.748,1.959,0.248,0.776,5.739,1.337,3.755,1.901,12.813,2.766,0.729,3.258,7.268,1.270
Cer81_rep4_Dep6_Tu0.1,3.326,1.279,5.388,5.872,4.658,6.466,6.265,3.922,0.956,1.921,1.507,4.132,0.433,0.452,1.557,0.920,0.936,1.368,0.862,0.034,0.504,0.346,0.986,0.000,0.035,0.001,0.010,0.000,0.048,0.000,0.088,0.694,0.315,0.182,1.715,0.024,0.064,0.120,0.134,0.227,8.822,1.485,6.086,2.432,7.714,3.703,0.545,6.371,1.388,3.702
Cer81_rep9_Dep6_Tu20,2.830,1.571,1.147,3.223,0.410,4.779,4.538,2.584,1.809,2.485,1.620,2.718,0.281,0.596,0.916,1.216,0.196,0.222,0.944,0.162,0.723,0.693,0.694,1.134,1.320,0.759,0.761,0.433,0.314,0.054,0.156,0.849,3.991,0.131,3.773,13.050,1.562,2.454,0.422,1.899,3.655,6.961,5.723,1.696,2.575,0.875,2.326,2.675,3.595,0.503
Cer81_rep9_Dep6_Tu5,0.157,2.365,5.910,1.770,0.980,5.618,5.753,1.965,4.819,2.591,0.170,5.064,1.697,0.980,1.736,1.453,1.008,2.465,0.926,1.158,0.898,0.550,0.383,0.054,0.757,0.487,0.048,0.020,0.144,0.007,0.199,0.206,1.642,0.939,1.124,1.011,0.904,0.353,0.412,0.981,6.146,2.674,7.078,2.269,3.449,4.010,3.413,1.572,2.191,7.494
Cer81_rep2_Dep6_Tu1,1.824,1.384,10.036,3.330,3.047,5.314,1.307,4.284,3.968,5.302,5.324,2.049,0.639,1.121,1.312,1.840,0.166,0.798,0.996,1.368,0.216,0.174,0.930,0.004,0.064,0.071,0.043,0.000,0.161,0.003,0.142,0.054,0.691,0.173,2.716,0.033,0.021,0.110,0.138,0.306,7.955,3.463,0.651,5.419,5.522,2.001,5.855,6.749,0.814,0.110
