Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Cer81_rep10_Dep6_Tu5,16.433,0.000,0.000,31.676,0.000,15.864,0.000,9.872,0.000,13.171,0.000,0.000,0.000,2.291,0.000,0.906,0.000,0.000,0.130,0.000,2.478,0.000,0.000,2.261,0.000,0.000,0.000,0.000,0.000,0.140,0.000,0.000,0.000,0.898,3.610,0.000,0.000,0.000,0.270,0.000
Cer81_rep8_Dep6_Tu2,17.267,0.000,0.000,25.996,1.910,19.680,1.323,0.000,12.093,11.936,0.000,0.000,4.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.555,0.528,0.000,0.000,0.000,0.000,0.000,0.440,0.000,0.000,0.000,1.258,0.000,0.000,0.000,0.000,0.000,0.000
Cer81_rep6_Dep6_Tu3,15.469,0.000,11.780,21.283,0.000,25.249,0.000,0.000,0.000,12.575,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.842,0.000,0.000,0.000,4.699,0.000,0.000,0.000,0.000,0.000,0.000,0.713,0.000,0.000,0.000,4.839,0.000,0.000,1.551,0.000,0.000,0.000
Cer81_rep2_Dep6_Tu3,12.404,1.890,17.808,21.184,0.000,14.366,0.000,1.727,0.000,11.780,0.000,0.000,5.450,1.288,0.000,2.105,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.421,0.000,0.000,0.000,7.946,0.000,0.000,1.631,0.000,0.000,0.000
Cer81_rep7_Dep6_Tu20,6.556,4.655,22.287,14.407,0.000,0.000,0.000,9.700,0.000,8.606,0.000,0.000,0.000,3.055,1.980,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.514,0.967,2.351,0.000,1.379,0.000,0.000,3.990,0.000,0.000,1.282,6.623,2.825,0.000,0.000,6.825,0.000,0.000
Cer81_rep5_Dep6_Tu5,3.485,11.022,0.000,18.476,0.000,11.591,0.000,13.830,8.744,10.593,0.000,0.000,5.308,0.000,0.000,0.000,0.353,0.000,1.070,0.000,0.000,0.000,5.006,0.107,0.000,0.000,0.000,0.000,0.000,1.097,0.000,0.000,1.005,3.918,1.444,0.000,0.000,2.950,0.000,0.000
Cer81_rep4_Dep6_Tu0.1,12.284,3.774,8.938,4.017,0.000,31.547,1.205,17.059,0.000,13.798,0.000,0.000,0.000,1.639,0.000,0.862,0.000,0.000,0.000,0.000,1.670,0.000,0.000,0.288,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.466,1.294,0.000,0.000,1.158,0.000,0.000
Cer81_rep9_Dep6_Tu20,14.491,0.000,3.954,6.247,0.000,10.676,8.815,20.942,0.000,8.887,0.000,0.000,0.000,0.976,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.561,2.928,0.000,5.278,0.000,0.000,0.000,2.574,0.000,0.000,0.000,1.808,0.000,0.000,3.304,5.558,0.000,0.000
Cer81_rep9_Dep6_Tu5,17.452,0.000,16.221,15.088,0.000,9.388,0.000,4.388,8.733,3.981,5.673,0.000,0.000,2.687,0.000,0.000,0.000,1.121,0.000,1.742,0.000,0.000,3.973,1.594,1.992,0.306,0.000,0.000,0.000,2.083,0.000,0.000,0.000,2.412,0.000,0.000,1.165,0.000,0.000,0.000
Cer81_rep2_Dep6_Tu1,14.171,0.000,0.000,19.895,0.000,9.629,2.769,27.558,0.000,13.358,0.000,0.000,0.000,3.890,0.000,0.139,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.494,1.395,0.000,3.703,0.000,0.000,0.000
Cer81_rep8_Dep6_Tu3,14.393,0.000,0.000,13.382,3.786,30.315,0.000,0.000,13.474,9.717,0.000,0.000,0.000,3.736,0.000,0.000,0.000,0.000,0.000,1.145,0.000,0.000,0.069,0.000,0.000,0.000,1.948,0.000,0.000,1.241,0.000,0.000,0.719,4.681,0.000,0.000,0.000,0.000,0.000,1.394
Cer81_rep8_Dep6_Tu1,18.092,0.000,0.000,26.002,0.000,19.719,0.000,15.445,0.000,13.096,0.000,0.000,0.000,3.784,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.154,0.000,0.000,0.000,2.708,0.000,0.000,0.000,0.000,0.000,0.000
Cer81_rep1_Dep6_Tu50,10.370,0.000,21.375,7.636,0.000,0.000,0.000,0.000,0.000,1.155,0.000,3.695,0.000,0.000,1.820,0.450,0.000,0.000,5.497,0.000,0.000,0.898,2.813,1.702,4.485,0.000,0.000,1.893,0.001,8.553,0.000,1.150,0.000,3.674,2.807,5.463,14.414,0.000,0.000,0.149
Cer81_rep9_Dep6_Tu1,15.138,0.000,17.020,20.497,0.000,8.806,1.049,12.898,1.288,13.262,0.000,0.000,0.000,0.866,0.000,0.072,0.000,0.000,0.000,0.000,0.000,0.000,2.947,0.000,0.289,1.663,0.000,0.000,0.000,1.056,0.000,0.000,0.000,3.150,0.000,0.000,0.000,0.000,0.000,0.000
Cer81_rep4_Dep6_Tu30,14.966,0.000,31.430,11.566,0.000,0.000,0.000,0.000,0.000,7.753,0.000,0.000,0.903,0.000,0.000,0.275,0.000,0.000,0.000,0.000,0.000,0.000,0.192,6.977,0.000,0.000,0.000,0.000,0.000,4.850,0.000,0.000,0.000,0.000,5.941,0.000,0.756,12.797,0.000,1.593
Cer81_rep5_Dep6_Tu20,12.829,3.377,0.000,2.044,0.000,28.046,0.000,18.358,0.000,0.000,0.000,11.141,0.000,0.918,0.000,0.000,0.000,0.000,1.794,0.000,0.000,0.366,6.331,0.000,0.000,0.000,0.000,1.074,0.000,3.819,0.000,0.000,0.583,1.620,0.000,0.390,1.584,0.000,0.000,5.727
Cer81_rep2_Dep6_Tu0.5,17.973,0.000,21.033,16.913,0.000,9.174,0.000,2.740,13.360,13.758,0.000,0.000,0.805,0.000,0.000,1.066,0.000,0.000,0.000,0.000,1.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.128,0.000,0.000,0.000,2.038,0.000,0.000,0.000,0.000,0.000,0.000
Cer81_rep2_Dep6_Tu2,7.393,9.492,5.023,24.725,0.000,8.516,0.000,16.581,5.659,15.108,0.000,0.000,0.178,0.083,0.000,0.000,0.000,0.000,0.423,0.000,0.000,0.000,1.554,0.531,0.000,0.000,0.000,0.000,0.000,1.468,0.000,0.000,0.000,0.000,2.011,1.253,0.000,0.000,0.000,0.000
Cer81_rep5_Dep6_Tu1,16.781,0.746,15.290,6.901,0.000,14.846,0.000,10.284,9.350,11.073,0.462,0.000,1.325,1.582,0.000,0.000,0.000,0.899,1.561,0.246,0.000,0.000,4.090,0.000,1.608,0.734,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.492,0.000,0.934,0.797,0.000,0.000,0.000
Cer81_rep7_Dep6_Tu0.5,10.774,4.933,13.105,0.000,0.000,21.551,0.000,21.198,2.620,10.868,0.000,0.000,0.000,1.742,0.000,0.000,0.000,0.000,3.791,0.000,0.000,0.000,1.466,0.000,0.911,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.728,0.000,0.000,0.000,0.312,0.000,0.000
Cer81_rep5_Dep6_Tu0.1,16.428,0.000,17.791,34.595,0.000,0.000,7.788,5.114,0.000,12.711,0.000,0.000,0.000,0.000,0.000,1.048,0.000,0.000,0.000,0.000,0.000,0.000,2.836,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.690,0.000,0.000,0.000,0.000,0.000
Cer81_rep8_Dep6_Tu0.1,12.111,0.000,14.088,23.749,0.000,3.951,0.000,8.129,9.344,9.687,0.000,0.000,5.202,0.000,0.000,0.295,0.000,0.000,1.789,0.000,0.000,0.000,6.582,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.074,0.000,0.000,0.000,0.000,0.000
Cer81_rep10_Dep6_Tu10,8.422,8.381,0.000,28.203,0.000,20.179,7.606,0.000,0.000,8.201,0.000,0.000,0.000,3.014,0.000,1.758,0.000,0.000,0.000,0.487,0.000,0.000,2.389,1.909,0.000,2.469,0.000,0.000,0.000,1.219,0.000,0.000,0.000,0.198,0.000,1.833,0.000,3.268,0.463,0.000
Cer81_rep2_Dep6_Tu5,13.653,1.909,9.253,14.164,0.000,23.725,0.000,7.407,4.004,8.528,0.000,0.000,0.000,3.739,0.000,0.956,0.000,0.000,0.000,0.000,0.000,0.000,1.396,0.000,2.148,0.000,2.443,0.000,0.000,2.477,0.000,0.000,2.652,1.280,0.266,0.000,0.000,0.000,0.000,0.000
Cer81_rep8_Dep6_Tu50,8.514,0.000,6.509,9.243,0.000,6.776,0.000,0.057,0.000,0.000,0.000,4.065,0.000,1.355,0.000,0.000,0.000,3.400,0.000,0.000,0.000,0.000,2.034,0.319,2.349,9.330,0.911,0.000,0.000,9.886,0.000,1.007,0.000,12.817,0.561,0.000,12.525,8.343,0.000,0.000
Cer81_rep2_Dep6_Tu40,9.297,0.000,4.608,0.000,0.000,18.560,0.000,12.117,0.000,0.000,0.000,10.445,0.000,0.401,0.000,0.000,0.000,0.000,1.821,0.000,0.000,5.867,0.000,2.618,1.196,0.000,0.000,2.543,0.000,8.137,0.000,0.000,0.000,3.266,0.000,0.141,10.322,5.379,0.000,3.282
Cer81_rep6_Dep6_Tu30,7.354,0.000,30.409,0.000,0.000,0.000,0.000,6.925,0.000,4.754,0.000,4.610,0.000,4.231,0.000,0.000,0.000,1.499,2.102,0.000,0.000,0.000,2.917,0.000,5.097,4.755,2.729,0.000,0.000,4.898,0.000,0.000,0.000,6.362,3.319,0.000,0.000,8.040,0.000,0.000
Cer81_rep4_Dep6_Tu1,15.489,0.000,0.000,0.000,0.000,27.693,0.000,27.451,0.000,13.668,0.000,0.000,0.000,2.642,0.000,0.000,0.000,0.000,1.862,0.000,0.000,0.000,6.132,0.000,0.000,0.681,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.159,0.000,0.000,0.223,0.000,0.000,0.000
Cer81_rep3_Dep6_Tu0.3,11.132,0.000,30.636,9.865,0.000,1.335,0.000,16.827,0.937,10.835,0.000,0.000,0.000,0.752,0.000,0.000,0.000,0.000,4.296,0.000,0.000,0.000,5.407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.303,0.673,0.000,0.000,0.000,0.000,0.000
Cer81_rep9_Dep6_Tu0.1,15.737,1.283,0.000,26.752,0.000,20.796,0.000,0.399,9.290,11.812,0.000,0.000,2.774,0.000,0.000,0.000,0.000,0.000,0.502,0.000,0.000,0.000,3.510,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.339,0.000,3.805,0.000,0.000,0.000,0.000,0.000
Cer81_rep1_Dep6_Tu40,11.024,0.000,11.395,13.530,0.000,4.266,0.000,0.000,0.000,0.000,0.000,12.253,0.000,2.385,0.000,1.906,0.000,0.000,1.096,3.555,0.000,0.000,0.000,0.000,6.632,0.000,0.000,5.084,0.000,4.850,0.000,0.000,0.000,1.479,1.805,0.000,6.976,11.763,0.000,0.000
Cer81_rep10_Dep6_Tu2,20.430,0.000,0.000,16.237,1.187,27.464,3.118,10.747,0.000,7.551,0.000,0.466,0.000,1.228,0.000,0.000,0.000,0.000,0.198,0.000,0.000,0.000,3.178,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.490,3.692,0.000,0.000,0.000,0.000,0.000
Cer81_rep7_Dep6_Tu50,0.000,9.655,20.258,5.663,0.000,0.000,0.000,0.000,0.000,9.060,0.000,0.000,0.000,2.790,0.000,0.000,0.000,3.141,0.000,0.000,0.000,0.000,2.007,2.271,6.740,0.000,0.000,0.000,0.000,8.491,0.000,0.000,2.960,1.978,0.000,3.547,3.354,10.454,0.000,7.630
Cer81_rep8_Dep6_Tu0.3,14.315,0.000,19.349,35.052,0.000,0.000,2.061,0.000,11.845,12.215,0.000,0.000,0.000,2.267,0.000,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.153,0.000,0.000,0.000,0.000,0.000,0.066,0.000,0.000,0.000,1.391,0.000,0.000,0.000,0.000,0.000,0.000
