Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Cer81_rep10_Dep6_Tu5,16.012,0.000,0.000,31.458,0.000,17.018,0.000,8.281,0.000,13.139,0.000,0.000,0.000,2.504,0.000,0.681,0.000,0.000,0.252,0.000,2.651,0.000,0.000,2.044,0.000,0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.391,2.477,0.000,0.000,0.000,0.000,0.000
Cer81_rep8_Dep6_Tu2,14.467,1.651,0.000,23.714,5.053,24.387,0.000,0.000,6.602,11.935,0.000,0.000,3.549,0.696,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.249,0.001,0.000,0.000,0.258,0.534,0.000,0.000,0.000,0.000,0.000,0.000,3.905,0.000,0.000,0.000,0.000,0.000,0.000
Cer81_rep6_Dep6_Tu3,14.650,0.000,15.485,18.034,0.000,24.167,0.000,0.000,0.000,12.541,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.164,0.000,1.333,0.000,3.175,0.000,0.000,0.304,0.000,0.000,0.000,0.386,0.000,0.000,0.000,7.063,0.000,0.000,0.700,0.000,0.000,0.000
Cer81_rep2_Dep6_Tu3,11.164,2.968,18.258,20.899,0.000,14.585,0.000,1.219,0.000,11.782,0.000,0.000,5.266,1.522,0.000,2.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.364,0.000,0.000,0.000,8.397,0.000,0.000,1.469,0.000,0.000,0.000
Cer81_rep7_Dep6_Tu20,10.576,1.249,20.021,15.237,0.000,0.000,1.721,9.881,0.000,8.576,0.000,0.000,0.000,2.627,2.436,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.678,1.598,3.144,0.000,0.000,0.000,0.000,4.226,0.000,0.000,0.461,4.240,4.186,0.000,1.050,6.093,0.000,0.000
Cer81_rep5_Dep6_Tu5,0.000,14.027,0.000,18.371,0.000,15.079,0.000,12.648,5.670,10.117,0.000,0.599,5.467,0.000,0.000,0.000,0.000,0.000,1.492,0.000,0.000,0.000,4.808,0.000,0.000,0.000,0.000,0.000,0.000,0.703,0.000,0.000,1.637,6.841,0.000,0.000,0.000,2.542,0.000,0.000
Cer81_rep4_Dep6_Tu0.1,3.803,10.993,12.228,2.545,0.000,32.653,0.000,14.064,0.000,13.686,0.000,0.000,0.000,2.116,0.000,0.718,0.000,0.000,0.000,0.000,2.123,0.000,0.000,0.000,0.000,0.299,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.600,0.000,0.000,0.000,0.174,0.000,0.000
Cer81_rep9_Dep6_Tu20,14.121,0.000,5.449,5.555,0.000,11.102,7.161,21.031,0.000,8.920,0.000,0.000,0.000,1.068,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.444,2.449,0.000,6.108,0.000,0.000,0.000,2.485,0.000,0.000,0.000,2.650,0.000,0.000,2.530,5.926,0.000,0.000
Cer81_rep9_Dep6_Tu5,14.055,2.738,17.625,14.779,0.000,11.252,0.000,3.886,5.758,3.557,6.268,0.000,0.000,2.824,0.000,0.000,0.000,0.588,0.000,2.096,0.000,0.000,3.856,1.063,1.152,2.005,0.000,0.000,0.000,1.876,0.000,0.000,0.000,4.033,0.000,0.000,0.589,0.000,0.000,0.000
Cer81_rep2_Dep6_Tu1,11.093,2.273,3.049,18.388,0.000,11.066,0.000,26.027,0.000,13.366,0.000,0.000,0.000,4.402,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.649,0.000,0.000,2.672,0.000,0.000,0.000
