Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Cer81_rep10_Dep6_Tu5,0.000,1.503,0.000,0.000,49.166,0.000,0.013,0.066,0.006,0.534,5.417,0.016,43.279
Cer81_rep8_Dep6_Tu2,0.000,0.407,0.000,0.444,40.480,0.000,0.000,0.007,0.001,1.957,7.552,0.886,48.266
Cer81_rep6_Dep6_Tu3,0.000,2.842,0.000,0.000,49.393,0.000,0.185,0.001,0.002,0.007,5.634,0.000,41.935
Cer81_rep2_Dep6_Tu3,0.000,0.900,0.000,0.000,44.614,0.000,0.000,0.363,0.005,3.821,6.158,0.738,43.401
Cer81_rep7_Dep6_Tu20,0.002,3.033,25.294,0.000,40.454,0.000,0.000,0.000,0.000,0.009,1.231,0.000,29.977
Cer81_rep5_Dep6_Tu5,0.000,3.478,2.273,0.000,53.604,0.000,0.003,0.006,0.026,0.117,3.761,0.314,36.418
Cer81_rep4_Dep6_Tu0.1,0.000,0.003,0.000,0.000,41.424,0.000,0.000,0.002,0.000,1.965,6.458,0.011,50.138
Cer81_rep9_Dep6_Tu20,0.040,7.964,20.855,0.000,38.894,0.000,0.002,0.000,0.001,0.083,3.816,0.000,28.345
Cer81_rep9_Dep6_Tu5,0.000,2.490,0.043,1.029,49.858,0.000,0.002,0.233,0.095,4.108,3.373,0.078,38.689
Cer81_rep2_Dep6_Tu1,0.000,0.155,0.000,0.000,44.199,0.000,0.000,0.094,0.059,2.282,7.664,0.393,45.155
Cer81_rep8_Dep6_Tu3,0.000,0.922,4.350,0.000,43.284,0.000,0.000,0.000,0.000,2.548,1.699,0.025,47.171
Cer81_rep8_Dep6_Tu1,0.000,0.119,0.000,0.000,45.085,0.000,0.000,0.000,0.000,0.940,6.036,1.753,46.068
Cer81_rep1_Dep6_Tu50,0.001,0.036,70.243,2.150,1.212,0.257,0.518,0.127,1.942,2.899,1.388,0.289,18.938
