Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Cer81_rep10_Dep6_Tu5,0.000,3.330,0.000,0.000,1.922,0.001,1.334,0.295,1.147,2.748,7.593,0.359,19.846,61.425
Cer81_rep8_Dep6_Tu2,0.001,0.332,0.000,0.746,2.155,0.171,0.448,0.353,0.024,4.181,9.788,2.018,28.775,51.008
Cer81_rep6_Dep6_Tu3,0.000,0.622,2.830,0.370,0.019,0.110,3.057,0.610,0.979,1.034,8.346,0.007,17.804,64.215
Cer81_rep2_Dep6_Tu3,0.000,0.000,2.648,0.000,1.377,0.444,0.000,2.505,0.038,6.002,8.473,1.816,22.968,53.728
Cer81_rep7_Dep6_Tu20,1.353,0.000,28.061,0.000,0.060,0.000,0.131,0.102,0.007,0.612,3.630,0.033,9.365,56.645
Cer81_rep5_Dep6_Tu5,0.000,0.002,8.091,0.000,3.338,0.000,1.402,0.337,0.849,1.726,6.891,1.704,12.721,62.939
Cer81_rep4_Dep6_Tu0.1,0.000,0.104,0.000,0.000,0.080,0.084,0.334,0.661,0.002,4.212,8.878,0.754,27.447,57.444
Cer81_rep9_Dep6_Tu20,2.456,0.015,26.064,0.000,0.073,0.000,0.648,0.022,0.077,0.709,6.250,0.025,6.310,57.351
Cer81_rep9_Dep6_Tu5,0.440,0.010,4.592,1.014,0.656,0.000,0.603,2.408,0.647,6.634,6.494,0.945,16.426,59.133
Cer81_rep2_Dep6_Tu1,0.000,0.882,0.056,0.000,2.123,0.015,0.005,1.125,0.906,4.695,10.172,1.472,25.033,53.516
Cer81_rep8_Dep6_Tu3,0.000,0.001,7.180,0.157,0.713,0.007,0.126,0.019,0.099,5.358,4.229,1.148,26.559,54.403
Cer81_rep8_Dep6_Tu1,0.000,0.017,0.446,0.287,0.120,0.007,0.452,0.047,0.051,3.193,8.859,3.508,24.052,58.962
Cer81_rep1_Dep6_Tu50,0.000,0.001,65.450,2.084,0.006,0.191,0.193,0.205,0.817,1.476,0.706,0.102,11.833,16.933
Cer81_rep9_Dep6_Tu1,0.000,0.324,4.030,0.000,0.011,0.711,1.600,0.060,0.074,2.175,7.493,0.202,23.166,60.155
Cer81_rep4_Dep6_Tu30,1.121,0.005,41.690,0.000,0.182,0.482,0.000,0.021,0.000,3.815,2.545,0.000,14.029,36.110
Cer81_rep5_Dep6_Tu20,0.554,1.284,18.855,0.204,0.047,0.000,2.945,0.190,1.000,1.995,6.579,0.143,15.072,51.133
Cer81_rep2_Dep6_Tu0.5,0.000,0.448,0.000,0.000,0.050,0.909,0.181,0.265,0.078,4.040,10.208,0.893,26.130,56.799
Cer81_rep2_Dep6_Tu2,0.000,0.020,2.888,0.000,1.270,0.000,0.121,0.120,0.110,4.210,9.591,0.310,18.411,62.949
Cer81_rep5_Dep6_Tu1,0.000,1.657,0.000,0.000,0.774,0.000,1.077,1.651,1.106,6.815,7.690,1.517,21.734,55.978
Cer81_rep7_Dep6_Tu0.5,0.000,0.000,0.000,0.000,1.362,0.373,0.203,0.052,1.181,5.260,8.767,1.098,21.624,60.081
Cer81_rep5_Dep6_Tu0.1,0.000,0.414,0.000,0.000,0.022,0.325,1.546,0.154,0.002,3.982,8.559,0.448,27.482,57.066
Cer81_rep8_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.189,1.179,2.947,2.371,0.424,1.769,7.226,2.177,29.160,52.558
Cer81_rep10_Dep6_Tu10,0.000,0.024,13.653,0.007,0.071,0.122,0.158,0.172,0.181,4.521,6.177,1.601,18.030,55.282
Cer81_rep2_Dep6_Tu5,0.000,0.001,9.199,0.203,0.106,0.179,0.337,0.201,0.059,4.297,3.818,0.682,21.879,59.041
Cer81_rep8_Dep6_Tu50,0.045,0.033,67.988,0.092,2.580,0.000,0.012,0.721,0.156,0.455,1.751,1.691,2.629,21.847
Cer81_rep2_Dep6_Tu40,0.103,0.386,50.007,0.461,0.004,0.000,2.491,0.007,0.069,0.002,3.195,0.001,8.882,34.393
Cer81_rep6_Dep6_Tu30,0.628,0.000,37.431,0.486,0.002,0.000,0.115,1.116,2.705,0.310,5.011,0.939,6.220,45.036
Cer81_rep4_Dep6_Tu1,0.000,0.013,0.736,0.026,0.587,0.184,3.741,0.369,1.338,4.469,10.745,1.749,19.327,56.717
Cer81_rep3_Dep6_Tu0.3,0.000,0.000,0.000,0.000,1.297,0.665,3.516,0.064,0.569,2.738,10.483,0.021,23.444,57.203
Cer81_rep9_Dep6_Tu0.1,0.000,0.000,0.000,0.000,1.166,0.535,2.041,0.305,1.524,6.895,7.726,1.732,27.136,50.939
Cer81_rep1_Dep6_Tu40,0.003,0.000,53.295,0.000,0.001,0.310,0.000,0.892,2.542,0.899,5.430,0.863,6.196,29.568
Cer81_rep10_Dep6_Tu2,0.002,0.000,2.852,0.000,5.954,0.001,0.266,0.008,0.013,4.763,4.432,0.073,24.048,57.587
Cer81_rep7_Dep6_Tu50,0.050,0.981,60.297,0.432,0.110,1.249,0.355,1.077,0.577,3.360,5.293,0.007,6.002,20.210
Cer81_rep8_Dep6_Tu0.3,0.000,0.002,0.000,0.000,0.219,1.018,0.000,0.022,0.068,3.051,8.460,0.475,32.530,54.155
Cer81_rep8_Dep6_Tu40,0.000,0.001,54.071,0.000,2.181,0.000,0.069,0.258,0.022,1.023,4.436,0.007,2.643,35.288
Cer81_rep9_Dep6_Tu40,2.846,0.006,48.895,1.167,1.611,0.000,0.000,0.895,0.001,0.823,2.833,0.012,11.543,29.367
Cer81_rep9_Dep6_Tu10,0.000,0.009,12.349,0.662,0.006,0.015,2.632,0.723,0.004,0.406,6.806,0.028,18.384,57.976
Cer81_rep2_Dep6_Tu50,3.474,0.000,56.236,0.000,0.461,0.001,0.000,0.003,0.000,0.465,1.321,0.000,6.661,31.378
Cer81_rep8_Dep6_Tu10,1.694,0.019,12.444,0.109,0.352,0.003,2.408,2.619,0.337,0.308,4.918,0.521,28.381,45.887
Cer81_rep10_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.011,0.000,1.694,0.607,0.566,4.602,9.047,3.057,23.463,56.955
Cer81_rep3_Dep6_Tu1,0.000,0.041,0.002,0.000,0.373,0.000,2.116,0.013,0.191,2.185,9.533,1.952,23.382,60.212
Cer81_rep9_Dep6_Tu50,0.002,0.003,58.949,0.013,0.154,1.626,0.145,1.258,0.034,2.423,0.920,0.000,8.066,26.407
Cer81_rep8_Dep6_Tu30,0.021,1.075,33.324,0.001,0.810,0.000,0.082,0.042,0.010,2.269,5.128,0.007,8.084,49.148
Cer81_rep4_Dep6_Tu20,0.000,0.199,29.383,0.000,1.275,0.186,1.952,0.041,0.223,0.204,8.469,1.923,9.513,46.631
Cer81_rep10_Dep6_Tu20,1.101,0.562,25.218,1.495,1.501,0.002,0.002,0.980,0.195,0.933,1.284,0.031,12.657,54.041
Cer81_rep7_Dep6_Tu3,0.173,0.027,3.673,0.000,0.087,0.309,1.475,0.857,0.444,3.830,7.647,1.373,17.929,62.176
Cer81_rep2_Dep6_Tu30,0.963,0.066,46.303,1.336,0.023,0.000,0.000,0.000,0.000,0.004,1.257,0.000,7.745,42.303
Cer81_rep1_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.489,0.864,0.625,0.184,0.134,5.238,6.656,0.664,39.392,45.754
Cer81_rep5_Dep6_Tu10,0.000,0.076,14.990,0.005,0.026,0.272,1.382,0.865,0.860,3.712,5.302,0.059,17.338,55.111
Cer81_rep7_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.197,0.077,1.064,0.921,0.090,3.383,10.178,0.706,21.439,61.944
Cer81_rep8_Dep6_Tu0.5,0.000,0.000,0.000,0.000,1.298,0.647,3.551,0.098,0.415,2.910,10.183,0.012,22.739,58.148
Cer81_rep7_Dep6_Tu1,0.000,0.094,2.112,0.000,0.002,0.031,0.069,0.203,0.252,1.338,12.345,1.614,16.413,65.526
Cer81_rep10_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,1.438,2.374,0.003,0.002,3.143,9.903,0.567,25.881,56.689
Cer81_rep8_Dep6_Tu20,0.365,1.504,24.807,1.059,0.182,0.022,2.321,1.655,0.664,0.422,2.723,1.004,16.945,46.328
Cer81_rep4_Dep6_Tu5,0.000,0.000,6.896,0.000,5.269,0.419,0.005,1.774,0.113,4.505,7.121,1.330,21.325,51.243
Cer81_rep3_Dep6_Tu30,0.000,0.003,41.971,0.074,0.060,0.000,0.095,0.000,0.010,1.666,7.617,0.033,7.306,41.163
Cer81_rep9_Dep6_Tu0.3,0.000,0.031,0.000,0.000,0.027,0.818,0.000,0.026,0.084,2.711,8.268,0.463,30.625,56.946
Cer81_rep4_Dep6_Tu0.3,0.000,0.310,0.000,0.000,0.456,0.003,1.172,0.002,0.074,3.009,7.971,1.649,20.641,64.713
Cer81_rep1_Dep6_Tu30,0.557,0.001,41.708,0.000,0.002,0.000,0.004,0.000,0.006,4.047,3.534,0.000,6.469,43.672
Cer81_rep1_Dep6_Tu1,0.000,0.011,0.437,0.000,2.286,0.000,1.007,0.056,0.773,4.119,8.419,2.815,24.505,55.571
Cer81_rep4_Dep6_Tu50,0.260,0.026,62.611,0.000,0.197,0.131,0.578,0.368,0.364,6.713,1.837,0.009,6.721,20.185
Cer81_rep6_Dep6_Tu0.1,0.000,0.003,0.000,0.000,0.295,0.016,1.947,0.911,1.571,2.004,11.690,0.166,23.374,58.023
Cer81_rep1_Dep6_Tu0.5,0.000,0.000,0.000,0.000,1.383,0.662,1.066,0.394,0.985,4.960,9.023,0.056,26.557,54.916
Cer81_rep3_Dep6_Tu50,0.000,1.290,60.575,0.018,0.953,0.000,0.910,0.423,0.157,0.043,4.279,0.038,3.701,27.612
Cer81_rep6_Dep6_Tu50,0.000,1.230,61.080,0.437,0.110,0.151,0.630,1.237,0.131,2.970,3.721,1.853,3.422,23.029
Cer81_rep4_Dep6_Tu40,0.000,4.213,45.538,0.018,3.125,0.001,0.005,0.018,0.033,1.677,2.845,0.174,0.207,42.145
Cer81_rep7_Dep6_Tu5,0.000,0.001,6.229,0.000,0.100,0.001,0.921,0.878,0.087,2.289,5.332,0.448,19.770,63.945
Cer81_rep9_Dep6_Tu30,0.001,3.036,36.039,0.103,0.048,0.000,1.855,0.074,0.004,2.297,5.978,0.332,9.919,40.314
Cer81_rep5_Dep6_Tu0.5,0.380,0.000,0.001,0.118,0.290,0.000,0.348,0.670,0.114,0.757,11.195,0.888,27.922,57.317
Cer81_rep5_Dep6_Tu2,0.000,0.014,0.000,0.000,3.518,0.000,0.072,0.782,1.740,2.200,6.120,3.152,22.381,60.021
Cer81_rep5_Dep6_Tu3,0.000,0.002,3.398,0.000,3.964,0.000,0.001,0.375,0.005,2.676,7.262,0.610,16.400,65.307
Cer81_rep2_Dep6_Tu0.3,0.000,0.046,0.000,0.000,0.583,0.894,0.385,0.487,0.272,7.559,4.151,0.764,31.116,53.744
Cer81_rep10_Dep6_Tu1,0.000,0.040,0.297,0.444,0.414,0.091,0.871,0.154,0.659,6.649,5.050,1.020,28.485,55.826
Cer81_rep3_Dep6_Tu20,0.000,0.004,30.526,0.000,0.029,0.000,0.000,0.162,0.004,0.682,3.402,0.002,13.211,51.977
Cer81_rep4_Dep6_Tu10,0.000,1.053,12.139,0.000,0.123,0.000,0.005,0.005,0.001,2.305,7.736,0.174,11.660,64.799
Cer81_rep4_Dep6_Tu2,0.000,0.025,0.000,0.436,0.120,0.000,0.406,0.486,0.996,1.890,11.660,2.537,26.063,55.380
Cer81_rep1_Dep6_Tu20,0.000,0.048,31.106,0.230,4.146,0.000,0.158,0.007,1.730,1.539,1.386,0.513,9.306,49.831
Cer81_rep3_Dep6_Tu40,0.250,0.001,52.657,1.039,1.064,0.134,0.421,0.469,0.021,0.014,0.596,2.092,10.822,30.422
Cer81_rep9_Dep6_Tu0.5,0.000,0.000,0.000,0.000,2.336,0.473,0.007,1.157,0.113,1.889,10.715,1.278,23.124,58.910
Cer81_rep2_Dep6_Tu10,0.000,0.000,8.964,0.509,0.307,0.711,0.016,0.648,0.057,4.580,9.616,0.535,15.990,58.067
Cer81_rep6_Dep6_Tu0.3,0.000,1.018,0.000,0.000,0.009,0.000,0.968,0.130,1.080,4.147,11.736,1.870,22.611,56.430
Cer81_rep10_Dep6_Tu30,0.000,0.010,39.008,0.591,1.562,0.052,0.033,0.067,0.394,2.932,7.108,0.034,7.504,40.705
Cer81_rep1_Dep6_Tu10,0.000,0.000,12.434,0.000,1.629,0.093,3.688,0.325,0.689,2.184,7.725,1.977,9.336,59.920
Cer81_rep7_Dep6_Tu2,0.000,0.000,2.860,0.000,0.029,0.268,1.459,0.102,0.176,3.535,5.811,0.404,21.836,63.519
Cer81_rep6_Dep6_Tu2,0.040,0.000,0.816,0.367,1.998,0.000,1.095,0.845,1.843,4.070,6.120,1.202,25.948,55.656
Cer81_rep10_Dep6_Tu40,0.000,0.004,52.636,0.000,0.329,0.003,0.356,0.035,1.422,0.451,5.135,0.313,9.926,29.389
Cer81_rep6_Dep6_Tu5,0.384,0.000,9.446,0.000,0.243,0.003,1.399,0.247,0.033,1.182,4.727,0.158,16.274,65.904
Cer81_rep5_Dep6_Tu40,0.058,0.034,48.691,0.001,1.522,0.237,0.359,2.621,1.633,0.547,5.816,1.157,5.731,31.593
