Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Cer81_rep10_Dep6_Tu5,0.362,0.502,7.516,1.601,4.835,3.201,5.639,6.300,5.867,1.345,1.988,0.833,0.174,0.095,0.300,0.867,0.510,1.555,0.028,1.344,0.046,0.057,0.264,0.014,0.002,0.003,0.021,0.000,0.000,0.027,0.000,0.000,0.133,0.086,0.119,4.567,0.176,0.008,0.040,0.065,49.510
Cer81_rep8_Dep6_Tu2,0.468,0.187,3.886,2.887,5.527,5.321,17.052,0.400,2.964,1.967,1.532,0.909,0.303,0.037,0.551,0.087,0.414,0.585,0.154,0.054,0.078,0.079,0.021,0.593,0.500,0.049,0.002,0.000,0.092,0.004,0.000,0.000,0.024,0.235,0.096,0.201,0.923,0.023,0.038,0.011,51.748
Cer81_rep6_Dep6_Tu3,0.116,0.258,9.062,3.161,0.177,6.320,2.773,11.015,1.297,1.335,0.641,3.472,0.078,0.007,1.269,0.362,0.382,1.223,0.315,0.819,0.085,0.074,0.317,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.072,0.029,0.028,0.227,2.281,0.004,0.152,0.133,52.512
Cer81_rep2_Dep6_Tu3,0.162,0.995,5.387,4.001,1.974,5.871,3.430,2.695,9.831,1.166,1.897,2.920,0.270,0.147,0.782,0.039,0.250,1.230,0.233,0.033,0.022,0.031,0.114,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.128,0.180,0.347,1.492,2.051,0.014,0.011,0.017,52.279
Cer81_rep7_Dep6_Tu20,0.077,0.037,4.529,1.695,0.719,4.855,2.064,10.752,3.576,0.514,0.980,1.730,0.004,0.009,0.820,0.743,0.348,1.783,0.188,0.078,0.019,0.019,0.090,0.059,0.004,0.000,0.026,0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28.288,0.625,0.001,0.000,0.001,35.322
Cer81_rep5_Dep6_Tu5,0.142,0.369,4.383,0.929,4.677,5.437,11.802,7.355,1.691,0.551,1.897,0.697,0.048,0.080,0.010,0.653,0.933,0.825,0.594,0.401,0.001,0.005,0.029,0.000,0.004,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.051,0.113,0.517,0.022,6.418,0.030,0.005,0.002,49.327
Cer81_rep4_Dep6_Tu0.1,0.678,0.016,6.278,5.157,4.638,3.894,5.192,7.983,4.000,0.868,1.578,3.210,0.344,0.352,0.369,0.640,0.123,0.619,0.003,0.221,0.097,0.060,0.207,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.004,0.012,0.108,0.000,0.000,0.000,0.000,0.000,53.349
Cer81_rep9_Dep6_Tu20,0.181,0.131,3.211,1.075,1.930,6.808,6.766,0.735,7.607,3.098,0.444,2.332,0.180,0.203,0.396,0.801,0.063,0.692,0.247,0.842,0.037,0.038,0.091,0.001,0.058,0.001,0.015,0.000,0.000,0.000,0.000,0.000,0.010,0.072,0.087,4.023,21.224,0.000,0.001,0.011,36.591
Cer81_rep9_Dep6_Tu5,0.037,0.148,6.749,1.684,2.605,1.458,12.188,1.290,7.382,2.345,2.162,0.011,0.119,0.068,0.280,0.097,1.515,0.669,0.200,0.614,0.005,0.033,0.134,0.006,0.028,0.017,0.022,0.027,0.006,0.380,0.000,0.000,0.014,0.039,0.211,3.342,0.952,0.446,0.003,0.005,52.707
Cer81_rep2_Dep6_Tu1,0.883,0.166,5.205,3.817,3.059,5.454,4.432,8.944,4.683,2.480,3.901,0.368,0.139,0.128,1.099,0.308,0.379,0.572,0.001,0.659,0.046,0.010,0.018,0.000,0.008,0.107,0.082,0.001,0.000,0.000,0.000,0.000,0.002,0.077,0.096,0.002,0.000,0.000,0.003,0.000,52.873
