Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Cer81_rep10_Dep6_Tu5,0.000,8.435,0.383,0.069,0.068,0.000,0.802,17.504,0.000,6.008,9.818,0.518,56.396
Cer81_rep8_Dep6_Tu2,0.000,0.422,0.673,0.008,0.098,0.000,0.721,21.261,0.000,1.903,7.540,6.625,60.748
Cer81_rep6_Dep6_Tu3,0.008,8.929,0.050,0.064,0.000,0.000,3.305,14.540,0.000,5.602,8.447,0.017,59.037
Cer81_rep2_Dep6_Tu3,0.000,1.122,0.211,0.027,0.000,0.000,0.721,22.088,0.000,6.879,10.894,0.994,57.064
Cer81_rep7_Dep6_Tu20,0.000,0.348,11.331,0.328,6.243,0.000,1.139,15.553,2.467,13.569,3.739,0.430,44.851
Cer81_rep5_Dep6_Tu5,0.000,9.992,0.604,0.084,0.000,0.000,0.061,13.964,0.000,10.618,4.814,0.428,59.435
Cer81_rep4_Dep6_Tu0.1,0.000,4.330,0.015,0.000,0.000,0.000,1.203,13.010,0.000,8.235,10.977,1.187,61.043
Cer81_rep9_Dep6_Tu20,18.269,2.529,1.666,0.249,1.004,0.000,0.694,10.210,0.000,11.479,7.218,2.914,43.768
Cer81_rep9_Dep6_Tu5,0.000,6.410,1.033,0.120,0.076,0.000,0.188,18.913,0.000,5.950,7.174,0.202,59.932
Cer81_rep2_Dep6_Tu1,0.000,2.602,0.053,0.000,0.000,0.000,0.746,21.717,0.000,3.683,11.713,0.413,59.073
Cer81_rep8_Dep6_Tu3,0.000,4.292,1.242,0.007,0.039,0.000,0.181,28.321,0.000,0.846,2.953,0.000,62.119
Cer81_rep8_Dep6_Tu1,0.000,1.906,0.013,0.000,0.019,0.000,1.331,24.660,0.000,1.333,6.757,0.096,63.884
Cer81_rep1_Dep6_Tu50,18.416,0.000,15.941,1.068,2.926,0.000,0.000,1.569,22.673,9.406,3.935,1.251,22.815
Cer81_rep9_Dep6_Tu1,0.000,1.184,0.074,0.014,0.000,0.000,11.817,19.528,0.000,0.831,5.072,0.000,61.480
Cer81_rep4_Dep6_Tu30,19.159,0.063,10.120,0.413,4.424,0.000,0.728,10.232,0.684,7.045,5.322,5.835,35.974
Cer81_rep5_Dep6_Tu20,25.122,7.067,0.906,0.181,0.460,0.000,2.195,8.032,0.818,4.352,6.619,1.277,42.970
Cer81_rep2_Dep6_Tu0.5,0.048,0.763,0.024,0.000,0.000,0.000,2.426,23.618,0.000,1.350,9.498,2.153,60.119
Cer81_rep2_Dep6_Tu2,0.050,6.789,0.049,0.039,0.035,0.000,0.960,16.630,0.000,6.796,10.344,0.078,58.230
Cer81_rep5_Dep6_Tu1,0.000,5.800,0.191,0.000,0.000,0.000,0.169,19.338,0.000,4.347,7.770,0.139,62.245
Cer81_rep7_Dep6_Tu0.5,0.001,10.388,0.000,0.000,0.000,0.000,1.867,16.039,0.000,4.910,5.481,0.022,61.291
Cer81_rep5_Dep6_Tu0.1,0.000,0.936,0.012,0.000,0.000,0.000,11.901,19.595,0.000,0.562,4.956,0.066,61.972
Cer81_rep8_Dep6_Tu0.1,0.000,10.292,0.020,0.000,0.000,0.000,0.502,16.038,0.000,1.790,6.308,1.829,63.220
Cer81_rep10_Dep6_Tu10,0.000,4.273,5.542,0.142,0.241,0.000,3.491,12.735,0.000,9.999,9.179,2.205,52.192
Cer81_rep2_Dep6_Tu5,0.000,3.980,2.790,0.046,0.205,0.000,0.172,27.411,0.000,1.274,3.026,0.000,61.095
Cer81_rep8_Dep6_Tu50,12.494,0.000,14.128,0.731,16.341,0.000,0.206,1.700,11.903,13.208,3.515,0.646,25.128
Cer81_rep2_Dep6_Tu40,38.201,0.000,7.715,0.498,4.336,0.000,1.473,2.144,0.000,5.101,7.465,1.725,31.341
Cer81_rep6_Dep6_Tu30,7.716,6.073,8.654,0.585,10.956,0.000,0.202,7.713,1.621,13.206,5.506,0.098,37.669
Cer81_rep4_Dep6_Tu1,0.039,10.352,0.080,0.005,0.000,0.000,0.320,13.489,0.000,9.430,4.117,0.101,62.067
Cer81_rep3_Dep6_Tu0.3,0.000,6.581,0.038,0.000,0.000,0.000,1.884,13.632,0.000,8.162,7.172,0.391,62.139
Cer81_rep9_Dep6_Tu0.1,0.000,12.212,0.133,0.000,0.000,0.000,0.295,13.587,0.000,2.860,7.974,0.170,62.769
Cer81_rep1_Dep6_Tu40,21.251,1.284,11.699,0.547,2.454,0.000,0.000,9.766,13.222,5.186,2.837,0.764,30.989
Cer81_rep10_Dep6_Tu2,0.000,5.060,0.133,0.001,0.011,0.000,1.723,17.235,0.000,4.988,7.965,1.006,61.878
Cer81_rep7_Dep6_Tu50,34.843,0.000,9.512,0.631,6.539,0.000,0.000,6.723,1.373,7.776,5.615,1.328,25.661
Cer81_rep8_Dep6_Tu0.3,0.000,1.064,0.011,0.000,0.000,0.000,4.041,22.787,0.000,0.503,12.251,0.537,58.805
Cer81_rep8_Dep6_Tu40,12.689,0.000,16.569,0.495,3.866,0.000,1.189,9.229,2.932,16.180,3.134,1.759,31.959
Cer81_rep9_Dep6_Tu40,22.511,0.000,10.678,0.594,8.999,0.000,1.010,5.816,2.159,8.400,3.754,3.301,32.777
Cer81_rep9_Dep6_Tu10,0.000,0.127,5.435,0.185,1.575,0.000,0.953,18.093,1.840,3.791,5.660,7.491,54.850
Cer81_rep2_Dep6_Tu50,10.392,0.000,18.715,1.066,15.309,0.000,1.036,4.303,0.000,13.964,4.393,3.515,27.307
Cer81_rep8_Dep6_Tu10,13.797,9.215,2.414,0.099,0.649,0.000,2.548,9.512,0.000,1.614,6.513,0.335,53.302
Cer81_rep10_Dep6_Tu0.1,0.000,4.317,0.000,0.000,0.000,0.000,3.024,15.416,0.000,4.310,10.246,1.217,61.469
Cer81_rep3_Dep6_Tu1,0.000,0.487,0.036,0.000,0.000,0.000,2.446,20.198,0.000,3.003,6.301,1.748,65.780
Cer81_rep9_Dep6_Tu50,7.467,0.049,19.625,0.813,17.314,0.000,1.186,2.913,3.090,13.380,3.156,3.381,27.627
Cer81_rep8_Dep6_Tu30,22.450,0.069,8.507,0.245,1.745,0.000,9.017,9.520,0.155,5.223,3.052,0.957,39.060
Cer81_rep4_Dep6_Tu20,12.244,4.564,7.862,0.233,1.817,0.000,0.961,10.848,0.000,10.715,4.785,1.985,43.987
