Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Cer81_rep10_Dep6_Tu5,1.189,0.029,2.363,0.000,4.987,1.944,3.216,0.000,2.977,11.144,9.104,2.505,60.542
Cer81_rep8_Dep6_Tu2,0.789,0.000,1.715,0.000,4.322,1.978,3.210,0.000,0.188,11.998,10.416,3.634,61.750
Cer81_rep6_Dep6_Tu3,0.306,0.039,1.616,0.334,6.343,1.634,4.581,0.000,2.759,8.791,9.792,2.742,61.062
Cer81_rep2_Dep6_Tu3,0.000,0.704,2.401,0.000,6.616,1.448,3.446,0.000,0.050,12.068,10.639,3.581,59.046
Cer81_rep7_Dep6_Tu20,3.761,4.239,8.420,1.724,5.199,0.000,2.756,4.862,3.185,7.224,7.655,0.781,50.193
Cer81_rep5_Dep6_Tu5,0.908,0.000,3.841,0.000,6.978,1.239,2.716,0.000,4.364,8.895,8.146,2.723,60.189
Cer81_rep4_Dep6_Tu0.1,1.127,0.000,0.842,0.000,3.944,2.279,4.233,0.000,0.000,9.194,10.917,3.846,63.616
Cer81_rep9_Dep6_Tu20,3.417,4.483,7.820,0.927,5.423,0.000,2.304,0.000,8.367,8.036,8.551,1.250,49.421
Cer81_rep9_Dep6_Tu5,1.782,0.000,3.815,0.000,5.472,1.353,2.380,0.000,2.347,9.854,10.719,3.312,58.967
Cer81_rep2_Dep6_Tu1,0.916,0.000,1.276,0.000,4.774,1.746,3.371,0.000,0.006,11.250,13.436,2.976,60.249
Cer81_rep8_Dep6_Tu3,0.798,0.548,3.440,0.000,5.657,1.496,2.213,0.000,4.374,8.879,9.668,1.518,61.409
Cer81_rep8_Dep6_Tu1,1.769,0.000,0.489,0.000,5.906,1.910,3.388,0.000,0.000,9.712,10.701,3.152,62.974
Cer81_rep1_Dep6_Tu50,4.685,7.195,21.720,3.309,4.370,0.000,0.000,18.767,4.938,0.000,5.064,0.000,29.952
Cer81_rep9_Dep6_Tu1,0.165,0.000,1.710,0.000,5.635,1.711,4.826,0.000,0.000,10.518,10.381,2.790,62.264
Cer81_rep4_Dep6_Tu30,3.149,5.203,13.493,2.103,6.236,0.000,0.950,6.978,6.596,3.355,7.651,1.173,43.114
Cer81_rep5_Dep6_Tu20,2.240,5.781,8.107,1.099,6.343,0.000,2.750,1.154,5.840,8.301,8.447,1.600,48.339
Cer81_rep2_Dep6_Tu0.5,0.000,0.103,0.607,0.000,6.734,2.415,2.988,0.000,0.000,7.525,12.801,4.337,62.490
Cer81_rep2_Dep6_Tu2,1.096,1.172,0.843,0.000,3.936,2.242,3.884,0.000,0.000,11.968,10.172,2.553,62.135
Cer81_rep5_Dep6_Tu1,0.870,0.000,2.282,0.000,4.981,1.700,2.678,0.000,0.606,9.793,12.347,3.749,60.994
