Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Cer81_rep10_Dep6_Tu5,0.063,0.059,2.795,2.701,2.157,1.787,6.738,4.242,2.502,1.939,0.831,0.639,0.001,0.022,0.704,0.575,0.613,0.856,0.188,0.793,0.029,0.019,0.028,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.003,0.002,0.007,0.018,4.737,0.092,0.206,64.646
Cer81_rep8_Dep6_Tu2,0.171,0.050,3.577,0.028,2.848,3.259,3.118,5.155,2.951,2.624,0.452,1.335,0.126,0.046,0.623,0.541,0.806,0.027,0.403,0.531,0.005,0.031,0.055,0.005,0.069,0.000,0.001,0.000,0.002,0.004,0.000,0.000,0.010,0.001,0.010,0.008,0.034,0.177,0.049,0.155,70.716
Cer81_rep6_Dep6_Tu3,0.049,0.005,1.383,3.079,4.578,4.056,0.431,2.337,3.915,0.211,1.302,1.756,0.023,0.015,0.882,0.681,1.866,1.032,0.064,0.499,0.012,0.044,0.053,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.006,0.002,0.006,0.381,0.197,0.285,70.842
Cer81_rep2_Dep6_Tu3,0.022,0.011,0.456,2.920,3.453,2.954,4.666,5.577,0.939,2.207,0.082,1.373,0.017,0.016,1.090,1.278,0.778,0.107,0.128,0.393,0.017,0.003,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.003,0.002,0.001,0.008,2.694,0.044,0.017,68.736
Cer81_rep7_Dep6_Tu20,0.006,0.038,1.273,1.165,1.749,0.881,4.086,3.980,6.312,2.350,0.388,0.455,0.010,0.004,2.252,0.548,1.289,0.746,0.228,0.582,0.001,0.007,0.016,0.003,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,27.166,0.002,0.012,44.436
Cer81_rep5_Dep6_Tu5,0.061,0.026,1.564,2.262,0.241,1.200,7.203,6.201,3.945,0.641,1.498,0.958,0.024,0.022,0.186,1.107,1.354,1.120,0.359,0.134,0.015,0.008,0.041,0.000,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.017,0.007,0.000,0.056,4.863,0.003,0.043,64.805
Cer81_rep4_Dep6_Tu0.1,0.034,0.032,1.568,1.930,2.232,2.197,9.004,3.795,2.727,0.919,1.394,0.839,0.045,0.010,0.587,0.295,0.286,0.438,0.094,0.293,0.014,0.003,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,71.239
Cer81_rep9_Dep6_Tu20,0.049,0.010,0.474,0.703,1.820,3.742,7.902,4.879,1.340,1.231,2.136,0.503,0.031,0.018,1.011,1.091,0.302,2.493,0.064,0.853,0.004,0.016,0.059,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,25.732,0.004,0.024,43.501
Cer81_rep9_Dep6_Tu5,0.134,0.035,1.968,2.027,3.385,2.586,6.612,1.440,2.179,1.409,1.411,0.818,0.044,0.007,0.597,0.397,1.119,1.024,0.115,0.962,0.004,0.052,0.056,0.004,0.028,0.003,0.002,0.002,0.000,0.038,0.000,0.000,0.000,0.004,0.009,0.017,0.029,3.575,0.042,0.080,67.783
Cer81_rep2_Dep6_Tu1,0.053,0.019,3.256,1.342,2.134,1.825,6.459,4.603,2.542,1.565,1.256,1.382,0.036,0.002,1.030,0.351,0.679,0.051,0.277,0.079,0.001,0.004,0.022,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,71.028
Cer81_rep8_Dep6_Tu3,0.023,0.014,2.315,0.423,1.587,1.278,0.302,12.443,3.391,1.053,1.430,0.611,0.056,0.001,0.789,0.865,0.218,1.099,0.151,0.395,0.020,0.024,0.002,0.000,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.004,0.002,0.016,0.010,1.948,0.049,0.061,69.374
Cer81_rep8_Dep6_Tu1,0.029,0.033,1.124,2.917,1.304,2.912,3.912,4.312,5.519,1.553,1.658,0.612,0.043,0.026,0.722,0.522,0.181,0.321,0.060,0.618,0.001,0.029,0.025,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.005,0.000,0.000,0.000,0.001,0.003,71.550
Cer81_rep1_Dep6_Tu50,0.048,0.014,2.057,1.608,1.913,0.370,6.260,4.141,2.393,1.460,2.221,0.072,0.052,0.014,1.518,3.136,4.183,1.365,0.382,1.469,0.010,0.009,0.026,0.000,0.008,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.001,62.224,0.000,0.014,3.030
Cer81_rep9_Dep6_Tu1,0.004,0.047,0.250,1.313,3.377,4.537,3.495,2.025,4.713,1.438,2.011,0.330,0.039,0.016,0.799,0.621,0.258,0.239,0.042,1.053,0.003,0.034,0.014,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.004,0.003,0.000,0.000,0.004,0.021,0.016,73.288
Cer81_rep4_Dep6_Tu30,0.158,0.040,0.377,1.098,2.549,4.720,1.681,4.995,3.380,2.136,2.177,0.027,0.007,0.041,4.004,0.708,1.070,0.208,0.190,0.931,0.000,0.015,0.068,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,40.441,0.001,0.008,28.968
Cer81_rep5_Dep6_Tu20,0.021,0.041,0.905,1.234,1.392,2.770,6.415,5.330,3.810,1.296,2.112,1.221,0.076,0.107,1.081,0.299,2.579,1.367,0.465,0.120,0.016,0.044,0.046,0.002,0.007,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.001,0.042,0.008,0.000,0.020,26.305,0.020,0.055,40.789
Cer81_rep2_Dep6_Tu0.5,0.039,0.046,2.553,0.307,2.979,3.086,5.184,4.610,2.470,0.253,3.219,0.051,0.053,0.026,0.264,0.317,0.441,0.690,0.101,0.491,0.003,0.009,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.003,72.797
Cer81_rep2_Dep6_Tu2,0.126,0.037,0.225,2.740,3.345,4.546,5.837,0.773,5.341,0.613,0.486,1.808,0.004,0.060,1.308,0.272,0.577,0.815,0.298,0.209,0.021,0.024,0.042,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.006,0.005,0.012,0.004,0.612,0.081,0.083,69.687
Cer81_rep5_Dep6_Tu1,0.168,0.003,2.147,2.675,0.789,0.896,6.454,3.766,3.871,1.494,1.707,1.075,0.003,0.029,0.467,0.024,0.632,1.074,0.139,0.123,0.011,0.009,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.008,0.006,72.396
Cer81_rep7_Dep6_Tu0.5,0.052,0.044,0.157,2.575,1.092,1.987,8.759,6.864,2.385,1.402,1.056,0.075,0.019,0.001,0.448,0.727,0.335,0.395,0.161,0.719,0.003,0.019,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.006,0.003,70.685
Cer81_rep5_Dep6_Tu0.1,0.034,0.083,3.367,1.121,2.457,1.043,5.052,2.177,5.531,0.496,1.999,1.067,0.049,0.004,0.659,0.466,0.122,0.433,0.057,0.320,0.005,0.008,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.001,73.433
Cer81_rep8_Dep6_Tu0.1,0.019,0.055,2.498,2.027,2.472,3.337,8.230,3.978,0.759,0.444,2.261,1.157,0.049,0.026,0.822,1.046,0.522,0.723,0.026,0.076,0.001,0.014,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.000,0.000,0.000,0.001,0.001,69.404
Cer81_rep10_Dep6_Tu10,0.086,0.009,1.212,1.801,2.206,0.085,12.693,0.322,3.537,1.319,0.798,1.489,0.015,0.031,0.090,0.834,1.225,0.144,0.532,0.936,0.008,0.044,0.052,0.000,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.005,0.004,0.000,0.045,12.375,0.012,0.019,58.033
