Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Cer81_rep10_Dep6_Tu5,0.000,81.737,1.896,0.000,0.003,0.000,0.028,0.237,0.406,0.055,1.976,0.016,13.645
Cer81_rep8_Dep6_Tu2,0.000,84.902,0.001,0.000,0.001,0.000,0.010,0.019,0.160,0.038,2.072,0.058,12.740
Cer81_rep6_Dep6_Tu3,0.000,85.782,0.001,0.000,0.000,0.000,0.024,0.295,0.259,0.027,1.503,0.010,12.097
Cer81_rep2_Dep6_Tu3,0.000,85.563,0.173,0.000,0.000,0.000,0.009,0.334,0.186,0.020,1.748,0.012,11.954
Cer81_rep7_Dep6_Tu20,0.000,64.953,16.996,0.000,0.001,0.000,0.008,2.981,0.862,0.034,2.915,0.018,11.231
Cer81_rep5_Dep6_Tu5,0.000,82.691,1.693,0.000,0.006,0.000,0.013,0.834,0.206,0.052,1.892,0.033,12.580
Cer81_rep4_Dep6_Tu0.1,0.000,84.426,0.000,0.000,0.000,0.000,0.003,0.114,0.004,0.012,1.324,0.016,14.101
Cer81_rep9_Dep6_Tu20,0.000,64.347,16.002,0.000,0.000,0.000,0.023,3.826,1.019,0.014,2.977,0.032,11.759
Cer81_rep9_Dep6_Tu5,0.004,84.741,1.053,0.008,0.002,0.000,0.040,0.605,0.175,0.021,2.056,0.052,11.244
Cer81_rep2_Dep6_Tu1,0.000,84.371,0.000,0.000,0.000,0.000,0.001,0.063,0.050,0.011,2.229,0.009,13.266
Cer81_rep8_Dep6_Tu3,0.000,85.341,0.057,0.000,0.001,0.000,0.007,0.214,0.136,0.030,1.279,0.017,12.918
Cer81_rep8_Dep6_Tu1,0.000,84.309,0.000,0.000,0.000,0.000,0.004,0.080,0.099,0.012,1.403,0.012,14.082
Cer81_rep1_Dep6_Tu50,0.000,22.927,43.214,0.000,0.000,0.000,0.022,15.093,1.466,0.032,4.109,0.061,13.075
Cer81_rep9_Dep6_Tu1,0.000,86.612,0.000,0.000,0.000,0.000,0.003,0.129,0.023,0.033,1.551,0.013,11.637
Cer81_rep4_Dep6_Tu30,0.000,50.832,26.340,0.000,0.000,0.000,0.019,5.878,2.382,0.047,2.418,0.006,12.078
Cer81_rep5_Dep6_Tu20,0.000,60.393,16.915,0.001,0.005,0.000,0.069,0.777,2.925,0.123,4.682,0.181,13.928
Cer81_rep2_Dep6_Tu0.5,0.000,85.560,0.000,0.000,0.000,0.000,0.001,0.095,0.005,0.013,1.343,0.018,12.964
Cer81_rep2_Dep6_Tu2,0.000,84.570,0.008,0.000,0.000,0.000,0.015,0.058,0.139,0.061,1.464,0.035,13.650
Cer81_rep5_Dep6_Tu1,0.000,85.965,0.000,0.000,0.000,0.000,0.006,0.271,0.048,0.013,1.407,0.008,12.283
Cer81_rep7_Dep6_Tu0.5,0.000,84.590,0.000,0.000,0.000,0.000,0.005,0.268,0.010,0.008,1.070,0.011,14.038
Cer81_rep5_Dep6_Tu0.1,0.000,85.849,0.000,0.000,0.000,0.000,0.001,0.078,0.024,0.011,1.282,0.008,12.747
Cer81_rep8_Dep6_Tu0.1,0.000,83.033,0.000,0.000,0.000,0.000,0.005,0.199,0.138,0.008,1.968,0.021,14.627
Cer81_rep10_Dep6_Tu10,0.000,76.873,7.018,0.000,0.002,0.000,0.036,0.471,1.033,0.053,2.642,0.010,11.862
Cer81_rep2_Dep6_Tu5,0.000,82.850,1.854,0.000,0.001,0.000,0.015,0.728,0.088,0.072,0.566,0.021,13.803
Cer81_rep8_Dep6_Tu50,0.000,24.093,43.198,0.000,0.000,0.000,0.053,13.916,2.343,0.026,3.662,0.070,12.638
Cer81_rep2_Dep6_Tu40,0.001,37.141,34.751,0.000,0.001,0.000,0.058,3.320,6.625,0.016,5.297,0.049,12.741
Cer81_rep6_Dep6_Tu30,0.000,50.346,24.859,0.000,0.000,0.000,0.005,7.173,1.534,0.017,3.911,0.071,12.084
Cer81_rep4_Dep6_Tu1,0.000,84.343,0.000,0.000,0.000,0.000,0.009,0.157,0.011,0.028,2.054,0.027,13.371
Cer81_rep3_Dep6_Tu0.3,0.000,85.770,0.000,0.000,0.000,0.000,0.001,0.109,0.083,0.003,1.192,0.007,12.836
Cer81_rep9_Dep6_Tu0.1,0.000,84.103,0.000,0.000,0.000,0.000,0.003,0.139,0.116,0.011,1.875,0.019,13.734
Cer81_rep1_Dep6_Tu40,0.000,37.376,34.270,0.000,0.001,0.000,0.054,11.401,0.934,0.096,3.183,0.088,12.596
Cer81_rep10_Dep6_Tu2,0.000,84.560,0.000,0.000,0.000,0.000,0.012,0.173,0.036,0.024,1.447,0.035,13.714
Cer81_rep7_Dep6_Tu50,0.000,22.178,45.041,0.000,0.000,0.000,0.019,4.691,9.118,0.043,5.694,0.011,13.204
Cer81_rep8_Dep6_Tu0.3,0.000,85.409,0.000,0.000,0.000,0.000,0.001,0.062,0.022,0.010,1.325,0.015,13.155
Cer81_rep8_Dep6_Tu40,0.000,40.338,34.833,0.000,0.000,0.000,0.007,9.405,2.202,0.013,2.955,0.008,10.237
Cer81_rep9_Dep6_Tu40,0.000,36.404,35.006,0.000,0.000,0.000,0.013,5.158,4.662,0.112,5.282,0.027,13.335
