Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Cer81_rep10_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.090,0.000,52.271,0.000,0.298,0.503,13.499,12.485,1.553,2.618,4.726,11.956,0.000
Cer81_rep8_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.534,0.000,51.444,0.068,0.000,24.539,11.976,2.812,0.633,7.283,0.000,0.709,0.000
Cer81_rep6_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.099,0.000,55.802,0.000,0.000,2.441,12.716,0.000,0.824,0.663,0.409,22.920,4.124
Cer81_rep2_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.192,0.000,54.348,0.000,0.000,4.299,21.903,7.982,2.253,0.000,0.288,4.510,4.224
Cer81_rep7_Dep6_Tu20,0.402,0.000,1.260,0.330,0.330,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.817,0.000,0.000,9.772,18.452,0.000,1.678,0.000,25.489,7.470,0.000
Cer81_rep5_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.106,0.000,50.294,17.026,0.861,4.890,3.575,13.213,1.192,5.865,0.000,0.743,2.234
Cer81_rep4_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.364,0.000,58.360,0.000,1.280,1.875,8.408,0.198,0.597,0.471,1.033,27.413,0.000
Cer81_rep9_Dep6_Tu20,0.274,0.008,0.988,0.225,0.028,0.000,0.000,0.000,0.000,0.000,0.026,0.000,40.233,0.000,1.697,0.000,13.745,0.000,3.541,0.000,25.868,13.366,0.000
Cer81_rep9_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.237,0.000,51.941,21.636,1.618,5.373,7.673,0.000,0.000,3.942,1.791,0.414,5.375
Cer81_rep2_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.636,0.000,56.687,0.000,0.000,7.439,17.351,2.188,1.593,0.086,0.000,3.519,10.500
Cer81_rep8_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.095,0.000,49.156,0.796,0.000,31.589,5.229,0.000,0.000,2.824,1.233,0.000,9.078
Cer81_rep8_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.525,0.000,54.727,2.628,0.160,27.608,7.546,0.000,0.000,6.725,0.000,0.081,0.000
Cer81_rep1_Dep6_Tu50,4.163,3.442,4.540,2.166,2.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.240,0.000,0.000,0.000,0.000,0.000,56.794,0.000,8.519,0.000,0.000
