Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Cer81_rep10_Dep6_Tu5,0.093,0.061,0.926,4.354,0.580,1.243,2.393,6.850,1.898,1.755,0.688,0.317,0.037,0.025,0.013,0.009,0.014,0.099,0.005,0.003,0.042,0.089,0.043,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.450,25.337,0.283,0.000,0.000,0.000,2.619,0.003,49.762
Cer81_rep8_Dep6_Tu2,0.437,0.168,0.686,0.676,0.858,4.315,16.540,4.110,3.653,0.711,1.166,3.620,0.385,0.519,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.004,0.214,0.000,0.753,15.997,1.526,0.001,0.000,0.000,0.000,0.000,0.000,43.651
Cer81_rep6_Dep6_Tu3,0.025,0.035,1.133,1.715,0.816,3.176,6.421,1.746,0.344,0.546,0.711,0.440,0.000,0.000,0.000,0.011,0.087,0.003,0.000,0.001,0.266,0.114,0.165,0.000,0.000,0.000,0.000,0.000,0.001,0.343,0.040,0.148,0.091,30.467,0.000,0.000,1.953,0.000,0.003,0.087,49.108
Cer81_rep2_Dep6_Tu3,0.837,4.294,5.511,2.873,0.663,8.133,1.198,1.645,0.922,0.474,0.571,0.529,0.007,0.230,0.029,0.122,0.031,0.013,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.594,0.553,24.383,0.004,1.544,0.001,0.205,0.000,0.000,44.632
Cer81_rep7_Dep6_Tu20,0.555,2.057,0.181,0.750,3.587,0.744,0.174,4.476,2.047,0.213,0.049,0.777,0.009,0.203,0.077,0.043,0.155,0.177,0.005,0.012,0.517,0.174,0.228,0.031,0.021,0.004,3.053,0.137,0.000,0.000,0.000,0.000,0.036,9.276,0.465,25.761,0.000,0.000,0.000,0.000,44.006
Cer81_rep5_Dep6_Tu5,0.115,0.040,0.746,2.264,3.355,3.173,4.093,4.648,0.824,2.358,0.159,0.659,0.299,0.165,0.007,0.002,0.015,0.026,0.006,0.001,0.012,0.215,0.256,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.855,0.448,2.164,4.852,0.868,0.091,0.000,0.000,51.284
Cer81_rep4_Dep6_Tu0.1,0.650,1.539,5.815,2.754,2.397,11.031,2.076,5.581,1.659,1.719,0.770,0.793,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,23.496,0.000,0.000,0.000,0.000,0.000,0.000,39.712
Cer81_rep9_Dep6_Tu20,0.517,0.128,0.200,0.263,2.110,2.744,0.841,1.712,0.050,1.928,1.434,0.301,0.000,0.000,0.003,0.001,0.012,0.003,0.000,0.001,0.002,0.000,0.109,0.000,0.000,0.681,1.954,0.000,0.000,0.000,0.000,0.000,0.022,12.731,0.024,0.380,25.399,0.000,0.000,0.000,46.450
Cer81_rep9_Dep6_Tu5,3.306,1.531,1.990,1.868,0.395,1.993,5.955,0.515,3.366,0.041,2.365,1.757,0.313,0.194,0.010,0.001,0.221,1.084,0.178,0.222,0.006,0.001,0.037,0.128,0.001,0.003,0.000,0.465,0.762,0.512,0.000,0.000,7.651,12.146,0.001,2.469,0.025,0.048,0.000,0.000,48.438
Cer81_rep2_Dep6_Tu1,0.449,3.219,2.518,4.776,6.320,2.846,3.828,3.366,1.287,3.119,0.603,0.630,0.029,0.230,0.000,0.000,0.000,0.000,0.277,0.195,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.704,22.246,0.000,0.000,0.000,1.162,0.000,0.000,42.193
Cer81_rep8_Dep6_Tu3,0.360,0.373,0.368,2.581,15.670,5.884,0.064,2.857,0.340,0.913,0.283,0.519,0.003,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,18.011,1.114,0.003,4.618,0.030,0.000,0.000,0.000,46.004
Cer81_rep8_Dep6_Tu1,1.026,0.093,4.634,1.212,4.540,3.837,2.979,1.971,10.163,1.212,0.416,1.561,0.174,1.779,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.870,1.455,0.000,0.000,0.000,0.000,0.000,0.000,48.076
Cer81_rep1_Dep6_Tu50,0.058,0.006,1.868,2.294,2.024,1.336,1.738,1.253,0.259,0.074,0.295,0.037,0.091,0.013,0.711,0.102,0.324,0.334,0.192,0.011,0.034,0.039,0.189,0.000,3.228,0.000,0.000,0.000,2.801,0.509,0.000,0.667,0.061,0.004,0.000,61.452,0.026,0.005,0.000,0.004,17.958
Cer81_rep9_Dep6_Tu1,0.050,0.248,1.673,3.241,2.367,1.159,1.109,14.088,1.668,0.660,1.014,1.178,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.358,0.020,0.171,0.000,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.395,5.003,14.673,0.000,0.009,1.804,1.116,0.008,0.001,47.957
Cer81_rep4_Dep6_Tu30,1.529,0.599,1.574,4.966,0.992,4.494,0.694,3.775,0.185,0.636,0.537,0.222,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.061,0.000,0.000,0.001,0.000,0.000,0.000,0.026,1.380,0.000,3.128,0.120,1.657,39.147,0.000,0.000,0.000,33.277
Cer81_rep5_Dep6_Tu20,0.006,0.003,0.203,0.132,1.540,2.349,12.295,0.361,0.454,0.041,1.584,1.458,0.105,0.018,0.045,0.910,0.432,0.408,0.117,0.095,0.234,1.623,0.678,0.000,0.000,0.401,0.872,0.000,0.146,0.042,0.000,0.001,12.962,0.000,0.012,9.767,5.847,0.001,0.019,0.026,44.815
Cer81_rep2_Dep6_Tu0.5,0.308,0.045,5.580,0.964,2.615,2.099,5.511,7.281,0.033,1.632,0.981,3.946,0.016,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,26.605,0.000,0.000,0.000,0.000,0.000,0.000,42.332
Cer81_rep2_Dep6_Tu2,0.473,0.994,1.769,4.670,1.476,1.560,0.975,3.513,1.620,0.001,0.486,0.761,0.001,0.002,0.000,0.000,0.001,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.166,29.164,0.003,1.205,0.000,0.119,0.000,0.000,51.036
Cer81_rep5_Dep6_Tu1,2.209,1.785,3.740,2.072,0.630,1.266,4.811,4.408,4.610,0.263,4.900,0.560,0.349,0.520,0.018,0.002,0.016,0.028,0.480,0.194,0.002,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.473,13.832,0.000,0.000,0.000,0.000,0.000,0.000,43.831
Cer81_rep7_Dep6_Tu0.5,0.754,0.169,4.332,0.615,4.519,2.473,4.053,5.477,0.836,1.261,1.604,0.438,0.010,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,30.591,0.000,0.000,0.000,0.000,0.000,0.000,42.782
Cer81_rep5_Dep6_Tu0.1,0.095,0.319,6.767,1.696,0.012,0.641,3.339,15.269,1.191,1.212,0.461,0.857,0.003,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.026,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.502,22.493,0.000,0.000,0.000,0.000,0.000,0.000,42.092
Cer81_rep8_Dep6_Tu0.1,0.126,0.017,2.963,8.725,1.914,6.824,4.722,2.952,2.327,0.628,1.391,2.368,0.036,0.082,0.055,0.000,0.139,0.691,0.012,0.006,0.020,0.004,1.290,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.740,12.893,0.000,0.000,0.000,0.000,0.000,0.000,40.077
Cer81_rep10_Dep6_Tu10,1.143,4.063,3.593,0.375,2.179,3.203,11.173,0.716,2.639,2.432,0.446,0.992,0.660,0.649,0.015,0.005,0.007,0.004,0.006,0.103,0.396,0.082,0.038,0.000,0.399,0.000,0.000,0.000,0.000,0.000,0.000,0.021,6.111,2.878,0.010,12.111,0.182,0.017,0.000,0.000,43.348
Cer81_rep2_Dep6_Tu5,0.091,0.333,7.810,1.179,8.695,3.005,1.564,1.582,0.047,0.594,0.743,0.238,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,17.527,0.058,0.000,4.208,2.216,0.035,0.000,0.000,50.069
Cer81_rep8_Dep6_Tu50,0.007,0.001,0.046,0.172,0.248,0.166,0.126,0.042,0.160,0.051,0.288,0.739,0.792,0.375,0.026,0.110,0.168,0.251,0.093,0.038,0.000,0.007,0.009,0.000,0.000,3.686,1.773,0.000,0.143,0.010,0.000,4.338,0.268,0.000,0.323,56.196,7.568,0.070,0.004,0.029,21.678
Cer81_rep2_Dep6_Tu40,0.000,0.000,1.254,1.134,0.160,0.341,2.067,0.593,4.409,0.166,0.496,1.953,0.005,0.000,0.000,0.001,0.000,0.001,0.051,0.148,0.381,1.245,2.050,0.008,2.755,0.000,0.000,0.000,0.079,0.442,0.000,0.034,0.252,0.000,0.000,47.583,0.027,0.443,0.057,2.697,29.168
Cer81_rep6_Dep6_Tu30,0.935,0.090,0.162,0.350,0.179,4.702,2.206,2.185,0.838,0.619,2.492,0.430,0.916,0.025,0.118,0.033,0.950,1.203,0.118,1.025,0.006,0.344,0.509,0.001,2.778,0.029,0.017,0.000,1.397,0.010,0.000,0.007,2.433,0.062,0.020,21.172,12.734,0.000,0.000,0.000,38.905
Cer81_rep4_Dep6_Tu1,0.233,0.766,3.417,1.715,0.587,3.600,2.681,8.992,2.672,1.205,1.988,0.823,0.186,0.395,0.000,0.000,0.005,0.002,0.017,0.001,0.621,0.202,1.228,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.209,2.410,0.000,0.000,0.000,0.000,0.000,0.000,49.044
Cer81_rep3_Dep6_Tu0.3,0.046,0.046,6.830,2.775,1.629,0.965,1.398,8.851,0.392,0.561,1.263,1.615,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.001,0.386,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,34.094,0.000,0.000,0.000,0.000,0.000,0.000,39.120
Cer81_rep9_Dep6_Tu0.1,1.022,0.220,0.466,7.782,0.546,8.415,3.636,5.679,0.025,3.458,0.729,0.175,0.253,0.605,0.003,0.001,0.007,0.047,0.020,0.002,0.001,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.127,14.259,0.000,0.000,0.000,0.000,0.000,0.000,39.520
