Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Cer81_rep10_Dep6_Tu5,0.082,2.002,0.216,0.003,4.122,1.386,1.658,0.030,2.662,4.910,4.800,1.764,2.495,1.887,15.301,14.759,8.685,0.410,4.989,1.997,8.238,8.864,8.741
Cer81_rep8_Dep6_Tu2,0.028,0.217,0.260,0.112,3.723,1.246,1.807,0.080,2.733,4.226,7.356,2.137,17.151,1.093,8.093,3.392,1.551,0.377,5.018,10.882,18.572,1.703,8.243
Cer81_rep6_Dep6_Tu3,0.002,1.024,0.132,0.081,2.010,1.778,3.230,1.039,0.132,3.762,4.617,1.817,10.687,4.879,4.949,4.674,5.103,2.127,6.479,5.166,3.150,25.295,7.867
Cer81_rep2_Dep6_Tu3,0.054,0.121,0.174,0.001,2.884,1.555,1.258,2.956,0.307,4.524,5.403,3.533,13.293,2.482,10.998,6.770,12.412,1.900,5.185,3.330,0.904,8.887,11.071
Cer81_rep7_Dep6_Tu20,2.371,2.771,1.640,0.049,3.646,0.533,2.135,2.148,2.905,2.285,4.954,1.502,2.115,1.116,6.341,11.452,2.924,23.456,3.631,9.018,7.793,2.871,2.343
Cer81_rep5_Dep6_Tu5,0.060,1.137,0.939,0.042,5.077,0.390,2.410,2.147,0.535,3.344,5.635,3.091,5.864,3.794,1.448,6.306,3.111,5.792,16.237,7.408,5.488,9.435,10.309
Cer81_rep4_Dep6_Tu0.1,0.012,0.496,0.063,0.009,0.397,0.656,2.043,2.403,1.135,5.335,5.108,0.407,17.824,0.598,8.742,2.863,1.235,0.438,2.983,11.707,11.899,16.946,6.702
Cer81_rep9_Dep6_Tu20,2.909,2.870,4.242,0.033,4.312,1.119,2.031,2.211,0.367,5.344,5.149,1.361,4.250,21.041,10.663,2.987,2.474,13.194,0.504,3.686,7.066,1.196,0.989
Cer81_rep9_Dep6_Tu5,0.760,1.313,1.670,0.725,1.605,0.863,2.456,5.272,0.491,4.095,0.618,4.056,4.655,5.574,10.166,1.270,8.743,1.323,4.031,12.184,11.696,2.173,14.262
Cer81_rep2_Dep6_Tu1,0.042,0.572,0.420,0.005,3.459,0.694,0.105,0.818,2.171,6.461,6.613,2.328,13.612,6.058,6.542,2.645,1.517,0.164,3.669,4.195,19.006,15.939,2.965
Cer81_rep8_Dep6_Tu3,0.161,0.038,1.714,0.018,3.205,1.365,0.673,0.468,3.477,2.285,7.369,2.234,3.686,3.002,5.514,12.538,1.343,4.432,14.753,12.128,3.289,3.989,12.320
Cer81_rep8_Dep6_Tu1,0.016,0.214,0.208,0.038,2.271,0.453,0.856,1.822,1.853,4.304,2.915,3.990,18.382,0.636,7.280,14.176,1.538,1.867,6.551,3.245,4.766,2.423,20.197
Cer81_rep1_Dep6_Tu50,2.036,6.278,24.867,2.218,1.137,1.239,1.238,3.282,0.700,1.202,2.119,1.404,1.989,12.452,0.431,1.579,0.631,27.196,4.373,1.132,0.551,0.624,1.322
Cer81_rep9_Dep6_Tu1,0.050,0.595,1.694,0.010,2.071,0.956,2.619,0.187,1.973,3.626,7.168,1.240,2.477,10.265,2.911,4.776,5.091,1.505,1.413,11.332,12.456,9.349,16.238
Cer81_rep4_Dep6_Tu30,1.646,5.524,11.689,0.105,3.685,2.850,0.773,1.085,0.915,4.027,2.836,0.596,2.953,3.666,7.918,2.428,11.492,20.706,2.783,1.183,4.600,1.801,4.740
Cer81_rep5_Dep6_Tu20,0.180,4.434,2.540,0.400,1.406,0.568,3.398,2.995,3.027,2.826,5.346,1.389,8.574,4.165,1.593,10.036,1.996,12.746,13.116,3.452,9.489,1.494,4.828
Cer81_rep2_Dep6_Tu0.5,0.034,0.910,0.311,0.000,0.321,1.705,0.859,1.638,1.216,4.011,8.468,2.435,3.238,0.216,29.350,6.535,15.246,0.079,3.710,8.089,2.007,8.548,1.074
Cer81_rep2_Dep6_Tu2,0.056,0.748,0.900,0.007,1.870,0.698,1.756,1.660,1.244,5.355,0.717,1.950,10.136,2.174,4.404,9.426,11.695,0.988,2.800,11.259,9.787,14.199,6.172
Cer81_rep5_Dep6_Tu1,0.102,0.612,0.500,0.038,2.321,0.571,1.187,1.953,2.937,6.787,9.908,2.994,3.175,4.962,6.553,7.460,6.823,0.185,5.144,7.806,5.652,1.112,21.218
Cer81_rep7_Dep6_Tu0.5,0.009,0.406,0.214,0.002,1.870,0.766,1.745,1.506,2.533,2.537,7.201,1.890,12.408,1.875,4.447,6.369,9.764,0.016,4.640,3.374,5.289,17.682,13.456
