Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Cer81_rep10_Dep6_Tu5,0.000,0.000,5.893,27.430,20.735,3.660,0.000,3.131,0.000,1.619,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.992,0.000,4.407,18.528,0.000,0.000,0.000,0.488,13.093
Cer81_rep8_Dep6_Tu2,0.000,0.000,11.299,0.000,32.234,5.914,0.000,12.858,0.000,0.000,5.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.573,9.953,4.079,0.000,0.000,0.000,0.000
Cer81_rep6_Dep6_Tu3,0.000,0.000,0.000,29.657,24.343,4.692,0.000,2.641,0.000,1.095,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.655,0.269,0.041,0.891,5.362,3.815,0.000,0.000,0.000,12.534
Cer81_rep2_Dep6_Tu3,0.000,0.000,0.000,2.814,25.447,22.061,0.000,4.239,0.000,1.120,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.253,0.000,1.518,14.329,18.206,0.912,0.797,6.291,0.000
Cer81_rep7_Dep6_Tu20,0.000,0.000,0.000,0.000,15.934,21.291,0.000,3.918,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.247,0.214,0.000,0.000,0.000,0.000,0.329,0.000,0.000,0.182,0.000,0.000,1.327,12.890,0.000,0.000,0.000,19.860,0.000,0.000,6.425,17.129,0.000,0.000,0.000,0.000,0.000
Cer81_rep5_Dep6_Tu5,0.000,0.000,1.688,6.750,23.236,8.877,0.000,10.894,0.000,0.455,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.047,0.000,0.000,0.000,0.000,42.052,0.492,1.367,2.355,0.000,0.000,0.000,1.755,0.000
Cer81_rep4_Dep6_Tu0.1,0.000,0.000,0.000,27.168,28.239,4.908,0.000,3.345,0.000,0.000,2.580,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.222,1.830,3.262,4.075,0.000,21.972,0.000,0.000,1.397
Cer81_rep9_Dep6_Tu20,0.000,0.000,0.000,16.478,14.497,11.173,0.000,1.762,0.000,0.422,0.000,0.043,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.198,0.248,0.000,0.000,0.000,0.016,0.290,0.000,0.000,0.000,0.020,0.000,0.076,7.759,1.253,0.000,0.000,20.638,0.000,0.000,23.093,1.981,0.000,0.050,0.000,0.000,0.000
Cer81_rep9_Dep6_Tu5,0.000,0.000,6.015,7.565,26.772,8.006,0.000,2.953,0.000,0.842,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.022,0.000,0.000,0.000,0.000,0.000,0.000,0.062,0.000,0.000,0.000,0.000,33.696,0.000,1.813,2.946,0.000,9.306,0.000,0.000,0.000
Cer81_rep2_Dep6_Tu1,0.000,0.000,0.301,1.854,31.655,16.108,0.000,10.177,0.000,2.233,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.970,30.699,0.000,0.000,0.000,0.000
Cer81_rep8_Dep6_Tu3,0.000,0.000,34.024,0.953,14.135,10.940,0.000,4.771,0.000,0.330,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,2.833,0.000,0.530,0.150,2.363,0.000,0.000,0.000,28.935,0.000
