Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Cer81_rep10_Dep6_Tu5,0.656,3.471,0.046,0.096,0.740,0.170,0.889,0.339,5.275,2.948,4.586,2.925,12.337,8.637,17.980,4.447,17.271,1.402,6.932,5.459,2.180,0.101,1.113
Cer81_rep8_Dep6_Tu2,0.481,1.645,0.153,0.015,2.442,0.148,0.830,5.353,2.852,2.652,2.262,0.936,14.529,5.703,5.821,16.969,12.986,2.526,1.067,1.926,14.009,1.929,2.768
Cer81_rep6_Dep6_Tu3,0.462,0.498,0.389,0.047,0.010,0.151,3.172,0.776,3.460,4.773,5.165,2.538,3.786,5.895,5.648,1.171,12.621,3.100,5.377,3.025,14.279,11.287,12.370
Cer81_rep2_Dep6_Tu3,0.429,2.516,0.481,0.030,1.375,0.112,0.973,2.124,4.813,3.362,3.574,1.421,10.019,10.203,14.741,5.686,2.352,2.266,5.496,3.339,1.943,13.388,9.354
Cer81_rep7_Dep6_Tu20,2.759,4.809,2.606,0.387,0.234,0.207,3.032,4.209,5.278,1.537,3.853,1.640,0.047,2.126,0.610,8.306,2.720,15.388,4.303,14.016,13.122,7.933,0.880
Cer81_rep5_Dep6_Tu5,0.558,1.671,0.114,0.003,1.845,0.140,1.902,5.265,2.652,3.967,1.539,1.997,5.135,7.141,9.774,7.123,6.540,6.124,19.073,3.824,6.668,2.245,4.699
Cer81_rep4_Dep6_Tu0.1,0.154,1.293,0.024,0.008,0.415,0.142,3.470,1.628,3.526,2.976,1.351,1.610,14.500,6.237,7.066,5.353,7.671,0.592,3.241,0.109,6.317,17.673,14.643
Cer81_rep9_Dep6_Tu20,0.402,3.362,5.864,0.270,1.949,0.189,2.564,2.277,3.496,5.350,5.037,2.124,6.192,0.561,9.004,2.835,0.573,15.486,6.262,10.010,5.137,10.512,0.542
Cer81_rep9_Dep6_Tu5,0.329,2.004,1.251,0.231,1.105,0.199,0.558,3.361,6.392,1.574,4.107,1.311,6.793,0.121,4.226,11.978,7.154,1.594,20.133,6.965,2.979,8.952,6.683
Cer81_rep2_Dep6_Tu1,0.593,0.728,0.229,0.002,0.924,0.094,1.741,5.468,2.118,3.773,1.615,1.428,14.941,3.926,6.945,7.226,6.582,0.885,5.576,3.385,13.870,7.357,10.593
Cer81_rep8_Dep6_Tu3,0.804,1.418,0.429,0.011,1.308,0.021,2.456,1.161,4.134,2.146,4.247,1.224,11.210,21.620,1.996,14.942,0.940,1.207,13.977,8.029,0.188,1.048,5.484
