Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Cer81_rep10_Dep6_Tu5,0.017,0.731,3.440,0.050,0.618,0.003,0.451,0.977,1.259,1.155,2.243,0.345,16.375,72.335
Cer81_rep8_Dep6_Tu2,0.378,1.044,0.579,0.080,0.742,0.005,0.199,0.947,0.116,0.799,3.391,0.660,16.294,74.767
Cer81_rep6_Dep6_Tu3,0.000,1.966,0.751,0.000,0.140,0.000,0.958,0.665,1.203,0.953,1.760,0.276,14.913,76.415
Cer81_rep2_Dep6_Tu3,0.000,0.283,2.757,0.000,1.331,0.000,0.190,0.648,0.399,1.327,2.579,0.494,15.404,74.587
Cer81_rep7_Dep6_Tu20,0.053,0.006,25.516,0.000,0.016,0.000,0.207,2.733,0.005,0.178,1.159,0.067,11.184,58.877
Cer81_rep5_Dep6_Tu5,0.000,0.404,5.006,0.000,0.952,0.000,0.057,1.311,1.080,1.385,1.743,0.373,15.494,72.194
Cer81_rep4_Dep6_Tu0.1,0.000,0.053,0.000,0.000,0.235,0.004,0.477,0.460,0.117,1.313,2.605,0.943,18.239,75.555
Cer81_rep9_Dep6_Tu20,0.007,0.030,23.968,0.000,0.127,0.000,0.122,1.730,0.727,0.626,2.233,0.202,11.753,58.474
Cer81_rep9_Dep6_Tu5,0.253,0.477,4.050,0.334,0.415,0.000,0.308,0.017,1.915,0.982,2.414,0.268,13.549,75.018
Cer81_rep2_Dep6_Tu1,0.005,0.226,0.009,0.000,0.279,0.000,0.124,0.681,1.136,1.354,3.462,0.311,17.323,75.090
Cer81_rep8_Dep6_Tu3,0.013,0.554,2.675,0.000,0.392,0.001,0.273,1.011,0.944,1.270,1.820,0.186,17.473,73.387
Cer81_rep8_Dep6_Tu1,0.000,0.142,0.000,0.000,0.661,0.004,0.250,0.320,0.850,1.520,2.822,0.476,16.940,76.015
Cer81_rep1_Dep6_Tu50,0.000,0.000,60.284,0.000,0.001,0.000,0.031,4.752,0.089,0.146,1.202,0.051,11.233,22.210
Cer81_rep9_Dep6_Tu1,0.004,0.709,0.032,0.000,0.903,0.306,0.942,0.752,0.308,0.977,2.854,0.258,15.924,76.031
Cer81_rep4_Dep6_Tu30,0.000,0.000,38.854,0.000,0.002,0.000,0.052,0.839,1.159,0.261,1.796,0.082,11.035,45.919
Cer81_rep5_Dep6_Tu20,0.001,0.441,23.387,0.000,0.338,0.000,0.343,3.220,0.002,0.985,3.228,0.536,14.524,52.995
Cer81_rep2_Dep6_Tu0.5,0.000,0.238,0.000,0.000,0.428,0.000,0.396,0.606,0.094,0.931,2.628,0.736,15.735,78.208
Cer81_rep2_Dep6_Tu2,0.001,0.390,1.545,0.000,0.339,0.044,0.493,0.270,0.687,1.976,1.794,0.413,16.113,75.936
Cer81_rep5_Dep6_Tu1,0.003,0.979,0.000,0.000,0.364,0.000,0.161,0.681,0.998,0.930,3.169,0.320,14.667,77.727
Cer81_rep7_Dep6_Tu0.5,0.000,0.325,0.000,0.000,0.579,0.000,0.563,0.526,0.804,2.052,1.568,0.315,17.756,75.510
Cer81_rep5_Dep6_Tu0.1,0.000,0.033,0.000,0.000,0.355,0.000,0.555,0.704,0.268,1.743,2.535,0.286,16.627,76.894
Cer81_rep8_Dep6_Tu0.1,0.000,0.067,0.000,0.000,0.744,0.005,0.587,1.419,0.810,1.019,2.828,0.478,17.812,74.231
Cer81_rep10_Dep6_Tu10,0.000,0.213,12.447,0.000,0.189,0.000,0.409,0.670,1.326,1.296,3.050,0.346,14.675,65.379
Cer81_rep2_Dep6_Tu5,0.001,0.491,5.209,0.000,0.358,0.000,0.088,1.099,0.749,1.641,1.576,0.101,17.294,71.393
Cer81_rep8_Dep6_Tu50,0.000,0.001,59.317,0.000,0.002,0.000,0.001,4.508,1.359,0.096,1.332,0.079,10.024,23.281
Cer81_rep2_Dep6_Tu40,0.003,0.040,49.908,0.000,0.010,0.000,0.321,1.222,1.141,0.089,2.502,0.179,12.327,32.257
Cer81_rep6_Dep6_Tu30,0.004,0.004,34.603,0.000,0.001,0.000,0.070,3.404,1.718,0.237,1.741,0.026,10.514,47.677
Cer81_rep4_Dep6_Tu1,0.000,1.206,0.016,0.059,0.924,0.002,0.214,0.494,0.767,1.502,3.060,0.325,17.138,74.294
Cer81_rep3_Dep6_Tu0.3,0.000,0.362,0.000,0.000,0.469,0.000,0.380,1.544,0.174,1.001,1.820,0.715,17.246,76.289
Cer81_rep9_Dep6_Tu0.1,0.000,0.190,0.000,0.000,0.616,0.004,0.160,0.695,1.407,1.447,3.036,0.469,16.875,75.101
Cer81_rep1_Dep6_Tu40,0.001,0.004,47.285,0.002,0.107,0.000,0.015,2.927,2.650,0.444,1.574,0.010,12.031,32.949
Cer81_rep10_Dep6_Tu2,0.017,0.981,0.330,0.000,1.465,0.000,0.304,0.507,0.267,1.252,2.744,0.748,18.299,73.085
