Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Colo_rep2_Dep6_Tu0.5,0.001,0.000,0.573,0.491,1.453,2.143,42.318,4.831,1.264,0.020,1.215,0.516,0.003,0.009,0.043,0.085,0.078,0.220,0.017,0.051,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.176,0.000,0.000,25.493,0.000,0.000,0.000,0.000
Colo_rep2_Dep6_Tu50,0.016,0.009,0.442,0.328,0.435,0.502,0.450,0.024,0.527,0.088,0.095,0.021,0.004,0.014,0.016,0.020,0.002,0.007,0.016,0.017,0.000,0.003,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.526,7.145,12.196,0.001,0.000,0.001,0.000,0.000,0.002,77.090
Colo_rep6_Dep6_Tu1,0.011,0.002,3.422,0.629,0.099,1.439,30.413,6.400,6.207,0.908,0.962,0.338,0.010,0.008,0.137,0.185,0.156,0.084,0.056,0.109,0.000,0.002,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.053,0.000,0.000,39.355,0.000,0.000,0.000,0.007
Colo_rep3_Dep6_Tu2,0.010,0.004,2.634,2.672,2.751,4.553,10.774,9.691,10.726,0.778,0.423,1.545,0.009,0.003,0.494,0.026,0.372,0.622,0.147,0.462,0.001,0.001,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.441,0.000,0.000,40.829,0.000,0.000,0.000,0.021
Colo_rep7_Dep6_Tu2,0.002,0.016,3.727,1.730,1.939,4.367,14.086,9.363,10.069,0.998,1.184,0.608,0.007,0.009,0.144,0.502,0.054,0.209,0.143,0.213,0.002,0.001,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.361,0.000,0.000,40.142,0.000,0.000,0.000,0.117
Colo_rep8_Dep6_Tu0.1,0.008,0.006,4.051,0.341,2.898,1.400,29.274,4.515,2.295,1.264,1.208,0.497,0.000,0.027,0.391,0.170,0.208,0.652,0.033,0.514,0.001,0.014,0.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,50.202,0.000,0.000,0.000,0.013
Colo_rep10_Dep6_Tu2,0.003,0.001,1.631,0.862,1.445,2.377,34.340,5.205,4.251,0.805,0.619,0.358,0.003,0.001,0.151,0.135,0.397,0.025,0.006,0.190,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.074,0.000,0.000,29.116,0.000,0.000,0.000,0.002
Colo_rep6_Dep6_Tu3,0.025,0.012,3.992,2.620,4.090,11.119,4.586,6.305,10.191,0.186,1.598,0.736,0.001,0.009,0.836,0.114,0.524,0.561,0.097,0.364,0.005,0.004,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.331,0.000,0.000,41.125,0.000,0.000,0.001,0.547
Colo_rep9_Dep6_Tu30,0.059,0.182,0.858,0.935,0.463,2.707,10.387,3.144,0.221,0.158,0.270,0.440,0.007,0.117,0.079,0.008,0.080,0.102,0.108,0.007,0.047,0.048,0.012,0.000,0.002,0.004,0.003,0.000,0.000,0.000,0.356,1.842,2.975,0.096,0.092,13.072,0.000,0.000,0.002,61.115
Colo_rep9_Dep6_Tu0.5,0.000,0.000,1.580,0.845,1.899,0.841,41.978,1.622,4.928,0.633,0.740,0.056,0.000,0.000,0.124,0.100,0.098,0.010,0.002,0.076,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.609,0.000,0.000,24.860,0.000,0.000,0.000,0.000
