Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Colo_rep2_Dep6_Tu0.5,1.113,0.458,7.259,5.960,3.710,5.598,8.827,0.606,6.127,3.290,1.446,1.790,0.873,1.189,1.777,2.138,2.497,2.994,1.485,2.476,0.687,0.469,1.044,0.144,0.303,0.040,0.136,0.002,0.035,0.017,0.000,0.009,0.551,0.233,0.411,0.093,0.125,0.094,0.708,1.903,1.310,2.363,0.344,0.049,4.632,2.657,10.634,0.365,8.191,0.836
Colo_rep2_Dep6_Tu50,1.565,1.689,0.080,1.527,0.249,0.919,1.374,1.208,1.486,1.270,2.260,0.301,1.088,0.099,2.153,0.623,1.419,1.216,1.902,0.788,1.262,1.122,0.426,0.445,0.340,0.636,0.849,0.118,1.515,0.306,3.826,13.832,1.458,0.393,1.566,0.787,0.207,0.654,1.942,1.327,0.743,4.762,9.881,1.513,10.363,0.234,0.785,0.182,0.132,15.178
Colo_rep6_Dep6_Tu1,0.361,0.300,4.017,2.948,0.554,0.911,6.868,11.410,10.750,1.699,5.895,0.736,1.047,0.346,2.945,3.746,1.137,2.469,2.077,2.032,0.037,0.699,1.728,0.194,0.241,0.070,0.130,0.017,0.036,0.023,0.005,0.012,0.090,0.822,0.476,0.203,0.260,0.210,0.724,0.488,12.530,1.634,2.604,0.113,2.900,0.290,5.630,2.640,0.282,2.661
Colo_rep3_Dep6_Tu2,1.850,1.187,1.375,7.077,3.822,4.669,9.174,9.315,2.302,1.824,2.195,3.661,1.200,0.707,1.493,3.383,1.467,0.802,2.451,2.663,0.995,0.375,0.590,0.157,0.498,0.053,0.019,0.087,0.032,0.028,0.007,0.008,0.174,0.666,0.702,0.214,0.194,0.142,1.252,0.530,1.759,2.048,3.635,0.228,4.395,0.398,3.409,12.133,2.112,0.544
Colo_rep7_Dep6_Tu2,0.752,0.030,0.860,1.448,6.514,3.524,11.099,5.422,7.100,4.126,2.976,4.831,1.774,0.617,0.120,0.572,2.742,3.493,1.640,0.489,0.764,0.076,1.362,0.127,0.012,0.073,0.159,0.100,0.061,0.025,0.010,0.012,0.318,0.586,0.616,0.103,0.171,0.153,1.011,1.871,0.055,2.314,0.635,0.186,3.877,10.996,8.694,2.225,2.525,0.753
Colo_rep8_Dep6_Tu0.1,0.122,0.478,7.746,8.045,3.788,6.714,1.273,2.918,8.587,1.697,0.961,5.596,0.603,0.932,4.081,2.956,0.752,3.241,2.705,0.710,1.214,0.466,0.719,0.151,0.509,0.016,0.000,0.056,0.021,0.029,0.000,0.006,0.447,0.925,0.247,0.010,0.262,0.122,0.096,2.163,4.923,0.073,0.853,0.091,0.514,0.957,4.210,2.592,11.860,2.561
Colo_rep10_Dep6_Tu2,0.998,1.296,10.027,4.313,6.691,2.409,3.557,2.632,8.388,1.550,0.691,4.517,0.639,1.444,1.932,1.782,0.801,1.543,2.492,3.949,0.831,1.005,1.291,0.135,0.494,0.126,0.131,0.025,0.034,0.029,0.001,0.009,0.097,0.330,0.881,0.235,0.161,0.067,0.156,2.259,2.754,7.575,3.070,0.349,0.813,2.446,3.776,4.102,4.746,0.422
Colo_rep6_Dep6_Tu3,0.414,0.723,1.513,6.450,5.796,8.194,6.706,5.013,2.585,0.256,2.782,4.306,0.793,1.421,0.866,2.172,3.558,2.866,2.287,2.064,1.090,0.834,0.169,0.234,0.552,0.054,0.055,0.039,0.067,0.040,0.027,0.045,0.256,0.059,1.288,0.308,0.201,0.099,0.038,1.620,0.790,1.079,1.179,0.194,3.619,11.323,6.099,3.280,2.942,1.652
Colo_rep9_Dep6_Tu30,2.261,1.653,0.892,3.148,1.276,2.678,1.384,3.225,3.084,1.244,2.840,2.649,0.483,0.508,1.170,1.185,2.656,2.962,0.250,2.079,1.589,0.199,1.070,0.068,1.070,0.629,0.204,0.458,1.141,0.108,0.139,5.318,1.425,1.171,1.584,0.251,0.356,0.249,1.093,0.464,1.337,0.213,6.764,11.204,0.744,0.384,1.945,3.992,4.252,12.953
Colo_rep9_Dep6_Tu0.5,0.437,1.358,4.650,4.221,4.604,1.644,10.687,10.012,3.170,4.376,1.620,0.121,0.441,0.091,2.553,0.902,3.199,1.361,1.365,3.340,0.499,0.738,1.304,0.098,0.304,0.110,0.054,0.024,0.021,0.016,0.000,0.002,0.288,0.383,0.731,0.141,0.146,0.139,1.006,1.347,0.909,0.696,2.598,0.087,4.297,1.457,17.061,3.952,0.374,1.070
Colo_rep6_Dep6_Tu20,1.281,0.602,3.418,4.533,2.824,3.255,5.230,1.957,2.449,0.091,4.215,0.703,0.177,0.585,0.814,2.382,3.665,3.682,2.243,1.060,0.292,0.088,1.377,0.007,1.328,0.290,0.435,0.167,0.547,0.244,0.647,2.270,0.984,1.098,0.472,0.166,0.393,0.359,0.938,2.764,1.789,9.156,2.771,6.945,1.071,9.883,4.844,2.601,0.279,0.627
Colo_rep8_Dep6_Tu30,2.795,2.070,3.313,1.489,2.156,2.842,3.566,0.089,1.933,1.361,3.107,1.964,0.675,0.851,0.734,2.829,2.448,0.890,1.018,1.438,1.616,0.102,1.123,0.301,0.781,0.502,0.517,0.378,0.121,0.436,1.867,3.965,0.520,0.791,1.205,0.304,0.388,0.344,0.992,2.549,2.719,2.604,3.748,10.949,3.427,1.397,7.019,2.205,0.274,9.288
Colo_rep3_Dep6_Tu5,0.899,0.800,3.421,5.016,1.158,3.195,7.982,7.224,7.473,0.168,2.515,3.344,0.342,1.546,1.238,0.833,3.325,3.072,2.418,2.738,0.562,0.636,1.466,0.026,0.122,0.209,0.157,0.109,0.058,0.059,0.076,0.067,0.803,0.066,0.690,0.437,0.071,0.273,0.055,2.170,5.639,1.409,1.795,0.979,6.233,0.004,9.071,0.196,5.332,2.519
Colo_rep4_Dep6_Tu3,0.043,0.653,0.712,4.276,5.809,3.533,7.251,5.749,3.701,2.511,5.643,3.664,1.622,0.142,1.287,2.904,1.118,3.068,2.048,2.558,0.591,1.052,1.147,0.080,0.506,0.250,0.048,0.104,0.130,0.041,0.003,0.010,0.544,0.585,0.467,0.057,0.196,0.223,0.268,2.201,0.321,1.111,2.895,0.899,1.184,2.757,4.720,7.557,10.944,0.817
Colo_rep2_Dep6_Tu10,1.533,0.295,3.273,1.169,7.904,2.417,1.234,4.523,5.600,2.447,3.344,3.096,1.757,0.584,3.119,1.869,2.549,2.164,0.719,2.923,0.063,1.258,0.922,0.027,1.056,0.326,0.302,0.108,0.259,0.085,0.167,0.208,0.872,0.085,0.066,0.308,0.067,0.109,0.510,2.839,11.792,6.685,0.267,3.587,0.609,5.319,4.044,0.668,0.849,4.026
Colo_rep3_Dep6_Tu40,2.347,1.291,2.142,1.620,1.053,2.026,2.579,2.170,1.832,2.604,1.055,1.049,1.051,1.096,1.880,0.496,1.934,0.337,2.530,1.283,1.114,0.322,1.842,0.549,1.257,0.173,0.187,0.254,0.949,0.496,3.044,5.334,0.704,0.627,1.798,0.601,0.423,0.678,0.455,1.452,0.111,4.783,6.324,18.467,0.971,2.297,0.251,1.856,2.805,7.505
Colo_rep3_Dep6_Tu30,2.588,0.953,2.652,1.351,2.530,3.449,1.244,3.125,1.931,2.628,3.061,1.331,1.517,1.113,2.520,0.255,1.034,2.901,1.408,1.165,0.437,1.351,1.188,0.202,1.249,0.003,0.528,0.465,1.040,0.080,1.801,2.858,0.671,1.234,0.185,0.425,0.547,0.359,1.175,1.246,3.319,5.637,1.378,14.277,7.357,0.358,4.297,1.387,0.589,5.600
Colo_rep6_Dep6_Tu30,3.233,0.126,5.113,2.955,2.807,3.058,0.488,1.853,2.288,1.952,1.514,0.550,0.601,2.156,1.135,0.675,5.220,0.633,1.479,1.950,1.528,0.650,1.774,0.437,0.289,0.268,0.323,0.361,0.475,0.372,2.361,2.851,0.420,0.458,2.389,0.812,0.720,0.079,0.300,0.339,2.014,3.993,7.110,13.726,2.115,0.414,0.897,4.676,1.487,6.575
Colo_rep4_Dep6_Tu50,0.952,1.111,1.968,1.384,1.633,1.017,1.058,1.760,1.973,0.109,1.350,1.308,0.523,0.573,3.091,1.484,1.024,2.662,0.102,3.463,1.888,0.935,0.191,0.192,1.111,0.258,0.650,0.275,0.897,0.630,4.838,7.423,2.071,0.298,1.049,0.751,0.160,1.252,0.233,0.737,0.074,5.344,1.937,26.503,3.685,4.487,0.201,0.259,3.049,0.079
Colo_rep5_Dep6_Tu50,1.415,2.526,1.844,0.761,1.332,0.891,0.159,1.647,1.943,1.868,2.752,0.119,1.812,0.312,1.479,0.577,3.573,0.627,0.004,1.845,0.487,0.727,1.952,0.673,1.181,0.371,0.780,0.151,1.594,0.107,7.517,5.031,1.147,1.106,0.408,0.238,0.602,0.648,0.437,0.358,1.349,9.339,2.392,20.254,1.787,1.809,2.812,0.144,0.350,6.760
Colo_rep6_Dep6_Tu2,1.808,0.293,2.680,7.541,5.836,5.939,7.271,0.088,5.497,2.285,4.246,1.099,0.834,1.085,2.862,2.578,3.037,2.812,1.170,2.660,0.500,0.849,0.939,0.108,0.066,0.172,0.129,0.023,0.068,0.003,0.006,0.010,0.084,1.229,0.428,0.360,0.112,0.136,0.460,0.185,0.384,1.361,3.020,0.333,0.042,8.690,2.516,3.966,10.688,1.514
Colo_rep10_Dep6_Tu50,1.572,1.779,1.407,1.659,1.274,0.459,0.438,1.440,0.869,2.112,1.005,1.560,1.086,0.450,1.517,1.571,1.038,1.494,2.110,2.444,0.265,0.784,1.882,0.492,0.649,0.854,0.769,0.052,1.623,0.095,7.744,6.292,0.126,1.219,0.284,0.607,0.369,1.003,1.952,0.334,0.002,6.530,5.455,15.867,1.978,3.193,1.356,0.349,0.313,10.277
