Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Colo_rep2_Dep6_Tu0.5,0.000,2.745,0.165,0.000,1.934,0.420,2.291,1.663,0.817,13.017,8.235,3.117,65.597
Colo_rep2_Dep6_Tu50,0.000,4.962,0.722,2.635,3.448,29.531,1.299,8.574,0.077,4.473,8.517,2.510,33.250
Colo_rep6_Dep6_Tu1,0.000,2.759,0.186,0.000,1.805,0.733,2.027,1.006,1.148,13.063,8.812,3.253,65.208
Colo_rep3_Dep6_Tu2,0.000,2.856,0.406,0.000,1.855,1.804,2.952,1.122,4.106,10.051,9.207,1.776,63.863
Colo_rep7_Dep6_Tu2,0.029,2.945,0.000,0.000,1.224,1.580,2.359,2.920,0.100,11.711,9.364,3.024,64.743
Colo_rep8_Dep6_Tu0.1,0.000,3.202,0.275,0.000,1.560,0.403,2.811,1.726,1.764,12.034,9.274,2.808,64.144
Colo_rep10_Dep6_Tu2,0.000,2.915,0.391,0.000,1.421,1.446,2.673,5.132,0.000,11.667,7.551,2.466,64.337
Colo_rep6_Dep6_Tu3,0.151,2.606,0.000,0.000,2.047,2.731,2.653,2.560,2.129,10.476,8.648,1.948,64.053
Colo_rep9_Dep6_Tu30,0.000,4.038,0.206,0.000,3.900,18.804,2.182,4.508,2.618,6.889,8.589,2.865,45.401
Colo_rep9_Dep6_Tu0.5,0.000,1.002,0.430,0.000,2.297,0.930,2.027,3.940,0.529,12.127,8.913,2.413,65.391
Colo_rep6_Dep6_Tu20,0.218,3.550,0.223,0.000,2.057,12.932,1.956,6.748,2.942,6.319,7.535,1.928,53.593
Colo_rep8_Dep6_Tu30,0.000,4.599,0.107,0.457,3.620,18.238,1.982,6.828,0.000,7.153,9.057,2.812,45.146
Colo_rep3_Dep6_Tu5,0.000,3.723,0.109,0.000,2.259,3.456,1.976,1.334,2.966,10.747,7.987,3.031,62.412
Colo_rep4_Dep6_Tu3,0.168,1.758,0.595,0.000,2.153,2.442,1.882,3.340,0.717,10.755,9.053,3.266,63.870
Colo_rep2_Dep6_Tu10,0.263,2.623,0.554,0.000,2.547,6.527,2.674,6.221,0.000,9.793,7.601,2.327,58.869
Colo_rep3_Dep6_Tu40,0.000,4.157,0.238,0.595,3.660,24.600,1.625,7.999,0.000,6.008,9.592,2.599,38.928
Colo_rep3_Dep6_Tu30,0.000,4.512,0.025,0.121,3.206,18.375,2.257,7.575,0.300,7.084,9.016,1.759,45.770
Colo_rep6_Dep6_Tu30,0.000,3.558,0.226,0.510,3.404,19.348,2.183,6.475,5.807,3.918,8.147,1.222,45.202
Colo_rep4_Dep6_Tu50,0.000,5.558,0.233,2.551,3.516,29.796,2.112,7.152,3.678,2.379,6.425,1.738,34.863
Colo_rep5_Dep6_Tu50,0.000,5.003,0.000,0.908,4.176,30.186,1.298,7.964,1.759,4.411,9.286,2.411,32.599
Colo_rep6_Dep6_Tu2,0.000,2.580,0.166,0.000,1.655,1.738,2.159,2.012,3.527,10.349,9.788,1.976,64.050
Colo_rep10_Dep6_Tu50,0.304,4.273,0.093,1.537,4.139,30.016,1.936,5.652,2.916,5.262,9.112,2.016,32.744
Colo_rep7_Dep6_Tu50,0.000,5.919,0.017,1.487,4.456,29.856,1.669,10.662,0.000,1.639,7.996,2.240,34.060
