Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Colo_rep2_Dep6_Tu0.5,0.367,0.134,6.750,0.686,2.668,1.899,3.079,6.669,3.255,1.042,3.168,4.051,0.033,0.139,0.002,0.001,0.002,0.001,0.000,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.966,0.009,0.000,0.344,0.004,0.005,0.001,0.013,0.008,0.042,64.655
Colo_rep2_Dep6_Tu50,0.335,3.276,10.024,0.542,0.277,1.308,0.088,0.508,1.134,0.811,0.674,2.116,0.115,0.557,0.017,0.022,0.198,0.176,0.018,0.007,0.042,0.109,0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.243,0.000,13.712,22.382,0.000,9.587,1.114,0.000,0.000,0.000,0.000,30.514
Colo_rep6_Dep6_Tu1,0.432,0.261,3.773,1.232,5.819,0.889,5.753,8.009,0.625,0.667,0.980,2.734,0.166,0.184,0.000,0.000,0.000,0.000,0.000,0.000,0.739,0.421,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.638,0.000,0.016,2.288,0.011,0.011,0.000,0.000,0.140,0.086,63.995
Colo_rep3_Dep6_Tu2,0.034,0.037,2.666,3.169,2.439,0.172,8.927,7.795,0.756,1.150,3.969,3.810,0.114,0.943,0.004,0.068,0.016,0.001,0.009,0.347,0.798,0.065,1.479,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.967,0.000,0.000,0.480,0.000,0.000,0.000,0.000,0.000,0.000,59.782
Colo_rep7_Dep6_Tu2,0.931,0.274,1.083,4.770,0.590,10.348,1.089,1.435,0.188,1.897,0.250,0.064,0.003,0.033,0.000,0.001,0.002,0.002,0.000,0.000,0.223,0.002,0.487,0.000,1.591,0.000,0.000,0.000,0.000,0.000,0.007,2.313,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,72.415
Colo_rep8_Dep6_Tu0.1,0.025,0.009,0.173,8.577,0.410,5.172,3.272,1.722,8.934,1.002,2.200,1.691,0.067,0.463,0.309,0.036,0.605,0.754,0.005,0.004,0.000,0.147,3.157,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.311,0.000,0.000,0.090,0.004,0.000,0.000,0.000,0.000,0.000,60.861
Colo_rep10_Dep6_Tu2,0.222,1.310,3.485,3.434,7.777,3.150,1.129,5.423,0.058,4.633,2.359,0.444,0.352,0.156,0.094,0.108,0.366,0.018,0.012,0.069,0.018,0.023,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.238,0.023,0.000,0.087,0.084,0.110,0.019,0.281,0.000,0.005,62.489
Colo_rep6_Dep6_Tu3,0.035,0.014,1.328,0.212,1.135,8.271,2.717,4.357,0.920,2.660,1.658,0.323,0.001,0.000,0.001,0.036,0.068,0.005,0.004,0.023,2.379,0.061,0.931,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.733,0.000,0.001,2.246,0.024,0.002,0.000,0.000,0.000,0.000,69.851
Colo_rep9_Dep6_Tu30,0.881,1.775,2.053,0.994,2.467,0.655,5.239,7.723,2.358,0.663,0.890,7.312,0.030,0.672,0.000,0.000,0.000,0.001,0.006,0.022,0.236,0.701,0.342,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.527,5.612,18.466,0.000,3.969,0.000,0.000,0.000,0.000,0.000,36.407
Colo_rep9_Dep6_Tu0.5,0.013,0.706,8.239,2.391,4.953,0.282,0.648,5.953,1.872,1.540,3.766,0.984,0.004,0.639,0.073,0.029,0.111,0.009,0.001,0.010,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.040,0.414,0.000,0.030,1.083,0.000,0.001,65.206
Colo_rep6_Dep6_Tu20,0.679,0.088,3.809,1.143,2.948,0.503,4.208,6.317,0.147,2.216,2.368,0.862,0.585,1.093,0.024,0.000,0.003,0.028,0.023,2.023,0.069,0.086,0.173,0.000,0.209,0.000,0.000,0.000,0.022,0.001,0.000,8.137,6.418,0.018,0.069,0.225,2.206,0.001,0.000,0.000,53.296
Colo_rep8_Dep6_Tu30,0.439,1.696,8.433,0.546,0.569,0.185,2.356,2.507,0.349,0.691,0.300,1.962,0.104,1.146,0.001,0.001,0.002,0.002,0.000,0.002,0.001,0.035,0.000,0.466,0.001,0.004,0.093,0.863,0.002,0.000,0.286,4.161,18.744,0.000,5.682,0.001,0.000,0.000,0.000,0.000,48.370
Colo_rep3_Dep6_Tu5,2.283,0.258,11.558,1.503,5.812,1.214,2.781,0.497,5.447,0.636,1.624,1.926,0.141,0.509,0.022,0.048,0.079,0.452,0.001,0.000,0.346,0.194,1.127,0.000,0.000,0.000,0.960,0.000,0.000,0.000,0.063,0.001,3.054,0.288,0.097,0.001,0.000,0.000,0.000,0.000,57.077
Colo_rep4_Dep6_Tu3,0.102,0.016,0.472,1.559,2.935,11.273,1.502,5.877,1.001,1.070,1.648,2.576,0.775,0.295,0.006,0.037,0.002,0.024,0.206,0.038,0.056,0.390,0.057,0.000,1.889,0.000,0.000,0.000,0.737,0.054,0.000,1.700,0.000,0.002,0.058,0.027,0.089,0.087,0.001,0.000,63.440
