Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Colo_rep2_Dep6_Tu0.5,0.000,7.191,14.325,0.000,0.000,0.000,0.942,13.367,0.787,0.000,0.000,3.141,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.597,0.000,0.000,9.880,37.385,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.381,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep2_Dep6_Tu50,0.000,0.000,0.000,0.000,0.000,31.607,7.652,0.000,0.000,1.171,0.000,18.355,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.178,19.681,0.000,0.000,4.519,0.000,0.282,0.000,0.000,0.071,0.000,0.000,0.000,0.000,0.000,0.483
Colo_rep6_Dep6_Tu1,0.000,0.000,10.392,0.000,1.197,0.000,4.693,0.000,0.000,10.968,0.000,4.947,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.468,0.000,34.315,0.000,0.000,15.628,16.304,0.000,0.000,0.000,0.000,0.000,0.000,1.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep3_Dep6_Tu2,0.000,1.771,43.236,0.000,0.000,0.000,11.110,13.672,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.862,0.000,2.434,0.000,0.000,18.381,4.262,0.000,0.000,0.000,0.000,0.000,0.000,0.271,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep7_Dep6_Tu2,0.000,5.611,40.745,23.229,0.000,0.000,0.128,6.073,0.000,0.000,0.000,5.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.898,0.000,2.258,0.000,0.000,11.531,3.273,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.217,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep8_Dep6_Tu0.1,0.000,3.553,36.602,3.550,0.000,0.000,1.203,7.064,19.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.456,0.000,0.918,0.000,0.000,20.427,3.827,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.314,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep10_Dep6_Tu2,0.000,0.000,15.265,2.266,0.000,0.000,0.000,12.809,0.000,0.000,0.000,7.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,37.504,0.000,0.000,14.611,9.431,0.000,0.000,0.048,0.000,0.044,0.000,0.361,0.458,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep6_Dep6_Tu3,0.000,4.141,39.418,5.494,0.000,0.000,0.182,12.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.559,0.000,0.927,0.000,0.000,23.014,11.803,0.000,0.000,0.000,0.000,0.000,0.000,0.121,0.271,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep9_Dep6_Tu30,0.000,4.340,2.263,0.000,0.000,18.316,2.512,0.000,0.000,16.043,0.000,0.689,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.786,0.000,13.030,0.000,0.000,9.791,20.065,0.000,0.000,0.000,0.000,3.622,0.000,0.000,2.545,0.000,0.000,0.000,0.996,0.000,0.000
Colo_rep9_Dep6_Tu0.5,0.000,0.000,11.716,0.000,0.000,0.000,0.000,1.991,0.000,0.000,12.993,7.998,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.826,0.000,0.000,16.094,40.299,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.080,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep6_Dep6_Tu20,0.000,4.745,20.612,0.000,0.000,5.869,1.531,1.379,0.000,0.239,13.935,0.349,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.963,0.000,0.000,21.079,9.029,0.000,8.903,0.011,0.000,0.355,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep8_Dep6_Tu30,0.000,0.000,0.000,0.000,0.000,6.311,4.484,7.183,0.000,0.000,0.000,6.874,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.304,0.000,6.162,0.000,0.000,13.341,33.838,0.000,0.000,0.000,0.000,7.434,12.589,0.000,1.478,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep3_Dep6_Tu5,0.000,11.039,8.355,0.000,0.000,0.000,2.932,0.000,5.690,4.908,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.601,0.000,5.851,0.000,0.000,13.677,43.535,0.000,0.000,0.009,0.000,0.016,0.000,0.000,0.386,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep4_Dep6_Tu3,1.137,7.863,28.700,0.000,0.000,0.000,0.000,1.358,0.000,13.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.033,0.000,19.077,0.000,0.000,8.238,14.471,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.519,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep2_Dep6_Tu10,0.000,0.000,9.679,0.000,0.000,0.000,0.000,9.901,0.000,0.000,0.000,5.680,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,42.016,0.000,0.000,21.282,9.802,0.000,0.000,0.061,0.000,1.248,0.000,0.000,0.329,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep3_Dep6_Tu40,0.000,2.256,6.344,0.000,0.000,12.200,9.304,0.000,0.000,9.424,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.133,0.000,3.706,0.000,0.000,16.365,13.792,0.000,0.000,0.000,0.000,17.407,0.000,0.000,9.068,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep3_Dep6_Tu30,0.000,0.000,5.286,0.000,0.000,14.855,0.000,9.563,0.000,0.000,0.000,4.942,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.326,0.000,0.000,19.893,25.881,0.000,2.417,0.139,0.000,0.212,6.354,0.000,0.131,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep6_Dep6_Tu30,0.000,0.000,31.123,0.000,0.000,20.429,0.000,0.000,0.000,12.622,0.000,3.564,0.000,0.000,0.000,0.000,0.000,0.000,2.769,0.000,0.000,0.000,0.000,0.000,0.000,21.863,0.000,0.000,0.000,0.000,0.000,0.449,0.000,0.000,7.178,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep4_Dep6_Tu50,0.000,1.337,12.638,0.000,0.000,19.835,0.000,1.461,0.000,6.428,0.000,4.747,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.722,11.142,0.000,0.000,0.000,28.611,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep5_Dep6_Tu50,0.000,0.000,0.000,8.451,0.000,22.144,0.000,7.204,0.000,0.000,0.000,3.324,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.451,0.000,0.000,23.734,16.629,0.000,0.000,0.000,0.000,3.394,0.000,0.000,0.189,0.000,0.000,0.000,0.000,0.000,14.478
Colo_rep6_Dep6_Tu2,0.000,4.087,44.611,0.000,0.000,0.000,7.284,0.000,0.000,19.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.591,6.326,0.000,0.000,0.003,0.000,0.000,0.000,0.000,1.058,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep10_Dep6_Tu50,0.000,0.000,0.000,0.000,0.000,29.644,0.000,10.333,0.000,0.000,0.663,4.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.950,0.000,0.000,26.488,5.581,0.000,0.000,0.000,0.000,1.050,0.000,0.000,14.232,0.000,0.000,0.000,0.000,0.000,0.016
Colo_rep7_Dep6_Tu50,0.000,0.000,0.000,9.717,0.000,19.330,0.000,5.631,0.000,0.000,0.000,7.221,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.883,0.000,24.616,18.796,8.559,0.000,0.129,0.009,0.000,0.108,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep9_Dep6_Tu40,0.000,0.000,2.458,0.000,0.000,18.892,15.498,0.000,0.000,6.698,0.000,4.492,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.626,0.000,0.000,0.000,0.000,16.741,14.069,0.000,0.000,0.000,0.000,0.641,0.000,0.000,2.914,0.000,0.000,0.000,0.082,0.000,11.886
