Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Colo_rep2_Dep6_Tu0.5,13.633,0.000,15.585,0.000,0.000,27.971,0.000,18.228,0.000,14.066,0.000,0.000,0.000,0.173,0.000,0.000,0.000,0.000,0.000,0.000,1.669,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.674,0.000,0.000,0.000,0.000,0.000
Colo_rep2_Dep6_Tu50,0.000,14.517,13.804,0.000,0.000,17.968,0.000,0.000,0.000,0.000,0.000,7.636,0.000,4.098,0.000,0.000,0.000,1.241,0.000,0.000,1.003,1.101,0.000,0.000,0.000,0.000,5.150,0.000,0.000,0.000,8.106,15.913,0.000,0.000,8.417,1.046,0.000,0.000,0.000,0.000
Colo_rep6_Dep6_Tu1,7.242,2.905,4.804,0.000,0.000,21.392,0.000,34.428,0.000,2.994,0.000,6.823,0.000,0.575,0.000,0.000,0.000,0.000,0.000,0.000,6.406,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.811,7.477,4.146,0.000,0.000,0.000,0.000,0.000
Colo_rep3_Dep6_Tu2,9.598,0.000,16.085,0.000,0.000,32.483,0.000,12.425,0.000,10.737,0.000,2.496,0.000,2.137,0.000,0.000,0.000,0.000,1.163,0.000,6.742,0.000,0.000,0.000,0.000,0.298,0.000,0.000,0.000,0.000,0.124,0.000,0.000,5.712,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep7_Dep6_Tu2,13.200,2.585,1.750,0.000,0.000,37.090,0.000,24.164,0.000,9.185,0.000,0.000,1.397,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.327,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.138,0.000,0.000,0.699,4.466,0.000,0.000,0.000,0.000,0.000
Colo_rep8_Dep6_Tu0.1,10.017,0.000,9.324,7.727,0.000,29.508,0.000,12.394,0.000,10.897,0.000,0.000,0.000,2.542,0.000,0.000,0.000,0.000,1.438,0.000,6.437,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.716,0.000,0.000,0.000,0.000,0.000
Colo_rep10_Dep6_Tu2,0.000,11.087,5.159,0.000,0.000,30.682,0.000,21.605,0.000,15.494,0.000,0.000,1.403,0.401,0.000,0.000,0.000,0.000,0.000,0.495,1.974,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.187,0.000,0.000,1.330,10.182,0.000,0.000,0.000,0.000,0.000
Colo_rep6_Dep6_Tu3,7.871,0.000,1.354,0.000,0.000,50.154,0.000,7.636,0.000,11.980,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.538,0.000,7.225,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.211,0.000,0.000,0.000,0.000,0.000
Colo_rep9_Dep6_Tu30,15.165,0.000,16.092,0.000,0.000,4.417,0.000,23.452,0.000,0.000,0.000,12.366,0.000,2.583,0.000,0.000,0.000,0.000,0.000,0.000,2.882,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.926,5.303,6.648,0.000,3.165,0.000,0.000,0.000,0.000,0.000
Colo_rep9_Dep6_Tu0.5,0.000,9.846,26.463,0.000,0.000,18.422,0.000,13.852,0.000,9.383,0.000,3.866,0.000,3.251,0.000,0.000,0.000,0.000,0.000,0.558,1.552,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.806,0.000,0.000,0.000,0.000,0.000
Colo_rep6_Dep6_Tu20,8.128,0.000,8.847,0.000,0.000,23.773,0.000,18.617,0.000,1.828,10.785,0.005,0.000,1.684,0.000,0.000,0.000,0.000,0.000,3.976,3.767,0.000,0.000,0.000,2.520,0.000,0.000,0.000,0.000,0.000,7.740,4.225,0.000,0.000,4.106,0.000,0.000,0.000,0.000,0.000
Colo_rep8_Dep6_Tu30,0.092,12.100,30.689,0.000,0.000,0.585,3.736,10.894,0.000,1.361,4.870,2.288,0.000,3.468,0.000,0.000,0.000,0.000,0.000,0.000,1.337,0.000,0.000,0.000,0.000,2.442,0.000,0.000,0.000,0.000,13.530,0.000,3.920,0.000,8.688,0.000,0.000,0.000,0.000,0.000
Colo_rep3_Dep6_Tu5,11.830,0.000,20.825,0.000,5.938,33.702,0.000,0.000,0.000,0.585,0.000,6.438,0.000,1.526,0.000,0.000,0.000,0.000,0.000,0.000,6.471,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.340,1.261,0.000,0.248,0.000,9.835,0.000,0.000,0.000,0.000,0.000
