Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Colo_rep2_Dep6_Tu0.5,0.013,0.031,2.243,1.803,1.462,4.298,34.788,2.925,1.723,1.075,0.295,0.343,0.080,0.027,0.014,0.019,0.006,0.013,0.001,0.020,0.006,0.009,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.035,0.007,0.000,48.753,0.000,0.000,0.000,0.000
Colo_rep2_Dep6_Tu50,0.001,0.036,1.143,1.898,1.973,1.661,1.704,1.156,0.747,0.052,0.070,0.134,0.009,0.033,0.001,0.007,0.003,0.001,0.011,0.005,0.000,0.020,0.002,0.000,0.001,0.001,0.000,0.000,0.004,0.000,0.262,4.102,84.918,0.040,0.001,0.004,0.000,0.000,0.000,0.000
Colo_rep6_Dep6_Tu1,0.032,0.007,0.128,4.585,4.551,1.690,23.387,6.404,7.455,0.681,0.190,0.720,0.013,0.013,0.021,0.019,0.022,0.025,0.008,0.020,0.011,0.009,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.098,0.004,49.800,0.000,0.000,0.000,0.000
Colo_rep3_Dep6_Tu2,0.044,0.226,7.249,4.980,4.313,5.297,4.738,9.832,7.450,0.647,1.127,0.480,0.213,0.048,0.022,0.180,0.207,0.187,0.032,0.276,0.007,0.002,0.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.336,0.278,0.000,51.811,0.000,0.000,0.000,0.000
Colo_rep7_Dep6_Tu2,0.119,0.100,3.928,4.620,5.996,4.583,20.625,3.507,3.848,0.391,0.827,0.358,0.001,0.059,0.055,0.076,0.101,0.073,0.027,0.031,0.001,0.001,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.699,0.214,0.000,49.753,0.000,0.000,0.000,0.000
Colo_rep8_Dep6_Tu0.1,0.046,0.025,4.174,2.504,3.339,4.609,14.641,10.993,6.066,0.838,0.639,0.491,0.014,0.037,0.063,0.105,0.188,0.263,0.076,0.154,0.005,0.017,0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.034,0.002,50.609,0.000,0.000,0.000,0.000
Colo_rep10_Dep6_Tu2,0.000,0.120,1.509,3.410,6.580,4.068,21.108,7.271,2.536,0.995,0.222,0.067,0.026,0.007,0.221,0.088,0.256,0.044,0.048,0.066,0.033,0.013,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.091,0.024,0.021,50.151,0.000,0.000,0.000,0.000
Colo_rep6_Dep6_Tu3,0.031,0.095,3.276,2.737,5.471,5.374,19.725,2.927,5.789,0.684,0.476,0.246,0.012,0.027,0.092,0.073,0.145,0.021,0.030,0.061,0.136,0.082,0.419,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.190,0.832,0.014,49.035,0.000,0.000,0.000,0.000
Colo_rep9_Dep6_Tu30,0.607,0.481,0.750,3.259,0.308,5.280,4.808,6.649,3.202,0.340,0.406,0.564,0.024,0.067,0.018,0.068,0.019,0.045,0.024,0.067,0.016,0.021,0.089,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.034,1.811,55.746,0.178,0.011,15.099,0.000,0.000,0.000,0.000
Colo_rep9_Dep6_Tu0.5,0.002,0.007,5.684,0.472,4.840,0.143,35.001,0.586,3.117,0.260,0.307,0.384,0.002,0.001,0.005,0.037,0.054,0.047,0.003,0.001,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.026,0.002,0.001,49.017,0.000,0.000,0.000,0.000
Colo_rep6_Dep6_Tu20,0.016,0.082,5.514,3.086,3.705,4.888,12.658,0.349,3.006,0.115,0.179,0.267,0.075,0.072,0.034,0.013,0.049,0.032,0.016,0.087,0.027,0.005,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.046,1.367,36.385,0.968,0.001,26.946,0.000,0.000,0.000,0.000
Colo_rep8_Dep6_Tu30,0.035,0.163,3.760,0.831,3.765,2.674,9.354,4.664,0.170,0.453,0.099,0.327,0.023,0.010,0.050,0.017,0.152,0.031,0.004,0.077,0.103,0.001,0.043,0.002,0.000,0.033,0.040,0.000,0.000,0.000,0.029,0.704,58.231,0.453,0.079,13.622,0.000,0.000,0.002,0.000
Colo_rep3_Dep6_Tu5,0.144,0.004,3.741,1.651,5.609,3.777,19.953,4.706,5.200,0.231,0.576,0.070,0.013,0.011,0.013,0.057,0.148,0.233,0.054,0.115,0.010,0.008,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.228,0.172,0.014,45.231,0.000,0.001,0.000,0.000
Colo_rep4_Dep6_Tu3,0.023,0.053,0.471,1.474,4.145,6.885,16.443,11.102,4.749,0.382,0.916,0.222,0.002,0.004,0.025,0.026,0.027,0.036,0.007,0.000,0.006,0.013,0.011,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.012,3.158,0.137,0.025,49.636,0.000,0.000,0.000,0.000
Colo_rep2_Dep6_Tu10,0.113,0.042,1.354,5.248,7.229,1.870,22.346,0.186,2.141,0.012,0.392,0.705,0.056,0.091,0.014,0.032,0.053,0.016,0.003,0.019,0.012,0.004,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,21.222,0.055,0.070,36.674,0.000,0.000,0.000,0.000
