Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Colo_rep2_Dep6_Tu0.5,19.157,5.699,32.078,9.942,4.223,0.000,0.000,3.430,15.214,2.525,1.900,0.000,0.000,2.341,0.100,0.000,0.000,0.000,0.125,0.114,1.346,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.092,1.635,0.000,0.000,0.011,0.000,0.059,0.000
Colo_rep2_Dep6_Tu50,13.122,0.483,9.158,0.778,0.000,0.000,2.183,0.754,5.697,0.000,0.966,6.774,0.000,0.288,0.779,0.000,0.000,0.000,0.488,0.000,0.000,0.000,0.534,0.000,0.000,0.000,0.000,0.000,0.386,24.491,0.086,0.000,0.000,0.578,32.453,0.000,0.000,0.000,0.000,0.000
Colo_rep6_Dep6_Tu1,7.761,12.360,38.043,14.976,0.603,0.021,0.049,6.660,4.994,3.072,0.000,3.335,0.000,1.243,0.192,0.000,0.000,0.000,0.413,0.000,2.798,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.421,1.441,0.541,0.000,0.000,0.000,0.074,0.000
Colo_rep3_Dep6_Tu2,12.897,3.556,33.002,25.415,0.000,0.000,0.000,3.943,1.915,7.858,0.000,0.000,1.533,0.000,0.305,0.000,0.000,0.000,1.150,0.000,4.404,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,0.861,0.063,0.000,0.000,3.059,0.000,0.000,0.018,0.000,0.000,0.000
Colo_rep7_Dep6_Tu2,0.000,11.492,17.329,27.342,17.783,0.000,0.000,4.891,4.268,4.477,0.201,0.000,0.000,1.355,0.000,0.000,0.000,0.000,2.243,0.000,6.728,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.131,0.000,0.000,0.693,0.066,0.000,0.000,0.000,0.000,0.000
Colo_rep8_Dep6_Tu0.1,0.000,17.647,17.076,40.169,1.648,0.000,0.000,5.061,4.218,6.054,0.000,0.000,1.374,0.000,0.000,0.000,0.018,0.000,1.620,0.000,0.031,0.000,2.287,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.008,0.000,0.857,1.879,0.041,0.000,0.008,0.000,0.000,0.000
Colo_rep10_Dep6_Tu2,22.594,4.539,23.612,8.970,0.000,0.000,0.000,11.974,16.761,0.000,5.284,0.000,0.000,0.502,0.073,0.000,0.100,0.000,0.000,0.483,1.947,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.041,0.000,0.000,3.000,0.050,0.000,0.058,0.000,0.000,0.009
Colo_rep6_Dep6_Tu3,0.000,9.503,26.580,32.323,0.000,0.000,0.000,4.970,4.081,4.090,0.000,0.236,0.000,0.431,0.016,0.000,0.163,0.000,1.434,0.000,9.538,0.000,1.262,0.000,0.000,0.000,0.000,0.000,0.017,1.270,0.007,0.000,0.000,3.919,0.158,0.000,0.000,0.000,0.000,0.000
Colo_rep9_Dep6_Tu30,0.603,11.477,14.582,2.618,0.000,0.000,0.070,16.605,0.788,0.000,8.017,1.618,0.000,0.000,0.099,0.000,0.000,0.000,1.192,0.000,0.000,0.000,3.606,0.000,0.000,0.000,0.000,0.000,0.008,21.099,0.064,0.025,0.000,7.564,9.960,0.000,0.006,0.000,0.000,0.000
Colo_rep9_Dep6_Tu0.5,26.089,2.602,41.202,6.277,0.000,0.612,0.349,5.467,8.714,1.286,0.765,2.564,0.000,0.225,0.000,0.000,0.000,0.000,0.000,1.034,0.103,0.000,0.027,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,2.125,0.513,0.031,0.000,0.010,0.000,0.000,0.000
Colo_rep6_Dep6_Tu20,10.684,1.179,18.466,22.691,0.000,0.000,0.000,4.663,5.486,2.730,0.000,3.356,0.000,1.254,0.028,0.000,0.000,0.000,0.000,4.393,0.486,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.159,0.154,0.000,0.000,7.564,2.688,0.000,0.000,0.000,0.018,0.000
