Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Colo_rep2_Dep6_Tu0.5,0.000,51.665,0.000,0.000,0.000,0.000,0.001,0.031,0.015,0.000,1.393,0.034,46.861
Colo_rep2_Dep6_Tu50,0.000,5.015,0.000,0.000,79.857,9.218,0.000,0.000,0.000,0.001,0.030,0.000,5.879
Colo_rep6_Dep6_Tu1,0.000,51.113,0.000,0.000,0.000,0.000,0.007,0.012,0.025,0.010,1.153,0.007,47.673
Colo_rep3_Dep6_Tu2,0.000,53.434,0.000,0.000,0.000,0.000,0.005,0.042,0.087,0.035,1.335,0.057,45.006
Colo_rep7_Dep6_Tu2,0.000,51.917,0.000,0.000,0.002,0.000,0.003,0.010,0.024,0.119,1.075,0.024,46.827
Colo_rep8_Dep6_Tu0.1,0.000,50.315,0.000,0.000,0.000,0.000,0.014,0.180,0.247,0.004,1.588,0.016,47.636
Colo_rep10_Dep6_Tu2,0.000,53.994,0.000,0.000,0.001,0.000,0.009,0.055,0.022,0.049,0.760,0.009,45.101
Colo_rep6_Dep6_Tu3,0.000,53.417,0.000,0.000,0.043,0.000,0.279,0.060,0.070,0.105,0.915,0.021,45.088
Colo_rep9_Dep6_Tu30,0.000,23.827,0.000,0.000,49.821,4.804,0.003,0.019,0.001,0.058,0.378,0.005,21.083
Colo_rep9_Dep6_Tu0.5,0.000,51.562,0.000,0.000,0.000,0.000,0.000,0.041,0.009,0.003,0.699,0.000,47.686
Colo_rep6_Dep6_Tu20,0.000,34.675,0.000,0.000,30.292,3.761,0.003,0.008,0.021,0.019,0.178,0.006,31.037
Colo_rep8_Dep6_Tu30,0.000,23.474,0.000,0.000,52.920,3.401,0.001,0.000,0.002,0.006,0.130,0.000,20.066
Colo_rep3_Dep6_Tu5,0.000,52.768,0.000,0.000,3.172,0.357,0.009,0.038,0.039,0.104,0.383,0.005,43.124
Colo_rep4_Dep6_Tu3,0.000,53.572,0.000,0.000,0.040,0.000,0.001,0.016,0.010,0.027,0.849,0.002,45.484
Colo_rep2_Dep6_Tu10,0.000,44.379,0.000,0.000,17.561,0.564,0.003,0.006,0.007,0.027,0.444,0.024,36.986
Colo_rep3_Dep6_Tu40,0.000,11.101,0.000,0.000,68.348,6.523,0.000,0.001,0.000,0.006,0.101,0.000,13.919
Colo_rep3_Dep6_Tu30,0.000,22.124,0.000,0.000,53.739,4.030,0.000,0.000,0.001,0.008,0.148,0.000,19.951
Colo_rep6_Dep6_Tu30,0.000,20.898,0.000,0.000,53.047,4.356,0.001,0.041,0.016,0.030,0.545,0.002,21.065
Colo_rep4_Dep6_Tu50,0.000,6.682,0.000,0.000,73.124,11.653,0.000,0.001,0.001,0.008,0.035,0.000,8.497
Colo_rep5_Dep6_Tu50,0.000,5.039,0.000,0.000,78.367,10.019,0.000,0.000,0.001,0.007,0.086,0.002,6.479
Colo_rep6_Dep6_Tu2,0.000,52.358,0.000,0.000,0.000,0.000,0.008,0.061,0.017,0.070,1.616,0.026,45.843
Colo_rep10_Dep6_Tu50,0.000,7.353,0.000,0.000,74.437,11.147,0.000,0.001,0.000,0.013,0.207,0.000,6.841
Colo_rep7_Dep6_Tu50,0.000,5.743,0.000,0.000,76.163,10.212,0.000,0.000,0.000,0.005,0.052,0.000,7.825
Colo_rep9_Dep6_Tu40,0.000,12.211,0.000,0.000,66.782,6.332,0.000,0.002,0.001,0.003,0.103,0.000,14.566
Colo_rep8_Dep6_Tu5,0.000,51.420,0.000,0.000,2.210,0.708,0.005,0.052,0.044,0.099,0.820,0.073,44.568
Colo_rep1_Dep6_Tu20,0.000,34.151,0.000,0.000,32.347,3.084,0.000,0.005,0.007,0.026,0.611,0.002,29.767
Colo_rep9_Dep6_Tu2,0.000,53.924,0.000,0.000,0.001,0.000,0.001,0.025,0.008,0.029,0.365,0.004,45.643
Colo_rep5_Dep6_Tu30,0.000,24.714,0.000,0.000,49.250,4.460,0.005,0.053,0.012,0.104,0.732,0.005,20.665
Colo_rep4_Dep6_Tu0.1,0.000,49.409,0.000,0.000,0.000,0.000,0.003,0.033,0.035,0.006,1.467,0.027,49.020
Colo_rep5_Dep6_Tu0.1,0.000,50.829,0.000,0.000,0.000,0.000,0.006,0.056,0.018,0.023,1.408,0.013,47.646
Colo_rep9_Dep6_Tu3,0.000,53.377,0.000,0.000,0.215,0.000,0.005,0.090,0.146,0.218,1.625,0.015,44.309
Colo_rep2_Dep6_Tu0.1,0.000,50.957,0.000,0.000,0.000,0.000,0.002,0.205,0.013,0.013,1.498,0.018,47.294
Colo_rep8_Dep6_Tu10,0.000,47.294,0.000,0.000,9.522,1.808,0.243,0.063,0.208,0.237,1.454,0.030,39.141
Colo_rep4_Dep6_Tu30,0.000,22.219,0.000,0.000,55.521,3.175,0.001,0.002,0.006,0.028,0.072,0.003,18.973
Colo_rep2_Dep6_Tu2,0.000,52.811,0.000,0.000,0.000,0.000,0.007,0.007,0.015,0.055,0.971,0.010,46.123
Colo_rep1_Dep6_Tu5,0.000,55.071,0.000,0.000,0.444,0.507,0.052,0.086,0.080,0.324,0.875,0.003,42.560
Colo_rep8_Dep6_Tu50,0.000,5.518,0.000,0.000,77.309,10.340,0.000,0.001,0.001,0.002,0.150,0.000,6.680
Colo_rep5_Dep6_Tu5,0.000,53.511,0.000,0.000,3.375,0.090,0.002,0.029,0.001,0.086,0.515,0.017,42.374
Colo_rep6_Dep6_Tu50,0.000,6.520,0.000,0.000,74.057,11.409,0.000,0.001,0.000,0.012,0.212,0.000,7.788
Colo_rep5_Dep6_Tu0.5,0.000,50.566,0.000,0.000,0.000,0.000,0.002,0.043,0.004,0.003,1.184,0.005,48.192
Colo_rep4_Dep6_Tu20,0.000,31.248,0.000,0.000,35.712,2.058,0.001,0.005,0.047,0.146,0.330,0.019,30.434
Colo_rep8_Dep6_Tu40,0.000,14.376,0.000,0.000,67.102,6.072,0.000,0.000,0.000,0.002,0.012,0.000,12.436
Colo_rep7_Dep6_Tu0.3,0.000,49.762,0.000,0.000,0.000,0.000,0.001,0.030,0.005,0.019,1.198,0.003,48.981
Colo_rep7_Dep6_Tu30,0.000,21.094,0.000,0.000,53.667,4.232,0.001,0.003,0.002,0.022,0.142,0.002,20.835
Colo_rep10_Dep6_Tu20,0.000,31.372,0.000,0.000,34.510,2.448,0.022,0.112,0.072,0.177,1.005,0.027,30.255
Colo_rep9_Dep6_Tu10,0.000,44.825,0.000,0.000,15.099,0.605,0.002,0.022,0.011,0.057,1.059,0.015,38.305
Colo_rep9_Dep6_Tu0.1,0.000,50.936,0.000,0.000,0.000,0.000,0.001,0.145,0.093,0.013,1.752,0.023,47.038
Colo_rep10_Dep6_Tu0.3,0.000,50.047,0.000,0.000,0.000,0.000,0.003,0.101,0.096,0.033,1.770,0.001,47.949
Colo_rep8_Dep6_Tu20,0.000,32.842,0.000,0.000,35.251,2.208,0.000,0.012,0.007,0.063,0.226,0.014,29.377
Colo_rep3_Dep6_Tu3,0.000,53.929,0.000,0.000,0.128,0.000,0.009,0.152,0.155,0.494,0.962,0.035,44.136
Colo_rep4_Dep6_Tu2,0.000,52.989,0.000,0.000,0.001,0.000,0.006,0.039,0.018,0.016,1.054,0.002,45.875
Colo_rep10_Dep6_Tu0.1,0.000,50.201,0.000,0.000,0.000,0.000,0.010,0.123,0.108,0.025,2.388,0.013,47.132
Colo_rep4_Dep6_Tu0.3,0.000,51.379,0.000,0.000,0.000,0.000,0.008,0.062,0.074,0.029,1.062,0.029,47.357
Colo_rep9_Dep6_Tu0.3,0.000,50.277,0.000,0.000,0.000,0.000,0.004,0.042,0.027,0.016,1.551,0.059,48.023
Colo_rep1_Dep6_Tu10,0.000,47.258,0.000,0.000,13.303,1.021,0.019,0.062,0.007,0.114,0.840,0.028,37.348
Colo_rep6_Dep6_Tu0.3,0.000,50.047,0.000,0.000,0.000,0.000,0.002,0.222,0.005,0.004,2.246,0.002,47.472
Colo_rep6_Dep6_Tu0.5,0.000,50.494,0.000,0.000,0.000,0.000,0.005,0.076,0.059,0.053,1.367,0.006,47.939
Colo_rep10_Dep6_Tu10,0.000,45.823,0.000,0.000,15.186,0.545,0.005,0.127,0.005,0.104,0.683,0.025,37.497
Colo_rep10_Dep6_Tu1,0.000,51.059,0.000,0.000,0.000,0.000,0.004,0.073,0.056,0.068,2.012,0.101,46.627
Colo_rep10_Dep6_Tu5,0.000,51.788,0.000,0.000,5.393,0.073,0.009,0.059,0.069,0.224,0.677,0.005,41.703
Colo_rep10_Dep6_Tu40,0.000,13.599,0.000,0.000,66.057,7.047,0.000,0.001,0.001,0.002,0.113,0.001,13.178
Colo_rep10_Dep6_Tu0.5,0.000,51.670,0.000,0.000,0.000,0.000,0.001,0.045,0.029,0.016,1.148,0.015,47.075
Colo_rep1_Dep6_Tu1,0.000,50.541,0.000,0.000,0.000,0.000,0.012,0.090,0.045,0.121,2.108,0.167,46.916
