Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Colo_rep2_Dep6_Tu0.5,0.000,0.292,0.000,0.000,0.000,0.000,0.669,1.738,0.146,1.561,4.867,1.412,23.675,65.640
Colo_rep2_Dep6_Tu50,0.000,0.000,0.000,0.000,59.854,14.558,0.002,0.002,0.001,0.024,0.199,0.011,0.486,24.864
Colo_rep6_Dep6_Tu1,0.000,0.723,0.000,0.000,0.003,0.000,1.013,1.188,0.810,1.698,4.257,0.699,24.949,64.659
Colo_rep3_Dep6_Tu2,0.037,0.538,0.083,0.000,0.126,0.002,0.501,2.237,0.846,2.224,4.212,1.323,22.167,65.704
Colo_rep7_Dep6_Tu2,0.000,0.529,0.001,0.000,0.129,0.002,0.327,0.691,1.457,3.700,3.815,0.722,24.268,64.358
Colo_rep8_Dep6_Tu0.1,0.000,0.083,0.002,0.000,0.001,0.000,0.881,4.319,0.743,0.970,4.111,0.700,25.146,63.044
Colo_rep10_Dep6_Tu2,0.000,0.896,0.003,0.000,0.031,0.000,0.696,1.725,1.151,3.021,3.327,0.473,22.112,66.564
Colo_rep6_Dep6_Tu3,0.000,0.858,0.123,0.000,1.362,0.170,2.358,2.150,0.816,1.555,3.230,0.566,23.389,63.421
Colo_rep9_Dep6_Tu30,0.001,0.001,0.000,0.000,38.034,8.244,0.071,0.296,0.277,0.887,1.597,0.085,7.848,42.658
Colo_rep9_Dep6_Tu0.5,0.000,0.232,0.002,0.000,0.001,0.000,0.009,2.658,1.388,0.804,3.656,0.185,23.380,67.684
Colo_rep6_Dep6_Tu20,0.000,0.013,0.001,0.000,23.854,6.274,0.239,0.733,0.826,0.052,1.466,0.546,14.475,51.520
Colo_rep8_Dep6_Tu30,0.006,0.002,0.000,0.000,41.541,6.730,0.047,0.265,0.041,0.217,0.883,0.021,6.458,43.787
Colo_rep3_Dep6_Tu5,0.001,0.942,0.095,0.000,3.860,1.088,0.524,1.279,0.066,3.530,2.630,0.714,21.952,63.319
Colo_rep4_Dep6_Tu3,0.048,1.157,0.004,0.000,0.384,0.801,0.522,0.950,1.230,2.307,4.029,0.177,23.723,64.667
Colo_rep2_Dep6_Tu10,0.001,0.088,0.001,0.000,15.186,2.108,0.140,0.574,0.545,1.472,2.825,0.811,17.436,58.813
Colo_rep3_Dep6_Tu40,0.000,0.000,0.000,0.000,51.124,10.985,0.000,0.062,0.024,0.019,0.588,0.006,3.864,33.328
Colo_rep3_Dep6_Tu30,0.004,0.000,0.000,0.000,41.169,7.484,0.002,0.082,0.049,0.236,1.069,0.011,5.955,43.938
Colo_rep6_Dep6_Tu30,0.000,0.000,0.000,0.000,40.298,8.002,0.010,0.759,0.272,0.254,1.612,0.020,8.600,40.171
Colo_rep4_Dep6_Tu50,0.000,0.000,0.000,0.000,54.955,16.619,0.003,0.039,0.014,0.064,0.254,0.003,1.737,26.312
Colo_rep5_Dep6_Tu50,0.000,0.000,0.000,0.000,59.222,15.210,0.002,0.020,0.034,0.054,0.265,0.020,0.939,24.235
Colo_rep6_Dep6_Tu2,0.000,1.017,0.054,0.000,0.046,0.161,0.676,1.832,1.157,2.229,4.607,0.668,23.852,63.700
Colo_rep10_Dep6_Tu50,0.000,0.000,0.000,0.000,56.230,16.202,0.002,0.019,0.035,0.093,0.718,0.013,0.861,25.826
Colo_rep7_Dep6_Tu50,0.000,0.000,0.000,0.000,56.798,15.315,0.001,0.017,0.009,0.022,0.371,0.001,0.217,27.249
Colo_rep9_Dep6_Tu40,0.000,0.000,0.000,0.000,50.985,10.508,0.011,0.123,0.013,0.040,0.519,0.009,4.846,32.947
Colo_rep8_Dep6_Tu5,0.052,0.035,0.532,0.146,2.829,1.552,0.054,1.260,2.002,1.859,3.651,0.951,24.141,60.936
Colo_rep1_Dep6_Tu20,0.000,0.003,0.000,0.000,26.193,5.449,0.007,0.463,0.677,0.461,2.613,0.069,13.110,50.955
Colo_rep9_Dep6_Tu2,0.003,0.945,0.005,0.000,0.141,0.170,0.240,1.163,2.095,1.194,3.097,0.633,21.738,68.576
Colo_rep5_Dep6_Tu30,0.000,0.034,0.000,0.000,39.115,7.654,0.138,0.420,0.630,0.293,2.181,0.068,7.954,41.513
Colo_rep4_Dep6_Tu0.1,0.000,0.213,0.000,0.000,0.000,0.000,0.224,1.598,1.291,0.909,4.750,1.143,25.945,63.925
Colo_rep5_Dep6_Tu0.1,0.000,0.364,0.002,0.000,0.000,0.000,0.778,2.554,0.737,1.430,4.317,0.533,24.581,64.703
Colo_rep9_Dep6_Tu3,0.004,1.014,0.231,0.000,2.217,0.019,0.325,2.526,1.099,2.781,4.119,0.558,22.754,62.352
Colo_rep2_Dep6_Tu0.1,0.000,0.186,0.018,0.000,0.000,0.000,0.128,1.576,2.812,1.754,4.429,0.374,24.645,64.078
Colo_rep8_Dep6_Tu10,0.008,0.862,0.029,0.001,8.242,3.055,1.646,0.186,2.590,2.019,3.979,0.299,20.625,56.460
Colo_rep4_Dep6_Tu30,0.001,0.004,0.000,0.000,43.725,6.517,0.030,0.195,0.171,0.367,0.705,0.088,5.871,42.326
Colo_rep2_Dep6_Tu2,0.001,0.672,0.001,0.000,0.013,0.000,0.761,1.012,1.038,3.310,3.724,0.491,23.430,65.549
Colo_rep1_Dep6_Tu5,0.002,1.021,0.015,0.000,0.644,1.546,1.044,1.437,1.762,3.578,3.654,0.150,21.489,63.658
Colo_rep8_Dep6_Tu50,0.000,0.000,0.000,0.000,57.663,15.691,0.000,0.036,0.027,0.042,0.515,0.000,0.811,25.214
Colo_rep5_Dep6_Tu5,0.001,0.624,0.018,0.000,4.961,1.021,0.229,2.134,1.392,1.131,3.216,0.558,21.337,63.377
Colo_rep6_Dep6_Tu50,0.000,0.000,0.000,0.000,55.573,16.454,0.002,0.060,0.012,0.066,0.585,0.003,1.507,25.738
Colo_rep5_Dep6_Tu0.5,0.000,0.299,0.000,0.000,0.004,0.000,0.484,2.106,1.065,0.668,4.423,0.646,24.738,65.566
Colo_rep4_Dep6_Tu20,0.002,0.017,0.000,0.000,28.153,4.546,0.038,0.388,0.455,2.006,1.528,0.296,15.168,47.404
Colo_rep8_Dep6_Tu40,0.000,0.001,0.000,0.000,50.492,10.523,0.006,0.036,0.019,0.065,0.269,0.005,1.970,36.615
Colo_rep7_Dep6_Tu0.3,0.000,0.233,0.001,0.000,0.000,0.000,0.240,1.533,1.413,1.391,4.429,0.241,25.305,65.213
Colo_rep7_Dep6_Tu30,0.000,0.001,0.000,0.000,40.920,7.776,0.020,0.335,0.129,0.099,1.030,0.078,7.567,42.044
Colo_rep10_Dep6_Tu20,0.002,0.005,0.001,0.000,27.369,4.972,0.251,1.251,0.775,1.193,2.643,0.233,15.548,45.757
Colo_rep9_Dep6_Tu10,0.003,0.215,0.024,0.000,13.348,2.101,0.139,1.336,0.750,1.160,3.944,0.504,19.122,57.353
Colo_rep9_Dep6_Tu0.1,0.000,0.283,0.019,0.000,0.000,0.000,0.101,1.652,3.682,0.848,4.740,0.336,24.356,63.982
Colo_rep10_Dep6_Tu0.3,0.000,0.204,0.003,0.000,0.000,0.000,0.428,0.167,3.432,1.469,5.136,0.423,25.350,63.386
Colo_rep8_Dep6_Tu20,0.001,0.034,0.050,0.000,28.562,4.682,0.078,0.683,0.535,0.633,1.549,0.344,13.780,49.069
Colo_rep3_Dep6_Tu3,0.004,1.282,0.248,0.001,0.751,0.288,0.384,1.196,1.945,4.494,3.268,0.438,22.514,63.187
Colo_rep4_Dep6_Tu2,0.001,0.759,0.003,0.000,0.175,0.003,0.777,1.511,1.273,2.407,4.066,0.257,23.026,65.742
Colo_rep10_Dep6_Tu0.1,0.000,0.339,0.003,0.000,0.000,0.000,0.906,1.071,2.511,1.188,5.557,0.833,25.050,62.541
Colo_rep4_Dep6_Tu0.3,0.000,0.254,0.001,0.000,0.000,0.000,0.787,1.475,1.989,1.489,3.951,0.713,24.327,65.014
Colo_rep9_Dep6_Tu0.3,0.000,0.028,0.000,0.000,0.000,0.000,0.639,1.573,1.157,1.581,4.593,1.093,24.791,64.545
Colo_rep1_Dep6_Tu10,0.019,0.589,0.002,0.001,12.077,2.325,0.443,1.373,0.871,1.839,3.363,0.498,17.881,58.718
Colo_rep6_Dep6_Tu0.3,0.000,0.239,0.015,0.000,0.000,0.000,0.414,2.642,2.289,0.140,5.542,0.284,24.548,63.887
Colo_rep6_Dep6_Tu0.5,0.000,0.684,0.105,0.000,0.001,0.000,0.433,2.003,1.890,1.736,4.209,0.347,26.016,62.576
Colo_rep10_Dep6_Tu10,0.007,0.035,0.005,0.000,13.986,1.929,0.379,1.709,1.639,0.865,2.956,0.446,18.186,57.857
Colo_rep10_Dep6_Tu1,0.000,0.469,0.029,0.000,0.003,0.000,0.445,1.566,2.047,2.184,4.951,0.913,24.375,63.019
Colo_rep10_Dep6_Tu5,0.001,0.491,0.102,0.000,6.110,0.965,0.259,1.243,2.421,2.900,2.979,0.054,21.202,61.271
Colo_rep10_Dep6_Tu40,0.000,0.004,0.000,0.000,50.368,11.294,0.006,0.050,0.038,0.088,0.633,0.027,3.407,34.084
Colo_rep10_Dep6_Tu0.5,0.000,1.043,0.012,0.000,0.002,0.000,0.376,1.718,2.583,0.688,3.929,0.324,24.347,64.979
Colo_rep1_Dep6_Tu1,0.000,0.378,0.008,0.000,0.004,0.000,0.824,1.499,1.476,2.452,5.051,1.316,25.380,61.611
Colo_rep7_Dep6_Tu20,0.000,0.026,0.000,0.000,27.676,4.480,0.075,0.502,0.250,0.915,1.777,0.021,10.778,53.501
Colo_rep6_Dep6_Tu10,0.003,0.428,0.002,0.000,13.053,2.347,0.166,0.442,0.337,1.398,2.878,0.294,18.260,60.392
Colo_rep10_Dep6_Tu3,0.006,0.839,0.007,0.003,1.325,0.500,0.400,1.493,1.103,2.249,3.864,0.653,22.729,64.828
Colo_rep1_Dep6_Tu30,0.000,0.007,0.000,0.000,43.238,7.209,0.011,0.060,0.079,0.080,0.777,0.121,8.302,40.116
Colo_rep1_Dep6_Tu0.1,0.000,0.110,0.000,0.000,0.000,0.000,1.588,1.309,1.398,1.103,4.427,0.591,26.654,62.819
Colo_rep7_Dep6_Tu5,0.147,0.585,0.004,0.105,3.883,1.141,0.727,1.394,0.724,2.050,4.385,0.573,21.024,63.259
Colo_rep7_Dep6_Tu0.1,0.000,0.084,0.001,0.000,0.000,0.000,0.226,4.031,0.709,0.637,3.590,0.016,25.199,65.508
Colo_rep6_Dep6_Tu40,0.000,0.000,0.000,0.000,49.233,11.161,0.001,0.051,0.025,0.172,0.679,0.005,1.899,36.776
Colo_rep8_Dep6_Tu2,0.002,0.566,0.007,0.000,0.330,0.002,0.574,1.143,1.438,2.396,4.770,1.208,23.646,63.918
Colo_rep7_Dep6_Tu0.5,0.000,0.519,0.000,0.000,0.001,0.000,0.794,3.115,0.640,1.650,3.108,0.551,25.632,63.989
Colo_rep5_Dep6_Tu20,0.002,0.038,0.000,0.000,25.088,5.571,0.195,0.389,0.841,1.459,3.571,0.668,14.442,47.737
Colo_rep8_Dep6_Tu0.3,0.000,0.031,0.000,0.000,0.000,0.000,0.703,1.675,1.574,0.954,4.662,1.051,24.609,64.740
Colo_rep4_Dep6_Tu5,0.009,0.307,0.021,0.000,3.168,1.556,0.101,4.205,0.246,0.742,5.167,0.577,21.693,62.209
Colo_rep9_Dep6_Tu1,0.003,0.532,0.008,0.000,0.004,0.000,1.537,3.105,0.660,1.551,4.198,0.290,24.292,63.821
Colo_rep1_Dep6_Tu0.5,0.000,0.453,0.176,0.000,0.001,0.000,0.427,3.558,1.310,0.978,4.406,0.265,24.712,63.713
Colo_rep8_Dep6_Tu3,0.001,1.022,0.004,0.000,1.499,0.713,0.768,2.634,1.539,0.775,3.264,0.350,24.951,62.480
Colo_rep5_Dep6_Tu0.3,0.000,0.163,0.007,0.000,0.000,0.000,0.102,2.817,1.948,1.159,5.226,0.387,23.923,64.267
Colo_rep2_Dep6_Tu30,0.000,0.000,0.000,0.000,37.349,8.981,0.072,0.809,0.113,0.218,1.145,0.070,8.102,43.142
Colo_rep7_Dep6_Tu10,0.001,0.004,0.001,0.000,13.754,1.981,0.106,1.009,0.490,1.405,2.523,0.091,16.377,62.258
Colo_rep2_Dep6_Tu40,0.000,0.002,0.000,0.000,48.255,12.362,0.042,0.015,0.102,0.154,1.392,0.060,5.605,32.010
Colo_rep3_Dep6_Tu0.1,0.000,0.350,0.011,0.000,0.002,0.000,0.413,2.891,0.803,0.936,5.093,0.534,25.030,63.937
Colo_rep3_Dep6_Tu1,0.001,0.218,0.002,0.000,0.003,0.000,0.548,1.854,1.277,0.768,4.966,0.604,24.231,65.528
Colo_rep8_Dep6_Tu1,0.000,0.188,0.000,0.000,0.002,0.000,0.727,0.958,1.586,1.809,4.413,0.688,25.027,64.601
Colo_rep4_Dep6_Tu1,0.000,1.064,0.220,0.000,0.008,0.000,0.085,1.589,1.619,2.434,4.716,0.441,25.509,62.315
Colo_rep5_Dep6_Tu40,0.000,0.000,0.000,0.000,49.148,12.113,0.011,0.046,0.115,0.133,0.923,0.035,4.172,33.304
