Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Colo_rep2_Dep6_Tu0.5,0.000,0.000,0.000,0.000,32.513,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.833,0.653
Colo_rep2_Dep6_Tu50,0.109,0.000,0.000,50.895,27.828,0.103,0.000,0.000,0.000,0.000,0.000,0.000,20.573,0.492
Colo_rep6_Dep6_Tu1,0.000,0.000,0.000,0.000,29.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.178,4.383
Colo_rep3_Dep6_Tu2,0.000,0.000,0.000,0.000,32.061,0.000,0.000,0.000,0.000,0.000,0.000,0.000,62.035,5.903
Colo_rep7_Dep6_Tu2,0.000,0.000,0.000,0.000,35.835,0.000,0.000,0.000,0.000,0.000,0.000,0.000,61.250,2.914
Colo_rep8_Dep6_Tu0.1,0.000,0.000,0.000,0.000,23.536,0.000,0.000,0.000,0.000,0.000,0.000,0.000,58.777,17.687
Colo_rep10_Dep6_Tu2,0.000,0.000,0.000,0.000,34.279,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.155,0.564
Colo_rep6_Dep6_Tu3,0.000,0.000,0.000,0.000,33.863,0.000,0.625,0.000,0.000,0.000,0.000,0.000,61.365,4.146
Colo_rep9_Dep6_Tu30,0.000,0.000,0.000,34.116,22.330,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31.498,12.056
Colo_rep9_Dep6_Tu0.5,0.000,0.000,0.000,0.000,31.043,0.000,0.000,0.000,0.000,0.000,0.000,0.000,68.525,0.431
Colo_rep6_Dep6_Tu20,0.000,0.000,0.000,18.184,37.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,43.432,1.223
Colo_rep8_Dep6_Tu30,0.000,0.000,0.000,31.387,32.551,0.220,0.000,0.000,0.000,0.000,0.000,0.000,35.437,0.405
Colo_rep3_Dep6_Tu5,0.000,0.000,0.000,0.000,33.710,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.483,1.805
Colo_rep4_Dep6_Tu3,0.000,0.000,0.000,0.000,23.871,0.000,0.000,0.000,0.000,0.000,0.000,0.000,62.011,14.118
Colo_rep2_Dep6_Tu10,0.000,0.000,0.000,10.081,34.580,0.000,0.000,0.000,0.000,0.000,0.000,0.000,54.764,0.574
Colo_rep3_Dep6_Tu40,0.000,0.000,0.000,40.171,19.188,8.183,0.000,0.000,0.000,0.000,0.000,0.000,23.706,8.752
Colo_rep3_Dep6_Tu30,0.000,0.000,0.000,34.901,29.643,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.439,1.016
Colo_rep6_Dep6_Tu30,0.000,0.000,0.000,33.321,22.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,29.783,14.812
Colo_rep4_Dep6_Tu50,0.001,0.000,0.000,44.152,23.803,5.355,0.000,0.000,0.000,0.000,0.000,0.000,15.966,10.722
Colo_rep5_Dep6_Tu50,0.000,0.000,0.000,34.170,22.941,26.314,0.000,0.000,0.000,0.000,0.000,0.000,16.237,0.337
Colo_rep6_Dep6_Tu2,0.000,0.000,0.000,0.000,21.293,0.000,0.000,0.000,0.000,0.000,0.000,0.000,59.646,19.060
Colo_rep10_Dep6_Tu50,0.000,0.000,0.000,36.995,19.345,17.735,0.000,0.000,0.000,0.000,0.000,0.000,14.120,11.805
Colo_rep7_Dep6_Tu50,0.000,0.000,0.000,47.368,31.237,0.050,0.000,0.000,0.000,0.000,0.000,0.000,18.125,3.220
Colo_rep9_Dep6_Tu40,0.010,0.000,0.000,43.382,21.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.510,10.105
Colo_rep8_Dep6_Tu5,0.000,0.000,0.000,0.000,23.897,0.000,0.000,0.000,0.000,0.000,0.000,0.000,57.256,18.847
Colo_rep1_Dep6_Tu20,0.000,0.000,0.000,21.583,21.391,0.000,0.000,0.000,0.000,0.000,0.000,0.000,39.738,17.287
Colo_rep9_Dep6_Tu2,0.000,0.000,0.000,0.000,31.310,0.000,0.000,0.000,0.000,0.000,0.000,0.000,67.043,1.646
Colo_rep5_Dep6_Tu30,0.000,0.000,0.000,27.764,36.379,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.055,2.801
Colo_rep4_Dep6_Tu0.1,0.000,0.000,0.000,0.000,32.212,0.000,0.000,0.000,0.000,0.000,0.000,0.011,63.286,4.491
Colo_rep5_Dep6_Tu0.1,0.000,0.000,0.000,0.000,32.557,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.587,0.856
Colo_rep9_Dep6_Tu3,0.000,0.000,0.000,0.000,21.483,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.152,15.365
