Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Colo_rep2_Dep6_Tu0.5,0.029,0.085,2.307,6.925,0.681,1.322,8.986,1.736,9.625,3.728,2.804,0.077,0.130,0.108,0.970,0.824,0.275,0.632,0.132,0.217,0.002,0.026,0.061,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,7.702,2.147,48.467
Colo_rep2_Dep6_Tu50,0.569,0.122,0.287,0.044,0.164,0.074,0.269,0.837,0.972,1.646,0.779,1.378,0.001,0.422,1.981,1.130,0.670,0.611,1.551,1.015,0.097,0.133,0.119,0.006,0.086,0.005,0.033,0.000,0.121,0.439,0.020,31.486,0.397,0.111,0.393,0.015,0.007,5.601,0.007,0.000,46.398
Colo_rep6_Dep6_Tu1,0.106,0.012,4.854,0.662,1.898,2.720,14.127,5.653,5.837,1.268,2.821,0.010,0.048,0.094,0.604,0.367,0.118,0.510,0.062,0.283,0.010,0.021,0.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,3.249,17.438,37.122
Colo_rep3_Dep6_Tu2,0.135,0.058,3.814,0.195,2.687,2.649,12.921,6.922,4.854,1.967,1.365,1.365,0.153,0.108,0.570,0.396,0.710,0.476,0.280,0.178,0.016,0.008,0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,8.369,9.838,39.923
Colo_rep7_Dep6_Tu2,0.149,0.047,3.775,1.590,3.281,2.849,11.907,6.999,4.772,1.616,1.546,0.836,0.026,0.060,0.365,0.341,0.120,0.566,0.048,0.551,0.013,0.015,0.019,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.162,11.465,38.882
Colo_rep8_Dep6_Tu0.1,0.010,0.001,5.093,3.389,2.276,3.750,0.298,8.201,14.076,1.614,1.622,0.425,0.023,0.021,0.541,0.324,0.473,0.281,0.033,0.163,0.001,0.002,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,36.539,20.838
Colo_rep10_Dep6_Tu2,0.138,0.194,1.365,2.902,2.501,1.867,12.035,5.784,5.632,1.094,2.350,1.228,0.012,0.113,0.531,0.534,0.796,0.474,0.211,0.311,0.025,0.083,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.000,0.000,0.000,8.410,4.075,47.304
Colo_rep6_Dep6_Tu3,0.254,0.164,1.232,6.154,0.098,3.386,0.159,10.121,11.594,2.102,0.991,1.215,0.145,0.107,0.302,0.342,0.384,0.600,0.165,0.619,0.033,0.026,0.131,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.021,0.009,0.000,0.000,0.000,7.472,14.306,37.865
Colo_rep9_Dep6_Tu30,0.938,0.642,0.365,0.740,1.560,2.018,2.421,5.768,2.076,0.150,1.455,4.148,0.066,0.442,1.887,1.050,0.866,0.335,1.070,1.169,0.225,0.098,0.384,0.070,0.102,0.026,0.030,0.007,0.021,0.004,0.023,18.840,0.091,0.616,0.674,0.018,0.017,4.615,0.005,1.749,43.218
Colo_rep9_Dep6_Tu0.5,0.052,0.041,2.752,1.070,0.992,3.610,13.871,8.355,2.633,0.866,2.885,1.389,0.067,0.014,0.684,0.639,0.194,0.573,0.013,0.830,0.005,0.016,0.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,7.827,1.276,49.281
Colo_rep6_Dep6_Tu20,0.439,0.611,1.719,4.564,5.278,2.027,3.210,2.601,1.732,1.930,0.192,2.349,0.116,0.169,0.387,1.383,1.346,0.937,0.828,0.713,0.114,0.150,0.043,0.002,0.223,0.013,0.013,0.007,0.002,0.000,0.264,11.498,0.073,0.262,0.029,0.005,0.210,0.258,7.169,1.978,45.156
Colo_rep8_Dep6_Tu30,0.572,0.300,0.003,1.036,0.283,3.400,1.856,2.127,3.052,1.613,1.366,0.736,0.547,0.053,2.505,0.258,0.730,0.875,0.190,2.195,0.065,0.305,0.166,0.004,0.223,0.349,0.001,0.013,0.015,0.002,0.097,18.293,0.140,0.569,0.693,0.044,0.003,3.484,0.778,0.008,51.050
Colo_rep3_Dep6_Tu5,0.694,0.218,6.495,4.524,3.394,1.617,2.324,4.193,8.076,1.052,0.944,0.710,0.057,0.095,0.428,0.531,0.584,0.722,0.066,0.300,0.042,0.017,0.045,0.000,0.002,0.000,0.001,0.000,0.000,0.000,0.267,0.080,0.010,0.021,0.006,0.000,0.000,0.000,6.766,13.715,42.005
Colo_rep4_Dep6_Tu3,0.009,0.051,3.623,5.094,0.093,7.248,11.298,3.392,2.898,0.211,1.511,1.447,0.023,0.020,0.252,0.268,0.163,0.127,0.103,0.070,0.005,0.009,0.016,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.000,0.000,0.000,0.002,32.890,29.172
Colo_rep2_Dep6_Tu10,0.635,0.396,2.853,4.603,0.223,3.081,0.748,5.119,8.008,0.794,2.620,1.578,0.149,0.222,1.165,0.781,0.810,0.538,0.363,0.003,0.124,0.099,0.023,0.000,0.043,0.003,0.005,0.000,0.000,0.000,0.143,4.898,0.009,0.033,0.018,0.005,0.001,0.009,8.468,0.710,50.719
Colo_rep3_Dep6_Tu40,0.495,0.030,1.670,2.079,0.210,1.878,0.686,0.942,2.560,1.977,0.332,1.198,0.084,0.460,2.413,0.402,2.137,2.259,0.148,0.632,0.132,0.083,0.327,0.014,0.103,0.007,0.040,0.000,0.011,0.004,0.039,26.004,0.138,0.499,0.180,0.011,0.012,5.683,0.001,0.452,43.667
Colo_rep3_Dep6_Tu30,0.652,0.407,0.176,0.800,1.487,3.777,0.084,1.886,3.455,2.868,0.836,2.175,0.074,0.040,1.765,0.808,1.320,1.223,0.164,1.173,0.125,0.008,0.110,0.047,0.407,0.031,0.037,0.004,0.030,0.056,0.021,18.648,0.005,0.621,0.178,0.004,0.006,3.990,0.259,0.002,50.241
Colo_rep6_Dep6_Tu30,0.285,0.077,2.219,0.873,1.131,2.443,1.971,1.923,5.552,1.768,0.932,0.856,0.093,0.094,1.447,0.996,0.727,1.417,0.257,1.133,0.033,0.052,0.079,0.009,0.059,0.004,0.002,0.000,0.000,0.002,0.012,18.922,0.092,0.532,0.135,0.010,0.025,2.603,0.001,17.299,33.933
Colo_rep4_Dep6_Tu50,0.446,0.089,0.330,1.001,1.222,1.409,0.637,0.761,0.130,1.025,0.495,2.551,0.239,0.131,3.467,1.596,0.958,1.483,0.456,1.446,0.079,0.029,0.194,0.023,0.173,0.007,0.001,0.000,0.089,0.228,0.008,32.580,0.021,0.214,0.630,0.005,0.007,6.633,0.001,0.024,39.179
Colo_rep5_Dep6_Tu50,0.301,0.221,0.612,0.394,0.539,0.358,0.153,0.270,0.808,2.465,0.097,0.868,0.510,0.234,1.076,2.135,0.567,1.160,0.867,2.019,0.101,0.002,0.042,0.004,0.300,0.000,0.002,0.000,0.007,0.010,0.046,31.690,0.408,0.217,0.270,0.000,0.000,6.240,0.004,0.000,45.001
Colo_rep6_Dep6_Tu2,0.008,0.004,3.179,2.696,0.295,4.359,14.165,6.307,5.482,1.155,1.089,0.128,0.025,0.004,0.218,0.058,0.233,0.124,0.053,0.132,0.003,0.003,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,39.148,21.121
Colo_rep10_Dep6_Tu50,0.266,0.230,0.769,1.077,1.054,0.127,0.968,0.295,1.124,1.783,1.816,0.674,0.154,0.392,1.609,2.891,0.439,1.953,0.636,0.757,0.113,0.192,0.273,0.019,0.132,0.040,0.032,0.002,0.061,0.196,0.007,32.402,0.234,0.514,0.644,0.004,0.006,7.050,0.001,0.236,38.830
Colo_rep7_Dep6_Tu50,0.503,0.126,0.191,0.756,1.110,1.086,0.453,0.190,0.206,1.777,1.200,1.091,0.110,0.086,0.972,0.559,0.671,3.902,1.262,1.008,0.044,0.366,0.147,0.001,0.138,0.006,0.002,0.002,0.022,0.019,0.044,31.638,0.246,0.139,0.285,0.003,0.003,6.599,0.004,0.000,43.036
Colo_rep9_Dep6_Tu40,0.340,0.383,0.212,1.699,1.629,1.784,1.155,0.604,2.104,0.517,1.114,2.835,0.383,0.227,1.266,0.932,1.139,2.570,0.800,1.135,0.091,0.218,0.091,0.043,0.159,0.044,0.040,0.003,0.032,0.028,0.015,25.296,0.116,0.155,0.775,0.003,0.006,5.350,0.003,0.158,44.545
Colo_rep8_Dep6_Tu5,0.100,0.013,6.069,1.457,2.930,5.598,7.367,6.519,3.537,0.641,1.350,0.208,0.055,0.041,0.008,0.353,0.364,0.380,0.041,0.110,0.003,0.002,0.012,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.013,0.087,0.001,0.000,0.001,0.000,0.000,0.000,0.005,40.053,22.683
Colo_rep1_Dep6_Tu20,0.017,0.107,3.522,0.946,4.120,4.779,3.977,3.997,1.194,1.827,1.236,0.113,0.045,0.121,0.265,0.406,1.326,1.267,0.571,0.420,0.014,0.012,0.035,0.003,0.008,0.005,0.004,0.000,0.009,0.045,0.011,12.037,0.048,0.044,0.035,0.003,0.003,0.189,0.015,28.381,28.841
Colo_rep9_Dep6_Tu2,0.092,0.178,1.459,1.989,1.062,2.024,13.455,6.646,5.756,3.895,0.299,0.312,0.115,0.163,0.820,0.075,0.554,0.648,0.004,0.486,0.014,0.028,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.003,0.000,0.000,0.000,8.348,3.970,47.595
Colo_rep5_Dep6_Tu30,1.208,0.571,1.853,1.953,1.137,2.696,1.086,2.323,2.610,2.483,1.610,0.224,0.470,0.246,2.404,0.505,3.040,0.934,0.107,0.013,0.345,0.454,0.357,0.013,0.158,0.058,0.226,0.004,0.013,0.202,0.021,18.412,0.617,0.005,0.318,0.029,0.050,2.803,2.195,0.077,46.171
