Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Colo_rep2_Dep6_Tu0.5,3.193,6.684,21.865,16.513,6.128,18.585,0.000,0.000,0.000,9.046,1.905,0.000,0.000,3.399,0.000,0.000,0.000,0.000,0.000,0.000,1.692,0.000,1.048,0.000,0.000,0.505,0.557,0.000,0.000,0.000,1.075,1.239,0.000,2.134,1.118,0.983,0.277,0.000,0.477,1.577
Colo_rep2_Dep6_Tu50,0.000,4.541,11.104,14.533,0.000,3.471,0.318,3.292,0.000,6.462,0.177,1.098,0.000,4.094,0.000,0.000,2.836,0.000,0.000,0.000,0.000,0.000,1.533,0.758,0.000,0.000,0.828,0.000,0.000,2.352,6.253,24.724,0.341,3.234,1.436,0.000,0.572,0.885,5.160,0.000
Colo_rep6_Dep6_Tu1,3.279,7.819,25.265,20.185,11.294,6.805,0.049,0.000,0.000,8.892,0.980,0.000,0.000,3.065,0.000,0.000,0.000,0.000,0.000,0.000,0.435,0.000,2.362,0.097,0.000,0.000,0.680,0.000,0.000,0.000,1.053,1.360,0.000,1.967,1.124,1.512,0.000,0.000,0.946,0.832
Colo_rep3_Dep6_Tu2,2.748,7.218,26.956,15.345,7.470,10.643,0.174,0.571,0.866,10.280,0.000,0.000,0.000,3.580,0.000,0.000,0.000,0.000,0.100,0.000,0.821,0.000,2.393,0.000,0.000,0.000,1.227,0.000,0.000,0.000,1.849,1.322,0.000,0.522,2.172,0.169,1.035,0.090,0.000,2.449
Colo_rep7_Dep6_Tu2,5.793,5.465,23.396,17.742,8.963,9.777,0.000,3.387,0.000,8.718,0.000,0.000,0.000,3.298,0.000,0.000,0.000,0.000,0.000,0.000,2.055,0.000,1.007,0.019,0.000,0.362,1.216,0.000,0.000,0.000,1.065,2.146,0.000,1.491,1.113,0.335,1.075,0.000,0.000,1.577
Colo_rep8_Dep6_Tu0.1,6.041,3.902,22.435,23.573,8.241,9.384,0.000,0.000,0.000,9.146,0.000,0.000,0.000,3.699,0.000,0.000,0.000,0.000,0.909,0.000,0.812,0.000,2.075,0.842,0.000,0.313,0.000,0.000,0.000,0.000,0.859,1.050,0.000,0.843,1.831,1.098,0.000,0.343,0.000,2.603
Colo_rep10_Dep6_Tu2,0.766,9.866,17.440,17.935,9.163,14.841,0.898,3.252,0.000,4.874,4.227,0.000,0.000,2.871,0.000,0.000,0.000,0.000,0.000,0.000,3.254,0.000,0.000,0.008,0.000,0.000,0.899,0.000,0.000,0.000,0.491,2.658,0.000,0.707,1.699,0.242,1.248,0.000,0.642,2.019
Colo_rep6_Dep6_Tu3,5.536,4.345,23.120,25.799,3.586,6.395,0.000,4.037,0.000,9.199,0.118,0.000,0.000,3.487,0.000,0.000,0.164,0.000,0.000,0.000,2.763,0.000,0.000,1.288,0.000,0.000,0.099,0.000,0.000,0.000,1.062,2.893,0.000,1.621,1.801,0.016,0.505,0.533,0.546,1.086
Colo_rep9_Dep6_Tu30,0.000,6.924,17.031,10.965,4.433,9.571,1.350,0.917,0.000,8.391,0.000,0.111,0.000,3.912,0.000,0.000,0.498,0.535,1.146,0.000,0.000,0.000,2.424,0.000,0.000,0.000,1.359,0.000,0.000,0.594,3.125,16.466,0.000,2.770,2.167,0.000,0.442,1.774,0.683,2.413
Colo_rep9_Dep6_Tu0.5,6.224,4.297,26.451,12.963,3.747,15.620,0.901,3.846,0.000,10.249,0.000,0.000,0.000,3.426,0.000,0.000,0.000,0.000,0.000,0.000,1.668,0.000,1.331,0.187,0.000,0.000,0.848,0.000,0.000,0.000,1.210,1.452,0.000,1.617,1.385,0.584,0.949,0.000,0.000,1.046
Colo_rep6_Dep6_Tu20,1.155,4.440,18.630,11.822,4.546,10.526,0.134,6.627,0.000,7.381,0.000,0.295,0.000,2.861,0.508,0.000,0.000,0.000,2.719,1.277,0.000,1.626,0.409,0.620,0.000,0.000,1.320,0.000,0.000,0.000,2.585,12.000,0.000,2.624,0.747,0.000,0.538,1.018,2.225,1.367
Colo_rep8_Dep6_Tu30,2.767,4.376,13.229,15.847,8.438,0.487,2.785,5.893,0.000,6.784,0.000,0.000,0.000,3.808,0.000,0.402,0.000,0.000,0.000,0.000,0.794,0.286,1.661,0.000,0.000,0.000,1.255,0.000,0.000,0.566,3.715,16.049,0.000,3.237,2.258,0.202,0.000,1.407,3.754,0.000
Colo_rep3_Dep6_Tu5,5.369,4.815,25.827,14.880,8.839,8.903,1.881,0.000,2.537,5.807,0.675,0.000,0.000,4.117,0.000,0.000,0.000,0.000,0.000,0.000,1.930,0.000,1.010,0.590,0.000,0.000,0.423,0.000,0.000,0.000,1.229,3.875,0.000,2.966,0.605,0.643,0.000,0.696,1.400,0.985
Colo_rep4_Dep6_Tu3,4.516,4.873,21.594,23.637,3.202,13.114,0.000,0.000,0.000,9.928,0.657,0.000,0.000,3.373,0.000,0.000,0.000,0.000,0.000,0.000,0.279,0.000,2.434,0.356,0.000,0.890,0.125,0.000,0.146,0.000,0.544,3.509,0.000,2.362,1.069,0.995,0.132,0.872,0.503,0.889
Colo_rep2_Dep6_Tu10,0.000,8.606,15.133,19.106,9.009,10.364,1.421,3.711,0.000,2.464,6.323,0.000,0.000,3.456,0.563,0.000,0.000,0.000,0.000,0.000,2.900,0.000,0.000,0.000,0.000,0.000,1.162,0.000,0.000,0.000,0.883,7.480,0.000,1.095,1.843,1.040,0.757,0.000,2.062,0.620
Colo_rep3_Dep6_Tu40,0.000,4.069,8.565,12.281,2.662,6.422,0.113,8.632,0.000,9.079,0.000,0.000,3.520,0.882,0.000,0.000,2.661,0.000,0.000,0.000,0.000,0.000,2.189,0.000,0.000,0.000,1.684,0.000,0.000,0.560,5.773,20.673,0.000,3.118,1.934,0.000,1.404,0.777,2.893,0.110
Colo_rep3_Dep6_Tu30,3.586,4.258,14.684,11.997,6.413,9.058,0.000,2.593,0.000,10.159,0.000,0.000,0.000,2.792,0.000,0.000,0.000,0.131,0.000,0.469,0.543,0.000,2.086,0.000,0.000,0.000,1.777,0.000,0.000,0.689,3.405,16.346,0.000,4.108,0.286,0.000,0.000,2.409,2.213,0.000
Colo_rep6_Dep6_Tu30,1.219,3.470,16.988,20.011,3.638,0.785,0.335,1.754,1.581,7.851,0.057,0.000,0.000,2.600,0.000,0.000,3.823,0.000,0.000,1.789,0.507,1.555,0.000,0.411,0.000,0.000,0.555,0.000,0.000,1.020,2.894,17.316,0.000,4.624,0.634,0.000,0.000,1.991,1.437,1.154
Colo_rep4_Dep6_Tu50,2.592,0.742,12.415,11.721,2.593,5.039,0.000,1.537,0.000,6.509,0.000,0.000,0.000,2.902,0.000,3.075,0.000,0.000,2.820,0.000,0.000,1.727,0.000,0.000,0.000,0.000,1.513,0.000,0.000,2.931,5.475,25.574,0.000,1.948,2.908,0.000,0.295,1.829,2.638,1.220
Colo_rep5_Dep6_Tu50,0.272,3.794,11.740,6.491,9.601,0.000,0.000,4.475,0.000,7.905,0.000,0.000,2.648,1.971,0.000,0.281,0.000,0.728,0.000,3.015,0.000,0.000,0.745,0.000,0.000,0.000,1.163,0.000,0.000,1.387,6.599,24.699,0.000,3.890,1.740,0.000,0.000,1.832,4.591,0.435
Colo_rep6_Dep6_Tu2,5.863,3.721,26.947,20.650,0.071,10.380,1.241,3.266,0.000,7.478,1.730,0.000,0.000,3.253,0.000,0.000,0.000,0.000,1.030,0.000,1.439,0.000,1.497,0.876,0.000,0.000,0.192,0.000,0.000,0.000,0.993,2.418,0.000,2.150,1.081,0.118,1.066,0.288,0.072,2.182
Colo_rep10_Dep6_Tu50,0.000,5.081,13.007,7.349,8.902,2.552,0.000,0.000,0.000,7.435,0.000,0.000,0.000,3.665,0.000,0.000,1.874,0.000,0.000,2.009,0.601,0.000,1.623,0.000,0.000,0.000,1.471,0.000,0.000,2.155,6.204,24.923,0.000,2.949,2.979,0.000,0.054,2.001,2.669,0.496
Colo_rep7_Dep6_Tu50,2.262,0.000,12.839,10.386,0.416,9.100,0.000,0.000,0.000,6.680,0.000,0.386,0.000,3.288,0.000,0.000,5.300,0.000,0.000,0.000,0.000,0.000,2.900,0.000,0.000,0.000,1.426,0.000,0.000,2.529,6.099,25.107,0.000,2.705,2.484,0.000,0.547,1.547,3.286,0.712
Colo_rep9_Dep6_Tu40,0.000,3.291,16.655,14.066,0.000,7.308,0.000,0.836,0.000,3.328,3.951,1.362,1.860,2.254,0.000,0.000,2.593,0.000,0.943,0.000,0.000,0.000,2.356,0.000,0.000,0.000,1.352,0.000,0.000,1.512,5.121,20.374,0.659,3.069,1.144,0.000,0.000,1.635,2.531,1.800
Colo_rep8_Dep6_Tu5,5.001,3.045,20.962,22.194,5.856,7.718,0.000,4.788,0.000,8.531,0.000,0.000,1.799,1.679,0.000,0.000,0.029,0.000,2.224,0.000,0.000,0.000,2.725,0.871,0.000,0.000,0.807,0.000,0.000,0.000,2.087,2.943,0.000,2.272,1.042,0.186,0.494,0.839,0.000,1.908
Colo_rep1_Dep6_Tu20,6.040,0.000,18.247,16.248,3.657,7.707,1.216,4.651,0.000,7.239,1.426,0.000,0.000,3.176,0.000,0.000,2.304,0.000,1.337,0.000,0.000,0.000,1.781,0.000,0.000,0.000,1.584,0.000,0.000,0.495,2.486,11.807,0.000,2.141,1.944,0.000,0.353,1.325,1.635,1.202
Colo_rep9_Dep6_Tu2,3.083,7.820,23.134,16.207,3.692,16.676,0.000,2.099,0.431,7.690,2.179,0.000,0.000,3.227,0.000,0.000,0.000,0.000,0.000,0.000,2.584,0.000,0.434,0.242,0.000,0.000,0.839,0.000,0.000,0.000,1.192,2.034,0.000,2.670,0.853,0.611,0.360,0.130,0.840,0.973
Colo_rep5_Dep6_Tu30,1.213,5.289,16.496,9.161,2.227,14.420,0.000,0.000,1.690,8.857,0.000,0.000,0.000,3.794,0.000,0.000,2.871,0.000,0.000,0.000,0.000,0.320,3.241,0.000,0.000,0.000,1.877,0.000,0.000,0.569,4.483,15.366,0.000,1.840,1.751,0.000,0.553,1.292,1.630,1.058
Colo_rep4_Dep6_Tu0.1,3.331,7.838,28.269,17.785,4.445,11.403,1.481,0.000,1.069,6.010,3.539,0.000,0.000,3.517,0.000,0.000,0.000,0.000,0.000,0.000,2.847,0.000,0.000,0.000,0.000,0.000,1.445,0.000,0.000,0.000,1.176,0.676,0.000,2.006,0.202,0.929,0.521,0.111,0.000,1.400
Colo_rep5_Dep6_Tu0.1,2.487,10.015,26.644,20.940,8.359,3.443,0.000,4.725,0.000,9.268,0.000,0.000,0.000,3.001,0.000,0.000,0.000,0.000,0.000,0.000,2.855,0.000,0.000,0.000,0.000,0.949,0.435,0.000,0.000,0.000,0.389,1.406,0.000,1.356,1.163,0.943,0.545,0.000,0.256,0.819
Colo_rep9_Dep6_Tu3,5.484,5.254,25.536,24.793,2.578,8.158,0.000,0.000,0.000,9.918,0.000,0.000,0.000,3.849,0.000,0.000,0.000,0.000,0.000,0.000,0.683,0.000,1.990,0.000,0.000,1.102,0.000,0.000,0.000,0.000,0.288,3.274,0.000,3.749,0.000,0.704,0.000,1.056,1.584,0.000
Colo_rep2_Dep6_Tu0.1,4.534,6.376,25.060,23.539,1.944,9.103,0.000,4.150,0.000,9.090,0.000,0.000,0.000,3.639,0.000,0.000,0.000,0.000,0.352,0.000,1.103,0.000,1.237,0.717,0.000,0.000,0.000,0.000,0.000,0.000,0.415,1.514,0.000,2.666,1.137,0.720,0.397,0.331,1.230,0.746
Colo_rep8_Dep6_Tu10,4.680,2.779,21.241,21.507,7.761,7.033,0.000,0.000,0.000,9.151,0.000,0.000,0.000,3.073,0.000,0.000,0.000,0.000,3.149,0.000,1.751,0.000,0.929,1.508,0.000,0.070,0.000,0.000,0.000,0.000,1.061,6.907,0.000,1.758,0.898,0.241,0.593,1.187,1.881,0.844
Colo_rep4_Dep6_Tu30,0.583,6.759,11.829,14.915,4.171,11.634,1.581,0.000,0.000,8.232,0.000,0.000,0.000,3.742,0.000,2.365,0.907,0.000,0.000,0.000,0.000,1.062,1.314,0.319,0.000,0.000,1.001,0.000,0.113,0.492,5.309,14.456,0.085,3.096,1.298,0.000,0.837,0.234,3.282,0.385
Colo_rep2_Dep6_Tu2,4.675,5.619,24.770,19.280,5.961,10.308,0.000,0.000,1.994,10.103,0.000,0.000,0.000,2.899,0.000,0.000,0.000,0.000,0.000,0.000,2.431,0.000,0.701,0.000,0.000,0.000,1.515,0.000,0.000,0.000,0.940,2.219,0.000,0.466,2.358,0.669,0.608,0.000,0.000,2.485
Colo_rep1_Dep6_Tu5,5.897,4.799,21.657,18.073,2.438,11.888,0.000,6.730,0.000,4.771,3.355,0.000,0.000,3.574,0.000,0.000,0.000,0.000,0.785,0.000,3.392,0.000,0.000,1.227,0.000,0.000,0.074,0.000,0.000,0.000,0.299,4.830,0.000,2.241,0.925,0.000,1.298,0.000,0.351,1.398
Colo_rep8_Dep6_Tu50,2.747,0.221,13.554,18.995,0.000,0.000,0.000,0.000,0.000,5.903,0.000,1.762,0.557,2.664,0.000,0.436,2.774,0.000,2.167,0.000,0.000,0.000,1.926,0.000,0.000,0.000,1.904,0.000,0.000,2.800,5.737,25.543,0.113,3.861,1.847,0.000,0.000,2.465,2.023,0.000
Colo_rep5_Dep6_Tu5,0.377,7.969,22.790,18.357,5.644,11.184,0.000,3.135,0.000,8.579,0.000,0.000,2.078,1.609,0.000,0.000,1.905,0.000,0.246,0.000,2.357,0.000,0.512,0.487,0.000,0.000,0.411,0.000,0.000,0.000,0.343,5.018,0.000,2.558,0.433,0.300,0.427,0.714,0.719,1.846
Colo_rep6_Dep6_Tu50,1.578,2.191,15.486,13.456,1.809,2.446,0.000,0.000,0.000,7.144,0.000,0.000,2.925,0.282,0.000,0.000,4.673,0.000,0.458,0.000,0.000,0.938,1.160,0.000,0.000,0.000,1.636,0.000,0.000,2.280,5.128,26.469,0.000,3.049,1.974,0.000,1.092,0.640,3.186,0.000
Colo_rep5_Dep6_Tu0.5,3.991,6.819,28.853,16.778,3.460,8.606,0.000,7.035,0.760,4.925,3.483,0.000,0.000,3.390,0.000,0.000,0.000,0.000,0.000,0.000,1.731,0.704,0.577,0.651,0.000,0.534,0.575,0.000,0.000,0.000,0.882,1.617,0.000,1.566,1.306,1.174,0.041,0.000,0.000,0.542
Colo_rep4_Dep6_Tu20,0.441,6.405,21.489,12.914,8.870,4.607,0.847,3.330,1.064,3.461,2.773,0.000,3.706,0.735,0.000,0.000,1.765,0.000,0.771,0.000,2.317,0.000,0.046,0.764,0.000,0.000,0.000,0.000,0.000,0.000,1.196,12.666,0.000,3.877,0.724,0.000,1.182,0.000,1.703,2.349
Colo_rep8_Dep6_Tu40,1.442,4.281,11.592,7.895,6.411,10.704,0.000,2.008,0.000,7.339,0.000,0.000,0.000,3.526,0.000,0.000,3.199,0.000,0.000,0.000,0.000,0.000,1.900,0.000,0.000,0.000,1.901,0.000,0.000,2.032,4.643,20.694,0.000,3.764,1.618,0.000,0.070,1.695,2.688,0.598
Colo_rep7_Dep6_Tu0.3,2.104,8.525,21.915,21.764,0.436,15.349,1.336,3.492,0.000,9.923,0.000,0.000,0.000,3.008,0.000,0.000,0.000,0.000,0.000,0.000,2.532,0.000,0.000,0.000,0.000,0.392,0.449,0.000,0.000,0.000,0.901,1.412,0.000,2.638,0.392,0.990,0.525,0.000,1.439,0.478
Colo_rep7_Dep6_Tu30,2.472,4.039,18.616,15.216,2.426,9.360,0.000,0.000,0.000,4.754,2.984,0.000,0.000,3.952,0.000,0.000,1.333,0.000,1.014,0.000,0.000,0.000,2.542,1.160,0.000,0.000,0.259,0.000,0.000,1.722,4.289,15.613,0.000,2.280,2.119,0.000,1.251,0.362,2.208,0.030
Colo_rep10_Dep6_Tu20,4.265,0.582,18.307,19.701,5.997,4.233,0.148,1.968,0.703,9.006,0.000,0.000,0.000,3.268,0.000,0.000,0.333,1.512,2.522,0.000,0.458,0.000,2.166,0.796,0.000,0.000,0.844,0.000,0.000,0.363,2.702,11.352,0.000,2.030,1.256,0.000,0.000,2.073,1.379,2.037
Colo_rep9_Dep6_Tu10,3.192,5.218,18.978,21.743,7.663,7.871,0.000,0.986,0.000,8.636,1.365,0.000,0.000,3.751,0.000,0.000,0.062,0.000,0.000,0.000,0.000,0.000,2.890,0.000,0.000,0.372,1.183,0.000,0.000,0.000,1.463,6.603,0.000,4.128,0.328,0.000,0.224,1.114,1.260,0.971
Colo_rep9_Dep6_Tu0.1,6.239,3.171,22.535,24.610,6.675,9.613,0.000,0.000,0.000,6.421,3.266,0.000,0.240,3.060,0.000,0.000,0.000,0.000,1.420,0.000,2.822,0.000,0.000,0.272,0.000,0.000,0.368,0.000,0.000,0.000,0.652,1.474,0.000,1.199,1.755,0.523,0.573,0.484,0.574,2.054
Colo_rep10_Dep6_Tu0.3,6.127,3.933,27.528,21.347,0.000,10.621,1.414,3.184,0.000,7.524,1.409,0.000,0.000,3.211,0.000,0.000,0.000,0.000,0.768,0.000,1.183,0.000,1.779,0.946,0.000,0.175,0.000,0.000,0.000,0.000,0.710,1.525,0.000,1.794,1.226,0.468,0.651,0.365,0.000,2.111
Colo_rep8_Dep6_Tu20,3.707,4.774,19.963,17.941,0.248,10.112,0.000,3.630,0.000,5.062,1.566,0.000,0.000,4.019,0.000,0.000,0.000,0.000,2.082,0.000,0.000,1.775,0.943,0.532,0.000,0.000,0.000,0.000,0.148,0.768,2.622,11.211,0.000,4.181,0.000,0.000,0.767,0.635,2.380,0.935
Colo_rep3_Dep6_Tu3,5.299,5.729,20.338,18.187,5.023,15.837,0.000,2.457,0.000,8.238,0.541,0.000,0.000,3.583,0.000,0.142,0.005,0.000,0.000,0.000,1.298,0.000,1.821,0.320,0.000,0.453,0.424,0.000,0.000,0.000,1.528,2.194,0.000,2.325,0.000,0.521,0.300,0.431,1.858,1.149
Colo_rep4_Dep6_Tu2,2.756,5.763,23.006,24.247,5.517,6.112,0.337,4.463,0.000,6.341,1.761,0.000,0.000,3.522,0.000,0.000,0.000,0.000,1.284,0.000,1.111,0.000,1.652,0.361,0.000,0.000,0.385,0.000,0.154,0.000,1.358,2.053,0.000,1.817,2.227,0.957,0.000,0.123,2.048,0.644
Colo_rep10_Dep6_Tu0.1,3.933,6.702,24.899,22.822,5.642,8.665,0.000,0.521,1.594,8.155,0.000,0.000,3.059,0.663,0.000,0.000,0.000,0.000,0.988,0.000,2.470,0.192,0.048,0.315,0.000,0.000,0.698,0.000,0.000,0.000,0.489,1.542,0.000,1.514,0.975,1.290,0.000,0.370,0.861,1.594
Colo_rep4_Dep6_Tu0.3,4.392,7.541,28.836,20.342,4.286,7.647,0.403,2.811,0.000,8.670,0.000,0.000,0.000,2.754,0.000,0.000,0.000,0.000,0.000,0.000,1.110,0.000,2.089,0.000,0.000,0.000,0.746,0.000,0.000,0.000,0.689,1.357,0.000,0.318,2.339,0.803,0.482,0.265,0.394,1.726
Colo_rep9_Dep6_Tu0.3,3.816,6.885,25.934,18.761,3.421,15.691,0.000,0.318,0.000,7.974,1.942,0.000,0.000,3.572,0.000,0.000,0.000,0.000,0.000,0.000,2.285,0.000,1.003,0.361,0.000,0.476,0.440,0.000,0.000,0.000,1.442,0.871,0.000,0.579,1.590,1.101,0.523,0.000,0.522,0.493
Colo_rep1_Dep6_Tu10,2.649,4.833,22.598,20.435,10.369,0.776,0.000,3.363,0.000,9.608,0.000,0.000,0.000,3.723,0.000,0.000,0.477,0.000,0.073,0.909,0.005,0.000,2.873,0.000,0.000,0.000,1.239,0.000,0.000,0.000,2.117,6.134,0.000,1.514,1.960,0.153,0.002,1.481,0.385,2.325
Colo_rep6_Dep6_Tu0.3,4.657,6.937,27.407,20.248,1.672,11.593,0.000,1.232,0.000,8.147,2.559,0.000,0.000,3.582,0.000,0.000,0.000,0.000,0.835,0.000,1.219,0.000,1.630,0.111,0.000,0.446,0.285,0.000,0.000,0.000,0.000,2.062,0.000,2.575,0.258,0.072,1.640,0.000,0.576,0.258
Colo_rep6_Dep6_Tu0.5,4.009,7.120,25.142,22.777,2.199,10.805,0.130,0.000,2.107,8.485,0.000,0.000,1.417,2.228,0.000,0.000,0.000,0.000,0.709,0.000,2.625,0.000,0.629,0.000,0.000,0.000,1.128,0.000,0.000,0.000,0.405,1.508,0.000,1.846,0.979,0.000,0.409,1.024,0.000,2.319
Colo_rep10_Dep6_Tu10,4.708,3.254,20.631,22.746,1.052,7.622,0.000,4.738,0.000,8.671,0.000,0.000,0.000,3.839,0.148,0.711,1.850,0.000,0.000,0.000,0.917,0.000,1.756,0.299,0.000,0.429,0.858,0.000,0.430,0.000,1.192,6.606,0.000,1.601,1.779,0.000,0.560,1.255,0.139,2.210
Colo_rep10_Dep6_Tu1,4.417,6.394,18.209,27.859,5.314,10.059,0.000,1.216,0.000,7.249,2.455,0.000,0.000,3.671,0.000,0.000,0.000,0.000,0.370,0.000,0.882,0.000,1.755,0.394,0.000,0.000,0.000,0.000,0.000,0.000,0.707,1.638,0.000,2.293,1.290,0.520,0.433,0.850,0.000,2.028
Colo_rep10_Dep6_Tu5,4.479,4.428,24.955,16.420,3.138,12.159,0.000,3.185,0.000,8.962,0.440,0.000,0.000,2.649,0.000,0.000,0.000,0.000,2.619,0.000,1.915,0.000,0.581,0.547,0.000,0.242,0.211,0.000,0.000,0.000,0.207,4.927,0.000,2.095,1.971,0.241,0.723,0.316,1.771,0.819
Colo_rep10_Dep6_Tu40,0.800,4.436,9.356,15.227,6.854,3.970,1.108,2.770,0.000,6.920,0.000,0.000,0.329,2.984,0.000,0.000,0.376,0.000,2.625,0.000,0.000,0.000,2.427,0.000,0.000,0.000,1.314,0.000,0.000,2.092,4.447,21.116,0.000,3.483,1.734,0.000,0.041,1.711,3.360,0.518
Colo_rep10_Dep6_Tu0.5,4.209,5.331,26.588,20.682,5.936,6.614,0.000,4.240,0.000,9.453,0.000,0.000,0.000,3.533,0.000,0.000,0.000,0.000,0.129,0.000,0.600,0.000,2.743,0.439,0.000,0.000,0.659,0.000,0.000,0.000,1.049,1.384,0.000,2.055,0.977,1.109,0.000,0.257,0.000,2.013
Colo_rep1_Dep6_Tu1,4.318,6.146,24.087,19.304,7.396,10.362,0.000,0.501,0.999,8.796,0.905,0.000,3.556,0.709,0.000,0.000,0.000,0.000,0.699,0.000,2.216,0.000,0.707,0.634,0.000,0.003,0.453,0.000,0.000,0.000,0.389,2.137,0.000,2.211,0.438,0.336,0.000,1.199,0.000,1.496
Colo_rep7_Dep6_Tu20,7.646,0.644,17.105,15.766,1.950,10.524,0.000,5.229,0.000,7.341,2.335,0.000,0.000,2.531,0.000,0.000,0.000,0.000,0.000,1.528,0.000,0.000,3.304,0.000,0.000,0.000,1.707,0.000,0.000,0.105,2.674,11.886,0.000,2.746,0.951,0.000,1.196,0.389,2.442,0.000
Colo_rep6_Dep6_Tu10,3.055,5.378,25.270,20.932,2.916,2.483,0.000,7.042,0.000,8.645,0.000,0.000,0.000,3.839,0.000,0.000,0.000,0.000,0.940,0.000,0.000,0.000,2.226,0.116,0.000,0.000,0.614,0.000,0.000,0.000,1.401,6.783,0.000,2.826,1.134,0.000,0.000,1.556,1.515,1.329
Colo_rep10_Dep6_Tu3,2.834,6.861,20.730,21.341,4.309,15.868,0.000,0.000,0.000,10.864,0.000,0.000,0.000,3.329,0.000,0.000,0.000,0.000,0.000,0.000,1.293,0.000,1.007,0.000,0.000,0.000,1.177,0.000,0.000,0.000,1.189,2.472,0.000,1.414,1.950,0.250,0.832,0.000,1.774,0.505
