Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Colo_rep2_Dep6_Tu0.5,0.331,1.800,0.257,0.045,2.082,0.016,2.271,3.116,12.275,6.447,1.320,4.715,4.900,9.193,16.090,2.613,12.195,3.200,6.884,0.805,1.122,6.237,2.087
Colo_rep2_Dep6_Tu50,0.685,1.995,3.177,1.179,1.048,19.152,1.827,2.903,3.255,2.328,4.313,4.048,0.822,3.905,0.804,1.175,1.499,2.204,8.716,14.699,4.962,2.649,12.654
Colo_rep6_Dep6_Tu1,0.529,3.450,0.111,0.028,2.341,0.032,2.359,6.031,6.776,3.636,6.099,2.958,13.358,4.010,0.834,4.076,12.914,7.691,5.290,2.700,8.227,5.077,1.473
Colo_rep3_Dep6_Tu2,0.849,0.687,0.791,0.022,2.403,0.223,3.796,5.654,2.190,3.717,15.645,4.762,1.662,10.823,5.297,12.689,9.448,7.603,6.784,1.565,1.456,1.895,0.041
Colo_rep7_Dep6_Tu2,0.420,3.157,0.166,0.160,1.140,0.059,1.235,10.704,0.392,5.060,12.509,3.718,5.190,1.734,1.375,2.871,14.127,3.049,14.937,1.378,9.796,4.949,1.874
Colo_rep8_Dep6_Tu0.1,0.055,1.494,0.442,0.076,1.924,0.056,3.848,9.202,2.384,5.157,7.275,4.906,9.402,9.551,0.445,4.541,16.833,4.079,2.785,0.742,8.696,2.963,3.144
Colo_rep10_Dep6_Tu2,0.697,1.567,0.074,0.136,1.790,0.115,0.297,6.008,1.639,3.871,14.147,7.416,4.638,1.626,21.554,1.209,1.559,7.270,5.848,1.541,12.685,2.129,2.185
Colo_rep6_Dep6_Tu3,0.395,0.216,0.646,0.089,2.856,0.061,6.082,2.274,3.344,5.741,1.499,7.668,14.688,3.784,4.369,1.460,7.088,9.219,11.185,2.553,6.580,5.759,2.444
Colo_rep9_Dep6_Tu30,0.723,3.106,1.414,0.523,4.899,8.600,2.808,1.906,5.134,6.176,0.347,3.859,8.217,1.558,3.171,7.038,0.907,2.354,4.301,1.429,9.315,1.811,20.404
Colo_rep9_Dep6_Tu0.5,0.577,0.741,0.495,0.050,1.937,0.043,3.009,0.482,6.263,7.036,4.594,4.421,15.929,12.736,11.283,2.126,4.502,10.115,0.084,3.158,6.761,3.557,0.099
Colo_rep6_Dep6_Tu20,1.240,0.457,1.895,0.396,3.487,5.550,2.719,8.055,2.145,2.712,10.126,1.725,7.624,5.286,4.118,7.965,4.414,3.394,1.326,7.642,5.186,2.220,10.319
Colo_rep8_Dep6_Tu30,1.539,2.489,1.698,0.425,4.428,9.333,2.667,4.222,5.319,3.179,5.612,2.839,0.499,11.010,0.904,5.163,1.620,2.262,2.241,5.740,8.014,2.281,16.514
Colo_rep3_Dep6_Tu5,0.294,3.828,0.669,0.076,2.326,0.253,0.853,7.879,8.244,1.821,13.020,0.699,2.793,4.961,10.248,7.091,8.113,1.386,6.013,3.920,1.212,10.390,3.911
Colo_rep4_Dep6_Tu3,0.517,0.062,1.187,0.190,1.286,0.368,1.017,6.993,10.066,3.297,5.890,2.439,9.880,6.467,8.765,4.232,14.093,3.270,5.878,0.335,3.912,6.191,3.663
Colo_rep2_Dep6_Tu10,1.145,0.107,1.353,0.225,4.315,0.445,2.265,6.542,2.945,3.769,13.201,3.060,1.812,1.333,9.686,5.046,3.791,3.642,5.055,1.916,9.243,8.710,10.393
Colo_rep3_Dep6_Tu40,2.015,2.274,2.032,0.550,4.547,11.694,1.633,0.396,6.172,5.411,3.888,1.912,1.266,1.120,1.009,0.451,0.416,5.156,0.490,17.113,8.803,6.252,15.400
Colo_rep3_Dep6_Tu30,2.076,1.575,0.238,0.641,4.383,9.008,3.500,5.616,4.780,5.752,3.302,0.943,2.906,4.670,2.395,6.223,0.285,6.047,8.916,5.771,3.530,1.096,16.345
Colo_rep6_Dep6_Tu30,0.838,0.612,1.127,0.717,5.671,8.346,4.740,3.477,2.434,0.941,7.939,2.886,3.385,2.727,1.796,11.446,3.486,2.524,1.056,22.024,3.276,5.668,2.885
Colo_rep4_Dep6_Tu50,1.312,1.526,2.468,0.794,4.039,18.891,3.423,5.448,0.622,5.934,3.756,0.697,0.330,4.428,2.163,4.382,1.859,0.747,3.826,19.045,4.680,1.238,8.392
Colo_rep5_Dep6_Tu50,1.577,0.516,2.383,0.665,4.494,17.293,3.493,0.613,5.701,3.249,4.471,0.586,2.004,1.753,3.134,0.307,0.914,1.679,8.350,9.910,4.148,0.181,22.579
Colo_rep6_Dep6_Tu2,0.501,2.956,0.434,0.040,2.033,0.019,4.746,0.000,11.993,5.290,2.067,2.407,12.510,11.128,0.357,17.921,4.698,2.742,5.099,2.846,7.361,1.017,1.836
Colo_rep10_Dep6_Tu50,2.542,0.783,2.556,0.794,2.448,17.580,1.915,0.212,3.553,6.073,4.175,3.966,1.095,2.911,0.817,8.526,1.272,0.444,3.573,8.774,0.644,1.829,23.517
Colo_rep7_Dep6_Tu50,2.683,1.695,2.414,1.426,1.836,17.481,3.872,5.367,0.092,1.264,2.515,2.365,3.041,1.485,0.783,3.379,1.424,0.720,11.995,12.743,3.481,0.388,17.553
Colo_rep9_Dep6_Tu40,1.412,2.401,1.717,0.666,4.333,11.523,3.897,3.085,4.709,5.207,2.321,2.405,2.464,0.811,4.448,7.662,2.221,2.650,1.733,16.018,0.993,0.175,17.152
Colo_rep8_Dep6_Tu5,0.008,3.546,0.490,0.119,2.755,0.473,1.404,7.584,4.688,3.158,7.501,3.671,12.158,7.847,0.233,15.453,8.253,2.086,6.022,5.136,2.753,4.477,0.184
Colo_rep1_Dep6_Tu20,2.075,2.342,1.222,0.586,0.025,5.895,2.460,3.320,5.240,5.587,5.141,4.412,6.997,2.175,0.512,8.011,3.029,3.856,14.667,8.727,4.249,9.287,0.184
Colo_rep9_Dep6_Tu2,0.091,2.941,0.763,0.093,0.610,0.101,1.480,8.485,7.760,6.730,0.089,4.201,7.254,15.132,2.535,2.810,6.937,8.423,6.381,0.013,10.225,4.769,2.178
