Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Colo_rep2_Dep6_Tu0.5,0.000,0.127,0.000,0.000,0.001,0.000,0.222,3.708,1.344,0.399,10.069,0.815,19.080,64.235
Colo_rep2_Dep6_Tu50,0.000,54.745,0.000,0.001,0.009,16.621,0.025,0.387,0.340,0.100,0.112,0.124,1.195,26.342
Colo_rep6_Dep6_Tu1,0.001,0.146,0.001,0.000,0.041,0.000,0.513,7.294,1.481,1.095,2.807,0.429,22.125,64.068
Colo_rep3_Dep6_Tu2,0.001,0.727,0.001,0.000,0.094,0.000,0.277,3.223,4.807,0.214,8.000,0.526,18.439,63.690
Colo_rep7_Dep6_Tu2,0.002,0.664,0.000,0.000,0.014,0.000,0.324,3.667,2.128,1.607,7.802,0.466,19.947,63.380
Colo_rep8_Dep6_Tu0.1,0.000,0.011,0.001,0.000,0.048,0.000,0.330,4.986,3.159,0.632,7.417,0.489,20.885,62.044
Colo_rep10_Dep6_Tu2,0.002,0.682,0.001,0.000,0.047,0.000,0.399,4.575,2.771,1.163,6.754,0.250,18.380,64.976
Colo_rep6_Dep6_Tu3,0.007,1.935,0.004,0.100,0.447,0.367,0.447,2.783,3.868,0.442,7.659,0.476,19.622,61.844
Colo_rep9_Dep6_Tu30,0.009,34.662,0.010,0.001,0.338,9.178,0.265,2.036,1.612,0.517,1.160,0.193,7.263,42.756
Colo_rep9_Dep6_Tu0.5,0.000,0.127,0.000,0.000,0.004,0.000,0.136,5.466,1.111,0.452,8.258,0.274,19.539,64.632
Colo_rep6_Dep6_Tu20,0.005,21.174,0.000,0.000,0.042,6.526,0.166,1.740,2.257,0.462,4.736,0.365,11.992,50.535
Colo_rep8_Dep6_Tu30,0.007,34.868,0.000,0.000,0.117,9.226,0.150,1.722,0.678,0.462,2.064,0.313,5.742,44.649
Colo_rep3_Dep6_Tu5,0.006,3.479,0.002,0.000,0.189,1.253,0.394,3.457,2.130,2.086,4.955,0.472,19.245,62.332
Colo_rep4_Dep6_Tu3,0.085,1.067,0.159,0.032,0.417,0.435,0.390,3.022,3.135,1.413,6.234,0.270,19.836,63.506
Colo_rep2_Dep6_Tu10,0.001,11.292,0.000,0.000,0.028,2.847,0.270,1.515,2.529,0.822,6.479,0.454,15.102,58.660
Colo_rep3_Dep6_Tu40,0.002,44.837,0.002,0.000,0.078,13.191,0.047,1.069,0.594,0.160,1.524,0.126,3.007,35.363
Colo_rep3_Dep6_Tu30,0.005,36.080,0.000,0.000,0.050,8.980,0.050,0.684,0.894,0.179,4.256,0.074,5.072,43.677
Colo_rep6_Dep6_Tu30,0.008,32.467,0.022,0.000,0.345,9.889,0.084,3.094,0.245,0.418,3.656,0.271,6.396,43.104
Colo_rep4_Dep6_Tu50,0.001,52.423,0.000,0.003,0.050,17.342,0.040,0.753,0.821,0.077,0.422,0.049,1.677,26.342
Colo_rep5_Dep6_Tu50,0.000,54.883,0.000,0.000,0.027,16.621,0.011,0.272,0.386,0.064,0.901,0.205,1.112,25.518
