Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Colo_rep2_Dep6_Tu0.5,0.000,0.000,0.028,0.161,6.366,2.231,0.658,0.243,29.836,1.116,0.294,1.140,57.928
Colo_rep2_Dep6_Tu50,0.000,0.029,0.000,39.374,4.910,15.490,6.811,0.386,2.533,0.219,3.025,2.487,24.738
Colo_rep6_Dep6_Tu1,0.000,0.000,0.288,0.243,6.552,0.598,5.025,0.463,24.658,1.039,0.416,0.383,60.334
Colo_rep3_Dep6_Tu2,0.000,0.000,0.063,1.535,7.387,0.718,0.528,4.553,21.463,3.353,0.136,0.932,59.332
Colo_rep7_Dep6_Tu2,0.000,0.000,0.244,1.216,4.969,2.353,0.402,5.977,22.220,1.125,0.000,0.111,61.383
Colo_rep8_Dep6_Tu0.1,0.000,0.000,0.052,0.043,5.012,0.188,14.980,2.513,12.356,2.739,1.510,1.259,59.349
Colo_rep10_Dep6_Tu2,0.000,0.000,0.040,1.257,4.264,1.059,1.214,0.422,30.022,2.814,0.615,0.787,57.505
Colo_rep6_Dep6_Tu3,0.000,0.000,0.000,1.650,4.970,3.349,0.788,5.045,20.998,1.800,0.288,0.195,60.916
Colo_rep9_Dep6_Tu30,0.000,0.000,0.114,25.627,8.071,1.223,15.012,0.000,7.350,1.254,3.830,4.795,32.725
Colo_rep9_Dep6_Tu0.5,0.000,0.000,0.055,0.744,6.084,0.296,0.837,0.299,30.611,0.340,0.498,0.312,59.925
Colo_rep6_Dep6_Tu20,0.000,0.000,0.000,15.442,3.936,13.225,1.298,8.383,11.639,0.530,0.769,0.171,44.605
Colo_rep8_Dep6_Tu30,0.000,0.000,0.000,25.885,3.360,6.978,4.632,0.000,15.790,1.432,2.446,2.906,36.571
Colo_rep3_Dep6_Tu5,0.000,0.000,0.000,3.738,3.383,1.417,5.786,0.714,23.317,0.746,0.506,0.602,59.791
Colo_rep4_Dep6_Tu3,0.000,0.000,0.187,1.094,4.953,0.300,16.400,0.810,18.432,0.526,0.347,0.493,56.457
Colo_rep2_Dep6_Tu10,0.000,0.000,0.049,7.805,4.545,3.989,2.221,0.355,25.042,2.788,0.831,1.647,50.726
Colo_rep3_Dep6_Tu40,0.000,0.000,0.000,35.620,7.693,1.232,15.289,0.000,2.659,0.670,3.874,5.862,27.102
Colo_rep3_Dep6_Tu30,0.000,0.000,0.000,28.754,11.666,5.254,4.963,0.840,13.882,0.150,1.052,0.415,33.023
Colo_rep6_Dep6_Tu30,0.000,0.000,0.018,27.641,6.379,0.721,15.289,2.970,2.597,0.491,7.313,0.579,36.002
Colo_rep4_Dep6_Tu50,0.000,0.041,0.054,38.757,4.663,10.013,12.801,1.422,0.361,0.348,6.130,1.206,24.205
Colo_rep5_Dep6_Tu50,0.000,0.000,0.000,39.956,6.189,15.260,7.181,0.526,0.872,0.000,2.539,5.424,22.054
Colo_rep6_Dep6_Tu2,0.000,0.000,0.648,0.745,7.389,0.191,15.198,0.982,10.911,1.199,0.750,0.537,61.449
Colo_rep10_Dep6_Tu50,0.000,0.000,0.000,41.177,5.950,5.719,13.715,1.996,0.648,1.026,5.608,1.512,22.648
Colo_rep7_Dep6_Tu50,0.000,0.000,0.000,37.611,5.997,19.249,6.019,0.279,0.499,0.374,4.927,0.485,24.561
Colo_rep9_Dep6_Tu40,0.000,0.000,0.000,33.680,6.145,4.819,14.422,0.599,2.694,0.660,2.901,5.949,28.132
Colo_rep8_Dep6_Tu5,0.006,0.000,0.147,2.750,6.414,0.127,14.759,4.341,10.650,0.271,0.965,0.543,59.024
Colo_rep1_Dep6_Tu20,0.000,0.000,0.000,16.741,8.229,2.345,15.545,1.767,3.960,0.212,4.143,1.229,45.829
Colo_rep9_Dep6_Tu2,0.000,0.000,0.014,1.458,5.734,0.488,1.767,0.178,29.320,0.469,0.418,0.445,59.706
Colo_rep5_Dep6_Tu30,0.000,0.000,0.000,23.181,6.246,14.677,3.434,1.196,6.368,4.764,1.857,1.546,36.730
Colo_rep4_Dep6_Tu0.1,0.020,0.000,0.173,0.000,7.123,0.429,0.311,0.798,22.300,3.450,0.848,0.875,63.673
Colo_rep5_Dep6_Tu0.1,0.000,0.000,0.079,0.000,4.623,0.544,0.926,0.494,31.974,1.806,0.293,0.626,58.635
Colo_rep9_Dep6_Tu3,0.000,0.000,0.475,0.888,6.289,0.114,15.875,0.587,18.131,0.957,0.412,2.022,54.250
Colo_rep2_Dep6_Tu0.1,0.000,0.000,0.073,0.000,4.559,0.116,15.988,2.241,19.352,0.368,0.006,0.484,56.812
Colo_rep8_Dep6_Tu10,0.000,0.000,0.000,5.796,5.884,1.811,15.595,5.103,8.721,3.132,1.408,1.365,51.186
Colo_rep4_Dep6_Tu30,0.000,0.000,0.000,20.939,5.531,17.507,3.825,0.454,11.088,0.776,1.885,2.917,35.079
Colo_rep2_Dep6_Tu2,0.000,0.000,0.020,1.581,5.497,1.844,0.730,4.543,21.555,1.639,0.092,0.161,62.338
Colo_rep1_Dep6_Tu5,0.000,0.000,0.072,2.425,3.863,6.115,0.708,6.506,20.008,1.328,0.270,0.089,58.615
Colo_rep8_Dep6_Tu50,0.000,0.024,0.116,42.154,7.108,5.061,13.939,1.733,0.295,0.368,4.814,0.673,23.714
Colo_rep5_Dep6_Tu5,0.000,0.000,0.000,2.759,5.604,0.384,15.327,6.186,10.087,0.392,0.677,0.393,58.191
Colo_rep6_Dep6_Tu50,0.000,0.000,0.000,40.646,6.344,3.868,13.247,0.000,0.397,0.456,10.849,0.633,23.560
