Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Colo_rep2_Dep6_Tu0.5,0.962,1.246,1.636,0.000,3.646,2.782,2.830,0.000,0.000,8.928,10.963,3.594,63.412
Colo_rep2_Dep6_Tu50,1.109,5.022,1.425,1.869,5.000,30.969,1.671,2.699,0.000,3.991,8.562,4.403,33.280
Colo_rep6_Dep6_Tu1,0.966,0.999,1.929,0.000,3.316,2.927,2.997,0.000,0.000,10.272,9.720,3.032,63.843
Colo_rep3_Dep6_Tu2,1.199,1.735,1.576,0.000,3.364,3.529,3.291,0.000,0.000,9.323,10.166,3.875,61.943
Colo_rep7_Dep6_Tu2,1.675,0.493,1.835,0.000,3.029,3.653,3.204,0.000,0.000,10.403,8.633,3.601,63.473
Colo_rep8_Dep6_Tu0.1,1.328,1.786,1.806,0.000,3.083,2.252,3.075,0.000,0.000,9.389,9.264,4.320,63.696
Colo_rep10_Dep6_Tu2,0.955,2.119,1.827,0.000,2.700,3.500,3.237,0.000,0.000,10.124,8.998,3.244,63.296
Colo_rep6_Dep6_Tu3,1.711,1.120,1.269,0.000,3.725,4.315,2.932,0.000,0.000,8.840,9.272,3.791,63.026
Colo_rep9_Dep6_Tu30,1.037,3.374,2.001,0.000,5.160,19.717,2.487,0.707,0.862,6.273,9.497,4.496,44.389
Colo_rep9_Dep6_Tu0.5,1.178,0.296,1.835,0.000,3.279,2.951,3.064,0.000,0.000,9.796,10.635,3.502,63.464
Colo_rep6_Dep6_Tu20,1.925,3.480,1.467,0.000,3.278,14.611,2.258,0.000,3.782,5.089,8.147,3.245,52.719
Colo_rep8_Dep6_Tu30,1.201,3.773,1.583,0.000,5.500,19.869,3.031,0.541,0.000,6.606,7.358,4.267,46.270
Colo_rep3_Dep6_Tu5,1.089,1.803,1.617,0.000,3.691,5.472,3.074,0.000,0.000,9.298,6.702,4.428,62.826
Colo_rep4_Dep6_Tu3,1.393,0.705,2.303,0.000,3.605,4.504,2.957,0.000,0.000,8.259,10.645,3.680,61.950
Colo_rep2_Dep6_Tu10,1.186,2.427,2.020,0.000,3.235,8.547,2.959,0.000,0.000,8.129,9.030,3.969,58.499
Colo_rep3_Dep6_Tu40,0.963,3.556,1.947,0.000,4.964,26.422,2.140,2.717,0.000,4.213,9.833,4.369,38.876
Colo_rep3_Dep6_Tu30,1.520,2.383,2.138,0.000,4.258,19.977,2.910,0.000,0.000,7.366,10.758,3.106,45.584
Colo_rep6_Dep6_Tu30,0.751,2.975,1.824,0.080,5.381,20.523,2.414,3.045,1.562,4.033,8.743,2.856,45.812
Colo_rep4_Dep6_Tu50,0.897,4.708,1.561,2.631,5.094,30.868,1.744,2.647,3.426,2.359,7.252,3.059,33.755
Colo_rep5_Dep6_Tu50,0.599,5.805,1.474,0.150,5.540,31.525,0.943,2.083,2.261,3.443,8.446,4.712,33.017
Colo_rep6_Dep6_Tu2,1.167,2.076,1.634,0.000,3.443,3.664,3.086,0.000,0.000,8.932,9.641,3.823,62.533
Colo_rep10_Dep6_Tu50,1.039,3.468,1.705,1.533,6.186,31.159,2.314,2.913,1.099,4.051,8.244,3.959,32.330
Colo_rep7_Dep6_Tu50,0.932,4.754,1.825,1.421,5.090,31.275,2.815,5.600,0.560,1.307,7.555,3.240,33.626
Colo_rep9_Dep6_Tu40,1.194,5.059,1.312,0.929,4.806,25.563,2.491,2.257,0.565,2.594,9.008,4.477,39.745
Colo_rep8_Dep6_Tu5,1.931,1.678,1.600,0.000,3.580,5.224,2.879,0.000,0.852,7.574,8.807,4.139,61.737
Colo_rep1_Dep6_Tu20,1.321,3.116,1.575,0.000,4.183,14.345,1.848,0.000,3.644,5.508,9.543,3.250,51.666
Colo_rep9_Dep6_Tu2,1.245,1.018,1.447,0.000,3.701,3.669,3.167,0.000,0.000,9.999,9.552,3.375,62.827
Colo_rep5_Dep6_Tu30,1.586,3.221,1.522,0.000,3.666,19.887,3.642,2.280,0.000,6.243,9.457,4.112,44.385
Colo_rep4_Dep6_Tu0.1,1.655,0.379,2.063,0.000,2.588,2.455,2.953,0.000,0.000,10.237,9.395,3.805,64.471
Colo_rep5_Dep6_Tu0.1,1.389,0.010,2.069,0.000,2.956,2.464,3.069,0.000,0.000,11.559,8.749,3.461,64.274
Colo_rep9_Dep6_Tu3,1.051,0.601,2.150,0.000,3.803,4.187,3.090,0.000,0.000,9.349,9.686,4.222,61.861
Colo_rep2_Dep6_Tu0.1,0.759,1.288,1.802,0.000,4.084,2.334,2.631,0.000,0.000,10.136,8.804,3.918,64.244
Colo_rep8_Dep6_Tu10,1.650,2.695,2.094,0.000,2.712,8.139,3.029,0.000,1.201,7.081,9.332,4.143,57.925
Colo_rep4_Dep6_Tu30,1.099,3.947,1.028,0.347,4.521,19.841,2.526,2.694,0.000,7.019,8.851,3.963,44.163
Colo_rep2_Dep6_Tu2,1.593,1.649,1.597,0.000,3.380,3.557,3.159,0.000,0.000,9.712,9.970,3.146,62.237
Colo_rep1_Dep6_Tu5,1.377,1.502,1.459,0.000,3.372,5.317,3.511,0.000,0.000,9.758,8.507,4.140,61.058
Colo_rep8_Dep6_Tu50,1.539,2.544,1.931,2.175,5.955,31.367,2.018,3.041,2.140,2.033,8.229,3.580,33.448
Colo_rep5_Dep6_Tu5,0.826,2.577,1.556,0.000,3.122,5.588,3.185,0.000,0.062,8.383,8.759,4.231,61.711
Colo_rep6_Dep6_Tu50,1.110,3.854,1.584,0.971,4.976,31.780,2.222,4.023,1.158,3.252,7.995,3.125,33.949
Colo_rep5_Dep6_Tu0.5,1.804,0.000,1.580,0.000,3.105,2.911,3.273,0.000,0.000,9.969,8.040,3.530,65.789
Colo_rep4_Dep6_Tu20,0.552,3.979,1.235,0.000,4.768,13.909,2.565,0.072,1.013,6.578,7.025,4.756,53.547
Colo_rep8_Dep6_Tu40,1.582,3.841,1.499,0.724,5.309,25.591,1.956,3.304,0.000,4.991,8.122,3.675,39.404
Colo_rep7_Dep6_Tu0.3,0.980,1.066,1.965,0.000,3.128,2.858,2.707,0.000,0.000,9.943,9.729,3.264,64.360
Colo_rep7_Dep6_Tu30,1.252,2.806,1.483,0.813,4.422,20.059,2.658,0.977,0.897,5.903,8.106,4.399,46.227
Colo_rep10_Dep6_Tu20,1.697,3.595,1.933,0.000,3.339,14.195,2.871,2.090,1.250,4.349,9.399,3.981,51.303
Colo_rep9_Dep6_Tu10,1.401,1.699,1.486,0.000,4.476,8.455,3.121,0.000,0.000,7.527,9.820,4.015,58.001
Colo_rep9_Dep6_Tu0.1,0.822,2.205,1.886,0.000,3.376,2.484,2.997,0.000,0.000,8.767,9.854,4.081,63.530
Colo_rep10_Dep6_Tu0.3,1.270,1.570,1.717,0.000,3.349,2.520,3.123,0.000,0.000,9.408,9.367,3.736,63.942
Colo_rep8_Dep6_Tu20,0.236,3.724,1.434,0.848,3.790,13.995,3.065,0.000,0.370,7.837,7.032,4.832,52.837
Colo_rep3_Dep6_Tu3,1.294,2.479,1.534,0.000,2.341,4.118,3.275,0.000,0.000,10.104,8.793,3.807,62.255
Colo_rep4_Dep6_Tu2,1.006,2.204,1.382,0.000,4.396,3.772,3.013,0.000,0.000,8.132,8.213,4.236,63.646
Colo_rep10_Dep6_Tu0.1,1.207,1.871,2.051,0.000,2.796,2.511,3.030,0.000,0.000,10.102,7.891,4.118,64.422
Colo_rep4_Dep6_Tu0.3,0.832,1.493,1.875,0.000,3.145,2.449,3.332,0.000,0.000,11.112,8.644,2.946,64.172
Colo_rep9_Dep6_Tu0.3,1.418,0.154,2.016,0.000,2.682,2.779,3.402,0.000,0.000,9.733,9.824,3.792,64.200
Colo_rep1_Dep6_Tu10,1.166,2.645,1.619,0.000,3.883,8.456,3.126,0.000,0.446,7.048,9.866,4.148,57.598
Colo_rep6_Dep6_Tu0.3,0.924,0.380,2.039,0.000,2.907,2.492,3.145,0.000,0.000,10.592,10.729,4.066,62.726
Colo_rep6_Dep6_Tu0.5,1.272,1.637,1.691,0.000,3.267,2.408,3.447,0.000,0.000,10.352,8.367,4.114,63.446
Colo_rep10_Dep6_Tu10,1.581,2.282,1.814,0.000,3.792,8.021,2.868,1.709,0.000,7.625,8.891,4.367,57.048
Colo_rep10_Dep6_Tu1,0.538,1.379,2.071,0.000,3.953,2.744,2.778,0.000,0.000,9.906,9.738,4.064,62.830
Colo_rep10_Dep6_Tu5,0.981,2.373,1.440,0.000,4.258,5.297,2.812,0.000,0.770,8.484,9.716,3.622,60.247
Colo_rep10_Dep6_Tu40,0.792,4.212,1.447,1.541,5.364,25.615,2.493,0.415,2.571,4.725,7.592,3.787,39.447
Colo_rep10_Dep6_Tu0.5,1.253,1.333,1.648,0.000,3.387,2.844,3.479,0.000,0.000,8.655,9.219,3.829,64.354
Colo_rep1_Dep6_Tu1,1.331,1.088,1.701,0.000,2.774,2.946,3.194,0.000,0.000,9.733,9.613,4.539,63.080
Colo_rep7_Dep6_Tu20,1.480,2.112,1.676,0.000,3.559,14.573,3.380,0.558,0.901,7.702,10.487,2.498,51.075
Colo_rep6_Dep6_Tu10,0.682,2.702,1.507,0.000,4.126,8.437,2.453,0.000,0.000,7.830,8.820,4.468,58.975
Colo_rep10_Dep6_Tu3,1.165,1.555,1.424,0.000,3.809,4.053,2.392,0.000,0.000,8.828,11.059,3.424,62.290
Colo_rep1_Dep6_Tu30,1.189,4.971,1.687,0.000,3.379,20.466,2.986,0.000,1.364,5.500,8.047,4.641,45.770
Colo_rep1_Dep6_Tu0.1,1.466,0.009,1.952,0.000,3.240,2.591,2.947,0.000,0.000,9.966,9.194,3.829,64.805
Colo_rep7_Dep6_Tu5,1.457,1.245,1.911,0.000,3.432,5.476,3.164,0.000,0.000,8.721,10.203,4.055,60.337
Colo_rep7_Dep6_Tu0.1,1.436,0.208,1.864,0.000,3.683,2.577,3.115,0.000,0.000,9.407,10.357,3.195,64.157
Colo_rep6_Dep6_Tu40,1.374,2.620,1.907,0.951,5.001,25.763,2.235,1.497,0.883,6.555,10.000,3.033,38.181
Colo_rep8_Dep6_Tu2,1.032,0.489,1.824,0.000,3.722,3.825,2.857,0.000,0.000,9.763,9.624,4.216,62.650
Colo_rep7_Dep6_Tu0.5,1.522,2.214,1.296,0.000,2.858,2.733,3.091,0.000,0.000,9.401,7.880,3.939,65.066
Colo_rep5_Dep6_Tu20,1.047,3.926,1.605,0.000,4.271,13.870,3.061,0.000,1.162,7.225,8.003,4.644,51.186
Colo_rep8_Dep6_Tu0.3,1.406,0.098,2.054,0.000,2.682,2.777,3.466,0.000,0.000,9.619,9.805,3.781,64.313
Colo_rep4_Dep6_Tu5,1.426,1.400,1.660,0.000,3.287,5.679,3.593,0.000,0.000,8.422,10.139,3.633,60.762
Colo_rep9_Dep6_Tu1,1.420,0.000,2.004,0.000,3.348,2.898,2.711,0.000,0.000,11.578,9.464,3.407,63.170
Colo_rep1_Dep6_Tu0.5,1.334,1.414,1.896,0.000,2.449,2.369,2.633,0.000,0.000,10.897,10.125,3.165,63.719
Colo_rep8_Dep6_Tu3,1.571,1.727,1.701,0.000,3.240,4.139,3.091,0.000,0.000,9.400,8.450,3.870,62.811
Colo_rep5_Dep6_Tu0.3,1.092,0.402,2.142,0.000,2.766,2.906,3.631,0.000,0.314,9.371,10.027,3.883,63.467
Colo_rep2_Dep6_Tu30,0.938,2.452,1.338,0.468,4.535,20.131,2.784,1.747,0.000,5.556,9.185,4.227,46.639
Colo_rep7_Dep6_Tu10,1.244,1.159,1.632,0.000,3.831,8.387,2.962,0.246,0.000,8.387,10.682,3.890,57.580
Colo_rep2_Dep6_Tu40,1.100,4.998,1.444,1.170,5.135,25.327,2.071,2.924,0.075,3.706,8.375,4.246,39.430
Colo_rep3_Dep6_Tu0.1,1.132,1.159,1.833,0.000,3.999,2.681,2.246,0.000,0.000,7.817,11.533,4.644,62.956
Colo_rep3_Dep6_Tu1,0.611,0.000,2.075,0.000,4.145,3.317,3.070,0.000,0.000,8.802,10.007,4.172,63.802
Colo_rep8_Dep6_Tu1,1.513,0.204,1.741,0.000,4.138,3.360,3.351,0.000,0.000,8.219,9.443,3.928,64.103
Colo_rep4_Dep6_Tu1,1.477,1.830,1.454,0.000,3.589,2.981,3.218,0.000,0.000,8.718,8.416,4.272,64.045
Colo_rep5_Dep6_Tu40,0.765,2.107,2.509,0.785,5.586,25.705,2.354,6.406,0.215,1.791,8.396,4.737,38.644
Colo_rep5_Dep6_Tu10,0.704,1.649,1.805,0.000,4.144,8.292,3.113,0.000,0.000,9.729,9.991,3.565,57.008
Colo_rep2_Dep6_Tu0.3,1.638,1.096,1.748,0.000,3.289,2.362,3.096,0.000,0.000,9.795,7.801,3.711,65.464
Colo_rep10_Dep6_Tu30,1.233,3.395,1.386,1.196,4.067,20.228,3.205,2.650,0.150,5.894,7.590,3.700,45.306
Colo_rep1_Dep6_Tu40,1.032,3.764,1.811,0.420,4.829,26.022,2.285,1.799,3.891,3.135,8.437,2.582,39.993
Colo_rep6_Dep6_Tu0.1,1.497,0.788,1.656,0.000,3.316,2.535,2.980,0.000,0.000,10.346,9.686,3.399,63.797
Colo_rep7_Dep6_Tu40,0.537,3.422,1.687,1.399,5.270,25.616,2.588,3.357,0.000,5.870,8.043,3.524,38.687
Colo_rep1_Dep6_Tu50,0.699,2.356,1.904,2.341,5.624,31.600,2.432,5.054,2.587,3.297,6.059,3.318,32.727
Colo_rep1_Dep6_Tu0.3,0.923,0.792,2.010,0.000,3.062,2.709,3.095,0.000,0.000,9.405,10.270,4.002,63.731
Colo_rep9_Dep6_Tu20,1.320,4.174,0.853,0.000,3.876,13.906,2.668,0.000,0.743,7.981,8.448,4.043,51.987
Colo_rep4_Dep6_Tu10,0.934,1.675,1.873,0.000,3.678,8.875,2.789,0.000,0.000,8.768,10.193,3.368,57.847
Colo_rep6_Dep6_Tu5,1.645,1.173,1.431,0.000,3.408,5.422,3.060,0.000,0.000,10.129,8.746,3.930,61.058
Colo_rep9_Dep6_Tu5,1.443,0.938,2.309,0.000,3.542,5.323,2.953,0.000,0.000,8.773,11.435,3.410,59.875
Colo_rep3_Dep6_Tu50,2.253,5.619,0.993,1.359,4.958,31.124,2.194,2.335,0.000,4.310,8.052,3.698,33.107
Colo_rep5_Dep6_Tu1,1.177,0.767,2.382,0.000,3.081,3.213,2.962,0.000,0.000,9.076,11.453,3.474,62.414
Colo_rep5_Dep6_Tu3,0.924,1.376,2.021,0.000,3.160,4.285,2.603,0.000,0.000,9.987,8.622,3.944,63.079
Colo_rep2_Dep6_Tu1,1.593,0.661,1.582,0.000,2.828,3.109,3.022,0.000,0.000,10.017,12.053,3.128,62.006
Colo_rep7_Dep6_Tu1,1.528,0.009,1.745,0.000,3.220,3.007,3.163,0.000,0.000,9.581,9.797,3.773,64.179
Colo_rep5_Dep6_Tu2,1.090,1.779,1.946,0.000,3.067,3.473,2.743,0.000,0.000,9.450,8.609,3.838,64.004
Colo_rep4_Dep6_Tu40,1.352,4.478,1.187,1.051,4.592,25.275,3.163,1.607,0.000,6.098,8.905,3.569,38.723
Colo_rep2_Dep6_Tu20,0.880,2.565,1.212,0.000,3.924,14.391,3.238,0.000,2.788,7.426,7.614,3.675,52.288
Colo_rep4_Dep6_Tu0.5,1.339,0.593,1.707,0.000,3.060,2.883,3.578,0.000,0.000,10.790,7.422,3.676,64.952
Colo_rep2_Dep6_Tu5,1.684,2.150,1.529,0.000,3.511,5.222,2.693,0.000,0.000,8.986,7.499,4.081,62.646
Colo_rep2_Dep6_Tu3,1.056,1.592,2.144,0.000,2.790,4.282,3.291,0.000,0.000,9.111,10.993,3.874,60.866
Colo_rep3_Dep6_Tu10,1.442,0.836,2.187,0.000,3.056,8.597,3.400,0.000,0.000,9.015,10.287,3.781,57.398
Colo_rep8_Dep6_Tu0.5,1.124,2.498,1.658,0.000,2.657,2.274,2.878,0.000,0.000,9.496,9.200,3.841,64.374
Colo_rep7_Dep6_Tu3,1.328,2.687,1.697,0.000,2.973,4.337,3.150,0.000,0.000,8.005,10.511,3.667,61.645
Colo_rep3_Dep6_Tu0.5,0.917,0.344,2.093,0.000,2.882,2.623,3.162,0.000,0.000,10.592,10.549,4.137,62.700
Colo_rep3_Dep6_Tu20,0.667,2.784,1.865,0.000,3.418,14.549,3.158,0.110,0.000,7.906,9.154,3.636,52.754
Colo_rep1_Dep6_Tu2,1.386,0.390,1.697,0.000,3.333,3.711,3.033,0.000,0.000,11.394,8.390,3.700,62.966
Colo_rep9_Dep6_Tu50,1.259,5.222,1.697,0.872,4.149,31.698,2.319,2.916,0.031,4.409,7.877,2.890,34.660
Colo_rep3_Dep6_Tu0.3,1.156,2.455,1.620,0.000,2.570,2.176,2.777,0.000,0.000,9.660,9.201,3.868,64.517
Colo_rep1_Dep6_Tu3,1.544,1.568,1.626,0.000,3.018,4.214,2.979,0.000,0.000,8.601,10.124,4.063,62.263
