Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Colo_rep2_Dep6_Tu0.5,7.485,8.193,0.141,0.594,0.000,0.000,5.720,0.000,44.586,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.198,0.000,0.000,19.079,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,11.964,0.000
Colo_rep2_Dep6_Tu50,0.000,13.767,0.047,0.000,0.000,0.000,0.000,0.000,0.000,12.785,0.000,0.000,0.000,3.255,0.749,0.000,0.000,6.676,0.000,0.000,2.751,0.000,0.000,0.000,0.000,0.000,0.000,0.000,26.101,29.780,1.257,0.000,0.000,0.242,2.552,0.000,0.000,0.000,0.000,0.036
Colo_rep6_Dep6_Tu1,0.000,13.687,2.991,0.412,27.535,0.000,14.810,0.000,17.875,0.000,0.000,0.000,0.000,2.276,0.000,0.000,0.000,0.000,0.000,0.000,0.065,3.317,0.000,0.000,0.000,0.000,0.000,0.000,4.927,0.000,0.000,0.000,0.119,0.515,0.000,0.000,0.000,0.000,11.421,0.047
Colo_rep3_Dep6_Tu2,1.357,6.249,19.092,0.161,6.074,0.000,5.644,0.000,7.292,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.435,0.000,0.000,0.000,3.558,0.000,0.000,28.786,0.000,0.000,0.000,0.084,0.989,0.000,0.000,0.000,0.000,13.277,0.000
Colo_rep7_Dep6_Tu2,12.978,0.305,0.000,0.000,0.820,0.000,20.063,0.000,15.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.018,0.000,0.035,0.000,5.402,0.000,0.000,0.000,1.604,0.000,0.000,32.264,0.000,0.000,0.000,0.000,0.639,0.102,0.000,0.000,0.000,10.767,0.000
Colo_rep8_Dep6_Tu0.1,7.919,0.000,0.000,0.000,0.000,0.000,33.312,0.000,12.824,0.000,0.000,0.000,0.000,0.000,0.000,1.236,0.000,0.000,0.000,0.116,0.000,6.056,0.000,0.000,0.000,9.353,4.926,0.000,10.359,0.000,0.000,0.000,0.000,0.055,4.545,0.000,0.000,0.000,9.296,0.000
Colo_rep10_Dep6_Tu2,0.538,12.592,1.654,1.180,0.653,0.000,0.000,0.000,52.159,0.000,0.000,0.000,3.347,0.000,0.000,0.000,2.206,0.081,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.555,7.099,0.000,2.924,0.000,0.000,0.000,0.000,0.725,0.000,0.000,0.000,0.000,11.281,0.000
Colo_rep6_Dep6_Tu3,8.741,0.000,0.641,0.990,0.000,0.000,1.627,0.000,18.313,0.000,0.000,0.000,8.179,0.000,0.000,0.000,0.076,0.000,0.000,0.090,0.128,7.793,0.000,0.000,0.000,0.000,18.823,0.000,21.707,0.000,0.000,0.000,0.147,0.026,0.000,0.000,0.000,0.000,12.719,0.000
Colo_rep9_Dep6_Tu30,9.232,0.198,7.887,0.000,8.691,0.000,0.638,0.000,13.045,19.540,0.000,0.000,0.000,6.837,0.000,0.000,0.000,0.000,0.000,0.000,1.823,1.871,0.000,0.000,0.000,0.000,0.000,0.000,8.578,13.508,0.000,0.000,5.040,1.438,0.000,0.000,0.000,0.000,1.672,0.000
Colo_rep9_Dep6_Tu0.5,0.000,10.905,0.044,1.990,1.235,0.000,9.464,0.000,16.497,0.000,0.000,0.000,1.818,6.009,0.000,0.000,0.000,0.028,0.000,0.000,0.000,0.917,0.000,0.000,0.000,0.000,0.000,0.000,33.239,0.000,0.000,0.000,0.024,0.000,4.674,0.000,0.000,0.000,13.152,0.000
Colo_rep6_Dep6_Tu20,4.455,5.293,0.622,0.000,12.564,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.719,0.215,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.799,0.000,4.343,0.000,26.892,6.806,0.000,0.000,0.009,0.418,3.388,0.000,0.013,0.000,13.462,0.000
Colo_rep8_Dep6_Tu30,1.288,7.082,9.416,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000,6.647,0.000,0.000,0.000,0.000,0.000,0.000,0.608,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.393,6.891,18.026,0.000,0.062,3.297,1.140,0.000,0.000,0.000,12.137,0.000
Colo_rep3_Dep6_Tu5,9.459,7.691,2.754,0.000,1.947,0.000,17.991,0.000,22.876,0.000,0.000,0.000,0.000,2.627,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.825,0.000,0.000,0.000,0.000,0.000,0.000,24.147,0.000,0.000,0.000,0.323,0.310,0.000,0.000,0.000,0.000,5.473,0.574
Colo_rep4_Dep6_Tu3,15.862,0.000,0.000,0.000,0.000,0.000,20.831,0.000,8.824,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.137,0.000,1.745,1.932,0.000,0.000,0.000,1.018,0.469,32.509,0.000,5.236,0.000,0.000,0.000,0.587,0.000,2.177,0.000,0.000,0.000,8.672,0.000
Colo_rep2_Dep6_Tu10,1.399,9.089,2.797,0.000,5.211,0.000,2.432,0.000,44.126,0.000,0.000,0.000,3.626,0.000,0.000,0.000,0.000,0.036,0.000,0.000,0.285,0.000,0.000,0.000,0.000,5.870,0.000,0.000,7.054,4.384,0.000,0.000,0.000,0.156,1.566,0.000,0.000,0.000,11.843,0.123
Colo_rep3_Dep6_Tu40,8.476,0.000,5.508,0.000,0.000,0.000,9.937,0.000,7.871,14.400,0.000,0.000,0.000,9.462,0.000,0.000,0.040,0.000,0.000,0.000,1.478,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.472,11.870,0.000,0.000,0.747,13.288,7.449,0.000,0.000,0.000,0.000,0.000
Colo_rep3_Dep6_Tu30,0.202,10.684,0.713,0.399,0.000,0.000,0.000,0.000,15.427,0.000,0.000,0.347,0.000,3.898,0.000,0.000,0.000,0.026,0.000,0.000,0.000,0.405,0.000,0.000,10.983,0.000,5.365,0.000,19.030,13.250,0.000,0.000,0.467,0.973,1.422,0.000,0.000,0.000,16.164,0.244
Colo_rep6_Dep6_Tu30,0.865,6.807,2.155,0.000,0.000,0.000,20.926,0.000,0.000,13.834,0.000,0.000,0.000,0.000,0.000,0.000,12.165,0.000,0.000,1.778,0.000,0.000,0.000,0.000,0.000,2.700,0.000,0.000,15.317,14.179,0.000,0.000,2.924,1.381,4.083,0.000,0.000,0.000,0.885,0.000
Colo_rep4_Dep6_Tu50,3.961,6.956,0.000,0.000,0.000,0.000,16.372,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.781,0.000,0.000,2.781,0.000,1.228,0.000,0.000,0.085,0.000,0.000,0.000,11.222,28.766,11.984,0.000,3.776,0.080,0.000,0.000,0.000,0.000,9.006,0.000
Colo_rep5_Dep6_Tu50,0.000,10.521,0.000,0.000,0.000,0.000,0.000,0.000,15.454,0.000,0.000,0.000,0.062,5.418,0.041,0.000,0.000,0.000,0.000,0.000,0.296,0.000,0.000,0.000,12.206,0.000,0.000,0.000,9.356,25.048,2.174,0.000,1.216,4.163,0.504,0.000,0.000,0.000,13.538,0.000
Colo_rep6_Dep6_Tu2,13.764,0.000,4.837,0.000,0.000,0.000,28.476,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.663,0.000,0.103,0.000,0.000,0.000,0.659,12.250,0.000,17.395,0.000,0.000,0.000,1.231,0.000,3.837,0.000,0.000,0.000,8.782,0.000
Colo_rep10_Dep6_Tu50,7.996,3.257,0.440,0.000,0.000,28.805,0.000,0.000,0.000,0.000,7.279,0.000,2.386,2.453,0.930,0.000,0.000,0.000,0.000,0.000,0.000,1.839,0.000,0.000,0.784,0.000,0.000,0.000,2.442,22.543,0.000,0.000,2.724,2.377,6.908,0.000,0.000,0.000,3.920,2.916
Colo_rep7_Dep6_Tu50,0.000,9.388,0.101,0.000,0.000,0.000,0.000,0.000,6.195,4.372,0.000,0.000,0.000,0.300,23.640,0.000,0.197,0.000,0.000,0.374,0.000,0.608,0.000,0.000,6.538,0.000,0.000,0.000,15.598,19.354,1.578,0.000,2.798,1.934,0.000,0.000,0.000,0.000,7.025,0.000
Colo_rep9_Dep6_Tu40,0.396,8.905,21.012,0.000,0.000,0.000,1.399,0.000,5.705,10.112,0.000,0.000,0.353,0.000,0.000,0.695,0.503,0.000,0.000,0.000,9.547,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.571,9.437,0.000,0.000,1.237,0.834,2.443,0.000,0.000,0.000,0.000,18.851
Colo_rep8_Dep6_Tu5,6.269,3.868,0.000,0.185,6.556,0.000,11.955,0.000,3.845,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.542,0.025,3.661,0.000,0.000,0.000,2.227,33.595,0.000,1.766,0.112,0.000,0.000,0.634,0.386,6.154,0.000,0.000,0.000,12.220,0.000
Colo_rep1_Dep6_Tu20,4.388,4.660,0.000,0.233,0.000,0.000,21.330,0.000,4.190,7.104,0.000,0.000,0.000,0.000,0.000,0.000,0.413,0.000,0.170,8.685,0.811,0.000,0.000,0.000,0.000,2.523,0.000,0.000,21.937,8.202,0.024,0.000,14.336,0.000,0.066,0.000,0.000,0.000,0.909,0.015
Colo_rep9_Dep6_Tu2,8.224,12.414,0.000,1.176,0.000,0.000,20.879,0.000,43.190,0.000,0.000,0.000,0.000,2.169,0.000,0.000,0.000,0.225,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.237,0.000,0.000,0.000,0.000,0.000,11.484,0.000
Colo_rep5_Dep6_Tu30,3.084,9.534,0.000,0.000,0.000,0.000,2.185,0.000,7.146,0.000,0.000,0.000,7.193,0.000,0.000,0.000,0.183,0.000,0.000,0.000,9.610,0.000,0.000,0.000,0.000,0.000,31.133,0.000,0.000,5.826,0.000,0.000,0.000,10.458,4.918,0.000,0.000,0.000,8.263,0.465
Colo_rep4_Dep6_Tu0.1,0.000,12.757,2.931,0.000,0.000,0.000,5.093,0.000,15.107,0.000,0.000,0.093,0.000,0.000,0.000,0.000,1.421,0.059,0.000,0.000,0.321,0.000,0.000,0.000,0.000,3.163,24.206,0.000,19.562,0.000,0.000,0.000,0.067,1.205,0.033,0.000,0.000,0.000,13.981,0.000
Colo_rep5_Dep6_Tu0.1,11.835,1.399,7.576,0.281,3.546,0.000,1.347,0.000,38.781,0.000,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.514,0.000,4.157,0.000,0.000,0.000,0.000,0.000,15.264,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.276,0.000
Colo_rep9_Dep6_Tu3,12.953,0.000,5.055,14.272,0.000,0.000,27.837,0.000,14.421,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.380,0.000,0.000,0.000,0.000,0.000,4.287,6.358,0.000,6.082,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.354,0.000
Colo_rep2_Dep6_Tu0.1,15.798,0.000,3.860,0.754,15.884,0.000,23.479,0.000,15.674,0.000,0.000,0.000,2.339,0.000,0.000,0.000,0.000,0.000,0.000,2.224,0.000,0.000,0.000,0.000,0.000,1.758,0.000,0.000,8.944,0.000,0.000,0.000,0.042,0.000,0.000,0.000,0.000,0.000,9.241,0.000
Colo_rep8_Dep6_Tu10,5.101,1.295,5.719,0.000,4.648,0.000,3.874,0.000,8.913,0.000,0.000,0.036,0.000,0.000,0.000,10.290,0.000,0.000,0.000,0.824,0.000,8.218,0.000,0.000,0.000,3.375,28.859,0.000,7.116,0.296,0.000,0.000,0.000,0.688,0.532,0.000,0.000,0.000,9.458,0.756
Colo_rep4_Dep6_Tu30,0.000,12.522,0.000,0.000,0.000,0.000,5.459,0.000,40.048,0.000,0.000,0.000,7.895,0.000,0.000,0.000,2.241,6.901,0.000,0.000,0.000,0.000,0.000,0.000,2.202,0.000,0.000,0.000,0.000,12.248,0.386,0.000,0.000,1.088,3.814,0.000,0.000,0.000,5.195,0.000
Colo_rep2_Dep6_Tu2,0.000,16.517,0.568,0.000,6.481,0.000,18.583,0.000,22.323,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.101,0.418,0.000,0.000,0.000,0.000,0.305,0.000,0.000,13.171,0.055,0.006,0.000,0.677,0.063,0.305,0.000,0.000,0.000,15.424,0.000
Colo_rep1_Dep6_Tu5,5.815,3.426,0.000,0.722,0.000,0.000,5.602,0.000,15.698,0.000,0.000,0.109,12.429,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.337,0.498,0.000,0.000,0.000,0.225,10.286,0.000,30.957,0.000,0.000,0.000,0.456,0.629,0.000,0.000,0.000,0.000,9.810,0.000
Colo_rep8_Dep6_Tu50,8.411,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.679,0.000,0.000,0.000,1.580,0.000,0.000,14.855,0.051,0.000,0.000,0.000,1.735,0.000,0.000,8.760,0.000,0.000,0.000,17.355,21.992,0.188,0.000,6.712,0.681,0.000,0.000,0.000,0.000,0.000,0.000
Colo_rep5_Dep6_Tu5,3.243,8.802,2.752,0.187,8.101,0.000,20.974,0.000,4.787,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.007,0.000,0.000,5.773,0.946,1.377,0.000,0.000,0.000,3.408,26.438,0.000,0.000,0.221,0.000,0.000,1.102,0.000,0.000,0.000,0.000,0.000,10.881,0.000
Colo_rep6_Dep6_Tu50,9.298,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.073,12.832,0.000,0.000,0.000,0.000,0.038,0.000,2.937,0.000,0.000,3.452,0.210,0.140,0.000,0.000,0.000,1.188,0.000,0.000,18.786,18.813,0.000,0.000,22.310,3.814,2.108,0.000,0.000,0.000,0.000,0.000
Colo_rep5_Dep6_Tu0.5,3.464,7.782,0.166,0.940,5.931,0.000,15.532,0.000,28.723,0.000,0.000,0.423,0.000,3.688,0.000,0.000,0.000,0.000,0.000,0.000,1.790,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.465,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.043,0.050
Colo_rep4_Dep6_Tu20,1.627,4.260,4.300,0.000,0.000,0.000,1.378,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.955,0.000,0.000,0.149,0.000,0.349,0.000,0.000,0.000,4.765,29.939,0.000,11.224,15.528,0.221,0.000,1.443,0.032,8.512,0.000,0.000,0.000,13.317,0.000
Colo_rep8_Dep6_Tu40,0.000,8.089,0.000,0.642,0.000,0.000,0.000,0.000,6.499,0.000,0.000,0.000,0.000,4.954,0.000,0.000,1.542,0.057,0.000,0.000,3.452,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21.167,15.986,0.054,0.000,0.482,0.185,17.857,0.000,0.000,0.000,12.447,6.585
Colo_rep7_Dep6_Tu0.3,10.305,10.534,5.241,0.428,0.000,0.000,13.274,0.000,44.076,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.249,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.171,0.000,4.220,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.500,0.000
Colo_rep7_Dep6_Tu30,0.000,9.040,11.598,0.000,0.000,0.000,0.000,0.000,14.972,0.000,7.458,7.650,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.177,0.000,0.000,0.000,1.574,0.000,0.000,16.421,19.183,0.002,0.000,0.000,0.335,9.713,0.000,0.000,0.000,1.875,0.000
Colo_rep10_Dep6_Tu20,8.116,0.000,0.000,0.000,0.000,0.000,24.185,0.000,17.911,0.000,0.000,1.869,0.000,0.000,0.000,10.724,0.000,0.018,0.000,0.598,0.000,10.613,0.000,0.000,0.099,2.321,0.000,0.000,7.285,9.124,0.000,0.000,0.000,0.000,0.083,0.000,0.000,0.000,7.052,0.000
Colo_rep9_Dep6_Tu10,9.221,0.000,14.200,6.624,0.000,0.000,5.292,0.000,11.221,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.033,2.120,0.000,0.000,0.000,5.506,0.000,0.000,0.643,29.409,0.000,0.000,3.623,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.105,0.000
Colo_rep9_Dep6_Tu0.1,11.002,0.221,0.000,0.000,0.000,0.000,22.113,0.000,7.814,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.828,0.000,7.571,0.000,0.000,0.000,6.539,32.191,0.000,0.000,0.000,0.000,0.000,0.405,0.000,0.564,0.000,0.000,0.000,10.750,0.000
Colo_rep10_Dep6_Tu0.3,13.517,0.000,3.925,0.000,0.000,0.000,33.811,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.536,0.000,0.075,0.000,0.000,0.000,0.676,11.062,0.000,16.152,0.000,0.000,0.000,0.585,0.000,3.768,0.000,0.000,0.000,8.889,0.000
Colo_rep8_Dep6_Tu20,8.322,0.000,0.000,9.268,0.528,0.000,6.521,0.000,3.622,0.000,21.861,0.026,0.000,0.000,0.000,0.000,0.000,0.000,6.926,0.808,0.000,1.597,0.000,0.000,0.000,2.608,14.345,0.000,15.715,3.372,0.000,0.000,2.116,2.008,0.000,0.000,0.000,0.000,0.355,0.000
Colo_rep3_Dep6_Tu3,6.355,4.853,4.402,0.335,7.470,0.000,0.000,0.000,19.509,0.000,0.000,0.000,0.000,0.000,0.000,10.507,0.000,0.057,0.000,0.519,0.000,0.000,0.000,0.000,0.000,1.825,3.758,0.000,26.110,1.101,0.034,0.180,0.000,0.445,0.269,0.000,0.893,0.000,11.376,0.000
Colo_rep4_Dep6_Tu2,7.933,0.000,4.494,0.000,8.335,1.342,0.000,0.000,29.840,14.963,0.000,0.000,0.000,2.845,0.000,0.000,0.000,0.000,0.000,4.925,3.170,0.000,0.000,0.000,0.000,0.000,8.791,0.000,11.038,0.000,0.000,0.000,1.651,0.000,0.000,0.000,0.000,0.000,0.672,0.000
Colo_rep10_Dep6_Tu0.1,10.527,0.000,8.290,0.401,13.987,0.000,3.899,0.000,2.042,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.000,0.000,0.442,0.000,2.774,0.061,0.000,0.000,5.100,39.321,0.000,0.000,0.000,0.000,0.000,0.195,0.000,0.000,0.000,0.000,0.000,12.944,0.000
Colo_rep4_Dep6_Tu0.3,5.948,8.432,8.303,0.345,17.928,0.000,14.989,0.000,27.164,0.000,0.000,0.000,0.000,1.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.988,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.639,0.000,0.000,0.000,0.000,0.000,12.237,0.000
Colo_rep9_Dep6_Tu0.3,8.555,3.474,3.163,0.699,0.000,0.000,10.144,0.000,45.664,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.312,0.000,0.000,14.521,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.424,0.000
Colo_rep1_Dep6_Tu10,8.301,1.823,0.000,0.226,41.914,0.000,3.364,0.000,4.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.247,0.000,4.242,0.000,0.000,0.000,5.582,6.562,0.000,0.000,4.857,0.080,0.000,2.916,0.843,0.000,0.000,0.000,0.000,14.968,0.068
Colo_rep6_Dep6_Tu0.3,13.010,0.000,5.302,14.053,0.000,0.000,26.176,0.000,5.617,0.000,0.000,0.000,0.462,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.108,0.000,0.000,0.000,3.735,0.000,0.000,18.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.522,0.000
Colo_rep6_Dep6_Tu0.5,12.924,0.000,1.011,0.000,0.138,0.000,11.364,0.000,9.803,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.908,2.974,0.000,0.000,0.000,0.000,2.711,39.297,0.000,2.308,0.000,0.000,0.000,0.293,0.000,0.213,0.000,0.000,0.000,11.053,0.000
Colo_rep10_Dep6_Tu10,9.832,2.175,0.000,3.265,0.000,0.000,20.566,0.000,4.361,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,5.308,0.000,0.000,7.530,0.000,0.000,0.000,4.180,0.000,0.000,24.341,1.747,0.000,0.000,2.414,0.000,5.212,0.000,0.000,0.000,9.053,0.000
Colo_rep10_Dep6_Tu1,15.281,0.000,0.000,0.000,0.000,9.498,23.513,0.000,13.823,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.048,0.000,7.598,0.000,0.000,0.000,3.849,16.813,0.000,0.000,0.000,0.000,0.000,0.856,0.000,0.157,0.000,0.000,0.000,8.562,0.000
Colo_rep10_Dep6_Tu5,11.219,0.000,1.932,5.385,3.020,0.000,10.513,0.000,16.830,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.000,8.958,0.000,1.044,0.000,0.000,0.000,0.369,16.926,0.000,11.335,0.875,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.214,0.318
Colo_rep10_Dep6_Tu40,6.463,0.000,1.894,0.000,0.000,0.000,3.609,0.000,13.042,0.000,0.000,0.000,0.000,10.685,0.000,0.095,0.000,1.050,0.000,0.277,0.000,1.281,0.000,0.000,9.238,0.000,0.000,0.000,11.831,23.935,1.762,0.000,0.038,0.000,1.541,0.000,0.000,0.000,13.260,0.000
Colo_rep10_Dep6_Tu0.5,11.080,0.323,0.000,0.204,42.741,0.000,1.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.684,0.000,4.938,0.000,0.000,0.000,4.396,15.640,0.000,0.000,0.000,0.000,0.000,1.975,0.000,0.000,0.000,0.000,0.000,17.004,0.000
Colo_rep1_Dep6_Tu1,14.246,0.000,0.000,0.000,0.000,0.000,10.418,0.000,11.442,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.091,0.030,2.672,0.000,0.000,0.000,6.073,42.299,0.000,0.000,0.000,0.000,0.000,0.185,0.000,0.000,0.000,0.000,0.000,11.542,0.000
Colo_rep7_Dep6_Tu20,0.580,11.706,2.107,0.583,0.705,0.000,4.871,0.000,35.836,0.000,0.000,0.000,0.000,0.000,0.712,0.000,0.000,0.000,0.000,0.000,7.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.560,8.927,0.000,0.000,0.000,0.338,14.691,0.000,0.000,0.000,8.429,0.063
Colo_rep6_Dep6_Tu10,8.888,1.478,15.024,4.799,9.135,0.000,0.000,0.000,6.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.109,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.507,9.835,0.000,19.512,7.887,0.000,0.000,0.900,0.000,0.000,0.000,1.638,0.000,10.258,0.000
Colo_rep10_Dep6_Tu3,3.120,11.308,0.066,0.550,2.651,0.000,0.439,0.000,42.719,0.000,0.000,0.040,0.048,0.000,0.000,2.388,0.000,1.195,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.719,0.000,0.000,21.372,0.000,0.000,0.048,0.000,0.263,0.910,0.000,0.000,0.000,10.162,0.000
Colo_rep1_Dep6_Tu30,0.000,14.110,1.127,11.032,0.000,0.000,0.000,0.000,21.439,0.000,8.169,0.000,0.000,1.997,0.000,0.000,0.000,0.000,0.000,1.295,0.117,0.000,0.000,0.000,0.000,0.144,0.000,0.000,12.802,15.460,0.117,0.000,0.000,2.333,0.350,0.000,0.000,0.000,9.505,0.000
