Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Colo_rep2_Dep6_Tu0.5,0.029,1.445,0.698,0.002,2.088,0.104,2.324,1.894,1.943,1.323,6.657,2.469,2.991,1.661,7.784,7.693,4.718,5.751,8.623,21.186,1.724,4.317,12.575
Colo_rep2_Dep6_Tu50,1.015,1.634,1.199,0.465,6.103,11.540,6.487,0.595,4.211,3.708,6.931,3.186,4.006,15.636,0.142,1.601,0.889,0.655,1.661,2.685,0.615,18.843,6.193
Colo_rep6_Dep6_Tu1,0.016,0.816,0.279,0.007,2.811,0.429,4.323,1.637,1.383,4.862,2.046,2.675,16.437,6.364,8.720,7.206,7.030,0.809,4.815,10.662,4.471,1.794,10.410
Colo_rep3_Dep6_Tu2,0.010,0.328,1.209,0.006,0.085,0.678,2.533,3.566,0.489,4.425,6.651,3.336,13.678,5.438,2.115,9.502,4.509,8.497,12.943,7.302,7.266,2.916,2.518
Colo_rep7_Dep6_Tu2,0.088,0.903,0.332,0.005,2.306,0.418,3.014,3.444,2.124,0.735,6.767,1.679,10.691,1.085,18.078,0.195,6.811,10.957,5.672,1.518,16.453,4.260,2.463
Colo_rep8_Dep6_Tu0.1,0.001,0.716,0.415,0.000,2.875,0.107,2.865,0.646,2.435,3.019,5.603,3.020,13.013,4.183,7.748,2.795,16.529,2.152,8.341,15.067,6.926,0.026,1.519
Colo_rep10_Dep6_Tu2,0.090,0.422,1.415,0.004,1.184,0.045,1.863,1.045,2.207,4.783,9.526,2.420,8.496,0.645,15.998,4.054,9.775,8.567,7.542,0.287,6.288,7.911,5.432
Colo_rep6_Dep6_Tu3,0.027,0.552,0.826,0.001,3.078,0.186,2.707,2.351,3.090,2.721,6.737,1.662,10.937,6.255,12.859,4.088,1.585,7.397,10.991,11.526,7.264,3.040,0.120
Colo_rep9_Dep6_Tu30,1.164,0.661,1.802,0.131,4.816,6.880,3.717,4.106,0.977,4.322,8.730,1.775,2.400,11.056,3.755,2.116,2.753,13.030,4.835,6.401,6.136,7.521,0.915
Colo_rep9_Dep6_Tu0.5,0.015,0.931,0.858,0.001,2.783,0.062,2.910,2.384,2.695,2.050,2.512,2.804,3.055,5.886,14.658,8.627,4.514,1.989,3.795,17.835,8.615,3.749,7.270
