Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Colo_rep2_Dep6_Tu0.5,0.000,0.001,0.846,0.000,0.009,0.465,0.085,0.186,0.077,2.886,10.696,0.391,23.273,61.084
Colo_rep2_Dep6_Tu50,0.000,35.905,0.000,0.000,0.012,6.994,0.414,0.003,0.015,1.800,5.457,0.582,5.919,42.898
Colo_rep6_Dep6_Tu1,0.215,0.223,0.430,0.000,0.795,0.002,1.732,0.101,0.004,3.350,4.388,1.206,24.821,62.733
Colo_rep3_Dep6_Tu2,0.000,0.000,0.107,0.000,0.406,0.125,2.921,0.104,0.274,0.855,11.056,1.421,21.275,61.455
Colo_rep7_Dep6_Tu2,0.106,0.053,0.023,0.000,0.001,2.723,1.159,0.207,0.043,2.810,7.130,0.661,19.109,65.974
Colo_rep8_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.143,0.099,2.743,2.642,0.259,0.599,6.857,1.728,23.932,60.997
Colo_rep10_Dep6_Tu2,0.000,0.021,1.093,0.000,0.001,1.263,0.033,1.396,0.483,1.770,11.531,0.670,19.357,62.382
Colo_rep6_Dep6_Tu3,0.000,0.000,0.685,0.016,0.870,0.000,3.952,0.186,0.715,0.462,9.457,0.002,16.138,67.517
Colo_rep9_Dep6_Tu30,0.000,23.745,0.000,0.000,0.182,0.992,1.947,0.016,0.006,3.405,8.474,0.221,16.511,44.501
Colo_rep9_Dep6_Tu0.5,0.000,0.000,1.288,0.000,0.424,0.007,0.026,0.844,0.123,0.547,11.142,0.798,17.081,67.721
Colo_rep6_Dep6_Tu20,0.000,14.367,1.992,0.054,0.166,0.533,0.079,0.011,2.021,2.163,8.882,1.787,12.814,55.131
Colo_rep8_Dep6_Tu30,1.138,27.321,0.000,0.000,0.001,0.080,0.068,0.094,0.001,1.643,6.171,0.826,9.225,53.432
Colo_rep3_Dep6_Tu5,0.770,2.470,0.011,0.020,0.119,0.010,1.615,0.665,0.360,4.527,5.349,0.369,22.510,61.206
Colo_rep4_Dep6_Tu3,0.009,1.975,0.423,0.608,0.022,1.079,0.465,1.026,0.991,3.226,7.953,0.563,27.445,54.215
Colo_rep2_Dep6_Tu10,0.000,5.370,0.177,0.002,0.002,1.289,0.075,0.064,0.199,0.401,10.074,2.163,10.872,69.313
Colo_rep3_Dep6_Tu40,0.000,31.565,0.000,0.000,0.007,4.628,0.160,0.008,0.001,0.418,4.957,2.098,11.515,44.642
Colo_rep3_Dep6_Tu30,0.058,24.276,0.000,0.000,0.000,3.107,0.017,0.004,0.005,1.071,8.492,0.130,7.799,55.042
Colo_rep6_Dep6_Tu30,0.000,24.919,0.000,0.000,0.255,1.678,0.000,0.648,1.346,3.006,7.157,1.017,12.986,46.987
Colo_rep4_Dep6_Tu50,0.000,36.279,0.000,0.000,0.005,4.065,0.373,0.616,2.881,4.736,5.585,0.301,8.511,36.649
