Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Colo_rep2_Dep6_Tu0.5,0.000,0.061,65.905,0.000,19.019,0.078,0.000,0.000,0.000,0.344,14.296,0.000,0.297
Colo_rep2_Dep6_Tu50,0.000,0.000,28.622,38.251,16.423,0.000,0.669,0.070,0.000,1.924,9.596,0.222,4.223
Colo_rep6_Dep6_Tu1,0.089,0.000,63.050,0.000,14.141,0.000,9.287,0.000,0.000,3.212,9.901,0.000,0.320
Colo_rep3_Dep6_Tu2,0.000,0.000,57.948,0.270,9.928,0.000,13.738,0.000,0.051,0.894,16.678,0.000,0.491
Colo_rep7_Dep6_Tu2,0.000,0.000,62.782,0.034,16.008,0.000,12.557,0.000,0.346,0.592,7.554,0.000,0.127
Colo_rep8_Dep6_Tu0.1,0.000,0.000,56.133,0.012,6.791,0.000,7.014,6.423,7.199,7.590,6.863,0.000,1.974
Colo_rep10_Dep6_Tu2,0.000,6.656,58.571,1.007,14.352,0.000,0.000,1.907,0.277,0.662,16.306,0.000,0.262
Colo_rep6_Dep6_Tu3,0.000,0.000,57.901,0.000,9.595,0.000,9.513,0.022,4.883,0.000,16.018,0.000,2.069
Colo_rep9_Dep6_Tu30,0.000,0.000,33.802,22.143,8.692,0.000,2.750,0.000,0.000,10.266,14.205,1.035,7.106
Colo_rep9_Dep6_Tu0.5,0.000,0.000,57.639,0.000,14.404,0.000,0.385,5.250,0.302,0.320,15.089,0.000,6.610
Colo_rep6_Dep6_Tu20,0.000,0.000,39.045,6.606,10.394,25.201,0.000,0.000,5.218,1.122,10.659,0.019,1.736
Colo_rep8_Dep6_Tu30,0.000,0.000,40.482,12.324,10.786,0.000,1.944,0.000,0.000,1.878,11.787,19.473,1.326
Colo_rep3_Dep6_Tu5,0.000,0.000,63.399,0.400,17.433,0.000,4.144,2.833,1.078,2.275,7.221,0.362,0.854
Colo_rep4_Dep6_Tu3,0.000,0.089,60.432,0.000,13.415,0.000,0.519,0.153,11.534,3.049,6.190,0.000,4.617
Colo_rep2_Dep6_Tu10,0.000,0.000,53.616,9.377,15.825,0.000,0.196,0.000,0.802,2.832,16.492,0.134,0.726
Colo_rep3_Dep6_Tu40,0.000,0.000,31.312,26.072,6.611,0.000,0.536,0.164,0.000,12.071,13.790,0.000,9.444
Colo_rep3_Dep6_Tu30,0.000,0.000,38.775,15.746,10.961,0.000,0.154,0.000,0.000,3.736,17.976,8.626,4.026
Colo_rep6_Dep6_Tu30,0.000,0.000,31.821,21.566,7.126,0.000,0.000,0.876,4.959,8.128,13.517,0.000,12.008
Colo_rep4_Dep6_Tu50,0.000,0.000,20.863,31.545,8.868,0.000,3.807,7.640,8.902,0.521,10.735,3.934,3.185
Colo_rep5_Dep6_Tu50,0.000,0.000,22.783,25.778,9.392,0.421,2.086,0.000,0.130,2.746,15.659,11.917,9.087
Colo_rep6_Dep6_Tu2,0.000,0.000,55.581,0.000,7.841,0.000,0.217,0.000,15.181,2.746,9.114,0.000,9.321
Colo_rep10_Dep6_Tu50,0.000,0.000,16.375,30.806,8.804,0.000,6.669,0.998,6.462,1.770,11.609,2.194,14.313
Colo_rep7_Dep6_Tu50,9.833,0.000,24.049,30.332,15.719,0.000,1.862,3.364,0.486,0.881,10.902,1.174,1.398
Colo_rep9_Dep6_Tu40,0.000,0.000,32.512,17.124,10.154,0.000,4.901,1.877,3.073,0.000,9.296,12.207,8.854
Colo_rep8_Dep6_Tu5,0.000,0.000,51.412,0.526,7.153,0.000,8.725,0.000,5.307,7.710,9.947,0.000,9.219
Colo_rep1_Dep6_Tu20,0.000,0.000,41.123,10.578,6.917,0.000,3.728,3.769,4.425,7.127,8.078,0.004,14.251
Colo_rep9_Dep6_Tu2,0.000,1.178,57.869,0.000,21.651,0.000,0.000,0.000,0.000,0.383,15.991,0.000,2.928
Colo_rep5_Dep6_Tu30,0.000,0.000,38.815,20.331,14.121,0.000,9.247,0.139,2.761,0.000,8.652,0.051,5.883
