Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Colo_rep2_Dep6_Tu0.5,0.000,0.266,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.246,10.133,0.000,0.107,8.385,0.000,0.000,0.000,61.276,0.000,0.000,0.000,0.586,0.000
Colo_rep2_Dep6_Tu50,0.102,0.000,0.000,14.314,0.000,5.018,0.000,0.000,0.000,2.056,4.208,0.000,0.000,3.107,0.000,0.000,0.000,25.035,0.000,46.157,0.000,0.000,0.000
Colo_rep6_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,10.804,0.000,0.000,11.182,13.891,0.000,0.000,0.248,0.000,7.632,0.000,56.240,0.000,0.000,0.000,0.000,0.000
Colo_rep3_Dep6_Tu2,0.000,0.000,0.000,0.169,0.000,0.000,0.454,0.000,0.000,4.049,8.227,0.000,0.000,0.000,0.000,0.000,29.375,57.543,0.000,0.000,0.000,0.182,0.000
Colo_rep7_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.121,0.000,0.000,12.963,5.315,0.000,0.000,2.665,0.000,0.000,8.192,63.596,0.000,0.000,0.000,7.146,0.000
Colo_rep8_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.000,3.164,6.614,1.779,0.000,2.009,0.000,0.000,0.000,58.694,0.000,0.000,23.191,4.382,0.000
Colo_rep10_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.790,11.094,0.000,0.065,11.852,0.000,0.000,0.000,60.197,0.000,0.000,0.000,0.000,0.000
Colo_rep6_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,2.396,0.000,0.000,5.493,10.779,0.000,0.000,0.270,0.000,0.000,24.858,56.203,0.000,0.000,0.000,0.000,0.000
Colo_rep9_Dep6_Tu30,0.104,0.000,0.000,21.807,0.000,0.000,0.000,0.000,0.000,3.774,13.004,0.000,0.000,22.704,0.000,0.000,0.000,38.606,0.000,0.000,0.000,0.000,0.000
Colo_rep9_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.203,15.083,0.000,0.043,4.997,0.000,0.867,0.000,57.014,0.000,0.000,0.450,8.342,0.000
Colo_rep6_Dep6_Tu20,0.215,0.000,0.000,6.655,0.000,0.000,0.000,0.000,0.000,11.252,5.049,0.000,0.002,27.262,0.000,0.000,0.000,49.562,0.000,0.000,0.000,0.000,0.000
Colo_rep8_Dep6_Tu30,0.010,0.000,0.000,12.683,0.000,0.444,0.000,0.000,0.000,8.562,4.250,0.000,5.147,7.881,0.000,17.848,0.000,43.174,0.000,0.000,0.000,0.000,0.000
Colo_rep3_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,0.000,5.931,0.000,0.000,11.356,5.952,0.000,0.035,11.203,0.000,0.000,0.000,62.854,0.000,0.000,2.666,0.000,0.000
Colo_rep4_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,3.490,0.000,0.000,8.477,10.617,0.000,0.000,9.708,0.000,0.000,0.000,66.390,0.000,0.000,0.000,1.316,0.000
Colo_rep2_Dep6_Tu10,0.000,0.000,0.000,1.666,0.000,0.000,0.000,0.000,0.000,10.962,10.783,0.000,0.071,19.681,0.000,0.000,0.000,56.836,0.000,0.000,0.000,0.000,0.000
Colo_rep3_Dep6_Tu40,0.975,0.000,0.000,34.269,0.000,0.000,0.000,0.000,0.000,3.500,11.573,0.000,0.000,0.000,0.000,0.000,19.498,30.183,0.000,0.000,0.000,0.000,0.000
Colo_rep3_Dep6_Tu30,0.181,19.442,0.000,9.381,0.000,0.000,0.000,0.000,0.000,6.768,10.399,0.000,0.000,0.000,0.000,0.000,8.449,36.712,0.000,0.000,0.000,1.675,6.991
Colo_rep6_Dep6_Tu30,0.000,0.000,0.000,9.526,0.000,0.000,0.000,0.000,0.000,1.250,7.052,0.000,0.024,0.000,0.000,0.000,0.000,36.192,45.956,0.000,0.000,0.000,0.000
Colo_rep4_Dep6_Tu50,4.995,0.000,0.000,16.690,0.000,0.000,0.000,0.000,0.000,2.533,6.593,0.000,0.028,11.390,0.000,31.846,0.000,25.924,0.000,0.000,0.000,0.000,0.000
Colo_rep5_Dep6_Tu50,1.661,0.000,0.000,23.901,0.000,0.000,0.000,0.000,0.000,4.133,5.334,0.000,0.000,0.000,0.000,39.330,0.000,25.639,0.000,0.000,0.000,0.000,0.000
Colo_rep6_Dep6_Tu2,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,5.056,8.407,0.000,0.000,0.905,0.000,0.000,0.000,52.967,0.000,0.000,32.090,0.567,0.000
Colo_rep10_Dep6_Tu50,5.971,0.000,0.000,31.766,0.000,0.000,0.000,0.000,0.000,4.850,4.988,0.000,0.000,0.000,0.000,0.000,30.133,22.291,0.000,0.000,0.000,0.000,0.000
Colo_rep7_Dep6_Tu50,1.299,0.000,0.000,25.828,0.000,0.000,0.000,0.000,0.000,10.580,4.888,0.000,0.000,17.458,0.000,13.411,0.000,26.534,0.000,0.000,0.000,0.000,0.000
Colo_rep9_Dep6_Tu40,1.460,0.000,0.000,16.966,0.000,4.393,0.000,0.000,0.000,1.063,7.430,0.000,0.000,19.125,0.000,0.000,16.542,33.020,0.000,0.000,0.000,0.000,0.000
Colo_rep8_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.242,11.424,5.597,0.000,0.000,0.000,0.000,23.996,55.397,0.000,0.000,0.000,0.343,0.000
Colo_rep1_Dep6_Tu20,0.138,0.000,0.000,2.795,0.000,0.000,0.000,0.000,0.000,4.246,3.036,0.000,0.003,0.000,0.000,0.000,8.184,43.245,0.000,37.645,0.000,0.000,0.706
Colo_rep9_Dep6_Tu2,0.000,0.039,0.000,0.000,0.000,0.337,0.000,0.000,0.000,16.318,11.133,0.000,0.520,0.000,0.000,0.000,0.000,56.007,0.000,0.000,0.000,15.645,0.000
Colo_rep5_Dep6_Tu30,0.542,0.000,0.000,15.487,0.000,1.738,0.028,0.000,0.000,12.377,4.096,0.000,0.027,0.000,0.000,0.000,23.885,41.819,0.000,0.000,0.000,0.000,0.000
Colo_rep4_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.678,8.031,0.000,0.000,3.045,0.000,1.138,18.415,59.692,0.000,0.000,0.000,0.000,0.000
Colo_rep5_Dep6_Tu0.1,0.000,0.213,0.000,0.000,0.000,0.012,6.320,0.000,0.000,13.184,12.620,0.000,0.000,2.332,0.000,0.000,0.000,64.866,0.452,0.000,0.000,0.000,0.000
Colo_rep9_Dep6_Tu3,0.000,0.000,0.000,0.450,0.000,0.000,0.000,0.000,0.000,6.949,6.781,0.000,0.044,5.142,0.000,7.664,0.209,59.258,0.000,0.000,13.314,0.186,0.000
Colo_rep2_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,3.719,0.000,0.000,10.076,13.166,5.409,0.000,2.269,0.000,0.000,0.000,60.804,0.000,0.000,0.000,4.555,0.000
Colo_rep8_Dep6_Tu10,0.000,0.000,0.000,0.932,0.000,0.074,8.003,0.000,0.000,1.362,6.814,0.000,0.000,3.041,0.000,0.000,21.821,57.952,0.000,0.000,0.000,0.000,0.000
Colo_rep4_Dep6_Tu30,0.000,0.000,0.000,9.891,0.000,0.000,0.000,0.000,0.000,5.293,3.100,0.000,3.934,36.383,0.000,0.000,0.000,41.397,0.000,0.000,0.000,0.000,0.000
Colo_rep2_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.032,0.000,0.000,0.000,9.407,8.247,0.000,0.042,1.896,0.000,0.000,0.000,61.281,0.000,0.000,0.000,19.094,0.000
Colo_rep1_Dep6_Tu5,0.000,0.371,0.000,0.000,0.000,0.000,2.053,0.000,0.000,10.093,7.419,0.000,1.071,0.000,0.000,10.278,9.868,58.224,0.000,0.000,0.000,0.623,0.000
Colo_rep8_Dep6_Tu50,0.130,0.000,0.000,26.488,0.000,0.000,0.000,0.000,0.000,1.147,4.898,0.000,0.000,0.889,0.000,0.000,5.080,22.221,0.000,39.146,0.000,0.000,0.000
Colo_rep5_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.428,9.758,0.000,0.000,1.716,0.000,0.000,14.720,59.830,0.000,0.000,0.000,9.546,0.000
Colo_rep6_Dep6_Tu50,1.961,0.000,0.000,33.349,0.000,0.000,0.000,0.000,0.000,2.856,3.186,0.000,0.000,0.000,0.000,0.000,30.051,28.595,0.000,0.000,0.000,0.000,0.000
Colo_rep5_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,2.581,0.000,0.000,9.796,18.721,0.000,0.000,2.943,0.000,0.000,0.000,59.944,0.000,0.000,0.000,6.013,0.000
Colo_rep4_Dep6_Tu20,0.045,5.407,0.000,3.096,0.000,0.000,0.000,0.000,0.000,3.534,5.194,0.000,0.062,11.941,0.000,0.000,0.000,44.163,25.392,0.000,0.000,1.165,0.000
Colo_rep8_Dep6_Tu40,2.194,0.000,0.000,15.156,0.000,0.000,0.000,0.000,0.000,7.475,7.322,0.000,0.338,34.305,0.000,0.000,0.000,33.209,0.000,0.000,0.000,0.000,0.000
Colo_rep7_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.922,15.371,0.000,0.000,3.909,0.000,0.000,0.000,58.970,0.000,0.000,0.000,2.826,0.000
Colo_rep7_Dep6_Tu30,3.069,0.000,0.000,12.448,0.000,14.189,0.000,0.000,0.000,10.809,9.018,0.000,0.000,0.000,0.000,0.000,7.533,36.296,4.486,0.000,0.000,2.152,0.000
Colo_rep10_Dep6_Tu20,3.236,0.000,0.000,7.916,0.000,0.000,8.318,0.000,0.000,1.526,4.512,0.000,0.012,3.363,0.000,6.195,16.172,48.751,0.000,0.000,0.000,0.000,0.000
Colo_rep9_Dep6_Tu10,0.000,0.000,0.000,2.296,0.000,0.000,5.080,0.000,0.000,6.206,13.822,0.000,0.008,7.033,0.000,3.557,0.000,56.599,0.000,0.000,0.000,5.397,0.000
Colo_rep9_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.877,4.167,0.000,0.000,4.101,0.000,0.000,0.000,61.630,0.000,0.000,22.223,0.000,0.000
Colo_rep10_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.689,8.518,0.000,0.000,0.061,0.000,0.510,0.000,52.826,0.000,0.000,32.725,0.670,0.000
Colo_rep8_Dep6_Tu20,0.000,0.000,0.000,5.260,0.000,0.453,0.000,0.000,0.000,3.482,9.465,0.000,0.000,6.305,0.000,21.833,0.000,45.105,0.000,8.096,0.000,0.000,0.000
Colo_rep3_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.509,15.221,0.000,0.141,4.552,0.000,14.690,0.000,54.983,0.000,0.000,0.000,0.904,0.000
Colo_rep4_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.683,18.733,0.058,0.000,2.999,0.000,0.000,0.000,60.024,0.000,0.000,0.000,12.501,0.000
Colo_rep10_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,2.928,0.000,0.000,3.724,12.328,16.848,0.000,3.924,0.000,0.485,0.000,57.494,0.000,0.000,0.000,2.268,0.000
Colo_rep4_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.107,9.838,0.000,0.000,9.108,13.630,0.000,0.000,2.074,0.000,0.000,3.876,61.365,0.000,0.000,0.000,0.000,0.000
Colo_rep9_Dep6_Tu0.3,0.000,0.072,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.197,13.270,0.000,0.012,5.806,0.000,0.000,0.000,62.751,0.000,0.000,0.000,1.891,0.000
Colo_rep1_Dep6_Tu10,0.202,0.000,0.000,1.019,0.000,0.000,8.110,0.000,0.000,4.281,8.952,0.000,0.000,0.000,0.000,13.495,0.000,50.427,0.000,0.000,0.000,13.513,0.000
Colo_rep6_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,7.912,0.000,0.000,7.007,15.581,0.000,0.000,4.447,0.000,0.000,0.000,51.390,0.000,0.000,13.661,0.000,0.000
Colo_rep6_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.644,7.311,0.000,0.000,12.583,0.000,0.000,0.000,68.460,0.000,0.000,0.000,0.000,0.000
