Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Colo_rep2_Dep6_Tu0.5,10.150,0.000,24.509,12.483,6.613,18.265,0.000,0.000,0.000,9.743,2.102,0.000,0.000,1.620,1.496,0.000,0.000,0.000,4.331,0.214,0.000,0.000,1.906,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.246,0.279,3.783,0.580,0.000,0.000,0.000,0.000,1.681
Colo_rep2_Dep6_Tu50,0.000,7.345,15.198,7.049,0.000,7.900,0.000,0.000,0.000,0.000,5.216,2.238,0.000,1.967,6.738,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.941,0.000,0.000,0.000,0.000,0.000,0.000,3.056,1.785,28.192,0.000,2.662,5.661,0.000,0.000,0.000,2.051,0.000
Colo_rep6_Dep6_Tu1,9.189,1.482,35.020,10.477,4.429,4.904,0.000,8.229,0.000,9.672,0.000,0.943,0.315,0.307,3.534,0.000,0.000,0.000,4.305,0.000,0.000,0.000,2.538,0.000,0.354,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.063,1.971,0.326,0.697,0.000,0.000,0.928,0.316
Colo_rep3_Dep6_Tu2,4.993,4.147,35.373,17.176,0.000,3.221,0.320,5.040,0.000,10.528,0.000,0.000,2.748,0.000,0.000,0.000,0.000,0.000,5.443,0.000,0.000,0.000,3.121,0.049,0.000,0.000,0.172,0.000,0.000,0.000,0.529,1.805,0.492,0.000,3.002,0.000,0.490,0.000,0.000,1.351
Colo_rep7_Dep6_Tu2,12.339,0.000,30.058,15.184,5.324,1.360,0.000,11.079,0.000,8.807,0.000,0.000,0.578,0.000,0.000,0.000,0.000,0.000,7.747,0.000,0.000,0.000,1.891,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.138,1.373,0.000,0.182,2.453,0.471,0.000,0.000,0.000,1.016
Colo_rep8_Dep6_Tu0.1,10.852,0.000,27.959,26.392,4.108,4.772,0.000,0.000,0.000,8.793,0.000,0.000,1.145,0.000,0.000,0.000,0.000,0.000,5.936,0.000,0.000,0.000,3.414,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.573,0.000,0.195,0.000,3.758,1.490,0.167,0.000,0.000,0.446
Colo_rep10_Dep6_Tu2,8.335,3.523,23.077,16.689,0.748,10.242,0.144,11.132,0.000,2.722,6.202,0.000,1.004,0.000,0.747,0.000,0.000,0.000,2.084,3.005,1.899,0.487,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.356,0.000,0.000,1.593,2.730,0.000,0.817,0.000,0.000,2.464
Colo_rep6_Dep6_Tu3,9.102,0.000,31.435,19.856,0.000,0.000,0.000,10.713,0.000,9.497,0.000,0.222,1.255,0.000,2.574,0.000,0.000,0.000,4.146,0.000,0.000,0.000,4.244,0.000,0.000,0.000,0.000,0.000,0.000,0.419,0.187,1.691,0.000,0.000,4.345,0.000,0.315,0.000,0.000,0.000
Colo_rep9_Dep6_Tu30,6.826,2.176,24.097,5.642,0.000,9.852,0.598,1.850,0.000,5.316,0.926,2.350,0.000,0.000,0.000,0.000,0.000,0.000,8.344,0.000,0.000,0.000,2.918,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.893,18.282,0.000,1.066,5.330,0.000,1.151,0.000,0.000,1.383
Colo_rep9_Dep6_Tu0.5,9.427,4.116,33.354,5.615,0.000,13.558,1.232,6.221,2.500,4.786,2.933,2.399,0.000,1.449,1.350,0.000,0.000,0.000,0.000,4.086,0.000,0.000,1.848,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.385,0.667,1.754,0.660,0.000,0.443,0.000,0.000,1.215
Colo_rep6_Dep6_Tu20,1.348,3.420,35.276,0.000,2.913,7.584,0.000,4.710,0.000,4.066,0.000,4.655,3.688,0.000,0.321,0.000,0.000,0.000,0.000,7.006,0.000,0.000,2.936,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.757,13.959,0.000,0.075,5.136,0.000,0.148,1.998,0.000,0.000
Colo_rep8_Dep6_Tu30,0.000,3.333,22.424,13.513,0.000,0.000,1.322,7.872,0.000,6.772,0.000,0.000,0.738,0.198,6.178,0.000,0.000,0.000,2.751,0.000,0.713,0.000,3.212,0.000,0.000,0.000,0.000,0.000,0.000,0.970,2.587,15.862,0.000,3.076,6.098,0.000,0.000,1.001,1.379,0.000
Colo_rep3_Dep6_Tu5,9.355,0.187,31.575,11.644,0.585,9.931,4.150,0.388,4.254,0.879,5.854,0.000,2.335,0.000,1.657,0.000,0.000,0.000,2.550,2.344,0.000,0.000,2.285,0.000,0.000,0.000,0.000,0.000,0.000,0.177,0.000,3.676,0.000,3.273,1.423,0.000,1.435,0.000,0.000,0.044
Colo_rep4_Dep6_Tu3,8.254,1.802,26.463,21.358,0.000,12.692,0.000,0.000,0.000,8.421,2.854,0.000,0.000,0.000,1.372,0.000,0.000,0.000,6.281,0.000,0.000,0.000,2.113,0.000,0.072,0.000,0.000,0.000,0.000,0.016,0.000,1.989,0.000,1.786,2.072,0.281,1.422,0.000,0.411,0.340
Colo_rep2_Dep6_Tu10,2.355,6.805,19.815,20.382,1.308,5.728,0.959,9.479,0.000,2.235,6.634,0.000,2.130,0.000,3.569,0.000,0.000,0.000,2.984,0.000,1.792,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.144,5.379,0.000,0.000,5.126,0.000,0.717,0.000,0.585,0.874
Colo_rep3_Dep6_Tu40,1.337,2.688,11.048,6.596,0.000,9.648,0.000,10.702,0.000,8.482,0.000,0.000,0.000,1.446,5.811,0.000,0.000,0.000,0.966,0.382,0.000,0.000,2.862,0.000,0.000,0.000,0.583,0.000,0.000,0.000,2.253,24.177,0.000,0.000,7.974,0.000,0.704,0.000,2.340,0.000
Colo_rep3_Dep6_Tu30,5.186,0.000,23.022,4.979,0.000,10.046,0.000,4.711,0.000,10.275,0.000,0.000,0.000,1.350,0.125,0.000,0.000,4.598,0.000,3.643,0.000,0.000,2.090,0.000,0.000,0.000,1.488,0.000,0.000,0.633,1.653,18.219,0.000,3.767,2.977,0.000,0.000,0.000,1.215,0.023
Colo_rep6_Dep6_Tu30,5.126,0.000,22.488,20.460,0.000,0.000,0.000,0.605,0.000,1.337,5.646,1.007,0.000,0.000,3.356,0.000,0.000,0.000,2.016,4.760,1.078,0.000,0.823,0.000,0.000,0.000,0.000,0.000,0.000,0.197,1.543,18.898,0.000,1.858,6.734,0.000,0.000,0.625,0.000,1.442
