Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Colo_rep2_Dep6_Tu0.5,7.766,0.840,25.761,12.827,6.854,16.282,0.000,0.000,0.000,10.583,1.587,0.000,0.000,3.695,0.000,0.000,0.000,0.000,1.316,0.000,0.000,0.000,2.560,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.235,1.384,0.729,5.238,0.438,0.355,0.000,0.000,0.000,0.550
Colo_rep2_Dep6_Tu50,0.000,6.679,16.711,7.782,0.000,6.195,0.000,0.000,0.000,0.000,5.843,2.119,0.000,3.746,0.623,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.810,0.523,0.000,0.000,0.000,0.000,0.000,2.331,3.748,28.476,0.000,4.457,5.522,0.000,0.000,0.000,1.435,0.000
Colo_rep6_Dep6_Tu1,6.454,3.226,36.379,11.233,5.525,3.333,0.000,6.362,0.000,10.351,0.000,0.537,0.641,2.161,0.000,0.000,0.000,0.000,1.944,0.000,0.553,0.000,2.765,0.000,0.000,0.000,0.538,0.000,0.000,0.000,1.816,0.507,0.547,3.737,0.221,1.172,0.000,0.000,0.000,0.000
Colo_rep3_Dep6_Tu2,3.257,4.746,36.209,17.565,0.279,2.851,0.000,4.262,0.000,10.745,0.000,0.000,4.189,0.000,0.000,0.000,0.000,0.000,2.808,0.000,0.128,0.000,3.337,0.000,0.000,0.000,0.718,0.000,0.000,0.000,1.433,2.178,0.865,0.000,3.234,0.000,0.614,0.000,0.000,0.582
Colo_rep7_Dep6_Tu2,10.425,0.000,31.334,15.709,6.227,0.311,0.000,9.233,0.000,9.202,0.000,0.000,3.001,0.000,0.000,0.000,0.000,0.000,3.480,0.000,0.000,0.000,2.480,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.721,2.002,0.000,1.660,2.352,0.862,0.000,0.000,0.000,0.000
Colo_rep8_Dep6_Tu0.1,9.188,0.484,28.751,26.423,4.348,3.835,0.000,0.000,0.000,9.009,0.000,0.000,2.564,0.000,0.000,0.000,0.000,0.000,3.335,0.000,0.000,0.000,3.739,0.000,0.000,0.000,0.206,0.000,0.000,0.000,1.553,0.278,0.504,0.000,4.017,1.754,0.012,0.000,0.000,0.000
Colo_rep10_Dep6_Tu2,5.562,4.685,24.546,17.189,1.723,9.136,0.000,9.269,0.000,3.389,5.900,0.000,3.178,0.000,0.000,0.000,0.000,0.000,0.114,0.851,3.407,0.000,0.000,0.000,0.000,0.000,0.073,0.000,0.000,0.000,2.408,0.301,0.000,3.121,2.688,0.000,1.089,0.000,0.000,1.371
Colo_rep6_Dep6_Tu3,7.920,0.000,32.242,20.256,0.000,0.000,0.000,9.378,0.000,10.037,0.000,0.000,3.046,0.000,0.000,0.000,0.000,0.000,2.387,0.000,0.000,0.000,4.816,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.649,2.307,0.000,1.243,4.251,0.000,0.467,0.000,0.000,0.000
Colo_rep9_Dep6_Tu30,4.956,2.966,24.979,6.291,0.000,9.516,0.156,1.112,0.000,5.852,0.844,2.108,1.126,0.000,0.000,0.000,0.000,0.000,6.156,0.000,0.000,0.000,3.238,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.877,18.489,0.000,2.025,5.250,0.000,1.343,0.000,0.000,0.717
Colo_rep9_Dep6_Tu0.5,7.072,5.465,34.658,6.618,0.000,12.939,0.645,5.360,1.855,5.531,2.630,2.219,0.000,2.934,0.000,0.000,0.000,0.000,0.000,1.401,0.000,0.000,2.424,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.437,1.086,3.122,0.576,0.473,0.319,0.000,0.000,0.237
