Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Colo_rep2_Dep6_Tu0.5,0.473,2.097,0.618,0.001,0.439,0.049,3.458,9.398,0.492,2.315,7.861,1.158,12.240,7.097,7.222,1.615,5.333,7.181,0.171,0.292,17.657,8.515,4.318
Colo_rep2_Dep6_Tu50,1.704,3.447,1.979,0.201,1.153,16.361,2.381,3.857,3.524,5.579,0.016,2.064,2.714,3.335,1.357,3.328,9.341,1.344,27.309,3.208,1.066,1.911,2.819
Colo_rep6_Dep6_Tu1,0.600,0.897,0.096,0.012,2.881,0.021,0.788,0.471,3.803,5.513,8.018,4.891,18.126,2.102,5.049,0.775,5.489,2.495,0.099,13.304,13.724,4.758,6.086
Colo_rep3_Dep6_Tu2,0.484,0.588,0.511,0.002,2.242,0.013,1.652,7.526,7.787,4.811,2.688,2.200,7.209,3.261,0.008,8.445,2.437,13.614,2.415,0.838,27.326,2.696,1.247
Colo_rep7_Dep6_Tu2,0.384,1.115,0.243,0.002,2.685,0.028,3.517,5.866,3.924,2.616,6.993,2.285,12.194,12.291,5.327,2.048,3.508,9.356,4.294,8.020,12.581,0.226,0.494
Colo_rep8_Dep6_Tu0.1,0.328,1.041,0.099,0.001,2.050,0.001,2.822,0.192,10.076,7.118,3.293,2.562,8.729,0.403,19.235,4.599,0.175,17.649,1.336,1.262,0.080,11.846,5.103
Colo_rep10_Dep6_Tu2,0.465,2.413,0.551,0.002,0.187,0.009,0.842,6.488,5.697,0.568,9.027,3.994,8.689,11.036,2.894,3.671,9.226,5.990,1.467,8.698,13.312,2.742,2.033
Colo_rep6_Dep6_Tu3,0.303,0.584,0.637,0.004,3.079,0.054,3.220,5.331,3.295,3.121,7.836,3.405,15.111,1.819,11.357,0.010,3.642,8.324,5.848,2.920,13.919,4.374,1.806
Colo_rep9_Dep6_Tu30,1.462,2.582,0.114,0.114,5.422,12.108,0.241,4.247,5.363,6.802,2.124,1.990,6.245,4.804,6.126,2.135,20.548,0.354,4.262,4.579,2.158,2.325,3.896
Colo_rep9_Dep6_Tu0.5,0.264,1.088,0.550,0.003,1.095,0.012,0.637,6.470,5.491,5.804,5.869,1.559,10.902,12.420,5.328,3.142,8.883,8.164,0.743,3.790,9.826,6.298,1.663
Colo_rep6_Dep6_Tu20,1.569,3.088,0.633,0.021,0.562,6.162,3.600,6.622,1.137,4.253,1.617,4.746,6.571,6.318,2.735,6.730,5.160,8.859,7.203,11.897,3.929,0.770,5.818
Colo_rep8_Dep6_Tu30,0.377,0.838,1.847,0.101,7.401,9.533,3.495,5.191,0.751,7.339,0.386,1.826,4.927,6.880,2.279,12.983,8.170,4.085,7.237,2.503,3.851,3.387,4.614
Colo_rep3_Dep6_Tu5,0.793,2.435,0.590,0.015,2.487,0.374,1.509,6.261,1.279,5.162,9.134,1.671,11.506,7.176,0.372,3.864,8.252,1.708,1.498,12.073,13.512,6.232,2.097
Colo_rep4_Dep6_Tu3,0.073,1.255,0.740,0.004,3.307,0.039,3.398,5.285,4.950,3.513,9.371,0.613,2.343,2.273,17.730,3.865,8.739,7.250,0.460,12.271,2.744,9.055,0.720
Colo_rep2_Dep6_Tu10,0.576,3.729,0.359,0.012,1.498,1.278,3.300,2.765,6.386,5.631,5.840,0.661,9.892,16.520,2.377,4.186,12.282,1.956,6.244,5.785,5.663,0.755,2.307
Colo_rep3_Dep6_Tu40,1.370,2.894,1.640,0.163,4.502,15.440,1.963,1.475,4.565,5.530,1.641,2.422,2.469,3.379,0.440,9.007,16.535,0.467,6.550,6.564,2.415,2.622,5.946
Colo_rep3_Dep6_Tu30,1.879,0.428,1.530,0.075,2.927,8.064,2.072,3.086,3.997,5.128,5.349,2.991,4.147,5.884,0.844,1.842,5.230,2.243,19.346,7.683,1.042,8.524,5.691
Colo_rep6_Dep6_Tu30,1.327,1.788,1.547,0.042,5.205,9.034,0.580,5.158,7.690,1.874,2.454,0.331,6.028,4.154,5.342,13.368,3.526,0.789,10.355,2.995,0.610,5.547,10.254
Colo_rep4_Dep6_Tu50,0.782,1.673,1.751,0.276,4.244,18.299,3.779,4.429,1.195,1.365,4.388,4.164,0.997,0.056,1.060,2.445,0.922,0.762,22.007,7.095,1.033,2.195,15.083
Colo_rep5_Dep6_Tu50,2.271,0.201,0.554,0.342,6.022,18.397,4.312,4.456,1.873,2.743,1.302,3.630,0.410,0.118,0.837,15.648,5.210,4.158,15.227,0.422,0.743,4.171,6.953
Colo_rep6_Dep6_Tu2,0.313,1.988,0.609,0.001,1.277,0.065,3.882,2.175,7.546,0.615,10.315,0.760,10.636,4.626,11.920,2.866,1.336,14.129,2.445,1.171,6.194,4.661,10.471
Colo_rep10_Dep6_Tu50,2.242,4.192,1.024,0.233,7.266,20.276,1.474,0.092,1.169,7.208,0.094,2.988,1.876,1.935,1.102,2.859,2.956,1.839,10.715,5.900,1.708,5.032,15.819
Colo_rep7_Dep6_Tu50,2.412,3.633,0.696,0.328,0.819,17.414,3.738,3.582,0.418,4.410,2.353,3.988,3.478,2.326,0.118,11.103,2.663,1.845,22.836,3.395,1.826,1.543,5.076
Colo_rep9_Dep6_Tu40,1.647,1.742,0.643,0.154,6.267,13.226,3.263,2.508,4.416,4.933,3.169,2.055,1.720,1.833,0.173,2.870,4.415,5.500,18.168,2.617,3.244,10.046,5.392
Colo_rep8_Dep6_Tu5,0.439,1.829,0.726,0.010,2.014,0.169,2.819,6.671,6.931,1.243,3.807,3.293,4.994,1.903,18.154,8.194,0.106,12.519,3.508,10.830,2.822,4.605,2.414
Colo_rep1_Dep6_Tu20,0.895,3.457,1.274,0.154,3.385,3.907,1.644,0.241,5.520,7.202,5.193,3.844,0.770,3.703,0.727,6.591,3.607,4.227,6.806,9.741,1.171,11.795,14.146
Colo_rep9_Dep6_Tu2,0.070,1.618,0.620,0.007,0.526,0.030,2.372,4.069,5.696,2.517,8.523,3.088,14.000,5.634,2.711,1.885,11.316,6.622,1.731,7.629,5.964,11.279,2.092
Colo_rep5_Dep6_Tu30,2.419,1.155,2.450,0.171,0.340,8.671,5.230,0.446,5.634,6.279,4.382,2.417,0.783,4.825,3.436,5.875,3.816,5.885,14.979,7.547,2.381,7.172,3.707
Colo_rep4_Dep6_Tu0.1,0.152,1.054,0.460,0.001,2.366,0.007,0.683,6.713,7.067,4.077,3.293,1.837,15.136,3.012,7.271,3.448,10.863,3.805,0.142,8.454,15.523,2.776,1.861
Colo_rep5_Dep6_Tu0.1,0.301,2.930,0.032,0.002,0.149,0.017,2.804,2.352,4.251,2.189,13.174,4.735,7.457,2.757,4.548,4.500,7.799,10.158,0.475,9.371,15.685,0.662,3.653
Colo_rep9_Dep6_Tu3,0.607,1.109,0.845,0.004,0.456,0.073,3.151,5.188,5.529,3.772,5.982,3.482,12.641,9.536,6.119,1.651,2.841,6.667,2.156,9.450,3.127,8.828,6.787
Colo_rep2_Dep6_Tu0.1,0.101,2.233,0.205,0.000,2.482,0.004,2.700,0.328,11.097,6.012,0.436,0.530,10.408,16.540,22.797,0.662,0.231,2.707,0.915,2.334,5.472,2.788,9.020
Colo_rep8_Dep6_Tu10,1.013,2.228,0.989,0.033,5.153,0.438,4.567,4.370,0.316,4.557,5.192,4.003,10.281,0.860,13.811,11.107,3.438,4.424,1.317,6.891,5.881,0.194,8.939
Colo_rep4_Dep6_Tu30,0.874,2.257,1.407,0.111,5.292,8.353,0.220,5.130,4.093,4.526,6.380,1.648,5.404,2.561,3.026,8.808,12.139,1.310,15.289,0.204,5.682,1.658,3.627
Colo_rep2_Dep6_Tu2,0.426,1.555,0.591,0.003,0.863,0.103,1.094,6.795,4.603,4.856,10.402,1.729,6.096,11.227,5.128,4.834,6.403,8.142,2.528,0.623,17.528,2.053,2.420
Colo_rep1_Dep6_Tu5,0.123,2.958,0.624,0.005,0.696,0.162,3.344,2.920,6.218,5.287,8.535,2.412,13.006,20.271,1.899,0.516,6.470,4.082,5.890,7.280,1.836,0.163,5.302
Colo_rep8_Dep6_Tu50,0.917,4.064,2.303,0.250,2.050,19.230,2.432,2.312,3.865,3.242,2.694,2.545,1.895,0.913,0.198,19.395,3.454,0.588,13.529,4.720,2.875,5.542,0.985
Colo_rep5_Dep6_Tu5,0.011,1.229,1.510,0.012,0.437,0.041,2.742,1.671,8.572,7.108,6.446,1.297,9.053,2.002,5.733,5.040,0.701,7.890,4.070,8.148,7.244,10.819,8.225
Colo_rep6_Dep6_Tu50,1.745,5.171,0.391,0.207,1.770,20.233,2.447,3.278,1.671,1.984,3.336,3.395,1.774,1.968,0.204,0.467,10.924,0.499,12.600,2.024,2.048,1.037,20.828
Colo_rep5_Dep6_Tu0.5,0.432,2.296,0.237,0.002,0.877,0.011,0.332,5.403,7.282,2.341,2.666,3.564,16.767,13.465,5.616,4.071,8.466,6.451,1.214,6.597,7.600,4.297,0.012
Colo_rep4_Dep6_Tu20,0.241,2.269,2.014,0.073,3.629,3.379,2.825,4.889,2.181,2.622,7.179,5.380,3.258,2.115,9.249,1.649,2.071,0.863,15.498,3.201,6.704,8.659,10.050
Colo_rep8_Dep6_Tu40,1.876,1.524,1.738,0.080,2.984,15.199,2.880,1.581,1.716,5.902,3.770,3.266,3.863,3.537,1.876,10.642,0.392,6.447,6.563,4.125,0.435,1.173,18.435
Colo_rep7_Dep6_Tu0.3,0.093,0.320,0.424,0.001,2.174,0.007,3.312,7.874,3.317,4.011,1.986,4.587,5.131,13.841,8.572,0.703,10.608,10.622,2.187,1.113,12.100,3.441,3.577
Colo_rep7_Dep6_Tu30,1.361,3.162,0.841,0.077,2.161,7.473,0.683,3.695,5.360,4.953,4.470,3.952,3.305,7.993,3.326,2.352,8.460,4.603,22.162,4.882,1.890,1.505,1.336
Colo_rep10_Dep6_Tu20,1.040,3.321,1.020,0.035,2.129,4.218,2.324,6.157,3.377,8.574,0.590,2.645,8.941,4.118,8.544,8.356,3.665,7.693,11.213,1.218,0.382,5.686,4.754
Colo_rep9_Dep6_Tu10,0.217,3.403,0.445,0.041,2.709,1.203,2.761,0.885,7.072,5.626,4.870,2.682,7.785,6.295,13.534,10.487,10.298,0.891,1.913,1.933,0.712,11.137,3.101
Colo_rep9_Dep6_Tu0.1,0.407,1.527,0.273,0.003,1.608,0.011,1.053,5.676,6.097,3.134,5.077,3.172,15.974,0.424,14.871,3.952,3.691,12.330,1.196,3.775,5.732,5.783,4.232
