Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Colo_rep2_Dep6_Tu0.5,0.000,0.000,1.224,0.000,0.000,0.161,3.454,0.879,23.519,0.003,11.167,0.399,59.193
Colo_rep2_Dep6_Tu50,38.683,0.000,1.022,0.068,4.002,0.000,0.348,18.982,7.498,0.000,4.786,0.000,24.612
Colo_rep6_Dep6_Tu1,0.000,0.000,2.464,0.000,0.000,0.232,3.457,1.959,21.257,0.000,8.083,0.532,62.017
Colo_rep3_Dep6_Tu2,1.491,0.000,2.301,0.000,0.000,0.000,6.419,0.426,15.132,0.040,9.656,9.573,54.963
Colo_rep7_Dep6_Tu2,4.088,0.000,12.217,0.000,0.000,0.000,0.382,0.213,14.469,0.012,9.375,0.000,59.244
Colo_rep8_Dep6_Tu0.1,0.000,0.000,6.146,0.000,0.000,0.000,0.678,5.045,12.870,0.571,6.734,8.127,59.829
Colo_rep10_Dep6_Tu2,0.000,0.000,2.191,0.000,0.000,0.194,6.896,2.728,22.765,0.014,6.209,0.007,58.996
Colo_rep6_Dep6_Tu3,1.302,0.000,7.245,6.861,0.247,0.000,4.331,0.665,13.260,0.000,8.442,0.000,57.647
Colo_rep9_Dep6_Tu30,18.691,0.000,1.424,0.000,0.571,0.000,2.221,25.340,10.971,0.000,7.935,0.000,32.846
Colo_rep9_Dep6_Tu0.5,0.000,0.000,1.090,0.000,0.000,0.000,0.119,1.037,30.587,0.012,6.162,0.008,60.984
Colo_rep6_Dep6_Tu20,19.897,0.000,14.318,0.000,0.000,0.000,1.433,5.168,7.147,0.000,6.190,0.033,45.814
Colo_rep8_Dep6_Tu30,22.237,0.000,0.916,0.000,1.749,0.111,12.144,17.838,4.732,0.000,2.287,0.000,37.985
Colo_rep3_Dep6_Tu5,3.986,0.000,2.761,0.000,0.294,0.000,0.576,4.725,23.719,0.023,2.820,0.077,61.020
Colo_rep4_Dep6_Tu3,0.223,0.000,2.421,0.003,0.000,0.066,0.263,11.786,17.970,1.989,5.413,0.000,59.865
Colo_rep2_Dep6_Tu10,6.961,0.000,2.183,0.000,0.033,0.082,6.355,7.623,18.988,0.002,6.078,0.122,51.573
Colo_rep3_Dep6_Tu40,27.231,0.000,0.274,0.000,5.578,0.000,2.739,26.347,3.631,0.000,4.918,0.067,29.215
Colo_rep3_Dep6_Tu30,23.518,0.646,1.512,0.000,0.096,0.000,0.127,17.439,13.101,0.000,9.140,0.000,34.419
Colo_rep6_Dep6_Tu30,20.914,0.000,5.256,0.000,11.792,0.000,0.000,19.597,3.195,0.000,4.656,0.000,34.589
Colo_rep4_Dep6_Tu50,33.291,0.000,1.344,0.000,17.412,0.000,0.119,20.290,2.039,0.000,3.033,0.000,22.471
Colo_rep5_Dep6_Tu50,37.043,0.000,2.588,0.000,4.276,0.444,0.456,21.573,3.900,0.000,7.531,0.000,22.188
Colo_rep6_Dep6_Tu2,1.314,0.000,0.751,0.000,0.000,0.000,0.129,2.301,14.079,5.633,8.549,7.699,59.545
Colo_rep10_Dep6_Tu50,33.621,0.000,8.281,0.000,1.959,0.000,0.035,25.117,1.687,0.717,7.789,0.000,20.795
Colo_rep7_Dep6_Tu50,38.869,0.000,1.636,0.000,11.356,0.871,0.122,13.822,2.612,0.000,6.688,0.000,24.024
Colo_rep9_Dep6_Tu40,26.615,0.000,0.907,0.000,3.896,0.197,4.364,27.119,4.216,0.000,3.886,0.000,28.799
Colo_rep8_Dep6_Tu5,1.937,0.000,5.923,0.000,0.000,0.000,0.055,4.562,12.697,5.006,5.528,5.639,58.653
Colo_rep1_Dep6_Tu20,16.019,0.000,7.772,0.000,2.342,0.000,0.000,17.152,3.893,0.000,11.081,0.000,41.739
Colo_rep9_Dep6_Tu2,0.383,0.000,0.795,0.088,0.000,0.034,0.161,2.792,28.675,0.000,7.379,0.160,59.533
Colo_rep5_Dep6_Tu30,25.558,0.000,9.005,0.000,1.394,0.116,2.224,9.460,8.556,0.000,9.418,0.000,34.267
Colo_rep4_Dep6_Tu0.1,0.000,0.000,2.810,0.000,0.000,0.000,7.045,0.230,13.831,0.047,10.512,6.233,59.291
Colo_rep5_Dep6_Tu0.1,0.000,0.000,1.135,0.000,0.000,0.000,12.134,0.779,20.249,0.007,4.757,0.030,60.909
Colo_rep9_Dep6_Tu3,0.044,0.000,2.584,0.000,0.000,0.000,0.720,7.104,19.626,7.409,5.699,0.047,56.766
Colo_rep2_Dep6_Tu0.1,0.000,0.000,5.181,0.000,0.000,0.000,0.173,11.344,19.528,0.352,3.557,0.048,59.815
Colo_rep8_Dep6_Tu10,5.331,0.313,13.348,0.000,0.000,0.051,5.082,12.497,3.666,0.000,8.667,0.000,51.045
Colo_rep4_Dep6_Tu30,24.718,0.000,2.668,0.000,1.605,0.134,0.000,15.536,12.741,0.000,8.918,0.000,33.680
Colo_rep2_Dep6_Tu2,3.022,0.000,7.378,0.000,0.000,0.117,4.243,0.341,14.491,0.000,10.484,0.000,59.925
Colo_rep1_Dep6_Tu5,5.674,0.000,11.268,0.000,0.000,0.023,4.262,0.426,13.841,0.096,7.391,0.000,57.018
Colo_rep8_Dep6_Tu50,33.390,0.000,1.591,0.000,13.391,0.000,0.130,23.849,0.719,0.000,4.928,0.000,22.002
Colo_rep5_Dep6_Tu5,1.289,0.000,12.994,0.005,0.000,0.000,0.066,8.712,12.241,2.145,5.456,0.000,57.092
Colo_rep6_Dep6_Tu50,34.421,0.000,0.485,0.000,10.354,0.061,0.000,21.783,1.321,0.000,8.869,0.000,22.706
Colo_rep5_Dep6_Tu0.5,0.000,0.000,0.708,0.000,0.000,0.000,5.163,1.005,25.009,0.000,6.553,0.020,61.542
Colo_rep4_Dep6_Tu20,14.901,0.000,10.803,0.000,0.608,0.000,0.039,17.603,6.279,0.000,5.754,0.000,44.013
Colo_rep8_Dep6_Tu40,30.232,0.000,0.466,0.000,6.888,0.000,0.572,16.558,11.843,0.000,4.021,0.000,29.419
Colo_rep7_Dep6_Tu0.3,0.000,0.000,0.945,0.000,0.000,0.159,1.675,0.727,28.625,0.017,6.212,0.000,61.638
Colo_rep7_Dep6_Tu30,26.959,0.000,0.993,0.000,0.170,0.000,0.328,13.963,16.266,0.000,4.177,0.033,37.110
Colo_rep10_Dep6_Tu20,12.014,0.037,12.814,0.000,3.104,0.000,4.911,16.795,1.474,0.044,6.272,0.000,42.535
Colo_rep9_Dep6_Tu10,2.107,0.000,0.607,0.000,0.697,0.000,0.299,16.747,17.523,0.034,6.084,4.749,51.153
Colo_rep9_Dep6_Tu0.1,0.000,0.000,8.606,0.000,0.000,0.000,0.749,1.229,10.620,7.520,7.549,4.187,59.539
Colo_rep10_Dep6_Tu0.3,0.378,0.000,0.849,0.000,0.000,0.000,0.133,1.510,14.594,5.782,8.294,7.677,60.782
Colo_rep8_Dep6_Tu20,11.784,0.000,1.248,0.000,0.494,0.189,0.759,19.764,14.779,0.054,2.172,4.540,44.218
Colo_rep3_Dep6_Tu3,0.556,0.000,5.136,0.015,0.000,0.642,4.590,5.503,20.004,0.265,6.697,0.000,56.591
Colo_rep4_Dep6_Tu2,0.073,0.000,2.667,0.000,0.000,0.062,1.990,12.779,16.675,0.000,6.375,0.000,59.379
Colo_rep10_Dep6_Tu0.1,0.000,0.000,6.288,0.000,0.000,0.000,6.978,1.501,6.653,6.666,6.846,4.611,60.457
Colo_rep4_Dep6_Tu0.3,0.000,0.000,2.561,0.000,0.000,0.000,5.745,1.234,21.261,0.082,6.675,0.350,62.092
Colo_rep9_Dep6_Tu0.3,0.000,0.000,0.918,0.000,0.000,0.000,6.154,0.472,20.022,0.000,12.939,0.301,59.194
Colo_rep1_Dep6_Tu10,4.051,0.000,11.739,0.012,0.000,0.000,0.285,12.208,11.844,0.000,3.178,6.147,50.535
Colo_rep6_Dep6_Tu0.3,0.000,0.000,1.768,0.000,0.000,0.000,0.974,2.874,19.109,10.362,7.645,0.015,57.254
Colo_rep6_Dep6_Tu0.5,0.000,0.000,7.788,0.000,0.000,0.000,5.287,1.192,8.944,6.594,6.302,4.350,59.543
Colo_rep10_Dep6_Tu10,5.431,0.000,5.644,0.000,4.758,0.000,0.682,10.761,8.190,0.149,4.873,7.513,52.000
Colo_rep10_Dep6_Tu1,0.000,0.000,8.080,0.016,0.000,0.000,0.358,2.883,11.828,6.843,6.685,4.344,58.963
Colo_rep10_Dep6_Tu5,0.585,0.000,7.626,0.000,0.073,0.087,0.270,14.213,17.748,0.000,4.595,0.000,54.802
Colo_rep10_Dep6_Tu40,23.667,0.000,2.115,0.000,0.331,21.183,0.380,16.615,3.891,0.000,3.190,0.000,28.628
Colo_rep10_Dep6_Tu0.5,0.000,0.000,8.444,0.000,0.000,0.000,0.459,1.201,14.474,9.457,4.003,2.276,59.686
Colo_rep1_Dep6_Tu1,0.000,0.000,7.677,0.000,0.000,0.000,5.296,1.305,8.644,6.432,6.948,4.608,59.091
Colo_rep7_Dep6_Tu20,18.231,0.000,0.508,0.000,0.965,0.043,0.320,9.966,20.881,0.000,6.328,0.000,42.757
Colo_rep6_Dep6_Tu10,3.860,0.000,2.599,0.000,0.000,0.000,1.521,16.792,15.120,0.025,6.165,0.089,53.828
Colo_rep10_Dep6_Tu3,1.669,0.000,2.441,0.028,0.250,0.092,1.863,2.258,22.465,0.000,11.510,0.000,57.425
Colo_rep1_Dep6_Tu30,24.153,0.000,2.376,0.000,0.045,0.880,1.673,16.503,12.975,0.000,6.508,0.008,34.879
Colo_rep1_Dep6_Tu0.1,0.000,0.000,0.750,0.000,0.094,0.000,8.980,0.549,20.405,0.000,6.420,0.144,62.658
Colo_rep7_Dep6_Tu5,4.830,0.000,0.760,0.000,0.166,0.000,6.254,1.147,14.078,0.038,9.689,7.920,55.118
Colo_rep7_Dep6_Tu0.1,0.000,0.000,0.860,0.000,0.013,0.000,0.257,1.097,30.020,0.018,6.160,0.000,61.573
Colo_rep6_Dep6_Tu40,31.617,0.000,1.125,0.000,0.215,0.000,0.000,20.316,10.118,0.000,8.556,0.000,28.051
Colo_rep8_Dep6_Tu2,0.029,0.016,0.433,0.000,0.392,0.000,0.754,11.508,17.227,1.977,8.517,4.332,54.815
Colo_rep7_Dep6_Tu0.5,0.000,0.000,11.702,0.000,0.000,0.013,4.554,0.430,16.416,0.000,4.652,0.034,62.198
Colo_rep5_Dep6_Tu20,12.146,0.000,6.095,0.000,0.213,0.557,6.134,17.209,2.369,0.000,4.939,7.561,42.776
