Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Colo_rep2_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.991,0.000,55.676,0.000,1.678,37.394,0.000,0.000,0.324,0.000,1.856,0.079,0.000
Colo_rep2_Dep6_Tu50,0.000,0.000,0.000,0.000,0.928,22.837,0.000,0.000,0.000,0.000,0.000,0.000,17.896,0.000,5.795,0.000,0.000,0.000,0.434,51.457,0.651,0.000,0.000
Colo_rep6_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.547,0.000,56.170,0.000,5.177,21.589,5.593,3.785,0.000,0.000,0.768,2.370,0.000
Colo_rep3_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.666,0.000,52.978,0.000,6.616,5.997,2.820,0.000,28.859,0.000,0.062,0.000,0.000
Colo_rep7_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.081,0.000,52.585,0.000,3.593,8.441,0.000,0.000,9.389,0.000,0.281,23.630,0.000
Colo_rep8_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.007,0.000,53.817,0.000,4.525,10.091,0.000,4.505,1.033,0.180,0.363,22.479,0.000
Colo_rep10_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.582,0.000,54.586,0.000,1.589,25.742,0.000,0.000,7.499,4.451,4.455,0.094,0.000
Colo_rep6_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.223,0.000,53.755,0.044,5.226,7.804,1.501,0.000,26.773,1.178,0.000,0.496,0.000
Colo_rep9_Dep6_Tu30,0.000,0.000,0.000,0.000,0.000,9.513,0.000,0.000,0.000,0.000,1.334,0.000,31.848,43.635,7.199,0.000,0.000,4.023,0.000,0.014,1.358,1.075,0.000
Colo_rep9_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.339,0.000,55.954,1.386,1.033,32.554,0.000,0.000,0.000,2.173,3.903,0.657,0.000
Colo_rep6_Dep6_Tu20,0.000,0.000,0.000,0.000,0.000,6.823,0.000,0.000,0.000,0.000,0.888,0.000,38.907,2.917,12.760,0.000,0.000,0.354,18.035,15.675,3.140,0.000,0.500
Colo_rep8_Dep6_Tu30,0.000,0.000,0.000,0.000,0.000,11.567,0.000,0.000,0.000,0.000,0.190,0.000,31.938,0.000,10.469,0.000,0.000,0.000,7.871,32.362,5.602,0.000,0.000
Colo_rep3_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.772,0.000,54.169,7.197,3.193,25.548,0.000,0.000,0.000,0.000,5.737,3.383,0.000
Colo_rep4_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.960,0.000,52.974,2.910,0.499,1.436,2.642,0.000,0.000,0.000,26.897,7.244,2.437
Colo_rep2_Dep6_Tu10,0.000,0.000,0.000,0.000,0.000,1.163,0.000,0.000,0.000,0.000,1.138,0.000,47.843,4.644,4.292,18.774,0.000,0.000,2.698,15.879,3.568,0.000,0.000
Colo_rep3_Dep6_Tu40,0.000,0.000,0.000,0.000,0.000,18.691,0.000,0.000,0.000,0.000,0.446,0.000,24.689,34.339,11.551,0.000,3.282,5.495,0.529,0.000,0.976,0.000,0.000
Colo_rep3_Dep6_Tu30,0.000,0.000,0.000,0.000,0.000,11.852,0.000,0.000,0.000,0.000,1.783,0.000,33.842,0.000,7.932,0.000,1.253,0.000,0.626,41.015,1.696,0.000,0.000
Colo_rep6_Dep6_Tu30,0.000,0.000,0.000,0.000,0.000,11.108,0.000,0.000,0.000,0.000,0.692,0.000,32.458,0.000,6.512,0.000,0.000,0.842,0.000,0.000,0.307,2.034,46.046
Colo_rep4_Dep6_Tu50,0.000,0.000,0.000,0.000,0.030,28.954,0.000,0.000,0.000,0.000,0.364,0.000,18.061,3.235,27.795,0.000,0.000,3.124,0.000,18.437,0.000,0.000,0.000
Colo_rep5_Dep6_Tu50,0.000,0.000,0.000,0.000,0.000,24.087,0.000,0.000,0.000,0.000,0.264,0.000,17.342,22.678,12.599,0.000,0.000,0.000,0.000,22.024,1.005,0.000,0.000
Colo_rep6_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.273,0.000,56.025,2.552,3.636,2.539,0.902,0.000,0.000,0.631,0.797,30.644,0.000
Colo_rep10_Dep6_Tu50,0.000,0.000,0.000,0.000,0.064,26.305,0.000,0.000,0.000,0.000,0.084,0.000,17.936,22.137,31.866,0.000,0.000,0.000,1.526,0.000,0.000,0.081,0.000
