Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Colo_rep2_Dep6_Tu0.5,0.611,0.943,1.766,7.013,4.769,9.095,5.451,4.611,1.020,4.517,2.986,4.732,0.102,0.857,2.588,1.652,1.589,2.758,2.062,2.551,0.501,0.077,1.227,0.050,0.061,0.109,0.134,0.016,0.043,0.014,0.001,0.003,0.172,0.737,0.686,0.091,0.260,0.138,1.059,0.490,12.324,0.121,6.147,0.116,1.627,0.601,0.100,6.922,3.925,0.578
Colo_rep2_Dep6_Tu50,2.222,2.172,1.165,1.194,0.528,0.773,0.347,0.938,1.422,0.468,1.695,1.753,0.940,1.247,0.972,1.677,1.946,1.856,1.035,0.490,0.885,0.589,1.039,0.483,1.189,0.760,0.617,0.243,0.488,0.655,1.731,12.343,0.097,0.961,0.568,0.204,0.724,0.507,1.989,1.284,4.302,6.146,0.509,7.962,6.012,19.372,1.116,0.007,1.341,1.039
Colo_rep6_Dep6_Tu1,0.007,1.857,5.447,0.737,1.316,14.077,3.633,9.772,1.101,2.441,4.376,5.645,0.044,1.676,1.987,1.236,2.540,1.297,1.725,0.510,0.308,0.711,1.700,0.069,0.208,0.079,0.152,0.048,0.015,0.010,0.002,0.005,0.566,0.719,0.801,0.172,0.066,0.159,1.286,0.512,3.679,0.053,8.349,0.332,1.229,1.778,0.277,3.014,5.855,6.427
Colo_rep3_Dep6_Tu2,0.189,1.491,7.023,2.791,3.129,4.531,8.756,5.181,5.448,3.353,3.490,4.388,1.316,0.355,3.350,1.416,0.750,0.241,1.671,3.087,0.735,1.146,0.162,0.011,0.525,0.130,0.103,0.070,0.092,0.022,0.015,0.021,0.372,0.421,0.923,0.026,0.402,0.107,1.053,0.172,3.946,0.519,3.025,0.773,0.376,0.589,2.942,12.858,1.869,4.641
Colo_rep7_Dep6_Tu2,0.351,0.290,0.590,2.507,2.325,7.859,9.703,3.517,7.993,4.706,5.516,1.306,1.556,0.459,1.622,0.613,4.110,1.290,1.565,1.997,0.268,0.925,1.068,0.164,0.098,0.072,0.108,0.074,0.045,0.031,0.005,0.003,0.687,0.769,0.326,0.225,0.235,0.098,1.280,0.245,8.546,0.297,4.885,0.453,0.692,1.116,1.526,0.532,0.318,15.033
Colo_rep8_Dep6_Tu0.1,1.096,0.064,6.408,4.801,5.432,1.061,9.904,8.619,3.501,3.077,1.394,1.055,1.642,0.002,3.563,3.977,4.335,2.126,0.753,0.481,0.360,0.530,1.448,0.142,0.072,0.073,0.105,0.016,0.030,0.019,0.001,0.006,0.453,0.351,0.802,0.217,0.240,0.030,0.557,0.600,2.000,0.273,0.718,0.575,1.476,0.299,1.207,12.929,8.317,2.863
Colo_rep10_Dep6_Tu2,1.026,0.591,5.938,0.591,7.194,4.704,3.956,4.898,7.160,0.802,2.938,3.244,0.792,1.018,3.304,3.612,3.067,3.535,1.091,1.468,0.714,1.029,0.498,0.067,0.405,0.110,0.131,0.034,0.046,0.002,0.005,0.002,0.568,0.752,0.111,0.137,0.186,0.176,0.747,0.514,0.240,0.808,10.852,0.473,2.308,2.794,0.159,11.326,0.934,2.942
Colo_rep6_Dep6_Tu3,0.158,1.442,5.506,2.636,5.899,5.908,7.495,7.791,2.469,1.111,2.834,2.676,1.388,0.204,4.106,0.954,1.788,1.012,1.771,3.016,0.980,0.219,1.321,0.012,0.499,0.219,0.162,0.026,0.067,0.072,0.025,0.027,0.810,0.364,0.911,0.078,0.293,0.269,1.514,0.023,3.608,0.213,4.379,0.696,0.604,1.362,1.588,5.134,2.377,11.986
Colo_rep9_Dep6_Tu30,2.499,0.074,1.443,4.148,3.208,2.690,2.399,0.574,1.164,1.119,0.087,3.675,1.734,1.553,2.309,2.134,3.432,2.120,0.803,1.016,1.417,1.491,0.278,0.403,0.195,0.075,0.245,0.516,0.218,0.024,2.028,3.091,0.419,1.005,0.934,0.082,0.588,0.350,2.223,1.426,1.558,9.416,2.916,11.846,10.086,0.464,2.085,0.048,4.376,2.011
Colo_rep9_Dep6_Tu0.5,1.408,0.433,3.367,6.717,7.658,1.135,4.130,2.669,9.887,0.789,2.704,5.073,0.869,0.276,2.560,2.045,3.348,3.170,0.628,2.587,0.064,0.374,1.441,0.084,0.473,0.099,0.018,0.035,0.050,0.014,0.000,0.002,0.079,0.017,0.593,0.105,0.241,0.088,0.402,0.660,0.524,0.066,16.246,0.392,1.426,1.792,6.238,0.873,1.042,5.113
Colo_rep6_Dep6_Tu20,0.392,1.733,4.895,3.672,3.980,3.866,1.632,1.827,3.618,3.367,0.679,1.241,1.344,0.545,0.170,2.839,3.586,3.454,2.689,0.838,1.175,1.051,0.756,0.112,1.220,0.560,0.423,0.071,0.349,0.313,0.690,1.128,0.952,1.445,1.116,0.319,0.519,0.163,0.690,0.002,8.924,4.320,4.546,8.989,2.486,5.224,0.237,3.942,0.991,0.917
Colo_rep8_Dep6_Tu30,0.809,0.329,1.738,0.694,3.990,1.870,1.184,1.559,2.457,3.283,3.161,2.011,0.887,0.403,1.259,2.323,0.915,2.992,2.426,2.345,1.576,0.875,0.246,0.438,0.677,0.313,0.538,0.420,0.569,0.048,2.570,2.322,1.554,1.214,1.615,0.748,0.389,0.127,1.763,0.345,5.376,3.276,0.122,2.201,5.975,19.321,5.309,1.717,0.608,1.113
Colo_rep3_Dep6_Tu5,1.976,0.515,0.226,6.697,3.864,4.473,8.022,5.025,5.235,1.205,4.354,3.815,0.692,0.985,2.536,2.928,3.076,2.575,0.498,0.413,0.234,0.396,1.621,0.251,0.517,0.006,0.065,0.015,0.107,0.063,0.049,0.081,0.586,1.195,0.773,0.105,0.343,0.219,0.536,0.361,4.172,1.559,4.503,1.566,0.059,2.046,2.956,6.888,3.843,5.777
Colo_rep4_Dep6_Tu3,0.532,1.435,1.476,3.886,5.101,1.494,11.596,5.196,5.902,1.437,3.890,3.560,0.981,1.245,4.001,2.419,0.886,2.059,0.489,1.931,0.174,0.047,1.355,0.006,0.652,0.073,0.126,0.062,0.055,0.029,0.003,0.017,0.462,0.569,0.556,0.081,0.142,0.351,1.342,0.782,1.924,0.343,0.467,0.657,5.022,0.921,4.266,0.836,14.610,4.554
Colo_rep2_Dep6_Tu10,2.092,0.370,2.480,2.216,5.209,6.873,6.943,5.970,1.514,1.266,0.210,3.841,1.036,0.572,3.470,2.774,1.467,2.107,2.352,2.499,0.014,0.177,1.251,0.234,0.639,0.363,0.142,0.052,0.069,0.064,0.117,0.240,0.439,0.273,1.077,0.131,0.459,0.391,1.360,0.620,3.835,2.456,0.996,2.894,2.719,8.876,0.240,10.287,1.303,3.021
Colo_rep3_Dep6_Tu40,1.635,1.859,1.691,2.225,1.330,0.118,1.490,2.202,2.000,0.316,2.412,2.488,0.403,0.975,2.305,2.342,2.149,1.573,1.574,2.260,0.133,1.810,0.211,0.144,1.346,0.582,0.336,0.188,0.966,0.405,6.169,0.467,1.796,0.669,0.090,0.225,0.018,0.899,0.362,2.001,2.102,19.416,1.376,9.965,4.891,3.677,1.315,2.274,0.906,1.911
Colo_rep3_Dep6_Tu30,2.063,2.174,1.814,3.827,1.804,1.827,1.267,3.256,1.212,1.826,3.067,1.979,1.142,1.334,2.850,1.868,2.427,1.667,1.176,0.674,1.473,0.709,0.092,0.433,0.553,0.588,0.438,0.155,0.392,0.335,0.103,4.122,1.251,1.378,1.210,0.211,0.784,0.061,1.362,0.361,7.794,17.303,0.813,4.539,0.520,4.160,2.298,1.809,5.264,0.234
Colo_rep6_Dep6_Tu30,0.340,1.073,0.245,4.908,3.273,2.313,0.433,3.380,1.054,2.056,2.229,1.090,1.839,1.399,2.236,1.759,2.429,3.313,1.308,2.467,1.894,0.451,0.264,0.062,0.910,0.421,0.221,0.470,0.356,0.294,0.368,6.684,2.310,0.517,0.369,0.065,0.580,0.255,1.354,0.971,3.385,7.013,1.730,7.078,2.390,8.262,4.713,3.101,1.513,2.855
Colo_rep4_Dep6_Tu50,2.559,0.497,2.140,1.605,0.926,1.133,0.119,0.714,1.507,0.494,1.826,1.361,1.243,1.501,2.413,0.433,1.660,1.960,1.156,2.353,1.666,1.064,0.041,0.434,0.291,0.837,0.802,0.197,0.827,0.717,6.518,7.447,0.575,0.195,2.098,0.542,0.138,0.537,0.815,1.032,3.881,19.962,1.105,0.669,10.577,3.598,3.456,0.302,0.252,1.826
Colo_rep5_Dep6_Tu50,3.108,1.888,0.768,1.525,0.623,0.263,1.198,1.701,1.601,1.719,0.980,1.745,1.494,1.966,2.404,1.293,1.083,0.642,0.297,1.217,0.251,0.741,0.103,0.099,2.128,0.258,0.459,0.014,1.724,0.517,4.252,7.168,0.190,0.261,0.300,0.139,1.017,0.077,2.362,1.739,3.943,22.728,0.128,7.959,1.470,4.527,5.301,0.705,0.929,0.997
Colo_rep6_Dep6_Tu2,1.115,1.136,7.061,2.387,5.676,8.826,7.255,1.093,3.285,2.895,1.915,5.231,0.610,1.552,2.852,1.939,3.338,3.317,0.104,0.025,0.514,0.588,1.136,0.096,0.027,0.041,0.201,0.028,0.049,0.012,0.006,0.004,0.498,0.895,0.572,0.084,0.323,0.157,0.426,1.198,2.158,0.690,0.150,2.184,1.606,0.016,1.195,3.911,6.465,13.159
Colo_rep10_Dep6_Tu50,0.096,2.258,1.041,0.805,0.242,1.912,0.607,0.185,1.640,0.346,1.969,0.321,1.867,1.510,2.721,2.831,0.624,2.014,0.312,1.036,1.359,1.394,0.743,0.110,1.237,0.792,0.785,0.299,1.466,0.746,1.295,10.435,0.903,1.281,0.759,0.440,0.581,0.570,0.340,2.214,1.808,24.605,0.775,5.882,4.736,3.662,1.846,0.714,3.098,0.785
