Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Colo_rep2_Dep6_Tu0.5,8.395,5.193,25.520,13.284,4.696,20.293,0.000,2.458,0.000,2.505,5.092,0.337,0.000,2.951,2.415,0.105,0.267,0.000,0.000,0.000,0.000,0.000,1.998,0.000,0.000,0.000,0.000,0.000,0.217,0.000,0.000,0.361,0.000,0.000,1.341,0.039,0.000,0.000,0.732,1.802
Colo_rep2_Dep6_Tu50,5.376,0.520,9.766,7.145,0.000,10.315,1.516,4.481,0.000,2.322,5.182,0.141,0.000,2.241,3.224,0.000,2.263,2.535,0.000,0.356,0.000,0.000,1.280,0.199,0.000,0.000,0.335,0.000,0.000,3.738,5.963,23.005,0.370,2.382,0.000,0.000,0.000,0.425,4.918,0.000
Colo_rep6_Dep6_Tu1,6.320,6.883,26.992,17.549,3.546,15.146,0.000,0.658,0.561,7.282,0.000,1.360,0.000,3.006,2.031,0.000,0.000,1.957,0.000,0.000,1.551,0.000,0.450,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.739,0.000,0.717,0.890,0.400,0.000,0.000,0.375,1.587
Colo_rep3_Dep6_Tu2,6.803,3.271,27.888,13.874,5.114,13.653,0.000,3.453,0.000,7.697,1.207,0.000,0.000,2.077,0.765,0.000,1.841,0.922,1.534,0.000,0.047,0.000,3.103,0.000,0.000,0.000,0.390,0.000,0.000,0.000,0.676,1.158,0.000,0.457,1.319,0.431,0.000,0.000,0.354,1.966
Colo_rep7_Dep6_Tu2,7.642,4.727,27.703,14.237,5.822,7.239,0.000,10.057,0.000,7.696,1.141,0.000,0.012,2.392,1.761,0.302,1.774,0.000,0.000,0.000,1.462,0.000,0.953,0.000,0.000,0.000,0.330,0.000,0.000,0.000,0.125,1.280,0.000,0.295,0.817,0.273,0.000,0.000,0.000,1.961
Colo_rep8_Dep6_Tu0.1,7.226,5.040,24.438,14.188,6.567,12.407,1.385,5.165,0.000,6.347,3.074,0.000,0.000,2.584,0.000,1.297,2.294,0.000,0.000,0.000,0.000,0.000,2.687,0.245,0.000,0.000,0.000,0.000,0.000,0.000,0.319,0.000,0.000,0.217,1.033,0.368,0.000,0.000,0.000,3.117
Colo_rep10_Dep6_Tu2,5.958,5.809,20.055,15.257,2.091,20.272,0.000,6.650,0.000,3.255,4.749,0.000,0.579,1.868,2.745,0.191,1.578,0.000,0.000,0.000,1.634,0.000,0.759,0.000,0.000,0.000,0.249,0.000,0.088,0.000,0.000,1.405,0.000,0.303,1.159,0.000,0.198,0.000,0.448,2.700
Colo_rep6_Dep6_Tu3,8.764,2.103,25.682,20.249,3.791,8.377,0.000,5.813,0.000,7.515,0.494,0.000,0.000,1.903,0.237,0.000,4.911,0.000,0.000,0.429,1.545,0.000,1.309,0.298,0.124,0.000,0.000,0.000,0.000,0.000,0.000,2.672,0.000,0.731,1.059,0.000,0.000,0.049,0.482,1.462
Colo_rep9_Dep6_Tu30,1.404,6.368,17.979,13.301,0.000,10.513,0.000,3.604,0.000,7.594,0.161,0.087,0.000,2.325,0.000,0.000,0.000,6.350,0.817,0.000,0.000,0.000,2.054,0.000,0.000,0.000,0.179,0.000,0.000,1.206,2.826,15.299,0.000,0.160,2.796,0.099,0.000,0.000,0.000,4.878
Colo_rep9_Dep6_Tu0.5,9.744,2.737,27.561,13.592,4.350,14.599,0.168,4.126,1.098,6.725,1.552,0.000,0.000,2.535,0.281,2.717,1.300,0.000,0.000,0.000,0.474,0.000,1.733,0.000,0.265,0.000,0.000,0.000,0.000,0.000,0.330,0.607,0.000,0.641,1.303,0.263,0.000,0.000,0.000,1.299
Colo_rep6_Dep6_Tu20,3.443,3.419,18.762,18.905,1.844,12.054,0.000,0.000,0.786,5.360,0.597,1.514,0.000,2.153,4.700,0.000,1.792,1.343,0.697,1.025,0.000,0.000,1.721,0.000,0.070,0.000,1.135,0.000,0.000,0.492,1.803,10.926,0.000,1.890,0.000,0.000,0.000,0.422,2.855,0.293
Colo_rep8_Dep6_Tu30,4.965,2.482,15.073,11.905,5.394,4.462,0.254,8.587,0.000,8.669,0.723,0.000,1.225,0.922,0.000,0.000,1.471,4.855,0.000,0.000,0.000,1.675,0.000,0.000,0.000,0.000,0.316,0.000,0.000,1.330,2.883,14.856,0.000,1.322,2.383,0.000,0.000,0.099,2.958,1.190
Colo_rep3_Dep6_Tu5,8.588,2.825,23.247,16.708,8.425,12.182,0.000,1.108,0.000,3.919,3.456,0.207,0.000,2.893,0.000,0.000,0.000,3.598,0.882,0.340,0.178,0.000,2.031,0.121,0.004,0.000,0.132,0.000,0.348,0.000,0.359,3.156,0.000,1.812,0.303,0.085,0.000,0.000,1.902,1.191
Colo_rep4_Dep6_Tu3,7.567,4.082,27.056,18.088,4.915,12.975,0.000,0.700,0.000,7.216,0.911,0.000,0.317,2.385,0.000,0.860,0.000,3.437,0.431,0.000,0.000,0.000,1.645,0.311,0.000,0.114,0.000,0.000,0.616,0.000,0.000,2.129,0.000,0.181,1.188,0.238,0.000,0.000,0.464,2.174
