Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Colo_rep2_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.530,0.000,53.638,1.025,0.000,0.676,0.000,25.598,1.464,0.000,17.067,0.000,0.000
Colo_rep2_Dep6_Tu50,0.000,0.000,0.000,0.008,0.000,30.578,0.000,0.000,0.000,0.000,0.000,0.000,17.454,0.321,0.000,0.000,0.000,7.772,43.174,0.691,0.000,0.000,0.000
Colo_rep6_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.499,0.000,54.956,0.336,1.339,12.320,0.000,12.774,1.681,0.000,14.728,0.000,1.366
Colo_rep3_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.567,0.000,52.760,1.444,0.000,5.150,0.000,22.166,0.538,0.601,0.000,16.772,0.000
Colo_rep7_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.370,0.000,52.603,0.170,7.774,1.055,0.000,6.323,0.239,0.000,16.625,9.697,5.145
Colo_rep8_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.643,0.000,55.733,27.506,1.663,4.589,0.000,7.481,0.144,0.000,0.000,0.000,2.240
Colo_rep10_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.184,0.000,52.203,3.573,1.034,2.051,0.000,35.667,0.470,0.113,4.646,0.058,0.000
Colo_rep6_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.151,0.000,57.070,2.597,3.687,5.437,0.000,15.134,1.994,0.000,13.930,0.000,0.000
Colo_rep9_Dep6_Tu30,0.000,0.000,0.000,0.000,0.000,19.896,0.000,0.000,0.000,0.000,0.178,0.000,28.844,21.500,0.000,1.236,0.000,7.449,20.163,0.733,0.000,0.000,0.000
Colo_rep9_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.337,0.000,53.728,1.675,6.821,0.738,0.000,33.839,0.626,0.000,2.098,0.137,0.000
Colo_rep6_Dep6_Tu20,0.000,0.000,0.000,0.000,0.000,13.475,0.000,0.000,0.000,0.000,0.053,0.000,41.446,0.177,0.000,0.518,0.000,16.926,5.102,1.177,0.000,20.365,0.760
Colo_rep8_Dep6_Tu30,0.000,0.000,0.000,0.000,0.000,21.248,0.000,0.000,0.000,0.000,0.155,0.000,32.111,1.133,0.000,0.081,0.000,27.715,10.384,6.695,0.000,0.477,0.000
Colo_rep3_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,1.434,0.000,0.000,0.000,0.000,0.095,0.000,51.120,3.351,2.928,11.298,0.000,24.232,1.330,0.000,3.668,0.000,0.545
Colo_rep4_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.220,0.000,50.331,32.471,0.000,2.482,0.000,11.372,0.371,0.366,0.290,0.000,2.095
Colo_rep2_Dep6_Tu10,0.000,0.000,0.000,0.000,0.000,4.304,0.000,0.000,0.000,0.000,0.141,0.000,46.579,2.846,0.000,1.273,0.000,38.018,6.604,0.000,0.000,0.000,0.235
Colo_rep3_Dep6_Tu40,0.000,0.000,0.000,0.000,0.000,25.987,0.000,0.000,0.000,0.000,0.216,0.000,26.574,0.000,0.000,6.395,0.000,4.973,35.853,0.000,0.000,0.000,0.000
Colo_rep3_Dep6_Tu30,0.000,0.000,0.000,0.000,0.000,14.946,0.000,0.000,0.000,0.000,0.141,0.000,31.497,0.000,0.000,0.000,0.000,9.693,43.722,0.000,0.000,0.000,0.000
