Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Colo_rep2_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.995,0.000,66.873,32.132
Colo_rep2_Dep6_Tu50,0.000,0.000,0.000,0.013,0.000,47.010,0.000,0.000,0.000,0.000,0.621,0.000,22.945,29.410
Colo_rep6_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.014,0.000,64.390,34.595
Colo_rep3_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.241,0.000,64.330,34.428
Colo_rep7_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.788,0.000,64.691,34.521
Colo_rep8_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.435,0.000,59.206,39.358
Colo_rep10_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.472,0.000,64.700,34.827
Colo_rep6_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.463,0.000,64.014,35.522
Colo_rep9_Dep6_Tu30,0.000,0.000,0.000,0.000,0.000,27.327,0.000,0.000,0.000,0.000,0.684,0.000,34.248,37.740
Colo_rep9_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.785,0.000,67.470,31.745
Colo_rep6_Dep6_Tu20,0.000,0.000,0.000,0.000,0.000,18.084,0.000,0.000,0.000,0.000,0.359,0.000,47.868,33.688
Colo_rep8_Dep6_Tu30,0.000,0.000,0.000,0.000,0.000,29.335,0.000,0.000,0.000,0.000,0.515,0.000,38.117,32.032
Colo_rep3_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,2.093,0.000,0.000,0.000,0.000,0.365,0.000,61.685,35.856
Colo_rep4_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.455,0.000,59.303,40.242
Colo_rep2_Dep6_Tu10,0.000,0.000,0.000,0.000,0.000,7.474,0.000,0.000,0.000,0.000,0.391,0.000,57.150,34.985
Colo_rep3_Dep6_Tu40,0.000,0.000,0.000,0.000,0.000,37.291,0.000,0.000,0.000,0.000,1.011,0.000,27.659,34.039
Colo_rep3_Dep6_Tu30,0.000,0.000,0.000,0.000,0.000,29.906,0.000,0.000,0.000,0.000,0.625,0.000,38.101,31.367
Colo_rep6_Dep6_Tu30,0.000,0.000,0.000,0.000,0.000,27.638,0.000,0.000,0.000,0.000,0.628,0.000,33.389,38.344
Colo_rep4_Dep6_Tu50,0.000,0.000,0.000,0.000,0.000,44.711,0.000,0.000,0.000,0.000,0.716,0.000,20.993,33.579
Colo_rep5_Dep6_Tu50,0.000,0.000,0.000,0.000,0.058,47.501,0.000,0.000,0.000,0.000,1.092,0.000,21.153,30.195
Colo_rep6_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.909,0.000,59.466,39.624
Colo_rep10_Dep6_Tu50,0.000,0.000,0.000,0.000,0.000,44.522,0.000,0.000,0.000,0.000,1.752,0.000,19.857,33.868
Colo_rep7_Dep6_Tu50,0.000,0.000,0.000,0.000,0.000,46.992,0.000,0.000,0.000,0.000,0.836,0.000,21.523,30.649
Colo_rep9_Dep6_Tu40,0.000,0.000,0.000,0.000,0.000,36.498,0.000,0.000,0.000,0.000,0.356,0.000,27.932,35.214
Colo_rep8_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,1.435,0.000,0.000,0.000,0.000,0.752,0.000,57.286,40.527
Colo_rep1_Dep6_Tu20,0.000,0.000,0.000,0.000,0.000,17.196,0.000,0.000,0.000,0.000,0.847,0.000,42.660,39.297
Colo_rep9_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.551,0.000,66.082,33.366
Colo_rep5_Dep6_Tu30,0.000,0.000,0.000,0.000,0.000,28.607,0.000,0.000,0.000,0.000,0.901,0.000,36.644,33.848
