Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Colo_rep2_Dep6_Tu0.5,12.893,0.000,0.782,0.000,0.000,31.709,0.000,27.193,0.000,7.792,0.081,5.958,0.000,1.262,0.000,0.000,0.000,0.000,0.000,0.000,2.262,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.070,0.000,0.000,0.000,0.000,0.000
Colo_rep2_Dep6_Tu50,2.125,14.337,4.413,0.000,0.000,21.637,5.103,0.000,0.000,0.000,0.000,6.844,0.000,4.414,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.682,0.000,0.000,0.000,0.000,4.833,0.000,0.000,0.000,7.662,14.670,0.000,0.000,7.944,3.335,0.000,0.000,0.000,0.000
Colo_rep6_Dep6_Tu1,9.860,0.000,0.000,0.000,0.000,21.820,4.826,34.455,0.000,1.025,0.000,7.910,0.000,1.199,0.000,0.000,0.000,0.000,0.000,0.000,7.319,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.002,0.000,0.000,0.000,0.000,2.585
Colo_rep3_Dep6_Tu2,10.573,0.000,7.434,6.745,0.000,26.356,5.155,15.512,0.000,0.000,0.000,11.449,0.000,1.905,0.000,0.000,0.000,0.000,0.000,0.000,7.765,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.863,0.000,0.000,0.000,0.000,1.243
Colo_rep7_Dep6_Tu2,14.405,0.000,0.000,0.000,0.000,35.377,0.000,27.572,0.000,8.076,0.000,0.000,1.169,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.331,0.000,0.000,0.000,0.000,0.000
Colo_rep8_Dep6_Tu0.1,9.168,0.000,3.936,14.695,0.000,25.219,0.000,14.337,0.000,7.683,0.000,2.413,0.000,1.826,0.000,0.000,0.000,0.719,1.808,0.000,6.787,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.409,0.000,0.000,0.000,0.000,0.000
Colo_rep10_Dep6_Tu2,11.751,0.000,0.000,0.000,0.000,28.238,0.000,27.796,0.000,5.552,3.844,5.404,0.000,2.069,0.000,0.000,0.000,0.000,0.000,0.196,2.746,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.850,0.000,0.000,0.000,0.000,11.554,0.000,0.000,0.000,0.000,0.000
Colo_rep6_Dep6_Tu3,10.407,0.000,0.000,2.513,0.000,45.645,0.000,8.312,0.000,9.716,0.000,0.000,0.324,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.066,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.018,0.000,0.000,0.000,0.000,0.000
Colo_rep9_Dep6_Tu30,14.785,0.000,17.354,0.000,0.000,2.605,0.000,22.622,0.000,0.000,0.000,11.523,0.000,2.784,0.000,0.000,0.000,0.000,0.000,0.000,1.734,1.498,0.000,0.000,0.026,0.000,0.000,0.000,0.000,0.000,7.271,5.688,3.727,0.000,8.382,0.000,0.000,0.000,0.000,0.000
Colo_rep9_Dep6_Tu0.5,10.314,0.000,20.982,0.000,0.000,16.956,0.000,18.024,0.000,1.793,0.942,9.190,0.000,3.786,0.000,0.000,0.000,0.000,0.000,0.000,2.443,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.569,0.000,0.000,0.000,0.000,0.000
