Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Colo_rep2_Dep6_Tu0.5,0.031,0.017,3.794,1.351,4.282,0.828,38.990,3.705,1.036,0.644,0.862,0.130,0.031,0.069,0.072,0.003,0.043,0.017,0.019,0.060,0.001,0.003,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,43.455,0.000,0.000,0.000,0.000,0.542
Colo_rep2_Dep6_Tu50,0.337,1.682,1.344,0.900,0.766,0.077,0.194,0.570,1.171,0.652,0.048,1.073,0.391,0.799,0.560,0.702,0.730,0.371,0.482,0.259,0.340,0.582,0.748,0.002,0.089,0.023,0.091,0.010,0.010,0.117,0.555,5.767,0.366,0.024,2.048,0.000,0.047,0.034,0.209,0.091,75.740
Colo_rep6_Dep6_Tu1,0.026,0.002,1.907,1.238,3.474,5.432,33.475,5.367,0.813,0.272,0.405,0.769,0.004,0.026,0.008,0.008,0.017,0.063,0.003,0.013,0.017,0.006,0.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.002,45.964,0.000,0.000,0.000,0.000,0.612
Colo_rep3_Dep6_Tu2,0.034,0.051,5.499,2.002,0.728,1.847,29.418,6.340,3.352,0.855,0.398,0.633,0.136,0.029,0.098,0.060,0.049,0.060,0.060,0.098,0.002,0.002,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.004,46.223,0.000,0.000,0.000,0.000,1.998
Colo_rep7_Dep6_Tu2,0.003,0.023,4.473,3.121,2.842,0.543,32.046,6.520,1.304,0.734,0.029,0.899,0.022,0.035,0.027,0.073,0.062,0.055,0.041,0.010,0.004,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.002,44.599,0.000,0.000,0.000,0.000,2.521
Colo_rep8_Dep6_Tu0.1,0.006,0.010,2.441,2.600,7.032,7.991,20.799,2.623,5.429,0.627,0.856,0.131,0.015,0.004,0.122,0.075,0.172,0.091,0.042,0.076,0.000,0.003,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,48.773,0.000,0.000,0.000,0.000,0.035
Colo_rep10_Dep6_Tu2,0.158,0.064,2.313,2.100,0.957,4.491,38.589,1.869,1.102,0.020,0.845,0.439,0.030,0.015,0.050,0.021,0.159,0.049,0.043,0.065,0.018,0.009,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.008,43.506,0.000,0.000,0.000,0.000,3.041
Colo_rep6_Dep6_Tu3,0.078,0.082,1.232,3.852,5.101,7.617,9.332,15.558,4.337,0.613,0.560,0.482,0.033,0.034,0.257,0.327,0.304,0.068,0.227,0.175,0.130,0.013,0.590,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.015,45.291,0.000,0.000,0.000,0.000,3.661
Colo_rep9_Dep6_Tu30,3.136,2.272,3.798,2.879,1.445,3.767,2.305,3.425,3.691,0.440,1.384,0.720,0.427,0.347,0.744,0.387,0.051,0.378,0.515,0.449,0.372,0.281,0.174,0.006,0.007,0.166,0.032,0.004,0.000,0.000,0.181,2.487,0.103,0.291,0.852,11.513,0.009,0.055,0.040,0.108,50.758
Colo_rep9_Dep6_Tu0.5,0.011,0.005,3.147,0.883,1.842,1.615,45.223,0.767,0.899,0.293,0.397,0.208,0.000,0.003,0.004,0.024,0.050,0.046,0.002,0.002,0.001,0.001,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,43.875,0.000,0.000,0.000,0.000,0.696
Colo_rep6_Dep6_Tu20,0.645,0.812,4.802,2.910,5.501,2.656,7.763,5.061,2.705,0.856,0.106,0.461,0.169,0.553,0.534,0.059,0.217,0.101,0.268,1.293,0.032,0.216,0.361,0.000,0.011,0.003,0.002,0.000,0.000,0.000,0.249,1.497,0.063,0.906,0.269,24.172,0.002,0.009,0.003,0.006,34.730
Colo_rep8_Dep6_Tu30,0.381,0.844,3.517,2.658,1.791,2.079,8.414,2.722,1.600,1.044,0.682,1.336,0.058,0.352,0.570,0.625,0.810,1.117,0.921,0.233,1.017,0.213,0.024,0.003,0.005,0.135,0.730,0.036,0.000,0.000,0.095,1.380,0.096,0.927,1.945,6.983,0.001,0.053,0.031,0.003,54.568
Colo_rep3_Dep6_Tu5,0.047,0.392,5.676,1.554,7.318,1.405,23.590,3.349,3.920,0.180,0.482,0.675,0.021,0.056,0.162,0.262,0.535,0.011,0.235,0.099,0.023,0.011,0.093,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.034,0.018,40.667,0.000,0.000,0.000,0.000,9.183
Colo_rep4_Dep6_Tu3,0.031,0.009,6.797,2.815,4.241,2.974,22.537,5.140,3.447,0.415,0.811,0.253,0.000,0.003,0.083,0.045,0.072,0.117,0.014,0.070,0.006,0.011,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.014,46.184,0.000,0.000,0.000,0.000,3.906
Colo_rep2_Dep6_Tu10,0.215,0.167,1.173,1.707,1.286,0.789,28.027,7.201,1.820,0.881,0.926,0.415,0.529,0.210,0.048,0.226,0.073,0.095,0.160,0.083,0.135,0.059,0.085,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.005,0.044,0.002,0.509,0.218,31.071,0.000,0.000,0.001,0.001,21.833
Colo_rep3_Dep6_Tu40,0.990,2.044,2.032,1.155,0.706,3.925,1.819,0.258,4.283,0.530,0.786,0.960,0.413,0.208,0.754,1.267,0.289,0.640,0.530,0.588,0.461,0.282,0.053,0.145,0.429,0.567,0.057,0.020,0.000,0.000,0.227,3.332,0.256,1.055,0.547,0.034,0.182,0.055,0.157,0.074,67.892
Colo_rep3_Dep6_Tu30,1.004,2.207,0.205,4.433,1.809,0.687,10.444,0.902,3.842,0.472,1.178,2.016,0.287,0.352,0.561,0.546,0.135,0.932,0.498,0.313,0.087,0.121,0.237,0.149,0.236,0.185,0.468,0.007,0.004,0.000,0.045,1.587,0.024,0.656,1.184,4.264,0.009,0.011,0.001,0.009,57.891
Colo_rep6_Dep6_Tu30,1.544,1.619,0.645,1.613,4.371,1.197,1.644,4.483,7.102,0.490,0.936,1.181,0.322,0.153,1.080,1.309,1.278,0.037,0.426,1.059,0.331,0.112,0.187,0.012,0.067,0.009,0.037,0.000,0.000,0.000,0.092,2.286,0.307,0.936,1.185,8.939,0.001,0.018,0.000,0.006,52.984
Colo_rep4_Dep6_Tu50,1.312,1.268,0.915,0.901,1.935,1.270,0.159,1.141,1.493,0.600,0.466,0.464,0.150,0.084,0.669,0.904,0.998,0.324,0.572,0.784,0.239,0.686,0.042,0.002,0.637,0.039,0.005,0.000,0.073,0.005,0.337,8.718,0.354,0.778,0.513,0.001,0.005,0.168,0.117,1.388,69.482
Colo_rep5_Dep6_Tu50,1.080,1.543,0.359,1.191,2.205,0.143,0.072,1.062,0.450,0.630,0.615,0.858,1.179,0.160,0.770,0.417,0.692,0.014,0.624,0.738,0.156,0.590,0.082,0.001,0.432,0.025,0.019,0.000,0.000,0.000,0.966,6.292,0.270,0.497,2.069,0.000,0.043,0.053,0.090,0.723,72.891
Colo_rep6_Dep6_Tu2,0.112,0.013,3.418,2.144,7.089,7.571,14.922,4.325,6.938,0.307,0.817,0.822,0.021,0.002,0.042,0.133,0.003,0.059,0.040,0.087,0.005,0.006,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,49.665,0.000,0.000,0.000,0.000,1.436
Colo_rep10_Dep6_Tu50,0.513,2.193,0.222,0.887,1.659,0.858,0.139,0.777,1.387,0.593,1.211,1.317,0.355,0.676,0.105,0.061,0.577,0.879,0.126,1.289,0.160,0.175,0.246,0.000,0.064,0.160,0.166,0.001,0.011,0.001,1.629,6.547,0.178,0.186,2.933,0.011,0.113,0.680,0.253,0.383,70.279
Colo_rep7_Dep6_Tu50,0.780,1.571,0.234,0.982,2.160,0.303,0.349,0.411,2.592,0.981,0.596,0.490,0.079,0.128,0.888,0.718,0.916,0.181,0.056,0.463,0.359,0.117,0.743,0.000,0.017,0.066,0.002,0.002,0.002,0.000,0.793,6.349,0.652,0.145,1.010,0.000,0.000,0.037,0.634,0.894,73.297
