Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Colo9345_rep1_Dep6_Tu5,0.000,0.000,11.789,5.666,0.000,15.380,0.000,3.372,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.600,6.266,2.349,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.380,1.368,16.597,0.000,14.283,0.000,0.920,0.000
Colo9345_rep8_Dep6_Tu30,0.000,0.000,13.680,2.208,0.574,4.519,0.000,5.088,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.032,0.000,0.000,0.000,0.005,16.385,10.020,4.895,0.050,0.013,0.000,0.000,0.000,0.304,0.000,0.000,1.374,0.000,0.000,5.793,0.000,26.379,0.959,0.061,0.262,0.000,7.394
Colo9345_rep5_Dep6_Tu1,0.000,0.000,25.256,6.195,0.000,16.329,0.000,1.553,0.000,0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.475,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.484,14.351,5.710,18.252,1.197,4.959,1.102,0.000
Colo9345_rep5_Dep6_Tu20,0.000,0.000,7.255,2.638,0.000,4.342,0.000,1.093,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.413,0.000,0.000,0.000,0.446,15.142,19.001,9.207,0.731,0.582,0.000,0.000,0.000,1.001,0.000,0.084,1.989,0.000,0.000,2.834,0.000,0.000,0.000,0.483,0.000,31.185,1.461
Colo9345_rep7_Dep6_Tu20,0.000,0.000,8.312,4.464,0.000,0.785,0.000,2.477,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.820,0.000,0.000,0.000,0.348,25.444,17.252,7.427,1.380,1.096,0.000,0.000,0.000,0.966,0.000,0.000,2.721,0.000,2.171,7.380,4.883,0.000,0.000,0.368,5.973,5.730,0.000
Colo9345_rep6_Dep6_Tu2,0.000,0.000,24.718,9.030,0.000,6.797,0.000,3.712,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.907,1.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.603,39.190,1.169,7.615,0.000,1.840,0.000,0.415
Colo9345_rep10_Dep6_Tu10,0.000,0.000,22.440,8.324,0.000,13.637,0.000,1.242,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.926,4.154,1.530,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.589,11.008,7.155,6.171,1.193,0.000,0.000,1.628
Colo9345_rep1_Dep6_Tu10,0.000,0.000,13.416,3.079,0.000,7.482,0.000,2.789,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.142,0.000,0.000,0.000,0.000,7.755,13.125,4.627,0.938,0.000,0.000,0.000,0.000,0.450,0.000,0.000,0.728,0.000,4.789,0.790,0.000,0.000,0.000,25.084,0.000,14.804,0.000
Colo9345_rep3_Dep6_Tu30,0.000,0.000,5.980,2.117,0.000,0.919,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.816,0.000,0.000,0.000,0.462,27.044,20.930,9.827,1.183,2.129,0.000,0.000,0.000,1.360,0.000,0.648,2.208,0.000,1.779,0.000,0.000,0.000,0.000,0.000,0.000,22.594,0.000
Colo9345_rep6_Dep6_Tu1,0.000,0.000,31.901,6.600,1.316,9.585,0.000,1.988,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.735,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.339,0.920,22.838,11.192,0.968,8.614,0.000,0.000
