Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Colo9345_rep1_Dep6_Tu5,7.887,0.695,22.927,10.636,0.000,7.041,0.000,8.775,1.315,5.066,2.131,0.000,0.000,2.258,1.077,0.000,4.061,0.000,0.000,0.000,0.439,0.000,1.609,1.325,0.000,0.000,0.000,0.000,4.328,6.706,2.689,2.221,0.404,0.700,0.850,0.000,0.787,0.000,2.845,1.226
Colo9345_rep8_Dep6_Tu30,2.375,3.360,17.475,8.171,0.000,1.773,1.619,10.859,3.614,3.907,2.778,0.000,1.393,0.000,5.292,1.336,0.000,0.000,0.000,0.000,0.070,0.538,0.678,1.252,0.000,0.000,0.000,0.000,5.869,12.309,4.062,2.890,0.285,0.000,1.262,0.000,0.990,0.000,1.981,3.863
Colo9345_rep5_Dep6_Tu1,5.233,5.869,30.730,16.816,0.039,12.758,0.000,0.369,0.000,5.480,2.014,1.888,0.000,3.230,0.283,0.000,0.000,0.000,0.177,0.000,2.916,0.000,0.053,0.000,0.000,0.000,1.117,0.000,0.865,0.775,0.935,1.773,0.000,1.117,1.876,1.593,0.000,0.000,0.421,1.672
Colo9345_rep5_Dep6_Tu20,1.356,0.000,7.393,5.218,0.000,8.837,0.000,0.802,4.467,0.830,4.750,0.000,0.000,0.000,11.683,3.001,0.268,0.490,0.000,0.000,0.000,0.000,0.756,1.155,0.000,0.000,0.000,0.000,8.583,20.527,7.289,3.178,0.513,0.000,0.000,0.000,0.595,0.000,4.448,3.858
Colo9345_rep7_Dep6_Tu20,3.352,0.000,6.271,2.456,0.000,10.389,0.288,4.916,2.104,0.000,3.982,1.377,0.000,0.000,11.443,0.481,2.956,0.000,0.000,0.000,0.000,0.000,0.616,0.905,0.000,0.000,0.000,0.000,8.719,21.262,7.139,2.603,0.510,0.000,0.000,0.000,0.424,0.000,2.956,4.852
Colo9345_rep6_Dep6_Tu2,6.421,4.130,31.092,15.244,0.000,8.347,0.000,4.031,0.000,6.039,2.451,0.000,0.000,2.607,0.000,0.455,1.157,0.000,0.170,0.000,0.000,0.000,2.660,1.092,0.000,0.000,0.000,0.000,1.635,2.241,2.053,1.382,0.000,1.845,0.706,0.600,0.643,0.000,0.797,2.204
Colo9345_rep10_Dep6_Tu10,6.528,3.354,27.881,13.204,2.733,9.168,0.000,3.788,0.000,3.844,4.042,0.000,0.000,2.590,0.000,0.960,1.235,0.000,0.000,0.000,1.977,0.000,0.447,1.023,0.000,0.000,0.000,0.000,2.950,3.664,1.201,2.129,0.000,0.973,1.313,0.150,0.696,0.000,2.147,2.003
Colo9345_rep1_Dep6_Tu10,5.022,0.000,16.529,12.271,0.000,7.467,0.000,4.574,0.000,3.236,3.873,0.000,0.000,0.337,7.018,0.000,0.000,0.613,0.000,2.043,0.000,0.000,1.676,1.094,0.000,0.000,0.000,0.000,4.931,13.843,5.152,2.159,0.933,0.000,0.112,0.000,0.844,0.000,3.400,2.872
Colo9345_rep3_Dep6_Tu30,0.667,0.000,7.063,1.337,0.000,7.001,0.335,0.000,2.668,0.000,4.072,0.000,0.000,0.000,16.996,0.000,1.267,0.000,0.000,0.000,0.000,0.000,0.036,0.701,0.000,0.000,0.000,0.000,10.455,25.969,9.490,2.172,0.368,0.000,0.000,0.000,0.372,0.000,4.415,4.616
Colo9345_rep6_Dep6_Tu1,3.405,9.115,30.513,13.819,5.238,10.092,0.000,2.377,0.142,5.354,0.000,2.418,0.000,3.460,0.000,0.000,0.000,0.000,0.000,0.000,2.361,0.000,0.000,0.074,0.000,0.000,0.673,0.000,0.000,1.664,0.933,1.563,0.000,1.086,1.598,1.278,0.000,0.000,1.871,0.968
Colo9345_rep2_Dep6_Tu10,5.558,1.139,14.834,9.322,3.153,8.414,0.000,5.229,0.000,0.325,5.185,0.000,0.429,0.000,7.975,1.366,0.000,0.000,0.000,0.000,0.000,0.000,1.707,1.227,0.000,0.000,0.000,0.000,6.676,12.995,4.367,2.103,0.460,0.000,0.598,0.000,0.856,0.000,3.188,2.895
Colo9345_rep6_Dep6_Tu5,6.304,1.969,24.714,11.620,3.574,2.431,0.000,9.164,0.000,3.608,4.284,0.000,0.000,2.092,2.289,2.669,0.090,0.000,0.000,0.000,0.466,0.000,1.568,1.247,0.000,0.000,0.000,0.000,4.455,6.282,3.655,1.172,0.164,0.583,0.480,0.000,0.679,0.000,1.680,2.760
Colo9345_rep5_Dep6_Tu10,7.046,0.205,22.639,7.353,0.000,6.478,0.634,2.284,0.734,2.359,3.466,1.127,0.000,0.810,7.559,0.000,1.173,0.000,0.000,0.000,0.000,0.000,1.313,0.944,0.000,0.000,0.000,0.000,6.101,13.064,3.661,3.218,0.898,0.248,0.000,0.000,0.918,0.000,1.720,4.049
Colo9345_rep5_Dep6_Tu40,0.000,0.000,0.000,0.000,0.000,2.346,0.405,4.193,5.488,0.000,2.777,0.000,0.000,0.000,19.966,0.458,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.722,0.000,0.000,0.000,0.000,11.199,29.972,10.844,2.444,0.378,0.000,0.000,0.000,0.000,0.000,3.502,5.307
Colo9345_rep1_Dep6_Tu0.1,5.254,7.503,31.131,12.172,7.000,11.806,0.000,2.999,0.000,3.888,3.295,0.000,0.000,3.512,0.000,0.000,0.000,0.000,0.000,0.000,2.612,0.000,0.000,0.000,0.000,0.690,0.788,0.000,0.000,0.000,1.407,0.347,0.000,1.634,1.318,0.882,0.148,0.000,1.202,0.414
Colo9345_rep3_Dep6_Tu10,2.300,2.384,17.952,10.837,0.162,5.395,2.205,5.161,0.000,3.245,3.364,0.000,0.321,0.278,9.504,0.000,0.329,0.523,0.000,0.000,0.000,0.000,1.979,1.481,0.000,0.000,0.000,0.000,5.123,13.223,5.067,2.178,1.397,0.000,0.000,0.000,0.998,0.000,0.432,4.160
Colo9345_rep4_Dep6_Tu2,5.913,2.857,28.071,11.593,0.000,9.923,0.000,7.819,1.477,6.193,0.915,0.971,0.000,3.040,0.000,0.000,0.000,0.238,0.000,1.899,0.265,0.000,2.373,0.982,0.000,0.000,0.000,0.000,2.182,2.764,1.672,1.969,0.000,0.843,1.842,1.138,0.000,0.000,1.689,1.371
Colo9345_rep2_Dep6_Tu20,1.835,0.000,11.117,2.692,0.000,10.028,0.000,0.379,2.584,2.399,3.049,0.000,0.000,0.000,13.647,0.000,2.089,0.000,0.000,0.000,0.000,0.000,0.557,1.156,0.000,0.000,0.000,0.000,8.960,20.780,7.301,2.660,0.547,0.000,0.000,0.000,0.616,0.000,3.420,4.184
Colo9345_rep3_Dep6_Tu50,0.000,0.000,0.000,0.000,0.000,0.483,1.429,2.259,3.747,0.000,2.322,0.000,0.000,0.000,20.776,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.416,0.000,0.000,0.000,0.000,12.454,32.435,11.810,2.028,0.063,0.000,0.000,0.000,0.000,0.000,3.663,6.114
