Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Colo9345_rep1_Dep6_Tu5,0.000,23.620,12.290,0.093,26.017,0.000,0.016,0.425,0.211,0.113,3.595,0.052,33.567
Colo9345_rep8_Dep6_Tu30,0.000,16.416,30.845,0.165,23.262,0.008,0.020,0.726,0.043,0.173,2.521,0.068,25.755
Colo9345_rep5_Dep6_Tu1,0.000,8.148,0.137,0.000,39.462,0.000,0.007,1.142,0.348,0.018,4.680,0.009,46.049
Colo9345_rep5_Dep6_Tu20,0.001,25.659,53.110,0.811,4.704,0.457,0.073,0.723,0.594,0.206,2.352,0.053,11.256
Colo9345_rep7_Dep6_Tu20,0.001,23.845,54.487,0.671,5.991,0.181,0.063,1.271,0.543,0.145,1.172,0.065,11.565
Colo9345_rep6_Dep6_Tu2,0.000,20.504,0.909,0.003,30.642,0.000,0.005,1.313,0.044,0.020,3.937,0.019,42.603
Colo9345_rep10_Dep6_Tu10,0.000,24.156,0.858,0.015,31.142,0.000,0.004,0.631,0.278,0.003,3.843,0.017,39.052
Colo9345_rep1_Dep6_Tu10,0.000,40.350,24.144,0.285,11.332,0.021,0.029,0.309,0.357,0.074,2.000,0.010,21.090
Colo9345_rep3_Dep6_Tu30,0.001,17.367,72.043,1.106,0.831,0.400,0.074,1.224,0.378,0.200,1.684,0.036,4.656
Colo9345_rep6_Dep6_Tu1,0.000,6.344,0.001,0.000,40.383,0.000,0.002,1.443,0.163,0.011,4.208,0.007,47.438
Colo9345_rep2_Dep6_Tu10,0.001,24.205,31.077,0.158,17.453,0.007,0.037,0.177,0.325,0.265,2.651,0.022,23.621
Colo9345_rep6_Dep6_Tu5,0.000,25.567,11.205,0.065,24.574,0.000,0.018,0.205,0.760,0.134,2.547,0.046,34.877
Colo9345_rep5_Dep6_Tu10,0.000,23.062,30.545,0.216,18.056,0.004,0.025,1.039,0.478,0.101,3.029,0.050,23.394
Colo9345_rep5_Dep6_Tu40,0.002,8.504,84.304,2.022,0.052,0.661,0.173,2.479,0.368,0.025,1.296,0.074,0.041
Colo9345_rep1_Dep6_Tu0.1,0.000,0.000,0.000,0.000,42.575,0.000,0.002,0.980,0.141,0.009,5.121,0.024,51.148
Colo9345_rep3_Dep6_Tu10,0.000,3.821,38.968,0.274,23.089,0.002,0.066,2.355,0.306,0.079,3.768,0.108,27.163
Colo9345_rep4_Dep6_Tu2,0.000,17.074,1.020,0.002,34.206,0.000,0.013,0.099,0.754,0.012,4.478,0.021,42.321
Colo9345_rep2_Dep6_Tu20,0.002,24.763,54.242,1.037,4.971,0.146,0.061,0.445,0.720,0.156,2.155,0.030,11.273
Colo9345_rep3_Dep6_Tu50,0.001,2.289,93.594,2.546,0.000,0.451,0.041,0.148,0.783,0.026,0.110,0.007,0.005
Colo9345_rep6_Dep6_Tu0.1,0.000,0.002,0.000,0.000,41.102,0.000,0.005,0.940,0.491,0.022,5.909,0.026,51.503
Colo9345_rep3_Dep6_Tu40,0.001,11.275,83.161,2.164,0.010,0.585,0.075,0.330,0.997,0.132,0.600,0.116,0.555
Colo9345_rep6_Dep6_Tu3,0.000,22.092,3.110,0.032,31.026,0.000,0.016,0.971,0.202,0.090,3.428,0.046,38.986
Colo9345_rep9_Dep6_Tu50,0.000,27.942,51.052,0.723,5.724,0.066,0.024,0.120,0.424,0.160,1.523,0.017,12.224
Colo9345_rep1_Dep6_Tu3,0.000,26.969,1.991,0.015,28.739,0.000,0.004,0.712,0.369,0.018,3.990,0.016,37.176
Colo9345_rep6_Dep6_Tu30,0.001,24.764,67.802,1.107,0.495,0.504,0.044,1.089,0.802,0.107,2.225,0.079,0.980
Colo9345_rep1_Dep6_Tu20,0.002,41.797,46.150,0.935,0.561,0.152,0.013,0.442,0.016,0.129,1.029,0.029,8.746
Colo9345_rep4_Dep6_Tu0.5,0.000,3.110,0.000,0.000,40.332,0.000,0.009,1.342,0.737,0.007,4.745,0.017,49.703
Colo9345_rep9_Dep6_Tu10,0.000,24.479,1.178,0.046,30.229,0.000,0.005,0.267,0.062,0.036,4.114,0.053,39.530
Colo9345_rep3_Dep6_Tu1,0.000,8.103,0.001,0.000,38.663,0.000,0.003,0.578,0.377,0.019,5.333,0.034,46.890
Colo9345_rep7_Dep6_Tu0.1,0.000,0.002,0.000,0.000,42.206,0.000,0.000,1.144,0.193,0.003,4.558,0.005,51.890
Colo9345_rep4_Dep6_Tu20,0.002,34.869,49.070,1.312,1.585,0.160,0.015,0.600,0.221,0.151,1.334,0.057,10.625
Colo9345_rep7_Dep6_Tu5,0.000,27.571,10.561,0.095,24.372,0.000,0.030,0.959,0.334,0.126,2.067,0.042,33.844
