Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Colo9345_rep1_Dep6_Tu5,0.000,0.000,0.000,11.858,0.000,2.389,0.000,0.000,0.000,0.000,0.000,0.000,37.387,2.442,0.000,12.430,0.000,0.000,12.913,1.617,0.000,1.943,17.021
Colo9345_rep8_Dep6_Tu30,0.000,0.462,0.165,21.778,0.000,5.558,0.000,0.000,0.000,0.000,0.000,0.000,27.871,7.912,0.000,1.740,0.000,0.000,11.283,0.367,0.000,14.825,8.039
Colo9345_rep5_Dep6_Tu1,0.000,0.000,0.000,0.172,0.000,0.000,0.000,0.000,0.000,0.000,0.227,0.000,48.570,0.000,0.000,0.848,12.173,0.769,0.000,8.366,0.000,13.187,15.687
Colo9345_rep5_Dep6_Tu20,0.354,1.809,0.662,33.492,0.000,8.914,0.000,0.000,0.000,0.000,0.000,0.000,15.403,3.436,0.000,0.014,0.000,31.007,0.000,2.458,0.566,0.000,1.884
Colo9345_rep7_Dep6_Tu20,0.670,2.378,0.667,34.588,0.039,9.446,0.000,0.000,0.000,0.000,0.000,0.000,18.529,22.735,0.000,0.000,0.000,9.778,0.055,1.114,0.000,0.000,0.000
Colo9345_rep6_Dep6_Tu2,0.000,0.000,0.000,2.213,0.000,0.000,0.000,0.000,0.000,0.000,0.098,0.000,46.802,2.992,0.000,3.403,17.485,0.000,6.035,19.431,0.000,0.000,1.539
Colo9345_rep10_Dep6_Tu10,0.000,0.000,0.000,6.897,0.000,1.466,0.000,0.000,0.000,0.000,0.105,0.000,45.662,0.000,0.000,1.123,4.238,0.000,2.529,5.910,3.215,4.793,24.061
Colo9345_rep1_Dep6_Tu10,0.000,0.622,0.429,23.309,0.000,5.439,0.000,0.000,0.000,0.000,0.000,0.000,25.127,10.191,0.000,0.000,3.598,0.000,2.165,25.785,0.314,0.000,3.021
Colo9345_rep3_Dep6_Tu30,0.944,3.362,1.039,42.620,0.924,11.623,0.000,0.000,0.000,0.000,0.000,0.000,8.251,28.537,0.000,0.285,0.000,0.000,2.281,0.000,0.000,0.000,0.132
Colo9345_rep6_Dep6_Tu1,0.000,0.000,0.000,0.138,0.000,0.000,0.000,0.000,0.000,0.000,0.104,0.000,54.674,1.071,0.000,7.099,5.473,0.000,0.000,0.739,0.000,0.000,30.701
Colo9345_rep2_Dep6_Tu10,0.000,0.465,0.334,22.132,0.000,5.380,0.000,0.000,0.000,0.000,0.000,0.000,27.942,18.955,0.000,5.725,0.000,0.000,1.146,0.000,0.000,2.393,15.529
Colo9345_rep6_Dep6_Tu5,0.000,0.000,0.000,11.126,0.000,3.132,0.000,0.000,0.000,0.000,0.000,0.000,40.264,3.545,0.000,0.000,0.086,0.000,32.948,1.613,0.286,0.000,6.999
Colo9345_rep5_Dep6_Tu10,0.000,0.357,0.377,21.494,0.000,4.812,0.000,0.000,0.000,0.000,0.000,0.000,31.981,22.601,0.000,13.165,0.000,0.000,1.504,0.000,0.000,0.000,3.708
Colo9345_rep5_Dep6_Tu40,1.715,3.999,1.094,49.054,1.145,13.169,0.000,0.000,0.000,0.000,0.000,0.000,4.032,5.088,0.000,0.000,0.000,20.702,0.000,0.000,0.000,0.000,0.000
Colo9345_rep1_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.236,0.000,53.181,0.202,0.000,2.369,0.922,0.000,0.000,0.000,16.775,2.127,24.187
Colo9345_rep3_Dep6_Tu10,0.044,0.000,0.344,22.356,0.000,4.908,0.000,0.000,0.000,0.000,0.000,0.000,28.441,2.638,0.000,2.654,0.293,4.828,29.912,0.000,0.000,0.000,3.581
Colo9345_rep4_Dep6_Tu2,0.000,0.000,0.000,3.876,0.000,0.000,0.000,0.000,0.000,0.000,0.083,0.000,53.118,0.504,0.000,8.235,21.813,0.010,4.523,3.908,0.000,0.000,3.926
Colo9345_rep2_Dep6_Tu20,1.165,3.260,0.588,38.426,0.000,8.620,0.000,0.000,0.000,0.000,0.000,0.000,15.637,7.554,0.000,0.765,0.000,8.560,0.000,0.000,0.000,3.827,11.598
Colo9345_rep3_Dep6_Tu50,2.628,6.214,1.384,53.610,3.211,14.784,0.000,0.000,0.000,0.000,0.000,0.000,1.950,8.536,0.000,0.000,0.000,7.681,0.000,0.000,0.000,0.000,0.000
Colo9345_rep6_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.256,0.000,55.442,0.000,0.000,1.397,0.409,0.000,0.000,5.154,0.000,3.531,33.809
Colo9345_rep3_Dep6_Tu40,2.036,4.197,1.377,49.288,1.998,13.411,0.000,0.000,0.000,0.000,0.000,0.000,4.676,18.398,0.000,0.000,0.000,4.620,0.000,0.000,0.000,0.000,0.000
Colo9345_rep6_Dep6_Tu3,0.000,0.000,0.000,4.573,0.000,2.092,0.000,0.000,0.000,0.000,0.000,0.000,44.713,1.900,0.000,0.000,0.501,0.000,28.490,1.830,0.000,5.467,10.432
Colo9345_rep9_Dep6_Tu50,0.220,1.471,0.541,32.334,0.000,7.840,0.000,0.000,0.000,0.000,0.000,0.000,13.681,5.317,0.000,37.606,0.000,0.000,0.246,0.000,0.000,0.000,0.744
Colo9345_rep1_Dep6_Tu3,0.000,0.000,0.000,6.728,0.000,1.474,0.000,0.000,0.000,0.000,0.118,0.000,40.223,0.000,0.000,0.000,2.264,0.000,20.158,0.512,9.801,0.000,18.721
Colo9345_rep6_Dep6_Tu30,1.269,2.733,0.991,42.926,0.560,11.579,0.000,0.000,0.000,0.000,0.000,0.000,7.917,26.429,0.000,0.000,0.000,0.000,5.595,0.000,0.000,0.000,0.000
Colo9345_rep1_Dep6_Tu20,0.562,2.430,0.746,33.050,0.000,8.574,0.000,0.000,0.000,0.000,0.000,0.000,16.735,27.446,0.000,0.000,0.000,10.332,0.000,0.000,0.000,0.000,0.124
Colo9345_rep4_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.261,0.000,48.844,0.499,0.000,0.000,13.697,0.000,3.400,24.911,0.000,2.770,5.616
Colo9345_rep9_Dep6_Tu10,0.000,0.000,0.000,5.692,0.000,0.000,0.000,0.000,0.000,0.000,0.260,0.000,47.603,4.952,0.000,3.819,29.082,1.529,0.000,0.000,0.000,2.325,4.736
Colo9345_rep3_Dep6_Tu1,0.000,0.000,0.000,0.145,0.000,0.000,0.000,0.000,0.000,0.000,0.430,0.000,51.916,0.000,0.000,0.000,21.307,0.000,0.000,6.100,6.456,4.226,9.418
