Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Colo9345_rep1_Dep6_Tu5,0.488,5.102,1.148,0.758,4.456,1.102,3.053,1.129,2.065,5.518,6.891,1.567,14.201,11.861,1.479,1.867,1.346,9.447,1.714,10.249,8.125,1.308,5.129
Colo9345_rep8_Dep6_Tu30,0.653,0.018,3.856,0.442,7.561,2.455,1.694,2.316,3.016,4.949,1.830,1.074,7.728,3.773,8.995,1.330,5.366,18.424,3.982,5.363,9.320,4.594,1.261
Colo9345_rep5_Dep6_Tu1,0.205,2.438,0.439,0.034,9.014,0.400,1.881,0.385,2.794,8.778,12.996,3.033,11.604,18.545,2.066,0.165,0.537,21.331,0.891,0.814,1.016,0.488,0.147
Colo9345_rep5_Dep6_Tu20,3.477,2.236,3.216,10.371,3.062,2.938,2.335,2.016,3.137,2.982,3.501,0.584,3.751,3.445,7.181,0.520,3.982,4.068,10.532,8.353,3.805,13.886,0.621
Colo9345_rep7_Dep6_Tu20,3.565,6.227,2.271,6.142,4.654,3.475,1.239,1.907,0.415,3.206,3.287,2.497,2.210,3.382,7.004,0.918,6.385,4.364,11.634,5.916,7.469,2.223,9.608
Colo9345_rep6_Dep6_Tu2,0.638,2.415,0.240,0.136,9.498,0.968,1.994,3.958,3.226,1.772,13.450,2.655,5.673,31.045,2.239,0.467,0.023,9.824,0.608,6.545,1.156,0.600,0.870
Colo9345_rep10_Dep6_Tu10,0.701,1.637,1.604,0.079,3.885,1.585,1.701,1.066,2.113,7.750,9.724,2.522,17.121,11.716,1.069,1.483,0.232,12.868,0.544,11.317,7.001,0.611,1.668
Colo9345_rep1_Dep6_Tu10,0.071,1.634,4.247,0.051,4.779,3.893,5.426,1.084,3.461,3.745,2.402,3.108,7.969,10.527,6.192,1.317,4.408,0.187,5.577,9.155,11.428,3.413,5.926
Colo9345_rep3_Dep6_Tu30,5.991,1.222,3.617,4.161,0.267,3.874,1.002,2.857,0.505,1.385,3.724,1.634,1.115,0.910,3.805,6.228,9.280,3.178,7.084,3.569,9.709,12.911,11.972
Colo9345_rep6_Dep6_Tu1,0.051,1.139,0.236,0.035,7.013,0.449,2.368,0.967,1.036,5.841,8.092,2.146,30.892,2.454,1.690,0.081,0.086,31.294,0.038,1.369,2.682,0.006,0.035
Colo9345_rep2_Dep6_Tu10,2.066,0.784,2.529,1.415,4.492,3.792,1.612,0.630,1.932,6.343,2.762,2.005,7.086,11.526,0.763,0.090,3.063,7.187,5.991,10.593,11.685,3.951,7.705
Colo9345_rep6_Dep6_Tu5,1.058,2.416,0.717,3.369,6.417,2.397,3.015,2.309,0.086,6.377,2.325,1.371,7.308,18.713,2.663,0.505,6.204,12.821,2.279,9.822,6.407,0.312,1.108
Colo9345_rep5_Dep6_Tu10,1.629,6.177,2.702,1.511,2.043,0.606,1.683,2.213,1.892,5.729,8.392,1.141,8.048,4.321,0.108,4.498,2.523,8.025,1.990,5.642,19.569,4.853,4.705
Colo9345_rep5_Dep6_Tu40,4.469,3.886,0.992,14.226,0.198,2.490,1.616,2.272,1.423,1.682,1.134,0.590,0.179,0.061,7.181,14.001,6.840,0.972,7.753,0.597,5.967,20.716,0.755
Colo9345_rep1_Dep6_Tu0.1,0.025,0.504,0.216,0.001,5.469,0.196,1.265,1.472,1.765,5.981,9.228,1.481,29.594,12.295,0.008,0.009,0.002,27.571,0.007,2.847,0.056,0.002,0.005
