Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Colo9345_rep1_Dep6_Tu5,8.157,0.000,0.000,10.606,7.798,2.182,2.880,0.000,0.040,15.050,9.956,0.509,42.822
Colo9345_rep8_Dep6_Tu30,7.532,0.000,2.967,16.291,8.262,8.429,1.786,0.000,0.000,9.946,7.361,0.000,37.426
Colo9345_rep5_Dep6_Tu1,0.883,0.000,1.154,3.453,5.816,1.148,3.813,0.000,1.770,14.250,13.880,2.727,51.106
Colo9345_rep5_Dep6_Tu20,12.800,0.000,6.767,32.274,3.962,8.555,0.038,0.000,0.035,6.846,7.190,0.000,21.534
Colo9345_rep7_Dep6_Tu20,16.797,0.000,1.266,32.890,3.796,7.556,0.000,0.000,0.000,11.200,3.222,0.000,23.273
Colo9345_rep6_Dep6_Tu2,8.497,0.000,0.000,2.843,0.636,0.958,1.524,0.000,5.302,11.576,10.606,2.047,56.011
Colo9345_rep10_Dep6_Tu10,3.324,0.000,3.340,7.592,4.691,1.272,1.146,0.000,1.029,12.306,9.070,1.634,54.596
Colo9345_rep1_Dep6_Tu10,9.891,1.272,0.000,24.038,2.599,5.563,4.466,0.000,0.000,12.476,5.680,0.000,34.016
Colo9345_rep3_Dep6_Tu30,22.317,1.724,2.582,38.864,0.295,5.827,0.000,0.000,0.000,10.123,2.901,0.000,15.367
Colo9345_rep6_Dep6_Tu1,0.000,0.000,0.000,0.028,11.830,0.000,4.636,0.000,0.000,12.579,8.966,0.768,61.193
Colo9345_rep2_Dep6_Tu10,4.344,0.000,0.852,20.397,13.386,8.433,0.000,0.000,0.000,11.970,9.201,0.000,31.416
Colo9345_rep6_Dep6_Tu5,5.522,0.000,1.844,12.807,2.984,1.839,2.267,0.000,0.000,16.542,5.251,0.000,50.943
Colo9345_rep5_Dep6_Tu10,10.647,2.808,1.759,24.666,0.524,0.000,0.461,0.000,0.000,15.405,8.842,0.000,34.888
