Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Colo9345_rep1_Dep6_Tu5,0.158,0.085,3.171,2.827,0.695,1.020,11.480,7.194,4.643,0.155,0.805,0.967,0.011,0.009,0.001,0.312,0.452,0.013,0.073,0.439,0.009,0.001,0.084,0.000,0.001,0.001,0.000,0.000,0.016,0.483,0.000,0.000,0.019,39.512,0.094,22.660,0.019,2.590,0.000,0.000
Colo9345_rep8_Dep6_Tu30,0.087,0.024,4.879,4.284,1.563,0.964,7.929,1.535,2.414,0.386,0.202,0.807,0.032,0.035,0.006,0.044,0.079,0.233,0.000,0.075,0.065,0.048,0.060,0.001,0.005,0.003,0.002,0.011,0.070,0.916,0.005,0.000,0.174,31.625,0.369,35.276,0.051,5.292,0.307,0.144
Colo9345_rep5_Dep6_Tu1,0.182,0.045,3.303,1.299,1.733,2.920,20.146,5.893,4.819,1.044,0.024,0.817,0.012,0.007,0.062,0.298,0.167,0.067,0.117,0.051,0.003,0.016,0.033,0.000,0.003,0.000,0.000,0.000,0.003,0.003,0.000,0.000,0.196,53.062,0.022,3.293,0.331,0.014,0.013,0.001
Colo9345_rep5_Dep6_Tu20,0.946,0.248,2.873,0.610,2.113,4.525,2.283,1.420,2.364,0.126,1.293,1.589,0.254,0.092,0.288,0.077,0.467,0.028,0.221,0.051,0.146,0.001,0.063,0.008,0.016,0.006,0.009,0.018,0.143,3.768,0.654,0.217,0.343,6.040,1.373,55.293,0.196,8.680,0.614,0.545
Colo9345_rep7_Dep6_Tu20,0.252,0.369,1.462,1.490,2.660,1.706,2.801,0.674,2.015,0.283,0.329,0.122,0.002,0.017,0.392,0.097,0.128,0.093,0.126,0.234,0.098,0.073,0.109,0.027,0.060,0.008,0.005,0.012,0.073,3.254,0.033,0.084,0.551,14.356,0.104,56.479,2.405,6.081,0.196,0.741
Colo9345_rep6_Dep6_Tu2,0.155,0.189,0.190,3.138,0.689,3.079,26.165,5.458,2.370,0.778,0.725,0.588,0.001,0.039,0.139,0.179,0.117,0.047,0.030,0.116,0.008,0.086,0.050,0.000,0.004,0.000,0.000,0.000,0.076,0.321,0.000,0.001,0.026,45.564,0.179,9.384,0.003,0.086,0.018,0.002
Colo9345_rep10_Dep6_Tu10,0.149,0.090,2.441,2.424,3.390,1.411,13.559,8.016,5.933,0.777,0.437,1.674,0.099,0.123,0.026,0.226,0.225,0.344,0.096,0.250,0.030,0.010,0.072,0.000,0.001,0.000,0.000,0.000,0.002,0.916,0.000,0.000,0.044,45.214,0.029,11.578,0.000,0.400,0.005,0.006
Colo9345_rep1_Dep6_Tu10,0.141,0.152,5.132,4.056,2.036,2.342,7.693,2.380,0.316,0.442,0.529,0.725,0.053,0.005,0.163,0.340,0.545,0.462,0.067,0.153,0.066,0.005,0.079,0.001,0.023,0.003,0.001,0.001,0.216,2.085,0.002,0.013,0.326,25.546,1.078,37.461,0.096,3.243,1.704,0.318
Colo9345_rep3_Dep6_Tu30,0.201,0.240,1.476,1.679,1.906,0.436,0.024,1.365,0.850,0.517,0.410,0.061,0.056,0.022,0.206,0.044,0.080,0.303,0.049,0.146,0.005,0.026,0.033,0.005,0.118,0.011,0.000,0.010,0.480,3.768,0.659,0.181,0.506,3.714,0.668,67.850,6.242,4.749,0.349,0.553
Colo9345_rep6_Dep6_Tu1,0.019,0.033,2.769,3.990,3.448,0.959,21.860,6.696,2.293,0.069,0.724,0.412,0.015,0.009,0.101,0.084,0.059,0.041,0.045,0.043,0.021,0.028,0.066,0.000,0.000,0.000,0.000,0.000,0.000,0.386,0.000,0.000,0.055,52.533,0.019,3.017,0.020,0.109,0.058,0.019
Colo9345_rep2_Dep6_Tu10,0.080,0.119,0.083,1.875,4.337,4.545,9.165,3.691,0.085,0.104,0.643,0.409,0.071,0.009,0.074,0.053,0.009,0.084,0.054,0.029,0.017,0.027,0.026,0.013,0.005,0.004,0.005,0.002,0.036,1.194,0.001,0.002,0.227,27.082,0.249,38.237,0.002,7.262,0.031,0.057
Colo9345_rep6_Dep6_Tu5,0.143,0.100,6.796,0.086,1.759,1.136,14.593,6.300,1.936,0.617,0.793,0.200,0.005,0.104,0.008,0.139,0.088,0.179,0.142,0.062,0.009,0.007,0.070,0.001,0.002,0.000,0.000,0.000,0.142,0.811,0.000,0.001,0.016,40.033,0.269,21.680,0.010,1.763,0.001,0.000
Colo9345_rep5_Dep6_Tu10,0.348,0.350,3.400,0.872,0.840,1.414,9.185,5.922,2.641,0.611,0.907,0.945,0.002,0.051,0.251,0.028,0.018,0.333,0.056,0.052,0.022,0.098,0.049,0.010,0.033,0.136,0.055,0.007,0.049,1.293,0.002,0.029,0.162,25.686,0.506,37.725,0.192,3.708,1.459,0.554
Colo9345_rep5_Dep6_Tu40,0.146,0.202,0.358,0.357,0.872,0.323,0.349,0.034,1.120,0.172,0.061,0.142,0.015,0.005,0.083,0.003,0.120,0.181,0.084,0.085,0.023,0.069,0.099,0.022,0.037,0.011,0.015,0.020,0.096,6.835,1.102,0.062,0.052,0.023,0.070,70.766,11.674,3.356,0.016,0.941
Colo9345_rep1_Dep6_Tu0.1,0.046,0.063,6.447,2.870,4.552,2.447,22.311,4.710,1.922,0.724,0.912,0.561,0.010,0.070,0.012,0.094,0.113,0.186,0.012,0.039,0.014,0.016,0.048,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,51.820,0.000,0.000,0.000,0.000,0.000,0.000
Colo9345_rep3_Dep6_Tu10,0.064,0.058,7.318,0.440,0.156,0.040,9.799,4.251,1.781,0.605,0.498,0.401,0.061,0.167,0.086,0.090,0.140,0.105,0.041,0.015,0.094,0.136,0.004,0.086,0.126,0.071,0.066,0.047,0.106,1.742,0.001,0.013,0.439,28.022,1.278,37.144,1.646,2.040,0.086,0.738
Colo9345_rep4_Dep6_Tu2,0.044,0.046,0.557,1.836,1.080,5.650,21.260,6.072,1.494,0.651,0.513,0.919,0.010,0.005,0.115,0.054,0.014,0.100,0.091,0.223,0.011,0.026,0.063,0.044,0.033,0.001,0.001,0.000,0.157,0.016,0.000,0.000,0.126,49.318,0.191,8.824,0.114,0.023,0.297,0.021
Colo9345_rep2_Dep6_Tu20,0.077,0.028,4.000,1.417,0.892,3.022,4.414,2.035,0.313,0.183,1.022,0.054,0.090,0.002,0.096,0.130,0.090,0.048,0.081,0.055,0.135,0.001,0.170,0.008,0.026,0.010,0.019,0.011,0.127,3.770,0.033,0.150,0.103,7.817,0.648,56.840,0.007,11.505,0.098,0.473
Colo9345_rep3_Dep6_Tu50,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.003,0.037,7.723,1.428,0.047,0.002,0.000,0.000,73.929,16.227,0.306,0.002,0.290
Colo9345_rep6_Dep6_Tu0.1,0.071,0.088,1.955,6.195,3.233,3.189,22.816,4.772,2.559,0.857,0.868,0.749,0.006,0.004,0.217,0.052,0.187,0.196,0.094,0.383,0.000,0.005,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,51.443,0.003,0.000,0.000,0.000,0.000,0.000
Colo9345_rep3_Dep6_Tu40,0.003,0.015,0.574,0.234,0.577,0.662,0.053,0.837,0.226,0.096,0.079,0.074,0.044,0.011,0.020,0.028,0.026,0.036,0.051,0.030,0.033,0.000,0.020,0.057,0.114,0.023,0.020,0.010,0.370,6.092,1.216,0.321,0.239,0.063,0.071,71.428,13.697,0.438,0.138,1.971
Colo9345_rep6_Dep6_Tu3,0.031,0.147,4.210,2.815,1.961,3.499,14.750,5.168,2.987,0.453,1.054,0.097,0.027,0.043,0.017,0.314,0.478,0.055,0.141,0.438,0.080,0.062,0.062,0.139,0.000,0.002,0.013,0.002,0.024,0.672,0.000,0.001,0.095,46.563,0.520,12.684,0.001,0.375,0.016,0.003
Colo9345_rep9_Dep6_Tu50,0.453,0.224,4.080,0.109,2.050,3.998,0.391,2.023,1.015,0.147,0.111,0.664,0.027,0.006,0.126,0.152,0.046,0.037,0.033,0.046,0.150,0.095,0.186,0.003,0.000,0.005,0.015,0.001,0.154,3.553,0.014,0.008,0.288,15.866,0.512,56.611,0.570,6.205,0.014,0.013
Colo9345_rep1_Dep6_Tu3,0.055,0.069,6.292,2.328,1.811,2.220,20.403,2.124,0.751,1.552,0.856,0.601,0.045,0.064,0.405,0.171,0.086,0.459,0.151,0.207,0.024,0.069,0.033,0.026,0.048,0.010,0.010,0.004,0.009,0.089,0.000,0.000,0.369,43.258,0.130,14.499,0.000,0.767,0.002,0.001
Colo9345_rep6_Dep6_Tu30,0.459,0.128,1.061,0.902,1.215,0.839,2.291,0.497,1.646,0.632,0.061,0.653,0.118,0.044,0.128,0.089,0.073,0.496,0.475,0.465,0.042,0.138,0.050,0.050,0.056,0.046,0.079,0.009,0.302,4.842,0.878,0.408,0.113,2.043,1.128,65.715,8.884,1.217,0.520,1.208
Colo9345_rep1_Dep6_Tu20,0.096,0.193,1.349,3.039,1.199,0.447,5.839,2.263,3.197,0.075,0.467,0.930,0.052,0.143,0.230,0.022,0.288,0.013,0.171,0.051,0.026,0.009,0.010,0.024,0.040,0.000,0.002,0.005,0.112,3.767,0.229,0.108,1.809,5.010,1.698,57.032,0.309,8.365,0.843,0.537
Colo9345_rep4_Dep6_Tu0.5,0.257,0.156,5.107,1.843,0.326,2.972,27.906,0.182,6.018,0.915,0.245,0.944,0.034,0.011,0.017,0.010,0.209,0.030,0.103,0.112,0.009,0.010,0.040,0.029,0.004,0.004,0.000,0.000,0.002,0.001,0.000,0.001,0.036,51.268,0.141,1.052,0.001,0.000,0.003,0.000
Colo9345_rep9_Dep6_Tu10,0.027,0.005,0.064,1.811,3.206,4.812,24.775,3.120,1.009,0.861,0.840,0.606,0.068,0.046,0.065,0.072,0.067,0.152,0.030,0.043,0.026,0.037,0.074,0.000,0.000,0.001,0.001,0.000,0.030,1.063,0.000,0.000,0.047,45.489,0.040,10.922,0.012,0.022,0.549,0.007
Colo9345_rep3_Dep6_Tu1,0.071,0.030,4.827,2.014,2.984,0.307,29.560,2.955,0.057,1.167,0.816,0.223,0.033,0.050,0.097,0.078,0.031,0.038,0.051,0.039,0.011,0.025,0.030,0.000,0.003,0.003,0.019,0.000,0.000,0.000,0.000,0.000,0.309,50.411,0.061,3.693,0.004,0.000,0.001,0.001
Colo9345_rep7_Dep6_Tu0.1,0.044,0.021,6.058,1.550,0.832,6.401,25.321,2.868,2.321,0.563,0.723,0.278,0.003,0.002,0.008,0.020,0.087,0.066,0.010,0.091,0.000,0.001,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,52.724,0.000,0.000,0.000,0.000,0.000,0.000
Colo9345_rep4_Dep6_Tu20,0.157,0.044,2.657,1.590,0.575,3.170,3.125,2.402,1.822,0.375,0.242,0.264,0.120,0.109,0.212,0.225,0.198,0.068,0.251,0.017,0.116,0.017,0.057,0.102,0.022,0.009,0.005,0.003,0.038,4.181,0.061,0.104,0.473,10.197,0.608,55.461,2.042,5.583,0.853,2.445
Colo9345_rep7_Dep6_Tu5,0.266,0.073,2.426,1.861,2.303,2.704,13.761,4.332,4.734,1.415,0.145,0.319,0.163,0.082,0.152,0.397,0.094,0.428,0.095,0.146,0.035,0.035,0.064,0.001,0.005,0.001,0.005,0.000,0.047,0.715,0.000,0.000,0.059,39.063,0.344,22.247,0.082,1.375,0.010,0.017
Colo9345_rep10_Dep6_Tu50,0.381,0.129,3.296,2.779,1.572,0.160,3.542,3.856,1.509,0.177,1.015,0.095,0.010,0.008,0.209,0.304,0.066,0.193,0.124,0.044,0.028,0.008,0.048,0.000,0.049,0.013,0.002,0.013,0.206,4.792,0.178,0.027,0.163,11.409,0.578,51.762,0.180,9.363,0.057,1.654
Colo9345_rep2_Dep6_Tu50,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.005,0.020,7.461,1.666,0.077,0.002,0.000,0.000,75.017,14.846,0.683,0.000,0.217
Colo9345_rep10_Dep6_Tu40,0.043,0.094,2.067,2.251,1.739,0.640,10.758,3.332,2.145,0.137,0.157,0.302,0.101,0.109,0.038,0.089,0.297,0.334,0.063,0.296,0.097,0.000,0.033,0.020,0.038,0.003,0.055,0.045,1.081,2.547,0.677,0.009,0.373,16.849,1.678,42.925,0.872,3.895,0.230,3.582
Colo9345_rep9_Dep6_Tu20,0.199,0.152,6.339,2.198,2.294,2.539,11.902,3.153,3.324,0.710,0.565,0.301,0.051,0.075,0.271,0.052,0.032,0.170,0.232,0.279,0.001,0.004,0.037,0.158,0.014,0.000,0.001,0.002,0.012,0.276,0.007,0.001,0.068,36.763,0.425,22.710,0.000,4.663,0.010,0.011
Colo9345_rep8_Dep6_Tu3,0.401,0.253,0.699,3.162,1.972,6.002,22.050,4.942,4.688,0.408,0.207,0.486,0.022,0.019,0.101,0.131,0.069,0.007,0.037,0.152,0.004,0.002,0.029,0.000,0.006,0.000,0.000,0.000,0.003,0.073,0.000,0.000,0.102,52.224,0.016,1.726,0.004,0.000,0.001,0.000
Colo9345_rep5_Dep6_Tu3,0.105,0.067,4.427,3.007,3.950,2.728,13.027,6.299,2.407,0.343,0.051,0.501,0.009,0.014,0.256,0.002,0.091,0.170,0.074,0.190,0.029,0.037,0.096,0.002,0.010,0.000,0.000,0.001,0.026,0.142,0.000,0.000,0.620,47.476,0.021,13.465,0.024,0.299,0.012,0.022
Colo9345_rep1_Dep6_Tu40,0.185,0.079,0.764,0.638,0.403,0.140,0.216,1.143,0.176,0.027,0.078,0.289,0.005,0.014,0.128,0.053,0.150,0.170,0.237,0.137,0.072,0.069,0.068,0.008,0.031,0.017,0.006,0.018,0.096,6.509,0.941,0.815,0.020,0.174,0.377,70.482,13.025,0.961,0.073,1.205
Colo9345_rep9_Dep6_Tu0.3,0.116,0.002,3.041,1.486,1.538,5.139,24.474,5.931,3.505,0.580,0.692,1.009,0.020,0.179,0.006,0.070,0.058,0.093,0.019,0.014,0.002,0.002,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,51.995,0.000,0.000,0.000,0.000,0.000,0.000
Colo9345_rep4_Dep6_Tu1,0.162,0.243,2.267,2.233,0.936,4.610,24.026,1.132,7.214,1.084,0.796,0.724,0.019,0.012,0.113,0.042,0.034,0.001,0.112,0.092,0.012,0.009,0.034,0.000,0.000,0.002,0.000,0.000,0.020,0.805,0.000,0.000,0.015,50.250,0.278,2.714,0.001,0.003,0.005,0.000
Colo9345_rep10_Dep6_Tu20,0.161,0.010,0.875,3.463,0.404,2.090,20.308,1.941,3.372,0.174,1.641,0.238,0.148,0.119,0.207,0.379,0.090,0.596,0.203,0.009,0.008,0.115,0.035,0.035,0.025,0.001,0.000,0.000,0.025,0.317,0.000,0.008,0.419,33.319,0.522,25.819,0.050,0.722,2.022,0.130
